Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), ?65","All causes, by age (years), ?65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Colorado Springs, CO",2015,33,63,,37,,14,,5,,4,,3,,2,,"Colorado Springs, CO
(38.835224, -104.819798)",
"Newark, NJ",2015,33,36,,18,,9,,8,,,-,,-,4,,"Newark, NJ
(50.147281, 3.257684)",
"Rochester, NY",2015,33,126,,94,,29,,2,,,-,1,,8,,"Rochester, NY
(43.155708, -77.612547)",
"Rockford, IL",2015,33,59,,43,,11,,2,,3,,,-,2,,"Rockford, IL
(42.266802, -89.088377)",
"Ogden, UT",2015,33,33,,24,,5,,2,,1,,1,,1,,"Ogden, UT
(50.042532, 1.457601)",
"Cambridge, MA",2015,33,14,,9,,4,,1,,,-,,-,,-,"Cambridge, MA
(42.365248, -71.105015)",
"Minneapolis, MN",2015,33,61,,32,,15,,9,,2,,3,,7,,"Minneapolis, MN
(44.977479, -93.264346)",
"Las Vegas, NV",2015,33,259,,177,,58,,18,,4,,2,,17,,"Las Vegas, NV
(36.169202, -115.140597)",
"Baton Rouge, LA",2015,33,85,,56,,22,,5,,2,,,-,7,,"Baton Rouge, LA
(30.443319, -91.187488)",
"Toledo, OH",2015,33,94,,63,,24,,5,,1,,1,,6,,"Toledo, OH
(41.655298, -83.535717)",
"Nashville, TN",2015,33,200,,119,,58,,17,,2,,4,,6,,"Nashville, TN
(36.166687, -86.779932)",
"Memphis, TN",2015,33,176,,97,,64,,10,,4,,1,,15,,"Memphis, TN
(35.143378, -90.052136)",
"Tacoma, WA",2015,33,129,,98,,22,,6,,2,,1,,8,,"Tacoma, WA
(32.221878, -110.971225)",
"Springfield, MA",2015,33,41,,29,,10,,1,,1,,,-,,-,"Springfield, MA
(39.79936, -89.643624)",
"Evansville, IN",2015,33,59,,39,,15,,2,,2,,1,,1,,"Evansville, IN
(37.975708, -87.569907)",
"El Paso, TX",2015,33,147,,104,,34,,6,,2,,1,,3,,"El Paso, TX
(31.76006, -106.492257)",
"Schenectady, NY",2015,33,19,,17,,2,,,-,,-,,-,1,,"Schenectady, NY
(42.814219, -73.944103)",
"Wilmington, DE",2015,33,9,,7,,1,,1,,,-,,-,2,,"Wilmington, DE
(39.744432, -75.5451)",
W.N. Central,2015,33,643,,380,,155,,56,,33,,16,,42,,,
W.S. Central,2015,33,1591,,970,,405,,147,,42,,27,,91,,,
"Honolulu, HI",2015,33,67,,53,,11,,1,,,-,2,,6,,"Honolulu, HI
(21.30992, -157.858158)",
"Pittsburgh, PA§",2015,33,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA
(40.442169, -79.994945)",
"Pueblo, CO",2015,33,32,,22,,6,,4,,,-,,-,1,,"Pueblo, CO
(50.021667, 3.885833)",
"Glendale, CA",2015,33,27,,26,,1,,,-,,-,,-,2,,"Glendale, CA
(34.148138, -118.246437)",
"Kansas City, KS",2015,33,33,,19,,11,,2,,1,,,-,2,,"Kansas City, KS
(39.099792, -94.578559)",
"San Francisco, CA",2015,33,108,,71,,25,,9,,2,,1,,6,,"San Francisco, CA
(37.78008, -122.420168)",
E.N. Central,2015,33,2008,,1324,,468,,123,,49,,44,,101,,,
"Sacramento, CA",2015,33,213,,151,,43,,13,,5,,1,,15,,"Sacramento, CA
(38.582087, -121.50012)",
"Wichita, KS",2015,33,102,,58,,25,,12,,7,,,-,3,,"Wichita, KS
(50.930104, 2.508137)",
"Tulsa, OK",2015,33,109,,70,,27,,7,,2,,3,,9,,"Tulsa, OK
(50.777773, 2.206962)",
"Denver, CO",2015,33,87,,56,,25,,2,,1,,3,,3,,"Denver, CO
(39.738453, -104.984853)",
"Lincoln, NC",2015,33,64,,49,,7,,3,,4,,1,,5,,"Lincoln, NC
(40.813599, -96.70261)",
"Paterson, NJ",2015,33,15,,6,,6,,1,,1,,1,,,-,"Paterson, NJ
(46.560101, 0.30365)",
"Portland, OR",2015,33,119,,78,,31,,6,,2,,2,,,-,"Portland, OR
(45.516018, -122.681425)",
"Charlotte, NC",2015,33,131,,86,,37,,7,,,-,1,,5,,"Charlotte, NC
(35.222936, -80.840161)",
"Long Beach, CA",2015,33,63,,44,,11,,5,,,-,3,,5,,"Long Beach, CA
(33.767168, -118.193723)",
"New York City, NY",2015,33,930,,661,,198,,48,,10,,12,,31,,"New York City, NY
(40.123164, -75.333718)",
"Dayton, OH",2015,33,164,,114,,36,,4,,4,,6,,9,,"Dayton, OH
(39.760982, -84.192203)",
"Fresno, CA",2015,33,,U,,U,,U,,U,,U,,U,,U,"Fresno, CA
(36.731654, -119.785856)",
"New Orleans, LA",2015,33,138,,56,,53,,21,,6,,2,,8,,"New Orleans, LA
(29.950621, -90.074948)",
"Mobile, AL",2015,33,109,,65,,35,,4,,3,,2,,3,,"Mobile, AL
(34.661541, -77.695461)",
S. Atlantic,2015,33,1022,,646,,262,,67,,28,,19,,62,,,
"Detroit, MI",2015,33,112,,59,,35,,9,,7,,2,,9,,"Detroit, MI
(42.332916, -83.047853)",
"Elizabeth, NJ",2015,34,8,,4,,3,,1,,,-,,-,,-,"Elizabeth, NJ
(54.5167, 8.88333)",
"Miami, FL",2015,34,65,,54,,8,,2,,1,,,-,5,,"Miami, FL
(44.977479, -93.264346)",
"Santa Cruz, CA",2015,34,24,,21,,3,,,-,,-,,-,1,,"Santa Cruz, CA
(32.71576, -117.163817)",
"Spokane, WA",2015,34,61,,44,,12,,3,,,-,2,,1,,"Spokane, WA
(47.658999, -117.425022)",
"Milwaukee, WI",2015,34,75,,49,,19,,4,,1,,2,,5,,"Milwaukee, WI
(43.041072, -87.909421)",
S. Atlantic,2015,26,997,,640,,244,,64,,25,,24,,58,,,
"Little Rock, AR",2015,26,95,,56,,27,,6,,5,,1,,16,,"Little Rock, AR",
W.S. Central,2015,26,1353,,889,,333,,85,,32,,14,,79,,,
Pacific,2015,26,1484,,1045,,304,,80,,33,,22,,88,,,
Mountain,2015,26,1137,,748,,277,,74,,18,,19,,60,,,
Total¶,2015,26,10190,,6740,,2396,,633,,240,,180,,557,,,
E.S. Central,2015,36,821,,516,,218,,57,,20,,10,,53,,,
W.N. Central,2015,26,562,,339,,146,,40,,16,,21,,24,,,
New England,2015,9,563,,392,,112,,34,,13,,12,,54,,,
E.N. Central,2015,26,1907,,1249,,452,,108,,51,,47,,97,,,
Mid. Atlantic,2015,9,1600,,1196,,311,,56,,22,,15,,111,,,
E.N. Central,2015,9,2183,,1478,,500,,120,,38,,47,,136,,,
W.N. Central,2015,9,738,,440,,195,,50,,27,,23,,74,,,
S. Atlantic,2015,9,1145,,779,,256,,61,,26,,22,,95,,,
E.S. Central,2015,9,1066,,721,,263,,47,,21,,14,,88,,,
W.S. Central,2015,9,1343,,893,,323,,70,,32,,25,,89,,,
Mountain,2015,9,1361,,967,,260,,86,,25,,22,,94,,,
Pacific,2015,9,2007,,1445,,409,,94,,33,,26,,176,,,
Total¶,2015,9,12006,,8311,,2629,,618,,237,,206,,917,,,
"Lincoln, NC",2015,26,32,,22,,8,,1,,1,,,-,2,,"Lincoln, NC",
E.S. Central,2015,26,923,,582,,217,,85,,28,,11,,61,,,
Total¶,2015,37,11066,,7375,,2566,,678,,237,,205,,585,,,
New England,2015,26,505,,341,,110,,33,,12,,9,,31,,,
Mid. Atlantic,2015,26,1322,,907,,313,,64,,25,,13,,59,,,
"New Orleans, LA",2015,34,49,,30,,11,,6,,2,,,-,,-,"New Orleans, LA
(29.950621, -90.074948)",
"Providence, RI",2015,34,57,,44,,8,,4,,,-,1,,2,,"Providence, RI
(41.824461, -71.412747)",
"Reading, PA",2015,34,32,,23,,8,,1,,,-,,-,2,,"Reading, PA
(40.336919, -75.921965)",
"New Haven, CT",2015,34,,U,,U,,U,,U,,U,,U,,U,"New Haven, CT
(49.931111, 4.044167)",
"Memphis, TN",2015,34,171,,106,,42,,13,,4,,6,,13,,"Memphis, TN
(35.143378, -90.052136)",
"Toledo, OH",2015,34,111,,70,,26,,7,,5,,3,,,-,"Toledo, OH
(41.655298, -83.535717)",
New England,2015,27,564,,387,,132,,36,,5,,4,,46,,,
W.N. Central,2015,27,617,,416,,131,,40,,16,,11,,33,,,
Pacific,2015,39,1761,,1213,,376,,103,,32,,37,,129,,,
New England,2015,10,691,,474,,167,,38,,4,,7,,79,,,
Mid. Atlantic,2015,10,2009,,1464,,424,,74,,31,,16,,107,,,
E.N. Central,2015,10,2245,,1567,,472,,130,,43,,33,,150,,,
W.N. Central,2015,10,679,,450,,149,,40,,26,,13,,47,,,
S. Atlantic,2015,10,1061,,723,,250,,58,,13,,17,,94,,,
E.S. Central,2015,10,1148,,771,,265,,74,,25,,13,,101,,,
W.S. Central,2015,10,1736,,1104,,427,,125,,45,,35,,112,,,
Mountain,2015,10,1355,,912,,328,,70,,29,,16,,104,,,
Pacific,2015,10,1996,,1426,,415,,98,,24,,33,,181,,,
Total¶,2015,10,12920,,8891,,2897,,707,,240,,183,,975,,,
Pacific,2015,27,1834,,1290,,383,,99,,34,,28,,148,,,
W.S. Central,2015,27,1736,,1082,,439,,118,,43,,53,,92,,,
S. Atlantic,2015,27,1185,,763,,302,,68,,27,,25,,61,,,
Mid. Atlantic,2015,27,1835,,1306,,375,,101,,37,,16,,66,,,
Total¶,2015,27,11935,,7931,,2762,,761,,268,,208,,663,,,
E.S. Central,2015,27,1005,,637,,257,,67,,24,,20,,60,,,
E.N. Central,2015,27,1885,,1249,,424,,124,,53,,35,,88,,,
Mountain,2015,27,1274,,801,,319,,108,,29,,16,,69,,,
"Lowell, MA",2015,34,22,,14,,6,,1,,,-,1,,2,,"Lowell, MA
(49.249176, -1.471592)",
"Peoria, IL",2015,34,49,,41,,5,,1,,1,,1,,7,,"Peoria, IL
(49.427543, 1.373148)",
E.N. Central,2015,34,2012,,1342,,461,,129,,42,,38,,105,,,
"Cleveland, OH",2015,34,311,,215,,69,,23,,3,,1,,10,,"Cleveland, OH
(41.505546, -81.6915)",
"Lansing, MI",2015,34,52,,37,,11,,1,,1,,2,,3,,"Lansing, MI
(42.733625, -84.553927)",
"Syracuse, NY",2015,34,87,,51,,5,,1,,,-,,-,6,,"Syracuse, NY
(43.047945, -76.147448)",
Mid. Atlantic,2015,28,1590,,1101,,350,,94,,28,,16,,71,,,
New England,2015,11,629,,478,,106,,32,,5,,8,,61,,,
Mid. Atlantic,2015,11,2187,,1599,,441,,99,,29,,19,,122,,,
E.N. Central,2015,11,2421,,1613,,574,,131,,51,,52,,149,,,
W.N. Central,2015,11,670,,410,,171,,45,,30,,13,,73,,,
S. Atlantic,2015,11,1121,,723,,252,,59,,36,,17,,84,,,
E.S. Central,2015,11,1127,,753,,284,,60,,15,,15,,96,,,
W.S. Central,2015,11,1632,,1107,,368,,100,,29,,28,,129,,,
Mountain,2015,11,1327,,877,,323,,85,,29,,12,,89,,,
Pacific,2015,11,1953,,1403,,397,,91,,42,,18,,163,,,
Total¶,2015,11,13067,,8963,,2916,,702,,266,,182,,966,,,
Total¶,2015,28,11223,,7466,,2588,,753,,223,,191,,619,,,
S. Atlantic,2015,28,1141,,708,,299,,80,,29,,25,,68,,,
W.N. Central,2015,28,672,,455,,152,,38,,17,,10,,54,,,
New England,2015,28,584,,396,,124,,41,,11,,12,,48,,,
W.S. Central,2015,28,1437,,887,,357,,128,,30,,35,,63,,,
Mountain,2015,28,1216,,834,,263,,91,,20,,8,,55,,,
Pacific,2015,28,1760,,1239,,377,,94,,29,,21,,100,,,
E.S. Central,2015,28,963,,628,,217,,69,,19,,29,,46,,,
E.N. Central,2015,28,1860,,1218,,449,,118,,40,,35,,114,,,
"Albuquerque, NM",2015,34,137,,78,,41,,13,,3,,2,,11,,"Albuquerque, NM
(35.084248, -106.649241)",
W.S. Central,2015,34,1449,,908,,367,,112,,36,,24,,67,,,
"Erie, PA",2015,34,64,,51,,11,,1,,1,,,-,8,,"Erie, PA
(42.941688, 1.200615)",
E.S. Central,2015,34,939,,589,,244,,56,,25,,25,,54,,,
"Tucson, AZ",2015,34,146,,104,,31,,10,,1,,,-,4,,"Tucson, AZ
(50.813007, 19.117083)",
"Kansas City, KS",2015,34,22,,12,,8,,2,,,-,,-,3,,"Kansas City, KS
(39.099792, -94.578559)",
"Las Vegas, NV",2015,34,275,,192,,60,,19,,1,,3,,29,,"Las Vegas, NV
(36.169202, -115.140597)",
"Dallas, TX",2015,34,150,,103,,36,,8,,1,,2,,12,,"Dallas, TX
(49.30742, 6.409499)",
W.S. Central,2015,29,1717,,1097,,425,,118,,47,,30,,78,,,
New England,2015,12,572,,417,,108,,25,,12,,10,,64,,,
Mid. Atlantic,2015,12,1502,,1097,,287,,85,,19,,14,,78,,,
E.N. Central,2015,12,2192,,1495,,503,,130,,32,,32,,141,,,
W.N. Central,2015,12,683,,430,,159,,58,,20,,13,,64,,,
S. Atlantic,2015,12,1152,,742,,301,,63,,27,,19,,72,,,
E.S. Central,2015,12,1249,,841,,312,,60,,22,,14,,102,,,
W.S. Central,2015,12,1728,,1108,,436,,118,,32,,32,,109,,,
Mountain,2015,12,1307,,916,,281,,81,,14,,15,,79,,,
Pacific,2015,12,1912,,1343,,434,,79,,28,,28,,140,,,
Total¶,2015,12,12297,,8389,,2821,,699,,206,,177,,849,,,
New England,2015,29,502,,335,,122,,28,,12,,5,,32,,,
E.N. Central,2015,29,1818,,1188,,442,,108,,36,,44,,97,,,
W.N. Central,2015,29,580,,382,,128,,45,,11,,12,,39,,,
E.S. Central,2015,29,908,,578,,207,,75,,30,,18,,51,,,
Pacific,2015,29,1727,,1186,,388,,85,,40,,27,,131,,,
Total¶,2015,29,11053,,7302,,2615,,684,,249,,197,,631,,,
Mid. Atlantic,2015,29,1499,,1060,,321,,82,,19,,17,,58,,,
S. Atlantic,2015,29,1117,,678,,306,,72,,32,,29,,83,,,
Mountain,2015,29,1185,,798,,276,,71,,22,,15,,62,,,
"Charlotte, NC",2015,34,145,,94,,37,,6,,5,,3,,7,,"Charlotte, NC
(35.222936, -80.840161)",
"Little Rock, AR",2015,34,108,,76,,28,,2,,1,,1,,7,,"Little Rock, AR
(34.748745, -92.275105)",
"Pueblo, CO",2015,34,20,,15,,4,,1,,,-,,-,1,,"Pueblo, CO
(50.021667, 3.885833)",
"South Bend, IN",2015,34,52,,39,,9,,3,,1,,,-,3,,"South Bend, IN
(41.675032, -86.251962)",
"Detroit, MI",2015,34,155,,81,,51,,10,,7,,6,,8,,"Detroit, MI
(42.332916, -83.047853)",
"Cincinnati, OH",2015,34,78,,46,,18,,8,,2,,4,,5,,"Cincinnati, OH
(39.104427, -84.513808)",
"Allentown, PA",2015,34,27,,21,,4,,2,,,-,,-,2,,"Allentown, PA
(40.602753, -75.469759)",
"Fresno, CA",2015,30,131,,96,,27,,7,,1,,,-,10,,"Fresno, CA
(36.731654, -119.785856)",
"El Paso, TX",2015,30,,U,,U,,U,,U,,U,,U,,U,"El Paso, TX
(31.76006, -106.492257)",
"Grand Rapids, MI",2015,30,66,,47,,15,,2,,,-,2,,6,,"Grand Rapids, MI
(47.925705, -97.036068)",
New England,2015,30,442,,308,,93,,26,,5,,10,,29,,,
"Colorado Springs, CO",2015,30,69,,55,,11,,,-,1,,2,,5,,"Colorado Springs, CO
(38.835224, -104.819798)",
New England,2015,13,586,,400,,124,,39,,13,,10,,47,,,
Mid. Atlantic,2015,13,1847,,1376,,338,,81,,29,,22,,89,,,
E.N. Central,2015,13,1955,,1318,,455,,113,,33,,36,,126,,,
W.N. Central,2015,13,689,,466,,159,,33,,21,,10,,57,,,
S. Atlantic,2015,13,946,,604,,224,,65,,22,,29,,52,,,
E.S. Central,2015,13,885,,583,,198,,58,,16,,30,,62,,,
W.S. Central,2015,13,1656,,1092,,390,,99,,39,,36,,109,,,
Mountain,2015,13,1279,,843,,312,,84,,23,,16,,71,,,
Pacific,2015,13,1629,,1156,,319,,75,,23,,24,,130,,,
Total¶,2015,13,11472,,7838,,2519,,647,,219,,213,,743,,,
"Jacksonville, FL",2015,30,141,,92,,38,,9,,2,,,-,4,,"Jacksonville, FL
(30.325968, -81.65676)",
W.N. Central,2015,30,656,,405,,168,,55,,14,,14,,48,,,
"Dayton, OH",2015,30,142,,110,,18,,11,,3,,,-,4,,"Dayton, OH
(39.760982, -84.192203)",
"Syracuse, NY",2015,30,84,,60,,16,,6,,1,,1,,4,,"Syracuse, NY
(43.047945, -76.147448)",
"Milwaukee, WI",2015,30,71,,46,,16,,6,,1,,2,,3,,"Milwaukee, WI
(43.041072, -87.909421)",
"Buffalo, NY",2015,30,101,,65,,25,,4,,2,,5,,5,,"Buffalo, NY
(50.7328, 2.03149)",
"Corpus Christi, TX",2015,30,83,,54,,21,,5,,1,,2,,11,,"Corpus Christi, TX
(27.796416, -97.404131)",
"Austin, TX",2015,30,94,,62,,25,,3,,3,,1,,8,,"Austin, TX
(51.166908, 71.420651)",
"Las Vegas, NV",2015,30,295,,188,,83,,15,,5,,4,,21,,"Las Vegas, NV
(36.169202, -115.140597)",
"Omaha, NE",2015,30,100,,70,,22,,7,,,-,1,,7,,"Omaha, NE
(46.171944, 6.479722)",
Mid. Atlantic,2015,30,1631,,1163,,344,,73,,25,,26,,57,,,
"Detroit, MI",2015,30,137,,75,,41,,10,,7,,4,,5,,"Detroit, MI
(42.332916, -83.047853)",
"Hartford, CT",2015,30,53,,35,,13,,3,,,-,2,,3,,"Hartford, CT
(41.765775, -72.673356)",
"Phoenix, AZ",2015,30,182,,110,,43,,15,,9,,5,,8,,"Phoenix, AZ
(30.406931, -87.217578)",
"Little Rock, AR",2015,30,194,,126,,51,,11,,4,,2,,22,,"Little Rock, AR
(34.748745, -92.275105)",
"San Diego, CA",2015,30,165,,113,,39,,8,,3,,2,,10,,"San Diego, CA
(32.71576, -117.163817)",
"Peoria, IL",2015,30,,U,,U,,U,,U,,U,,U,,U,"Peoria, IL
(49.427543, 1.373148)",
"Des Moines, IA",2015,30,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.588822, -93.620309)",
"Memphis, TN",2015,30,199,,131,,50,,10,,5,,3,,20,,"Memphis, TN
(35.143378, -90.052136)",
"Trenton, NJ",2015,30,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(43.651893, -79.381713)",
Total¶,2015,30,11025,,7389,,2554,,662,,226,,194,,616,,,
"Portland, OR",2015,30,131,,90,,31,,5,,5,,,-,3,,"Portland, OR
(45.516018, -122.681425)",
"Columbus, OH",2015,30,207,,129,,52,,11,,9,,6,,11,,"Columbus, OH
(39.962762, -82.996291)",
"Salt Lake City, UT",2015,30,137,,86,,32,,7,,4,,8,,9,,"Salt Lake City, UT
(40.758478, -111.888142)",
"Lansing, MI",2015,30,48,,35,,10,,2,,,-,1,,,-,"Lansing, MI
(42.733625, -84.553927)",
"Houston, TX",2015,30,356,,225,,83,,29,,18,,1,,6,,"Houston, TX
(29.760803, -95.369506)",
"Spokane, WA",2015,30,74,,63,,6,,3,,1,,1,,5,,"Spokane, WA
(47.658999, -117.425022)",
"Boise, ID",2015,30,75,,55,,17,,1,,,-,2,,4,,"Boise, ID
(4.598048, -74.076087)",
"New Orleans, LA",2015,30,49,,32,,14,,,-,2,,1,,2,,"New Orleans, LA
(29.950621, -90.074948)",
"Cincinnati, OH",2015,30,79,,45,,16,,7,,7,,4,,4,,"Cincinnati, OH
(39.104427, -84.513808)",
"Kansas City, MO",2015,30,142,,91,,30,,13,,4,,4,,7,,"Kansas City, MO
(39.099792, -94.578559)",
"Lexington, KY",2015,30,122,,66,,39,,11,,4,,2,,2,,"Lexington, KY
(34.052238, -118.243344)",
Pacific,2015,30,1718,,1180,,379,,100,,31,,28,,112,,,
"San Antonio, TX",2015,30,242,,163,,48,,22,,7,,2,,18,,"San Antonio, TX
(29.425173, -98.494599)",
"Philadelphia, PA",2015,30,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.951061, -75.16562)",
Mountain,2015,30,1178,,777,,276,,66,,28,,31,,62,,,
"Richmond, VA",2015,30,52,,30,,16,,4,,1,,1,,1,,"Richmond, VA
(37.540759, -77.433932)",
"Savannah, GA",2015,30,57,,38,,15,,2,,1,,1,,5,,"Savannah, GA
(49.955, 3.480556)",
"Rochester, NY",2015,30,124,,94,,22,,5,,2,,1,,8,,"Rochester, NY
(43.155708, -77.612547)",
"Charlotte, NC",2015,30,117,,77,,31,,5,,3,,1,,9,,"Charlotte, NC
(35.222936, -80.840161)",
"Albany, NY",2015,30,57,,43,,8,,2,,,-,4,,3,,"Albany, NY
(42.651242, -73.755418)",
"Baton Rouge, LA",2015,30,88,,67,,18,,2,,1,,,-,,-,"Baton Rouge, LA
(30.443319, -91.187488)",
E.N. Central,2015,30,1929,,1290,,442,,116,,42,,39,,97,,,
S. Atlantic,2015,30,1030,,663,,268,,60,,21,,18,,52,,,
"Knoxville, TN",2015,30,118,,83,,29,,4,,,-,2,,4,,"Knoxville, TN
(35.962631, -83.916677)",
"Sacramento, CA",2015,30,222,,149,,57,,9,,4,,3,,16,,"Sacramento, CA
(38.582087, -121.50012)",
W.S. Central,2015,30,1512,,981,,358,,112,,45,,16,,101,,,
"Chicago, IL",2015,30,254,,155,,66,,22,,2,,9,,7,,"Chicago, IL
(49.65195, 2.08099)",
E.S. Central,2015,30,929,,622,,226,,54,,15,,12,,58,,,
"Birmingham, AL",2015,30,150,,105,,32,,10,,2,,1,,10,,"Birmingham, AL
(33.522859, -86.807705)",
"Albuquerque, NM",2015,30,114,,69,,30,,10,,3,,2,,5,,"Albuquerque, NM
(35.084248, -106.649241)",
"Indianapolis, IN",2015,30,189,,124,,48,,10,,4,,3,,16,,"Indianapolis, IN
(39.76845, -86.156212)",
"Wichita, KS",2015,30,116,,65,,40,,11,,,-,,-,12,,"Wichita, KS
(50.930104, 2.508137)",
