PermitID,PermitApplication,FullPermitNo,FullApplicationNo,ApplicationDate,IssueDate,PermitFromDate,PermitToDate,ApplicationTypeName,ApplicationTypeOther,OldPermitNo,OldExpirationDate,OldGrossVehicleWeight,PermitServiceCompany,PermitteeCompany,IndustryTypeName,IndustryTypeOther,LeaseCompanyName,LeaseExpirationDate,Year,Make,Model,State,CDNo,SerialNo,ManufacturerGVWR,RegisteredGVWR,VehicleType,VehicleTypeOther,PermitType,OverallWidth,OverallLength,OverallHeight,TotalNoOfAxle,WheelBase,LoadInDescription,LoadInWidth,LoadInHeight,LoadInLength,LoadInWeight,LoadOutDescription,LoadOutWidth,LoadOutHeight,LoadOutLength,LoadOutWeight,SteeringWeight,SteeringNoOfTires,SteeringLoadRating,Axle2Weight,Axle2Space,Axle2NoOfTires,Axle2LoadRating,Axle3Weight,Axle3Space,Axle3NoOfTires,Axle3LoadRating,Axle4Weight,Axle4Space,Axle4NoOfTires,Axle4LoadRating,Axle5Weight,Axle5Space,Axle5NoOfTires,Axle5LoadRating,Axle6Weight,Axle6Space,Axle6NoOfTires,Axle6LoadRating,Axle7Weight,Axle7Space,Axle7NoOfTires,Axle7LoadRating,Axle8Weight,Axle8Space,Axle8NoOfTires,Axle8LoadRating,Axle9Weight,Axle9Space,Axle9NoOfTires,Axle9LoadRating,Axle10Weight,Axle10Space,Axle10NoOfTires,Axle10LoadRating,Axle11Weight,Axle11Space,Axle11NoOfTires,Axle11LoadRating
2037,Overweight,V7G8-20151123-1114,con-2014320-307,03/20/2014 01:38:35 PM,11/23/2015 05:00:14 PM,11/23/2015 12:00:00 AM,10/31/2016 12:00:00 AM,Other,,92047,10/31/2012 12:00:00 AM,61000,consolidated edison co. inc.,,Other,,,,2005,GMC,,,,,61000,61000,Other Single,,"Type 2, 3 to 4 axles",8,34,12,3,19.06,,,,,,,,,,,16000,2,8000,22500,14.06,4,5625,22500,5,4,5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,Overweight,GPQZ-201482-850,Yon-201453-515,05/03/2014 02:10:23 PM,08/02/2014 01:56:52 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,WIS5-20131118-1117,06/30/2014 12:00:00 AM,120000,"Yonkers Contracting Co., Inc.",,Construction,,,,2001,Mack,,,,,120000,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227,Overweight,PMHA-20151019-881,Mas1-2015101-976,10/01/2015 03:55:29 PM,10/19/2015 04:58:51 PM,10/19/2015 12:00:00 AM,09/30/2016 12:00:00 AM,Renewal,,X7BE-2014109-976,,,Maspeth Avenue Operating Corp.,,Cement,,,,1999,Crane Carrier,,,,,85000,79000,Cement Truck,,"Type 2, 3 to 4 axles",8,32.05,12.02,3,17.06,,,,,,,,,,,20000,2,9920,29500,12.10,4,8820,29500,4.08,4,8820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Overweight,GPQZ-201482-840,A.-2014520-629,05/20/2014 12:33:33 PM,08/02/2014 12:47:27 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-698,06/30/2014 12:00:00 AM,120000,"A. Russo Wrecking, Inc",,Other,,,,2008,Peterbilt,,,,,18364,107000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5080,Overweight,MSFH-2016715-628,Car1-2016411-352,04/11/2016 09:37:01 AM,07/15/2016 05:02:47 PM,07/15/2016 12:00:00 AM,04/30/2017 12:00:00 AM,Renewal,,ZPIK-2015422-387,04/30/2016 12:00:00 AM,,Carelli Construction Corp,,Construction,,,,1991,Ford,,,,,19000,44400,Dump Truck,,"Type 1, 2 axles",7.11,18.08,8.01,2,12.10,,,,,,,,,,,16400,2,4970,28800,12.10,4,44400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,Overweight,GPQZ-201482-846,Bar-201465-681,06/05/2014 10:05:34 AM,08/02/2014 01:24:38 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Renewal,,IDGP-2013824-711,06/30/2014 12:00:00 AM,120000,Barnum Isle Leasing Corp.,,Construction,,,,2002,Kenworth,,,,,18030,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,Overweight,T65Q-2015530-471,A.-201466-683,06/06/2014 10:50:09 AM,05/30/2015 01:13:16 PM,05/30/2015 12:00:00 AM,06/30/2015 12:00:00 AM,Transfer,,IDGP2013824705,06/30/2014 12:00:00 AM,120000,"A. Russo Wrecking, Inc",,Other,,,,2014,KENWORTH,,,,,60320,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,Overweight,AAQU-2015427-430,A.-2014610-687,06/10/2014 10:52:35 AM,04/27/2015 11:57:15 AM,04/27/2015 12:00:00 AM,06/30/2015 12:00:00 AM,Transfer,,RT56201311201133,09/30/2014 12:00:00 AM,120000,"A. Russo Wrecking, Inc",,Other,,,,2014,KENWORTH,,,,,60320,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,Overweight,GPQZ-201482-847,A.-2014610-690,06/10/2014 01:51:13 PM,08/02/2014 01:44:53 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Other,RENEWAL OF OWP #2013824699,,,,"A. Russo Wrecking, Inc",,Other,,,,2006,PETERBILT,,,,,60320,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,Overweight,KUPW-2015711-598,Car-201543-382,04/03/2015 11:16:02 AM,07/11/2015 04:20:42 PM,07/11/2015 12:00:00 AM,04/30/2016 12:00:00 AM,Renewal,,VUX8-2014426-478,04/30/2015 12:00:00 AM,76000,Carullo Construction Corp,,Construction,,,,1999,MACK,,,,,76000,76000,Dump Truck,,"Type 2, 3 to 4 axles",7.11,24.06,9.10,3,18.06,,,,,,,,,,,18000,2,9100,29000,13.11,4,8000,29000,4.07,4,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5723,Crane,AWL9-2017126-213,Bay-20161130-995,11/30/2016 01:23:29 PM,01/26/2017 02:25:45 PM,01/26/2017 12:00:00 AM,12/31/2017 12:00:00 AM,,,,,,Bay Crane Service Inc,,Special Hauling,,,,2015,Tadano,GR-500XL,NY,4743,541315,69840,,,,,9.10,42.10,12.03,2,12.06,,,,,,,,,,,39590,,,30250,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,Overweight,GPQZ-201482-851,A.-2014619-712,06/19/2014 11:16:30 AM,08/02/2014 02:34:36 PM,08/02/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Other,Renewal of OWP #2013824700,,,,"A. Russo Wrecking, Inc",,Other,,,,2004,PETERBILT,,,,,120000,120000,Tractor Trailer,,"Type 4, 6 axles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,Bulk Milk,RIE1-2014917-899,Wor-2014626-721,06/26/2014 02:36:34 PM,09/17/2014 05:21:21 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2013,Peterbuilt,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,Bulk Milk,RIE1-2014917-898,Wor-2014626-722,06/26/2014 03:00:25 PM,09/17/2014 05:20:46 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2012,Peterbuilt,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,Bulk Milk,RIE1-2014917-900,Wor-2014626-723,06/26/2014 03:22:00 PM,09/17/2014 05:22:03 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2012,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,Bulk Milk,RIE1-2014917-904,Wor-2014626-724,06/26/2014 03:34:35 PM,09/17/2014 05:24:53 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2012,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,Bulk Milk,RIE1-2014917-905,Wor-2014626-725,06/26/2014 03:44:12 PM,09/17/2014 05:25:34 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2012,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,Bulk Milk,RIE1-2014917-901,Wor-2014626-726,06/26/2014 04:03:04 PM,09/17/2014 05:22:56 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2010,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,Bulk Milk,RIE1-2014917-903,Wor-2014627-727,06/27/2014 09:58:40 AM,09/17/2014 05:24:17 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2013,Peterbuilt,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,Bulk Milk,RIE1-2014917-902,Wor-2014627-728,06/27/2014 10:11:15 AM,09/17/2014 05:23:30 PM,09/17/2014 12:00:00 AM,10/16/2014 12:00:00 AM,,,,,,Worcester Creameries,"Greene Trucking, Inc.",Bulk Transportation,,,,2012,Mack,,,,,,,,,,,,,,,Bulk Raw Milk,8,12.03,58.06,98875,Empty,8,12.03,58.06,33380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
