the_geom,OBJECTID, Facility Name,Type,Building,Zip Code,Hours,Phone,Address
POINT (-90.013817597771 29.966559418604),204,Martin Luther King Library,Branch,,70117,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2695,1611 Caffin Avenue
POINT (-90.048204606252 29.953111414209),195,Cita Dennis Hubbell Library,Branch,,70114,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri & Sat.; Closed Sundays",(504) 596-3113,725 Pelican Street
POINT (-89.972060588692 30.032258434566),196,East New Orleans Regional Library,Regional,,70127,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-0200,5641 Read Boulevard
POINT (-90.067741737061 29.975636540921),205,Nora Navra Library,Branch,,70116,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-3118,1902 Saint Bernard Avenue
POINT (-90.101057618735 29.921354406313),194,Children's Resource Center,Children,,70115,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2628,913 Napoleon Avenue
POINT (-90.075392613111 29.954512414121),193,Main Library,Main,,70112,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-2560,219 Loyola Avenue
POINT (-90.086930616462 29.941803410757),203,Central City Library,Branch,Mahalia Jackson Center,70113,"10 am - 7 pm, Mon. - Thurs.; 11 am - 4 pm, Fri.; Closed Sundays and Saturdays",(504) 596-3110,"2405 Jackson Avenue (Bldg C, Room 235)"
POINT (-90.107557624397 30.004961424243),200,Robert E. Smith Library,Branch,,70124,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-2638,6301 Canal Boulevard
POINT (-90.013637595947 29.92272940909),191,Algiers Regional Branch,Regional,,70131,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-2641,3014 Holiday Drive
POINT (-90.061529611547 29.997512423943),197,Norman Mayer Library,Branch,,70122,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-3100,3001 Gentilly Boulevard
POINT (-90.10198130271 29.974790673823),202,Mid-City Branch,Branch,The Automotive Life Insurance Company Building,70119,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2654,4140 Canal Street
POINT (-90.10359762125 29.948815411686),201,Rosa F. Keller Library & Community Center,Branch,Community Center,70125,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2660,4300 South Broad Street
POINT (-90.110248621878 29.926647406865),198,Milton H. Latter Memorial Library,Branch,,70115,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; 1 pm - 5 pm, Sun.",(504) 596-2625,5120 Saint Charles Avenue
POINT (-90.127869627479 29.948652411196),199,Nix Library,Branch,,70118,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2630,1401 South Carrollton Avenue
POINT (-90.036747603292 29.963914417582),192,Alvar Library,Branch,,70117,"10 am - 8 pm, Mon. - Thurs.; 10 am - 5 pm, Fri. & Sat.; Closed Sundays",(504) 596-2667,913 Alvar Street
