Reporting Area,MMWR Year,MMWR Week,"Brucellosis, Current week","Brucellosis, Current week, flag","Brucellosis, Previous 52 weeks Max†","Brucellosis, Previous 52 weeks Max†, flag","Brucellosis, Cum 2020†","Brucellosis, Cum 2020†, flag","Brucellosis, Cum 2019†","Brucellosis, Cum 2019, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Max†","Campylobacteriosis, Previous 52 weeks Max†, flag","Campylobacteriosis, Cum 2020†","Campylobacteriosis, Cum 2020†, flag","Campylobacteriosis, Cum 2019†","Campylobacteriosis, Cum 2019†, flag","Candida auris, clinical§, Current week","Candida auris, clinical§, Current week, flag","Candida auris, clinical§, Previous 52 weeks Max†","Candida auris, clinical§, Previous 52 weeks Max†, flag","Candida auris, clinical§, Cum 2020†","Candida auris, clinical§, Cum 2020†, flag","Candida auris, clinical§, Cum 2019†","Candida auris, clinical§, Cum 2019, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
KENTUCKY,2020,4,,-,0,,,-,,-,,-,44,,,-,31,,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,,-,3,,23,,24,,34,,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
TENNESSEE,2020,4,,-,1,,,-,,-,,-,32,,21,,51,,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,4,,-,4,,,-,1,,47,,295,,145,,290,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200443,
ARKANSAS,2020,4,,-,1,,,-,,-,8,,28,,30,,25,,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,1,,,-,1,,2,,32,,15,,73,,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,1,,,-,,-,21,,51,,48,,50,,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
TEXAS,2020,4,,-,3,,,-,,-,16,,199,,52,,142,,,-,0,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ARIZONA,2020,4,,-,1,,,-,,-,13,,65,,45,,85,,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,1,,,-,,-,6,,45,,41,,59,,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,1,,,-,,-,2,,24,,22,,16,,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
NEVADA,2020,4,,-,1,,,-,,-,,-,9,,2,,10,,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,,-,0,,,-,,-,1,,34,,17,,32,,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,1,,,-,,-,,-,22,,16,,37,,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,0,,,-,,-,,-,11,,,-,6,,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
ALASKA,2020,4,,-,1,,,-,,-,,-,7,,,-,12,,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
CALIFORNIA,2020,4,,-,2,,,-,3,,77,,309,,497,,663,,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
HAWAII,2020,4,,-,1,,,-,,-,2,,21,,21,,24,,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,,-,0,,,-,,-,11,,38,,56,,72,,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,1,,,-,,-,16,,75,,115,,149,,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
CONNECTICUT,2020,5,,-,0,,,-,,-,,-,29,,,-,54,,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,1,,,-,,-,15,,38,,73,,85,,,-,0,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,1,,,-,1,,8,,30,,42,,44,,,-,0,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,1,,,-,,-,14,,51,,62,,68,,,-,0,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,,-,0,,,-,,-,25,,99,,158,,189,,,-,0,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
FLORIDA,2020,1,,-,3,,,-,,-,,-,123,,,-,49,,,-,0,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200163,
KENTUCKY,2020,1,,-,0,,,-,,-,,-,43,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
DISTRICT OF COLUMBIA,2020,1,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200130,POINT (-77.016275 38.904785)
EAST NORTH CENTRAL,2020,1,,-,2,,,-,,-,30,,276,,30,,129,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200114,
UTAH,2020,1,,-,1,,,-,,-,,-,21,,,-,10,,,-,0,,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
NEVADA,2020,1,,-,1,,,-,,-,,-,9,,,-,2,,,-,0,,,-,,-,NEVADA,,20200153,POINT (-114.916992 39.283294)
TENNESSEE,2020,1,,-,1,,,-,,-,1,,32,,1,,7,,,-,0,,,-,,-,TENNESSEE,,20200142,POINT (-86.343226 35.842998)
NEW YORK CITY,2020,1,,-,1,,,-,,-,53,,76,,53,,56,,,-,0,,,-,,-,,NEW YORK CITY,20200112,
OKLAHOMA,2020,1,,-,1,,,-,,-,,-,57,,,-,3,,,-,0,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
MARYLAND,2020,1,,-,1,,,-,,-,13,,38,,13,,17,,,-,0,,,-,,-,MARYLAND,,20200133,POINT (-76.68728200000001 38.946466)
PENNSYLVANIA,2020,1,,-,1,,,-,,-,14,,89,,14,,40,,,-,0,,,-,,-,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
WISCONSIN,2020,1,,-,1,,,-,,-,12,,54,,12,,32,,,-,0,,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
MISSISSIPPI,2020,1,,-,0,,,-,,-,4,,23,,4,,9,,,-,0,,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
HAWAII,2020,1,,-,1,,,-,,-,,-,21,,,-,7,,,-,0,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
TOTAL,2020,1,,-,7,,,-,1,,265,,3367,,265,,857,,,-,0,,,-,,-,,TOTAL,20200170,
NEW JERSEY,2020,1,,-,1,,,-,,-,,-,67,,,-,37,,,-,0,,,-,,-,NEW JERSEY,,20200110,POINT (-74.655514 40.110253)
MISSOURI,2020,1,,-,1,,,-,,-,7,,49,,7,,19,,,-,0,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
NEW HAMPSHIRE,2020,1,,-,0,,,-,,-,,-,15,,,-,5,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139000000001 43.680429)
TEXAS,2020,1,,-,5,,,-,,-,6,,241,,6,,1,,,-,0,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
KANSAS,2020,1,,-,0,,,-,,-,,-,23,,,-,11,,,-,0,,,-,,-,KANSAS,,20200122,POINT (-98.38018 38.484729)
RHODE ISLAND,2020,1,,-,0,,,-,,-,,-,19,,,-,1,,,-,0,,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
PACIFIC,2020,1,,-,2,,,-,1,,73,,2239,,73,,200,,,-,0,,,-,,-,,PACIFIC,20200157,
GEORGIA,2020,1,,-,0,,,-,,-,,-,42,,,-,33,,,-,0,,,-,,-,GEORGIA,,20200132,POINT (-83.426574 32.638481)
IOWA,2020,1,,-,1,,,-,,-,21,,57,,21,,35,,,-,0,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
WYOMING,2020,1,,-,0,,,-,,-,,-,11,,,-,2,,,-,0,,,-,,-,WYOMING,,20200156,POINT (-107.55145000000002 42.999627)
EAST SOUTH CENTRAL,2020,1,,-,1,,,-,,-,7,,98,,7,,25,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200138,
WEST SOUTH CENTRAL,2020,1,,-,5,,,-,,-,7,,320,,7,,12,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200143,
WEST NORTH CENTRAL,2020,1,,-,1,,,-,,-,37,,161,,37,,80,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200120,
NORTH CAROLINA,2020,1,,-,0,,,-,,-,,-,66,,,-,44,,,-,0,,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
LOUISIANA,2020,1,,-,1,,,-,,-,,-,32,,,-,8,,,-,0,,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921313999999995)
DELAWARE,2020,1,,-,2,,,-,,-,,-,11,,,-,6,,,-,0,,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
NEBRASKA,2020,1,,-,1,,,-,,-,9,,41,,9,,7,,,-,0,,,-,,-,NEBRASKA,,20200125,POINT (-99.810595 41.527099)
OHIO,2020,1,,-,0,,,-,,-,17,,99,,17,,22,,,-,0,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.41553400000001)
NEW YORK,2020,1,,-,1,,,-,,-,1,,91,,1,,1,,,-,0,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NORTH DAKOTA,2020,1,,-,0,,,-,,-,,-,15,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
VERMONT,2020,1,,-,0,,,-,,-,,-,8,,,-,5,,,-,0,,,-,,-,VERMONT,,20200108,POINT (-72.662695 44.075252)
ARIZONA,2020,1,,-,1,,,-,,-,4,,65,,4,,19,,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200168,POINT (-64.840836 18.060868)
SOUTH ATLANTIC,2020,1,,-,3,,,-,,-,22,,325,,22,,176,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200128,
ARKANSAS,2020,1,,-,1,,,-,,-,1,,28,,1,,,-,,-,0,,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200164,
ILLINOIS,2020,1,,-,2,,,-,,-,1,,86,,1,,42,,,-,0,,,-,,-,ILLINOIS,,20200115,POINT (-89.148632 40.124144)
MAINE,2020,1,,-,0,,,-,,-,3,,8,,3,,1,,,-,0,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
OREGON,2020,1,,-,0,,,-,,-,4,,38,,4,,21,,,-,0,,,-,,-,OREGON,,20200161,POINT (-120.60527899999998 43.940449)
MICHIGAN,2020,1,,-,1,,,-,,-,,-,59,,,-,32,,,-,0,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
CALIFORNIA,2020,1,,-,2,,,-,1,,43,,309,,43,,122,,,-,0,,,-,,-,CALIFORNIA,,20200159,POINT (-119.662127 37.211164)
INDIANA,2020,1,,-,0,,,-,,-,,-,14,,,-,1,,,-,0,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.91999100000001)
WASHINGTON,2020,1,,-,1,,,-,,-,26,,2077,,26,,47,,,-,0,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
US RESIDENTS,2020,1,,-,7,,,-,1,,265,,3366,,265,,857,,,-,0,,,-,,-,,US RESIDENTS,20200101,
VIRGINIA,2020,1,,-,1,,,-,,-,5,,70,,5,,4,,,-,0,,,-,,-,VIRGINIA,,20200136,POINT (-78.666382 37.510861)
ALABAMA,2020,1,,-,1,,,-,,-,2,,28,,2,,9,,,-,0,,,-,,-,ALABAMA,,20200139,POINT (-86.844516 32.756889)
MOUNTAIN,2020,1,,-,2,,,-,,-,7,,177,,7,,58,,,-,0,,,-,,-,,MOUNTAIN,20200148,
IDAHO,2020,1,,-,1,,,-,,-,,-,21,,,-,3,,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
ALASKA,2020,1,,-,1,,,-,,-,,-,7,,,-,3,,,-,0,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631125999999995)
COLORADO,2020,1,,-,1,,,-,,-,1,,45,,1,,15,,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
MASSACHUSETTS,2020,1,,-,1,,,-,,-,11,,66,,11,,20,,,-,0,,,-,,-,MASSACHUSETTS,,20200105,POINT (-71.481104 42.151077)
NEW MEXICO,2020,1,,-,0,,,-,,-,2,,34,,2,,6,,,-,0,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
GUAM,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200166,POINT (144.653198 13.353200000000001)
MIDDLE ATLANTIC,2020,1,,-,2,,,-,,-,68,,309,,68,,134,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200109,
MINNESOTA,2020,1,,-,1,,,-,,-,,-,15,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
NEW ENGLAND,2020,1,,-,1,,,-,,-,14,,133,,14,,43,,,-,0,,,-,,-,,NEW ENGLAND,20200102,
CONNECTICUT,2020,1,,-,0,,,-,,-,,-,29,,,-,11,,,-,0,,,-,,-,CONNECTICUT,,20200103,POINT (-72.738288 41.575155)
SOUTH DAKOTA,2020,1,,-,0,,,-,,-,,-,30,,,-,5,,,-,0,,,-,,-,SOUTH DAKOTA,,20200127,POINT (-100.230491 44.43614)
MONTANA,2020,1,,-,0,,,-,,-,,-,19,,,-,1,,,-,0,,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
WEST VIRGINIA,2020,1,,-,0,,,-,,-,,-,16,,,-,9,,,-,0,,,-,,-,WEST VIRGINIA,,20200137,POINT (-80.613729 38.642579000000005)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
SOUTH CAROLINA,2020,1,,-,1,,,-,,-,4,,30,,4,,11,,,-,0,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
PACIFIC,2020,4,,-,2,,,-,3,,106,,418,,689,,920,,,-,0,,,-,,-,,PACIFIC,20200457,
TOTAL,2020,4,,-,7,,,-,6,,331,,2038,,1920,,3691,,,-,7,,,-,13,,,TOTAL,20200470,
US RESIDENTS,2020,2,,-,7,,,-,1,,479,,2141,,874,,1903,,,-,0,,,-,,-,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,1,,,-,,-,16,,133,,45,,99,,,-,0,,,-,,-,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,0,,,-,,-,,-,29,,,-,25,,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,0,,,-,,-,1,,8,,2,,3,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,1,,,-,,-,14,,66,,40,,54,,,-,0,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,15,,1,,7,,,-,0,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,0,,,-,,-,,-,19,,,-,3,,,-,0,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,0,,,-,,-,1,,8,,2,,7,,,-,0,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,2,,,-,,-,133,,310,,215,,304,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,1,,,-,,-,,-,67,,,-,72,,,-,0,,,-,,-,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,1,,,-,,-,34,,90,,35,,18,,,-,0,,,-,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,1,,,-,,-,66,,76,,123,,120,,,-,0,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,1,,,-,,-,33,,91,,57,,94,,,-,0,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,,-,2,,,-,,-,53,,276,,100,,263,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,2,,,-,,-,,-,86,,12,,89,,,-,0,,,-,,-,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,1,,,-,,-,,-,59,,,-,48,,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,0,,,-,,-,39,,99,,55,,72,,,-,0,,,-,,-,OHIO,,20200218,POINT (-82.70936 40.415534)
MOUNTAIN,2020,2,,-,2,,,-,,-,9,,178,,33,,122,,,-,0,,,-,,-,,MOUNTAIN,20200248,
PACIFIC,2020,5,,-,2,,,-,3,,107,,418,,899,,1143,,,-,0,,,-,,-,,PACIFIC,20200557,
NEVADA,2020,5,,-,1,,,-,,-,,-,9,,2,,16,,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
WISCONSIN,2020,2,,-,1,,,-,,-,14,,54,,33,,53,,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,1,,,-,,-,49,,161,,93,,150,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,-,1,,,-,,-,27,,57,,51,,56,,,-,0,,,-,,-,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,23,,,-,22,,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,,-,1,,,-,,-,14,,49,,25,,45,,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,1,,,-,,-,8,,41,,17,,11,,,-,0,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,15,,,-,6,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,30,,,-,10,,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
