Project Number,Contract Number,Title,Status,Procurement Type,Award Type,Contract Award Date,Contract End Date,Contract Amount,Expended Amount YTD,Expended Amount LTD,Remaining Balance,Number of Bids,MWBE,MWBE Proposals,Vendor Name,Address Line 1,Address Line 2,City,State,Zip Code,Country,Location 1
05X338,T006055,CONSTR: RAC Addition & Renov,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/10/2014,10/11/2018,33887567.00,0.00,33887567.00,0.00,4,N,0,"Northland Associates, Incorporated",4701 Buckley Road,P.O. Box 2549,Liverpool,NY,13220,USA,"4701 Buckley Road
Liverpool, NY 13220"
12X335,T005364,"DESIGN: Rehabilitate Elevators, Raymond & Crane Halls, Bldg Nos. 001 & 09B",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/16/2009,07/16/2014,107981.27,0.00,107981.27,0.00,0,N,0,"Syska Hennessy Group, Inc",14th Floor,1515 Broadway,New York,NY,10038,USA,
24X266,T005966,CONSTR: Center for Agriculture and Natural Resources,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,05/22/2012,12/30/2016,39252835.00,5315675.00,38615769.00,637066.00,8,N,0,"J. Kokolakis Contracting, Inc",Suite A,1500 Ocean Avenue,Bohemia,NY,11716,USA,
36X130,T005837,DESIGN: Rehabilitate 1st Floor- North,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/01/2012,01/07/2018,55056.29,0.00,55056.29,0.00,0,N,0,"Ashley McGraw Architects, P.C.",15th Floor,125 East Jefferson Street,Syracuse,NY,13202,USA,
09X373,T005351,DESIGN: Rehab Health Center,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,01/05/2011,12/31/2017,568611.26,100939.46,568611.26,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
13XB60,T005082,"DESIGN: Graduate Chemistry Rehab, Phase I",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,11/10/2005,02/25/2013,1615115.82,39783.27,1615115.82,0.00,6,N,0,"Facility Leaders In Arch/ Eng. Design, P.C.",Suite 304,One Atlantic Street,Stamford,CT,6901,USA,"304 Stamford
CT 06901"
01XA87,T006085,DESIGN: Construct ETEC Building - 2020,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,07/25/2014,03/19/2019,496081.07,0.00,496081.07,0.00,10,N,0,"Skanska Usa Building, Inc",1633 Littleton Road,,Parsippany,NJ,7054,USA,"1633 Littleton Road
Parsippany, NJ 07054
(40.847454, -74.459749)"
24X287,T005612,DESIGN: Wheeler Hall Interior Renovation - Commissioning,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/14/2011,04/13/2017,49241.19,36299.50,49241.19,0.00,0,N,0,"Genesys Engineering, P.C.",38 Maiden Lane,,Kingston,NY,12401,USA,"38 Maiden Lane
Kingston, NY 12401
(41.931949, -74.014516)"
30XB05,T006298,CONSTR: Replace Roof - Center For the Arts (CFA),Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/06/2017,09/13/2018,2269213.00,0.00,2269213.00,0.00,3,N,0,"Elmer W. Davis,Inc.",1217 Clifford Avenue,,Rochester,NY,14621,USA,"1217 Clifford Avenue
Rochester, NY 14621
(43.175451, -77.59065)"
151062,T006527,DESIGN: Renovate Silverman Hall,Active,Design and Construction/Maintenance,Authority Contract - Best Value,09/27/2019,10/18/2024,1541000.00,0.00,102772.70,1438227.30,23,N,6,"Ashley McGraw Architects, P.C.",15th Floor,125 East Jefferson Street,Syracuse,NY,13202,USA,
29X414,T005741,DESIGN: Rehabilitate Plaza Exterior Pathways,Active,Design and Construction/Maintenance,Authority Contract - Best Value,12/29/2010,12/15/2015,1079032.54,251853.91,1076430.81,2601.73,30,N,0,"Abel Bainnson Butz, LLP",Suite 1105,80 Eighth Avenue,New York,NY,10011,USA,"1105 New
York, NY 10011"
28X396,T005232,DESIGN: Replace Fire Alarm Systems - Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,02/05/2007,01/29/2012,142738.72,1404.65,142738.72,0.00,5,N,2,"Labella Associates, D.P.C",Suite 201,300 State Street,Rochester,NY,14614,USA,"201 Rochester
NY 14614"
12X289,D005495,CONSTR: Upgrade Recital Hall  - Dunn Hall ,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,03/19/2009,08/15/2010,662418.00,0.00,662418.00,0.00,6,N,0,"Northeast Construction Services, Inc.",609 Erie Boulevard West,,Syracuse,NY,13204,USA,"609 Erie Boulevard West
Syracuse, NY 13204
(43.049159, -76.164297)"
39X129,T005649,CONSTR: Reroof Kunsela Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/23/2010,08/15/2011,573150.00,0.00,573150.00,0.00,6,Y,2,Titan Roofing Inc,200 Tapley Street,,Springfield,MA,1104,USA,"200 Tapley Street
Springfield, MA 01104
(42.12659, -72.560744)"
251004,T006301,CONSTR: Upgrade Mechanical Systems Various Buildings,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/13/2017,02/22/2019,2748184.00,0.00,2748184.00,0.00,7,Y,1,"Wilkins Mechanical, Inc.",6923 Herman Road,,Syracuse,NY,13209,USA,"6923 Herman Road
Syracuse, NY 13209
(43.104671, -76.290603)"
31X229,T006472,CONSTR: Job Order Contracting - NYC Region,Active,Design and Construction/Maintenance,Authority Contract - Competitive Bid,01/29/2019,10/15/2020,89869.00,0.00,67631.00,22238.00,3,N,1,"Volmar Construction, Inc",4400 Second Avenue,,Brooklyn,NY,11232,USA,"4400 Second Avenue
Brooklyn, NY 11232
(40.652263, -74.013635)"
26X282,T005246,DESIGN: Replace Roof/Repair Masonry Greenly Lib ,Assigned to Vendor,Design and Construction/Maintenance,Authority Contract - Best Value,03/14/2007,03/11/2012,177732.78,0.00,177732.78,0.00,5,N,0,"Ward Associates, P.C.",1500 Lakeland Avenue,,Bohemia,NY,11716,USA,"1500 Lakeland Avenue
Bohemia, NY 11716
(40.780494, -73.1108)"
09X362,T006007,CONSTR: Replace HVAC/Domestic Hot Water Equipment -  Alumni Hall,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,12/18/2012,08/15/2014,1457404.00,0.00,1457404.00,0.00,7,N,0,"Murnane Building Contractors, Inc.",15 Wood Road,,Whitesboro,NY,13492,USA,"15 Wood Road
Whitesboro, NY 13492
(43.130254, -75.304019)"
14XB17,T006025,DESIGN: Replace Boilers BSB,Active,Design and Construction/Maintenance,Authority Contract - Best Value,10/15/2013,05/18/2022,4538030.00,0.00,3749402.85,788627.15,20,N,4,"RMF Engineering, Inc., P.C.",Suite 300,5520 Research Park Drive,Baltimore,MD,21228,USA,"300 Baltimore
MD 21228
(39.398837, -76.607341)"
27X230,T005606,"DESIGN: Commissioning - Student Activities Center Renovation, (STUAC), PH II",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,03/11/2011,09/30/2020,65819.46,20424.31,65819.46,0.00,0,N,0,"Genesys Engineering, P.C.",38 Maiden Lane,,Kingston,NY,12401,USA,"38 Maiden Lane
Kingston, NY 12401
(41.931949, -74.014516)"
06X337,T005197,DESIGN: Commissioning,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,12/04/2009,05/07/2016,95919.00,32849.47,139901.99,-43982.99,0,N,0,SmartEdge,4 Peuquet Parkway,,Tonawanda,NY,14150,USA,"4 Peuquet Parkway
Tonawanda, NY 14150
(43.01577, -78.865669)"
25X288,T005810,CONSTR: Child Care Center,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/25/2011,07/01/2013,4086672.00,307190.00,4086672.00,0.00,12,N,0,Jersen Construction Group,6 Industry Drive,,Waterford,NY,12188,USA,"6 Industry Drive
Waterford, NY 12188
(42.801896, -73.672153)"
02X388,T005368,"DESIGN: Site Infrastructure Improvements - Electric Distribution, Ph II",Closed,Design and Construction/Maintenance,Authority Contract - Best Value,04/06/2009,11/25/2016,495157.96,13826.72,495157.96,0.00,0,N,0,Lizardos Engineering Associates P.C.,200 Old Country Road,Suite 670,Mineola,NY,11501,USA,"200 Old Country Road
Mineola, NY 11501
(40.739137, -73.638174)"
36X118,T005351,DESIGN: Rehabilitate Plaza Building ph 1,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,10/13/2009,12/31/2017,589268.04,67744.39,589268.04,0.00,0,N,0,Architecture +,297 River Street,,Troy,NY,12180,USA,"297 River Street
Troy, NY 12180
(42.73246, -73.690162)"
21X244,T006252,"CONSTR: Water System Improvements, Phase 1B",Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,04/29/2016,06/27/2018,682309.00,0.00,682309.00,0.00,3,N,0,K G Power Systems,150 Laser Court,,Hauppauge,NY,11788,USA,"150 Laser Court
Hauppauge, NY 11788
(40.812147, -73.26429)"
21X165,T005199,DESIGN: Commissioning - Upgrade/ Rehab HVAC Various Buildings,Active,Design and Construction/Maintenance,Authority Contract - Best Value,01/14/2010,12/31/2013,89850.00,40093.21,82392.64,7457.36,0,N,0,"Syska Hennessy Group, Inc",14th Floor,1515 Broadway,New York,NY,10038,USA,
11X303,T005350,DESIGN: Replace Low Pressure Steam with Direct Bury HTW,Closed,Design and Construction/Maintenance,Authority Contract - Best Value,06/04/2008,10/01/2014,289230.70,15665.24,289230.70,0.00,0,N,0,"Jacobs Civil Consultants, Inc.",Suite 0603,2 Penn Plaza,New York,NY,10121,USA,"0603 New
York, NY 10121"
02X341,D005370,CONSTR: Swing Spaces - Various Buildings Phase 1,Closed,Design and Construction/Maintenance,Authority Contract - Competitive Bid,02/28/2008,07/01/2010,1997440.00,0.00,1997440.00,0.00,7,N,1,Testa Construction Inc.,12 Industrial Park Circle,,Rochester,NY,14624,USA,"12 Industrial Park Circle
Rochester, NY 14624
(43.130132, -77.737786)"
