Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2017","Tetanus, Cum 2017, flag","Tetanus, Cum 2016","Tetanus, Cum 2016, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2017","Varicella (chickenpox), Cum 2017, flag","Varicella (chickenpox), Cum 2016","Varicella (chickenpox), Cum 2016, flag",Location 1,Location 2
VIRGINIA,2017,27,,-,0,,0,,,-,1,,,-,2,,15,,18,,145,,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2017,27,,-,0,,0,,,-,1,,,-,4,,13,,96,,159,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2017,27,,-,0,,0,,,-,,-,,-,8,,23,,202,,229,,"NEW JERSEY
(40.104655, -74.386686)",
NEBRASKA,2017,27,,-,0,,1,,1,,,-,1,,0,,2,,16,,18,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,27,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2017,27,,-,0,,0,,,-,,-,1,,1,,6,,45,,36,,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,27,,-,0,,0,,,-,,-,,-,0,,2,,5,,4,,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,27,,-,0,,0,,,-,,-,,-,2,,15,,61,,73,,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2017,27,,-,0,,0,,,-,,-,,-,0,,8,,1,,39,,"LOUISIANA
(31.2931, -92.463284)",
MARYLAND,2017,27,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,27,,-,0,,0,,,-,,-,,-,3,,8,,71,,77,,"MISSOURI
(38.636168, -92.566292)",
W.N. CENTRAL,2017,27,,-,0,,1,,2,,,-,1,,14,,29,,328,,439,,,
ALABAMA,2017,27,,-,0,,1,,1,,,-,,-,1,,5,,29,,55,,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2017,27,,-,0,,0,,,-,2,,5,,23,,91,,635,,708,,"TEXAS
(31.827233, -99.423022)",
E.N. CENTRAL,2017,27,,-,0,,1,,1,,2,,7,,34,,56,,907,,1173,,,
NEW ENGLAND,2017,27,,-,0,,1,,1,,,-,4,,14,,24,,370,,493,,,
DIST. OF COL.,2017,27,,-,0,,0,,,-,,-,,-,0,,2,,1,,9,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,27,,-,0,,0,,,-,,-,,-,1,,5,,50,,75,,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2017,27,,-,0,,0,,,-,,-,,-,1,,5,,23,,20,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2017,27,,-,0,,0,,,-,,-,4,,4,,32,,96,,163,,"COLORADO
(38.841772, -106.132562)",
NORTH DAKOTA,2017,27,,-,0,,0,,,-,,-,,-,0,,3,,17,,29,,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2017,27,,-,0,,1,,2,,,-,,-,0,,3,,14,,24,,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,27,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
UTAH,2017,27,,-,0,,1,,1,,,-,,-,3,,10,,112,,155,,"UTAH
(39.359772, -111.584173)",
VERMONT,2017,27,,-,0,,0,,,-,,-,,-,1,,4,,23,,32,,"VERMONT
(43.622479, -72.51927)",
NEVADA,2017,27,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
INDIANA,2017,27,,-,0,,1,,,-,,-,,-,3,,10,,90,,105,,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2017,27,1,,0,,1,,2,,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2017,27,,-,0,,1,,1,,2,,4,,11,,21,,270,,384,,"PENNSYLVANIA
(40.789676, -77.858055)",
IDAHO,2017,27,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2017,27,,-,0,,0,,,-,,-,,-,0,,2,,12,,24,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALASKA,2017,27,,-,0,,0,,,-,1,,,-,1,,3,,23,,8,,"ALASKA
(64.836661, -147.738891)",
MOUNTAIN,2017,27,,-,0,,1,,4,,1,,6,,16,,39,,375,,565,,,
ILLINOIS,2017,27,,-,0,,0,,,-,1,,,-,7,,17,,165,,262,,"ILLINOIS
(40.477092, -88.993221)",
NEW HAMPSHIRE,2017,27,,-,0,,0,,,-,,-,,-,0,,5,,,-,46,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
KANSAS,2017,27,,-,0,,1,,1,,,-,,-,0,,11,,,-,108,,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2017,27,,-,0,,0,,,-,,-,,-,0,,3,,10,,4,,"DELAWARE
(39.008676, -75.574561)",
VIRGIN ISL.,2017,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2017,27,,-,0,,0,,,-,,-,,-,0,,6,,25,,26,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK CITY,2017,27,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2017,27,1,,0,,1,,3,,1,,,-,2,,6,,60,,52,,,
GEORGIA,2017,27,,-,0,,0,,,-,,-,,-,4,,18,,116,,87,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,27,,-,0,,0,,,-,,-,,-,1,,5,,20,,43,,"PUERTO RICO
(18.215692, -66.414655)",
S. ATLANTIC,2017,27,,-,0,,1,,4,,5,,7,,22,,46,,551,,779,,,
MINNESOTA,2017,27,,-,0,,0,,,-,,-,,-,7,,23,,212,,183,,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2017,27,,-,0,,0,,,-,1,,,-,0,,2,,,-,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2017,27,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2017,27,,-,0,,0,,,-,1,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2017,27,,-,0,,1,,1,,3,,7,,12,,28,,345,,456,,"FLORIDA
(28.915325, -81.922409)",
OHIO,2017,27,,-,0,,1,,,-,1,,6,,8,,23,,241,,251,,"OHIO
(40.056807, -82.405897)",
WISCONSIN,2017,27,,-,0,,0,,,-,,-,,-,5,,21,,129,,212,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2017,27,,-,0,,0,,,-,1,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
ARKANSAS,2017,27,,-,0,,1,,1,,,-,1,,2,,10,,50,,71,,"ARKANSAS
(34.748745, -92.275105)",
W.S. CENTRAL,2017,27,,-,0,,1,,1,,3,,6,,25,,96,,686,,818,,,
C.N.M.I.,2017,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MASSACHUSETTS,2017,27,,-,0,,0,,,-,,-,,-,4,,16,,172,,191,,"MASSACHUSETTS
(42.268546, -72.085064)",
AMER. SAMOA,2017,27,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MAINE,2017,27,,-,0,,1,,1,,,-,4,,4,,10,,100,,123,,"MAINE
(45.252223, -68.986647)",
E.S. CENTRAL,2017,27,,-,0,,1,,1,,2,,,-,1,,5,,31,,57,,,
NORTH CAROLINA,2017,27,,-,0,,1,,2,,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSISSIPPI,2017,28,,-,0,,0,,,-,1,,,-,0,,2,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
AMER. SAMOA,2017,28,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
TENNESSEE,2017,28,,-,0,,0,,,-,1,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
INDIANA,2017,28,,-,0,,1,,,-,,-,1,,3,,10,,93,,109,,"INDIANA
(39.76845, -86.156212)",
MOUNTAIN,2017,28,,-,0,,1,,4,,1,,3,,16,,39,,381,,576,,,
NEW MEXICO,2017,28,,-,0,,0,,,-,,-,,-,1,,6,,47,,36,,"NEW MEXICO
(34.520396, -106.244402)",
ALASKA,2017,28,,-,0,,0,,,-,1,,,-,1,,3,,26,,8,,"ALASKA
(64.836661, -147.738891)",
VIRGINIA,2017,28,,-,0,,0,,,-,1,,1,,2,,15,,26,,147,,"VIRGINIA
(37.542699, -78.45822)",
MISSOURI,2017,28,,-,0,,0,,,-,,-,,-,3,,8,,71,,79,,"MISSOURI
(38.636168, -92.566292)",
IOWA,2017,28,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2017,28,,-,0,,0,,,-,,-,,-,1,,5,,51,,77,,"CONNECTICUT
(41.544654, -72.651713)",
E.S. CENTRAL,2017,28,,-,0,,1,,1,,2,,,-,1,,5,,31,,61,,,
GUAM,2017,28,,-,0,,0,,,-,,-,,-,0,,5,,,-,7,,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2017,28,,-,0,,1,,3,,,-,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
AMER. SAMOA,2017,36,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
MID. ATLANTIC,2017,28,,-,0,,2,,3,,2,,7,,18,,36,,512,,627,,,
VIRGIN ISL.,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ILLINOIS,2017,28,,-,0,,0,,,-,1,,,-,7,,17,,169,,269,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH DAKOTA,2017,28,,-,0,,0,,,-,,-,,-,0,,2,,12,,24,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,28,,-,0,,1,,1,,,-,,-,0,,3,,18,,18,,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2017,28,,-,0,,1,,1,,,-,5,,4,,10,,105,,126,,"MAINE
(45.252223, -68.986647)",
PACIFIC,2017,28,,-,0,,1,,3,,1,,,-,2,,6,,66,,54,,,
SOUTH CAROLINA,2017,28,,-,0,,0,,,-,,-,,-,2,,15,,61,,75,,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2017,28,,-,0,,0,,,-,,-,,-,0,,8,,1,,40,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,28,,-,0,,0,,,-,,-,1,,0,,4,,24,,32,,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,28,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,28,,-,0,,1,,,-,1,,,-,8,,23,,241,,253,,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,28,,-,0,,0,,,-,,-,,-,8,,23,,233,,238,,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2017,28,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2017,28,,-,0,,1,,1,,3,,23,,25,,96,,710,,845,,,
FLORIDA,2017,28,,-,0,,1,,1,,3,,14,,12,,28,,364,,465,,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,28,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"NEVADA
(39.491833, -117.070159)",
S. ATLANTIC,2017,28,,-,0,,1,,5,,5,,15,,21,,47,,584,,797,,,
NEW HAMPSHIRE,2017,28,,-,0,,0,,,-,,-,,-,0,,5,,,-,49,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DELAWARE,2017,28,,-,0,,0,,,-,,-,,-,0,,3,,10,,5,,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2017,28,,-,0,,1,,1,,,-,1,,0,,8,,22,,48,,"MONTANA
(47.062617, -109.430168)",
UTAH,2017,28,,-,0,,1,,1,,,-,,-,3,,10,,112,,158,,"UTAH
(39.359772, -111.584173)",
E.N. CENTRAL,2017,28,,-,0,,1,,2,,2,,4,,34,,56,,921,,1206,,,
ARIZONA,2017,28,,-,0,,0,,,-,1,,2,,4,,13,,99,,164,,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2017,28,,-,0,,1,,1,,,-,2,,2,,10,,53,,72,,"ARKANSAS
(34.748745, -92.275105)",
NEW YORK,2017,28,,-,0,,1,,2,,,-,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
DIST. OF COL.,2017,28,,-,0,,0,,,-,,-,,-,0,,2,,1,,9,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALABAMA,2017,28,,-,0,,1,,1,,,-,,-,1,,5,,29,,59,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,28,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2017,28,,-,0,,0,,,-,,-,,-,0,,3,,17,,30,,"NORTH DAKOTA
(47.475879, -100.121011)",
W.N. CENTRAL,2017,28,,-,0,,1,,2,,,-,1,,14,,29,,331,,452,,,
HAWAII,2017,28,,-,0,,0,,,-,,-,,-,1,,5,,26,,21,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2017,28,,-,0,,0,,,-,,-,,-,4,,32,,96,,165,,"COLORADO
(38.841772, -106.132562)",
UNITED STATES,2017,28,,-,1,,3,,22,,16,,60,,156,,243,,3914,,5126,,,
RHODE ISLAND,2017,28,,-,0,,0,,,-,,-,1,,0,,6,,26,,26,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK CITY,2017,28,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,28,,-,0,,1,,2,,,-,,-,0,,3,,14,,25,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2017,28,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2017,28,,-,0,,1,,1,,,-,,-,0,,11,,,-,110,,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,28,,-,0,,0,,,-,,-,1,,7,,23,,213,,191,,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,28,,-,0,,0,,,-,,-,,-,4,,18,,122,,91,,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2017,28,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2017,28,,-,0,,0,,,-,,-,,-,4,,16,,172,,198,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW ENGLAND,2017,28,,-,0,,1,,1,,,-,7,,14,,24,,378,,508,,,
TEXAS,2017,28,,-,0,,0,,,-,2,,21,,23,,91,,656,,733,,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2017,28,,-,0,,1,,1,,2,,7,,11,,21,,279,,389,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2017,28,,-,0,,0,,,-,,-,3,,5,,21,,134,,219,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,28,,-,0,,0,,,-,,-,,-,0,,2,,5,,5,,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,28,,-,0,,0,,,-,,-,,-,1,,5,,20,,43,,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,28,,-,0,,0,,,-,1,,,-,0,,2,,,-,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,28,,-,0,,1,,2,,,-,,-,9,,21,,284,,356,,"MICHIGAN
(44.66399, -84.711206)",
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,28,,-,0,,0,,,-,1,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,29,,-,0,,0,,,-,,-,,-,0,,8,,1,,43,,"LOUISIANA
(31.2931, -92.463284)",
RHODE ISLAND,2017,29,,-,0,,0,,,-,,-,,-,0,,6,,26,,32,,"RHODE ISLAND
(41.707447, -71.522488)",
FLORIDA,2017,29,,-,0,,1,,1,,3,,16,,12,,28,,381,,470,,"FLORIDA
(28.915325, -81.922409)",
MOUNTAIN,2017,29,,-,0,,1,,4,,1,,4,,16,,39,,387,,579,,,
NORTH DAKOTA,2017,29,,-,0,,0,,,-,,-,,-,0,,3,,17,,31,,"NORTH DAKOTA
(47.475879, -100.121011)",
PUERTO RICO,2017,29,,-,0,,0,,,-,,-,,-,1,,5,,20,,47,,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2017,29,,-,0,,0,,,-,1,,,-,0,,2,,,-,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,29,,-,0,,0,,,-,,-,,-,0,,3,,10,,7,,"DELAWARE
(39.008676, -75.574561)",
W.S. CENTRAL,2017,29,,-,0,,1,,1,,3,,16,,25,,96,,729,,872,,,
S. ATLANTIC,2017,29,,-,0,,1,,6,,5,,17,,22,,48,,622,,815,,,
WASHINGTON,2017,29,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2017,29,,-,0,,0,,,-,1,,1,,7,,17,,179,,273,,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2017,29,,-,0,,1,,1,,,-,,-,0,,11,,,-,113,,"KANSAS
(38.345528, -98.201847)",
IDAHO,2017,29,,-,0,,1,,1,,,-,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
DIST. OF COL.,2017,29,,-,0,,0,,,-,,-,,-,0,,2,,11,,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2017,29,,-,0,,1,,2,,1,,,N,0,,0,,,N,,N,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2017,29,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2017,29,,-,0,,0,,,-,,-,,-,2,,15,,66,,77,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2017,29,,-,0,,1,,1,,,-,,-,2,,10,,53,,76,,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2017,29,,-,0,,0,,,-,,-,,-,1,,6,,47,,36,,"NEW MEXICO
(34.520396, -106.244402)",
NEW ENGLAND,2017,29,,-,0,,1,,1,,,-,9,,13,,24,,390,,523,,,
PACIFIC,2017,29,,-,0,,1,,3,,1,,1,,2,,6,,70,,57,,,
MISSISSIPPI,2017,29,,-,0,,0,,,-,1,,1,,0,,2,,3,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,29,,-,0,,0,,,-,1,,3,,4,,13,,102,,165,,"ARIZONA
(34.869712, -111.760902)",
KENTUCKY,2017,29,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"KENTUCKY
(37.64591, -84.774043)",
ALASKA,2017,29,,-,0,,0,,,-,1,,1,,1,,3,,27,,9,,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2017,29,,-,0,,1,,1,,,-,,-,0,,3,,18,,18,,"NEBRASKA
(41.640503, -99.367122)",
E.N. CENTRAL,2017,29,,-,0,,1,,2,,2,,5,,34,,56,,944,,1222,,,
E.S. CENTRAL,2017,29,,-,0,,1,,1,,2,,1,,1,,5,,32,,63,,,
CONNECTICUT,2017,29,,-,0,,0,,,-,,-,,-,1,,5,,54,,78,,"CONNECTICUT
(41.544654, -72.651713)",
INDIANA,2017,29,,-,0,,1,,,-,,-,,-,3,,10,,93,,110,,"INDIANA
(39.76845, -86.156212)",
