Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
WEST NORTH CENTRAL,2020,14,,-,0,,,-,,-,4,,103,,106,,361,,,-,25,,66,,166,,,WEST NORTH CENTRAL,20201420,
MASSACHUSETTS,2020,14,1,,0,,1,,,-,,-,8,,21,,19,,,-,12,,51,,49,,MASSACHUSETTS,,20201405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,14,,-,0,,,-,,-,2,,52,,183,,221,,8,,39,,201,,186,,,MOUNTAIN,20201448,
INDIANA,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,14,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,1,,1,,,NON-US RESIDENTS,20201469,
US TERRITORIES,2020,14,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201463,
UTAH,2020,16,,-,0,,,-,,-,,-,15,,56,,31,,,-,4,,17,,15,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,0,,,-,,-,1,,21,,64,,99,,,-,13,,53,,72,,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,1,,5,,13,,10,,,-,3,,6,,4,,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,0,,,-,,-,,-,13,,2,,140,,,-,8,,3,,33,,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
MAINE,2020,16,,-,0,,,-,,-,,-,2,,1,,8,,,-,2,,2,,4,,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,0,,,-,,-,1,,17,,52,,62,,1,,23,,49,,51,,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,,-,0,,,-,,-,3,,13,,51,,51,,1,,17,,102,,85,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,0,,,-,,-,,-,31,,66,,110,,,-,9,,29,,43,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,-,0,,,-,,-,,-,11,,2,,41,,,-,7,,,-,9,,IDAHO,,20201651,POINT (-114.659366 44.389073)
MICHIGAN,2020,16,,-,0,,,-,,-,,-,12,,24,,92,,,-,12,,44,,52,,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,,-,0,,,-,,-,,-,10,,25,,52,,,-,15,,106,,111,,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,,-,0,,,-,,-,,-,27,,66,,195,,,-,55,,236,,350,,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,,-,0,,,-,,-,1,,12,,10,,25,,,-,14,,17,,30,,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,0,,,-,,-,,-,5,,7,,20,,,-,9,,20,,47,,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,0,,,-,,-,,-,20,,3,,22,,,-,1,,4,,4,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,0,,,-,,-,,-,6,,2,,7,,,-,1,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
MISSOURI,2020,16,,-,0,,,-,,-,,-,20,,32,,76,,,-,7,,14,,30,,MISSOURI,,20201624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,16,,-,0,,,-,,-,9,,64,,215,,396,,3,,76,,399,,758,,,MIDDLE ATLANTIC,20201609,
CALIFORNIA,2020,16,,-,0,,,-,,-,,-,97,,262,,553,,2,,100,,458,,877,,CALIFORNIA,,20201659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,16,,-,0,,,-,,-,,-,4,,1,,11,,,-,2,,,-,4,,WEST VIRGINIA,,20201637,POINT (-80.613729 38.642579)
FLORIDA,2020,16,,-,0,,,-,,-,,-,33,,136,,195,,,-,42,,202,,444,,FLORIDA,,20201631,POINT (-82.420978 28.260731)
MONTANA,2020,16,,-,0,,,-,,-,,-,4,,10,,19,,,-,2,,4,,4,,MONTANA,,20201652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,16,,-,0,,,-,,-,1,,103,,139,,445,,,-,25,,72,,185,,,WEST NORTH CENTRAL,20201620,
MASSACHUSETTS,2020,16,,-,0,,,-,,-,,-,8,,22,,26,,,-,12,,51,,56,,MASSACHUSETTS,,20201605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,16,,-,0,,,-,,-,4,,52,,197,,278,,1,,39,,214,,219,,,MOUNTAIN,20201648,
INDIANA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201616,POINT (-86.2818 39.919991)
US TERRITORIES,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201663,
TOTAL,2020,17,,-,0,,,-,,-,23,,576,,1819,,3817,,18,,589,,3374,,4670,,,TOTAL,20201770,
US RESIDENTS,2020,17,,-,0,,,-,,-,23,,576,,1819,,3815,,18,,589,,3373,,4669,,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,0,,,-,,-,,-,3,,6,,9,,,-,2,,,-,8,,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,,-,0,,,-,,-,3,,40,,88,,114,,1,,15,,63,,89,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
PACIFIC,2020,17,,-,0,,,-,,-,3,,119,,366,,807,,3,,107,,625,,1112,,,PACIFIC,20201757,
NEBRASKA,2020,17,,-,0,,,-,,-,,-,12,,32,,34,,,-,6,,13,,19,,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,17,,-,0,,,-,,-,,-,9,,4,,10,,,-,5,,5,,7,,NORTH DAKOTA,,20201726,POINT (-100.46931 47.446305)
NEVADA,2020,17,,-,0,,,-,,-,,-,4,,7,,8,,,-,6,,12,,18,,NEVADA,,20201753,POINT (-114.916992 39.283294)
ILLINOIS,2020,17,,-,0,,,-,,-,,-,23,,59,,129,,,-,15,,89,,134,,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
IOWA,2020,17,,-,0,,,-,,-,,-,35,,50,,111,,,-,6,,33,,23,,IOWA,,20201721,POINT (-93.500061 42.074659)
ALASKA,2020,17,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,3,,ALASKA,,20201758,POINT (-151.631889 63.631126)
WASHINGTON,2020,17,,-,0,,,-,,-,,-,16,,41,,112,,1,,13,,57,,91,,WASHINGTON,,20201762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,17,,-,0,,,-,,-,,-,16,,71,,107,,2,,19,,93,,131,,,NEW ENGLAND,20201702,
RHODE ISLAND,2020,17,,-,0,,,-,,-,,-,4,,6,,9,,,-,5,,5,,23,,RHODE ISLAND,,20201707,POINT (-71.534637 41.572574)
OREGON,2020,17,,-,0,,,-,,-,1,,16,,48,,82,,,-,6,,39,,67,,OREGON,,20201761,POINT (-120.605279 43.940449)
TOTAL,2020,15,,-,0,,,-,,-,22,,575,,1622,,3222,,24,,574,,3006,,4156,,,TOTAL,20201570,
US RESIDENTS,2020,15,,-,0,,,-,,-,22,,575,,1622,,3221,,24,,574,,3005,,4155,,,US RESIDENTS,20201501,
NEW HAMPSHIRE,2020,15,,-,0,,,-,,-,1,,3,,6,,7,,,-,2,,,-,7,,NEW HAMPSHIRE,,20201506,POINT (-71.57139 43.680429)
NEW YORK,2020,15,,-,0,,,-,,-,2,,40,,79,,95,,1,,15,,60,,76,,NEW YORK,,20201511,POINT (-75.59655 42.921241)
PACIFIC,2020,15,,-,0,,,-,,-,3,,119,,339,,682,,2,,107,,505,,1014,,,PACIFIC,20201557,
WEST SOUTH CENTRAL,2020,15,,-,0,,,-,,-,3,,91,,130,,268,,3,,346,,767,,623,,,WEST SOUTH CENTRAL,20201543,
NEBRASKA,2020,15,,-,0,,,-,,-,4,,12,,32,,28,,1,,6,,13,,17,,NEBRASKA,,20201525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,15,,-,0,,,-,,-,,-,31,,62,,280,,2,,44,,268,,181,,,EAST SOUTH CENTRAL,20201538,
NORTH DAKOTA,2020,15,,-,0,,,-,,-,,-,9,,3,,10,,,-,5,,5,,7,,NORTH DAKOTA,,20201526,POINT (-100.46931 47.446305)
NEVADA,2020,15,,-,0,,,-,,-,,-,4,,5,,7,,,-,6,,13,,15,,NEVADA,,20201553,POINT (-114.916992 39.283294)
ILLINOIS,2020,15,,-,0,,,-,,-,,-,23,,55,,106,,,-,16,,76,,108,,ILLINOIS,,20201515,POINT (-89.148632 40.124144)
IOWA,2020,15,,-,0,,,-,,-,,-,35,,43,,92,,,-,6,,32,,19,,IOWA,,20201521,POINT (-93.500061 42.074659)
TEXAS,2020,15,,-,0,,,-,,-,1,,82,,94,,216,,,-,343,,629,,517,,TEXAS,,20201547,POINT (-99.317341 31.447238)
ALASKA,2020,15,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,3,,ALASKA,,20201558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,15,,-,0,,,-,,-,,-,2,,1,,6,,,-,4,,4,,26,,DISTRICT OF COLUMBIA,,20201530,POINT (-77.016275 38.904785)
WASHINGTON,2020,15,,-,0,,,-,,-,,-,16,,41,,95,,1,,13,,49,,87,,WASHINGTON,,20201562,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,15,,-,0,,,-,,-,2,,16,,58,,91,,,-,19,,89,,113,,,NEW ENGLAND,20201502,
RHODE ISLAND,2020,15,,-,0,,,-,,-,,-,4,,6,,9,,,-,5,,5,,22,,RHODE ISLAND,,20201507,POINT (-71.534637 41.572574)
OREGON,2020,15,,-,0,,,-,,-,3,,16,,46,,69,,,-,6,,36,,62,,OREGON,,20201561,POINT (-120.605279 43.940449)
DELAWARE,2020,15,,-,0,,,-,,-,,-,4,,2,,6,,,-,2,,4,,6,,DELAWARE,,20201529,POINT (-75.452394 38.994926)
ALABAMA,2020,15,,-,0,,,-,,-,,-,8,,9,,30,,1,,35,,186,,67,,ALABAMA,,20201539,POINT (-86.844516 32.756889)
KANSAS,2020,15,,-,0,,,-,,-,,-,12,,10,,44,,,-,5,,4,,18,,KANSAS,,20201522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,15,,-,0,,,-,,-,,-,20,,37,,73,,,-,16,,63,,90,,NORTH CAROLINA,,20201534,POINT (-79.130883 35.52603)
GUAM,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201566,POINT (144.653198 13.3532)
NEW JERSEY,2020,15,,-,0,,,-,,-,,-,3,,,-,11,,,-,15,,37,,229,,NEW JERSEY,,20201510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,15,,-,0,,,-,,-,,-,7,,4,,22,,,-,13,,23,,17,,NEW MEXICO,,20201554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,15,,-,0,,,-,,-,3,,72,,221,,402,,3,,36,,220,,336,,,EAST NORTH CENTRAL,20201514,
TENNESSEE,2020,15,,-,0,,,-,,-,,-,16,,44,,105,,1,,10,,59,,36,,TENNESSEE,,20201542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,15,,-,0,,,-,,-,1,,9,,13,,36,,,-,7,,25,,25,,CONNECTICUT,,20201503,POINT (-72.738288 41.575155)
MARYLAND,2020,15,,-,0,,,-,,-,,-,10,,31,,59,,1,,8,,46,,71,,MARYLAND,,20201533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,15,,-,0,,,-,,-,,-,7,,16,,23,,1,,15,,18,,25,,SOUTH CAROLINA,,20201535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,15,,-,0,,,-,,-,,-,43,,24,,14,,3,,11,,90,,23,,OKLAHOMA,,20201546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201565,POINT (145.725693 15.1834)
OHIO,2020,15,,-,0,,,-,,-,1,,29,,76,,109,,2,,21,,71,,139,,OHIO,,20201518,POINT (-82.70936 40.415534)
MINNESOTA,2020,15,,-,0,,,-,,-,,-,37,,,-,143,,,-,13,,,-,85,,MINNESOTA,,20201523,POINT (-94.198308 46.349153)
LOUISIANA,2020,15,,-,0,,,-,,-,,-,6,,3,,19,,,-,32,,32,,55,,LOUISIANA,,20201545,POINT (-91.840238 30.921314)
HAWAII,2020,15,,-,0,,,-,,-,,-,2,,2,,2,,,-,4,,6,,26,,HAWAII,,20201560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,15,,-,0,,,-,,-,3,,86,,297,,472,,6,,77,,482,,790,,,SOUTH ATLANTIC,20201528,
PENNSYLVANIA,2020,15,,-,0,,,-,,-,,-,26,,59,,81,,,-,10,,61,,81,,PENNSYLVANIA,,20201513,POINT (-77.838886 40.896694)
UTAH,2020,15,,-,0,,,-,,-,,-,15,,55,,27,,1,,4,,17,,14,,UTAH,,20201555,POINT (-111.678222 39.323779)
COLORADO,2020,15,,-,0,,,-,,-,1,,21,,63,,91,,,-,13,,53,,67,,COLORADO,,20201550,POINT (-105.547832 38.998552)
VERMONT,2020,15,,-,0,,,-,,-,,-,5,,11,,9,,,-,3,,6,,4,,VERMONT,,20201508,POINT (-72.662695 44.075252)
KENTUCKY,2020,15,,-,0,,,-,,-,,-,13,,2,,128,,,-,8,,3,,32,,KENTUCKY,,20201540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201567,POINT (-66.414655 18.215692)
MAINE,2020,15,,-,0,,,-,,-,,-,2,,1,,8,,,-,2,,2,,4,,MAINE,,20201504,POINT (-69.06137 45.117911)
VIRGINIA,2020,15,,-,0,,,-,,-,1,,17,,51,,59,,3,,23,,48,,44,,VIRGINIA,,20201536,POINT (-78.666382 37.510861)
ARIZONA,2020,15,,-,0,,,-,,-,1,,13,,47,,43,,3,,17,,98,,78,,ARIZONA,,20201549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201564,
WISCONSIN,2020,15,,-,0,,,-,,-,1,,31,,66,,100,,,-,9,,29,,40,,WISCONSIN,,20201519,POINT (-89.732969 44.639954)
IDAHO,2020,15,,-,0,,,-,,-,,-,11,,2,,36,,,-,7,,,-,8,,IDAHO,,20201551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201568,POINT (-64.840836 18.060868)
MICHIGAN,2020,15,,-,0,,,-,,-,1,,12,,24,,87,,1,,12,,44,,49,,MICHIGAN,,20201517,POINT (-85.730977 44.874798)
GEORGIA,2020,15,,-,0,,,-,,-,,-,10,,25,,51,,,-,15,,106,,100,,GEORGIA,,20201532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,15,,-,0,,,-,,-,,-,27,,66,,183,,2,,55,,236,,332,,,NEW YORK CITY,20201512,
ARKANSAS,2020,15,,-,0,,,-,,-,2,,12,,9,,19,,,-,14,,16,,28,,ARKANSAS,,20201544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,15,,-,0,,,-,,-,,-,5,,7,,17,,,-,9,,20,,46,,MISSISSIPPI,,20201541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,15,,-,0,,,-,,-,,-,20,,3,,19,,,-,1,,4,,4,,SOUTH DAKOTA,,20201527,POINT (-100.230491 44.43614)
WYOMING,2020,15,,-,0,,,-,,-,,-,6,,2,,6,,,-,1,,,-,,-,WYOMING,,20201556,POINT (-107.55145 42.999627)
MISSOURI,2020,15,,-,0,,,-,,-,,-,20,,32,,70,,,-,7,,14,,28,,MISSOURI,,20201524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,15,,-,0,,,-,,-,2,,64,,204,,370,,3,,76,,394,,718,,,MIDDLE ATLANTIC,20201509,
CALIFORNIA,2020,15,,-,0,,,-,,-,,-,97,,250,,516,,1,,100,,414,,836,,CALIFORNIA,,20201559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,15,,-,0,,,-,,-,,-,4,,1,,11,,,-,2,,,-,4,,WEST VIRGINIA,,20201537,POINT (-80.613729 38.642579)
FLORIDA,2020,15,,-,0,,,-,,-,2,,33,,133,,184,,1,,42,,193,,424,,FLORIDA,,20201531,POINT (-82.420978 28.260731)
MONTANA,2020,15,,-,0,,,-,,-,,-,4,,10,,18,,,-,2,,4,,3,,MONTANA,,20201552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,15,,-,0,,,-,,-,4,,103,,123,,406,,1,,25,,72,,178,,,WEST NORTH CENTRAL,20201520,
MASSACHUSETTS,2020,15,,-,0,,,-,,-,,-,8,,21,,22,,,-,12,,51,,51,,MASSACHUSETTS,,20201505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,15,,-,0,,,-,,-,2,,52,,188,,250,,4,,39,,208,,202,,,MOUNTAIN,20201548,
INDIANA,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201516,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,15,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,1,,1,,,NON-US RESIDENTS,20201569,
US TERRITORIES,2020,15,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201563,
DELAWARE,2020,17,,-,0,,,-,,-,,-,4,,2,,7,,,-,2,,4,,8,,DELAWARE,,20201729,POINT (-75.452394 38.994926)
ALABAMA,2020,17,,-,0,,,-,,-,,-,8,,9,,34,,,-,35,,200,,76,,ALABAMA,,20201739,POINT (-86.844516 32.756889)
KANSAS,2020,17,,-,0,,,-,,-,,-,12,,26,,55,,,-,5,,4,,18,,KANSAS,,20201722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,17,,-,0,,,-,,-,,-,20,,40,,88,,,-,16,,66,,102,,NORTH CAROLINA,,20201734,POINT (-79.130883 35.52603)
GUAM,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201766,POINT (144.653198 13.3532)
NEW JERSEY,2020,17,,-,0,,,-,,-,,-,3,,,-,11,,,-,15,,37,,251,,NEW JERSEY,,20201710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,17,,-,0,,,-,,-,,-,7,,5,,24,,1,,13,,25,,15,,NEW MEXICO,,20201754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,17,,-,0,,,-,,-,4,,72,,232,,485,,,-,36,,238,,389,,,EAST NORTH CENTRAL,20201714,
TENNESSEE,2020,17,,-,0,,,-,,-,2,,16,,49,,120,,,-,10,,60,,40,,TENNESSEE,,20201742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,17,,-,0,,,-,,-,,-,9,,13,,41,,,-,7,,26,,27,,CONNECTICUT,,20201703,POINT (-72.738288 41.575155)
MARYLAND,2020,17,,-,0,,,-,,-,,-,10,,33,,63,,,-,8,,46,,76,,MARYLAND,,20201733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,17,,-,0,,,-,,-,,-,7,,16,,25,,3,,15,,21,,26,,SOUTH CAROLINA,,20201735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,17,,-,0,,,-,,-,1,,43,,25,,15,,2,,11,,92,,25,,OKLAHOMA,,20201746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201765,POINT (145.725693 15.1834)
OHIO,2020,17,,-,0,,,-,,-,2,,29,,77,,139,,,-,21,,72,,155,,OHIO,,20201718,POINT (-82.70936 40.415534)
MINNESOTA,2020,17,,-,0,,,-,,-,,-,37,,,-,167,,,-,13,,,-,94,,MINNESOTA,,20201723,POINT (-94.198308 46.349153)
LOUISIANA,2020,17,,-,0,,,-,,-,,-,6,,17,,21,,,-,33,,94,,66,,LOUISIANA,,20201745,POINT (-91.840238 30.921314)
HAWAII,2020,17,,-,0,,,-,,-,,-,2,,2,,2,,1,,4,,15,,29,,HAWAII,,20201760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,17,,-,0,,,-,,-,5,,87,,326,,544,,5,,77,,535,,899,,,SOUTH ATLANTIC,20201728,
PENNSYLVANIA,2020,17,,-,0,,,-,,-,,-,26,,64,,93,,1,,10,,64,,86,,PENNSYLVANIA,,20201713,POINT (-77.838886 40.896694)
UTAH,2020,17,,-,0,,,-,,-,,-,15,,56,,32,,,-,4,,17,,16,,UTAH,,20201755,POINT (-111.678222 39.323779)
COLORADO,2020,17,,-,0,,,-,,-,1,,21,,65,,109,,1,,13,,55,,73,,COLORADO,,20201750,POINT (-105.547832 38.998552)
VERMONT,2020,17,,-,0,,,-,,-,,-,5,,13,,10,,,-,3,,6,,4,,VERMONT,,20201708,POINT (-72.662695 44.075252)
KENTUCKY,2020,17,,-,0,,,-,,-,,-,13,,25,,148,,,-,8,,16,,35,,KENTUCKY,,20201740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201767,POINT (-66.414655 18.215692)
MAINE,2020,17,,-,0,,,-,,-,,-,2,,2,,8,,,-,2,,2,,5,,MAINE,,20201704,POINT (-69.06137 45.117911)
VIRGINIA,2020,17,,-,0,,,-,,-,2,,17,,50,,68,,,-,23,,47,,55,,VIRGINIA,,20201736,POINT (-78.666382 37.510861)
ARIZONA,2020,17,,-,0,,,-,,-,1,,13,,52,,56,,,-,17,,103,,91,,ARIZONA,,20201749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201764,
WISCONSIN,2020,17,,-,0,,,-,,-,2,,31,,72,,121,,,-,9,,30,,48,,WISCONSIN,,20201719,POINT (-89.732969 44.639954)
IDAHO,2020,17,,-,0,,,-,,-,,-,11,,5,,44,,,-,7,,,-,10,,IDAHO,,20201751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201768,POINT (-64.840836 18.060868)
MICHIGAN,2020,17,,-,0,,,-,,-,,-,12,,24,,96,,,-,12,,47,,52,,MICHIGAN,,20201717,POINT (-85.730977 44.874798)
GEORGIA,2020,17,,-,0,,,-,,-,,-,10,,29,,57,,1,,16,,136,,119,,GEORGIA,,20201732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,17,,-,0,,,-,,-,,-,27,,80,,220,,1,,55,,237,,361,,,NEW YORK CITY,20201712,
ARKANSAS,2020,17,,-,0,,,-,,-,,-,12,,10,,27,,1,,14,,17,,35,,ARKANSAS,,20201744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,17,,-,0,,,-,,-,,-,5,,7,,22,,,-,9,,20,,50,,MISSISSIPPI,,20201741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,17,,-,0,,,-,,-,,-,20,,3,,26,,,-,1,,4,,4,,SOUTH DAKOTA,,20201727,POINT (-100.230491 44.43614)
WYOMING,2020,17,,-,0,,,-,,-,,-,6,,2,,8,,,-,1,,,-,,-,WYOMING,,20201756,POINT (-107.55145 42.999627)
MISSOURI,2020,17,,-,0,,,-,,-,,-,20,,32,,85,,,-,7,,14,,33,,MISSOURI,,20201724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,17,,-,0,,,-,,-,3,,64,,232,,438,,3,,76,,401,,787,,,MIDDLE ATLANTIC,20201709,
CALIFORNIA,2020,17,,-,0,,,-,,-,2,,97,,275,,611,,1,,100,,514,,922,,CALIFORNIA,,20201759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,17,,-,0,,,-,,-,,-,5,,13,,15,,,-,2,,1,,4,,WEST VIRGINIA,,20201737,POINT (-80.613729 38.642579)
FLORIDA,2020,17,,-,0,,,-,,-,3,,33,,142,,215,,1,,42,,210,,481,,FLORIDA,,20201731,POINT (-82.420978 28.260731)
MONTANA,2020,17,,-,0,,,-,,-,,-,4,,10,,20,,,-,2,,3,,4,,MONTANA,,20201752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,17,,-,0,,,-,,-,,-,103,,147,,488,,,-,25,,73,,198,,,WEST NORTH CENTRAL,20201720,
MASSACHUSETTS,2020,17,,-,0,,,-,,-,,-,8,,31,,30,,2,,12,,54,,64,,MASSACHUSETTS,,20201705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,17,,-,0,,,-,,-,2,,52,,202,,301,,2,,39,,215,,227,,,MOUNTAIN,20201748,
INDIANA,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,17,,-,0,,,-,,-,,-,1,,,-,2,,,-,1,,1,,1,,,NON-US RESIDENTS,20201769,
US TERRITORIES,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201763,
TOTAL,2020,18,,-,1,,,-,,-,13,,576,,1862,,4138,,9,,571,,3180,,4515,,,TOTAL,20201870,
US RESIDENTS,2020,18,,-,1,,,-,,-,13,,576,,1862,,4136,,9,,571,,3179,,4514,,,US RESIDENTS,20201801,
NEW HAMPSHIRE,2020,18,,-,0,,,-,,-,,-,3,,8,,10,,,-,2,,,-,8,,NEW HAMPSHIRE,,20201806,POINT (-71.57139 43.680429)
NEW YORK,2020,18,,-,0,,,-,,-,,-,36,,88,,125,,1,,15,,64,,95,,NEW YORK,,20201811,POINT (-75.59655 42.921241)
