School_Year,Vendor_Name,Vehicle_TypeDescription,Active_Vehicles
2018-2019,ACADEMY EXPRESS LLC,Motor Coach Bus,124
2018-2019,"BORO TRANSIT, INC.",Hydraulic Lift,44
2018-2019,"BORO TRANSIT, INC.",Mini-Wagon,38
2018-2019,"BORO TRANSIT, INC.",Ramp-Wagon,109
2018-2019,"BORO TRANSIT, INC.",Standard Bus (GE),207
2018-2019,"BORO TRANSIT, INC.",Standard Bus (SE),191
2018-2019,"BORO TRANSIT, INC.",Type A or B Flex Vehicle,66
2018-2019,CAREFUL BUS SERVICE INC (B2192),Type C or D Flex,12
2018-2019,CAREFUL BUS,Hydraulic Lift,16
2018-2019,CAREFUL BUS,Mini-Wagon,96
2018-2019,CAREFUL BUS,Type C or D Flex,2
2018-2019,CHILDREN`S TRANS INC. (B2321),Non-Wheelchair Accessible Alternative (NWC),16
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Hydraulic Lift,36
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Mini-Wagon,87
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Ramp-Wagon,2
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Standard Bus (GE),13
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Standard Bus (SE),45
2018-2019,"CONSOLIDATED BUS TRANSIT, INC.",Type A or B Flex Vehicle,45
2018-2019,"DON THOMAS BUSES, INC. (B2321)",Mini-Wagon,111
2018-2019,"DON THOMAS BUSES, INC.",Mini-Wagon,25
2018-2019,"DON THOMAS BUSES, INC.",Type A or B Flex Vehicle,1
2018-2019,E-Z BUS LLC (B2321),Non-Wheelchair Accessible Alternative (NWC),10
2018-2019,EMPIRE CHARTER SERVICE INC,Mini-Wagon,13
2018-2019,EMPIRE CHARTER SERVICE INC,Standard Bus (SE),42
2018-2019,EMPIRE STATE BUS CORP.,Mini-Wagon,8
2018-2019,EMPIRE STATE BUS CORP.,Standard Bus (GE),6
2018-2019,EMPIRE STATE BUS CORP.,Standard Bus (SE),19
2018-2019,FIRST STEPS TRANS INC. (B2192),Type A or B Flex Vehicle,127
2018-2019,FIRST STEPS TRANS INC. (B2192),Wheelchair Accessible Alternative (WC),5
2018-2019,"FIRST STEPS TRANS, INC",Mini-Wagon,15
2018-2019,"FIRST STEPS TRANS, INC",Type A or B Flex Vehicle,3
2018-2019,FORTUNA BUS COMPANY,Mini-Wagon,37
2018-2019,FORTUNA BUS COMPANY,Standard Bus (SE),1
2018-2019,FORTUNA BUS COMPANY,Wheelchair Accessible Alternative (WC),2
2018-2019,G.V.C. LTD. (B2192),Ramp-Wagon,2
2015-2016,ACADEMY EXPRESS LLC,Motor Coach Bus,22
2015-2016,ACME BUS CORP. (B2321),Mini-Wagon,71
2018-2019,G.V.C. LTD. (B2192),Standard Bus (SE),1
2018-2019,G.V.C. LTD. (B2192),Type A or B Flex Vehicle,17
2018-2019,"G.V.C., LTD.",Hydraulic Lift,6
2018-2019,"G.V.C., LTD.",Mini-Wagon,65
2018-2019,"G.V.C., LTD.",Ramp-Wagon,1
2019-2020,ALLIED TRANSIT CORP.,Mini-Wagon,46
2018-2019,"G.V.C., LTD.",Standard Bus (GE),10
2018-2019,"G.V.C., LTD.",Standard Bus (SE),34
2018-2019,"G.V.C., LTD.",Type A or B Flex Vehicle,2
2018-2019,"GRANDPA`S BUS CO., INC.",Mini-Wagon,6
2018-2019,"GRANDPA`S BUS CO., INC.",Standard Bus (GE),275
2018-2019,"GRANDPA`S BUS CO., INC.",Standard Bus (SE),21
2018-2019,HAPPY CHILD TRANS LLC (B2192),Standard Bus (SE),13
2018-2019,HAPPY CHILD TRANS LLC (B2192),Type A or B Flex Vehicle,25
2018-2019,HAPPY DAY TRANSIT,Mini-Wagon,64
2018-2019,HOYT TRANSPORTATION CORP.,Mini-Wagon,140
2018-2019,HOYT TRANSPORTATION CORP.,Ramp-Wagon,109
2018-2019,HOYT TRANSPORTATION CORP.,Type A or B Flex Vehicle,34
2018-2019,HOYT TRANSPORTATION CORP.,Wheelchair Accessible Alternative (WC),1
2018-2019,IC BUS INC. (PRE-K),Hydraulic Lift,3
2018-2019,IC BUS INC. (PRE-K),Mini-Wagon,53
2018-2019,IC BUS INC. (PRE-K),Ramp-Wagon,3
2018-2019,IC BUS INC.,Mini-Wagon,89
2018-2019,J & R TOURS LTD,Motor Coach Bus,12
2018-2019,JOFAZ TRANSPORTATION INC.,Mini-Wagon,62
2018-2019,JOFAZ TRANSPORTATION INC.,Standard Bus (GE),274
2018-2019,JOFAZ TRANSPORTATION INC.,Standard Bus (SE),48
2018-2019,L & M BUS CORP (A),Hydraulic Lift,12
2018-2019,L & M BUS CORP (A),Standard Bus (SE),6
2018-2019,L & M BUS CORP (A),Type A or B Flex Vehicle,57
2018-2019,L & M BUS CORP. (B2192),Standard Bus (SE),64
2018-2019,L & M BUS CORP. (B2321),Hydraulic Lift,6
2018-2019,L & M BUS CORP. (B2321),Type C or D Flex,2
2018-2019,L & M BUS CORP.,Mini-Wagon,153
2018-2019,L & M BUS CORP.,Ramp-Wagon,13
2018-2019,L & M BUS CORP.,Standard Bus (GE),13
2018-2019,L & M BUS CORP.,Standard Bus (SE),24
2018-2019,L & M BUS CORP.,Type A or B Flex Vehicle,12
2018-2019,LEESEL TRANSPORTATION CORP (B2192),Mini-Wagon,400
2018-2019,LEESEL TRANSPORTATION CORP (B2192),Standard Bus (GE),1
