Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PACIFIC,2020,1,,-,11,,,-,4,,,-,1,,,-,,-,,PACIFIC,20200157,
AMERICAN SAMOA,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200164,
WASHINGTON,2020,1,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
NON-US RESIDENTS,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200169,
FLORIDA,2020,1,17,,42,,17,,18,,,-,2,,,-,,-,FLORIDA,,20200131,POINT (-82.42097800000002 28.260731)
TOTAL,2020,16,61,,749,,5878,,7794,,,-,13,,108,,117,,,TOTAL,20201670,
NEW HAMPSHIRE,2020,2,,-,10,,1,,9,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
US RESIDENTS,2020,16,61,,749,,5878,,7794,,,-,13,,108,,117,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,8,,44,,51,,,-,1,,2,,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,10,,94,,231,,303,,,-,3,,9,,1,,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,3,,11,,87,,108,,,-,2,,5,,2,,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,1,,274,,639,,1053,,,-,4,,6,,7,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,9,,64,,83,,,-,1,,1,,1,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,4,,78,,658,,820,,,-,2,,4,,6,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,6,,35,,34,,,-,0,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,17,,102,,150,,,-,0,,,-,,-,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,226,,369,,701,,,-,4,,5,,7,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,2,,9,,63,,57,,,-,2,,5,,2,,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,6,,34,,21,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,2,,40,,310,,493,,,-,1,,2,,4,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,8,,9,,24,,,-,1,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,6,,16,,20,,,-,1,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,2,,17,,149,,190,,,-,0,,,-,1,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,8,,,-,97,,,-,1,,,-,2,,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,32,,247,,252,,,-,4,,19,,19,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,19,,115,,160,,,-,0,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,5,,157,,1113,,1423,,,-,6,,27,,33,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,2,,28,,266,,308,,,-,2,,2,,4,,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,10,,40,,110,,,-,0,,,-,,-,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,7,,21,,172,,219,,,-,1,,,-,,-,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,34,,76,,229,,,-,2,,3,,4,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,3,,62,,519,,579,,,-,5,,26,,22,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,12,,,-,18,,,-,0,,,-,,-,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,24,,141,,199,,,-,1,,,-,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,1,,5,,24,,51,,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,21,,143,,1010,,1309,,,-,4,,12,,10,,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,13,,67,,89,,,-,1,,2,,2,,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,12,,86,,90,,,-,1,,,-,1,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,24,,220,,253,,,-,0,,,-,1,,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,1,,5,,18,,17,,,-,0,,,-,1,,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,33,,140,,175,,,-,2,,2,,1,,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,1,,9,,52,,85,,,-,0,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,3,,6,,8,,,-,0,,,-,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
NEW YORK CITY,2020,10,19,,44,,227,,195,,,-,3,,,-,,-,,NEW YORK CITY,20201012,
NEW YORK CITY,2020,6,28,,44,,169,,124,,,-,3,,,-,,-,,NEW YORK CITY,20200612,
ARIZONA,2020,16,6,,33,,354,,352,,,-,1,,3,,1,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,2,,23,,167,,171,,,-,0,,,-,,-,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
IDAHO,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20201651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201668,POINT (-64.840836 18.060868)
MICHIGAN,2020,16,,-,44,,238,,384,,,-,4,,1,,9,,MICHIGAN,,20201617,POINT (-85.730977 44.874798)
GEORGIA,2020,16,6,,44,,281,,371,,,-,0,,,-,,-,GEORGIA,,20201632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,16,8,,42,,301,,320,,,-,10,,15,,6,,,NEW YORK CITY,20201612,
ARKANSAS,2020,16,1,,33,,129,,153,,,-,1,,1,,,-,ARKANSAS,,20201644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,16,,-,20,,103,,147,,,-,0,,,-,,-,MISSISSIPPI,,20201641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,16,,-,5,,29,,40,,,-,2,,,-,1,,SOUTH DAKOTA,,20201627,POINT (-100.230491 44.43614)
WYOMING,2020,16,,-,4,,12,,18,,,-,0,,,-,,-,WYOMING,,20201656,POINT (-107.55145 42.999627)
PACIFIC,2020,14,,-,9,,20,,96,,,-,0,,,-,2,,,PACIFIC,20201457,
TOTAL,2020,4,220,,586,,1537,,1966,,6,,10,,37,,34,,,TOTAL,20200470,
NEW ENGLAND,2020,2,6,,45,,14,,80,,,-,2,,,-,1,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,14,,,-,16,,,-,0,,,-,,-,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,2,,9,,9,,13,,,-,0,,,-,,-,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,23,,,-,38,,,-,2,,,-,,-,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
RHODE ISLAND,2020,2,,-,8,,,-,2,,,-,1,,,-,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,4,,4,,4,,2,,,-,1,,,-,1,,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,50,,109,,111,,127,,3,,4,,4,,1,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,4,,26,,20,,46,,,-,3,,1,,1,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,21,,81,,21,,18,,3,,2,,3,,,-,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,25,,29,,65,,50,,,-,3,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,9,,5,,13,,,-,1,,,-,,-,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,71,,132,,175,,232,,7,,5,,12,,4,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,5,,25,,14,,42,,,-,1,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,3,,34,,18,,60,,,-,3,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,55,,67,,118,,109,,7,,3,,12,,4,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,8,,19,,25,,21,,,-,0,,,-,,-,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,25,,45,,65,,78,,,-,5,,1,,7,,,WEST NORTH CENTRAL,20200220,
IOWA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,11,,,-,13,,,-,1,,,-,1,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,16,,26,,47,,48,,,-,4,,1,,5,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,8,,9,,16,,10,,,-,1,,,-,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,4,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,1,,6,,2,,4,,,-,2,,,-,1,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,79,,95,,122,,174,,1,,3,,1,,1,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,6,,,-,4,,,-,0,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,5,,,-,2,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,62,,42,,81,,35,,1,,2,,1,,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,3,,33,,6,,59,,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,13,,19,,31,,26,,,-,1,,,-,,-,MARYLAND,,20200233,POINT (-76.687282 38.946466)
PACIFIC,2020,4,,-,11,,4,,27,,,-,1,,,-,1,,,PACIFIC,20200457,
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
NORTH CAROLINA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,20,,,-,31,,,-,2,,,-,1,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,3,,1,,1,,,-,0,,,-,,-,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,1,,17,,3,,16,,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,54,,96,,112,,155,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,2,,25,,7,,43,,,-,1,,,-,,-,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,13,,19,,31,,21,,,-,1,,,-,,-,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,20,,19,,32,,33,,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,19,,38,,42,,58,,,-,2,,,-,1,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,20,,143,,23,,57,,,-,4,,,-,,-,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,10,,28,,10,,8,,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,20,,,-,17,,,-,1,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,10,,115,,13,,32,,,-,4,,,-,,-,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,53,,96,,128,,174,,,-,2,,1,,1,,,MOUNTAIN,20200248,
ARIZONA,2020,2,29,,35,,61,,66,,,-,1,,1,,,-,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,16,,23,,39,,31,,,-,1,,,-,,-,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,8,,,-,6,,,-,1,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
