MANAGEMENT_CLASS,CLASS_DESC,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
H140,TRCTR LRG W/MOW DIE,2,685.752311,17,9.594498050373269,19.188996100746538
A020,SEDAN MID SZ GAS,1,166.564577,94.5,3615.65388403942798,3615.65388403942798
V122,"TRUCKSTER, 4 WHEEL, W/HYD",7,12697.093296,79.6,591.708728794875766,4141.961101564130364
M055,"WORK PLATFORM, 40 FOOT, D",2,4858.461599,51.3,103.78186280286361,207.56372560572722
G071,TRK DMP 4-5 YD 24K DIES,2,6253.9165,159.9,1215.250625031359155,2430.50125006271831
A560,CARRYALL 4DR 4WD GAS,1,4700.884597,150.1,3105.125770994558503,3105.125770994558503
K300,"CRASH ATTENUATOR, TRL MNT",2,213.061912,No-DATA,0,0
U711,"TRUCK, ASPHALT DISTRIBUTO",4,77416.973609,7096.6,3287.709572800902997,13150.838291203611988
J551,SWPR NO PKUP SLF PROP DIE,4,34424.209168,325.6,423.049144886198369,1692.196579544793476
J622,SWPR REGEN AIR 6YD DIES,27,551150.478329,61510.7,8455.132948644314595,228288.589613396494071
N440,"VAN, PANEL WINDOW, 9,000",15,30318.427364,6315.3,5563.370775949815564,83450.561639247233466
F327,TRCTR LOAD BACK EX HD ATT,1,1342.257917,178.5,49.83204250216627,49.83204250216627
P961,"TRUCK, BRUSH CHIPPER BODY",1,6976.925637,295.7,2868.000751884845163,2868.000751884845163
F429,TRACK EXCAV MEDIUM,16,63173.527296,4566.2,807.241210790049286,12915.859372640788582
Q740,"TRUCK, PLATFORM, CREW CAB",1,3677.014063,430.7,2142.784720125034031,2142.784720125034031
A515,VAN FUL SZ 10-15 PASS DSL,12,58687.992843,4118.1,8715.423649490212253,104585.083793882547038
N433,"VAN, PANEL WINDOW, 7,500",5,11983.055,2404.7,5136.929542760167104,25684.647713800835521
L015,"MOTOR, OUTBOARD, 150-200",7,17860.080881,235.5,481.365952581480231,3369.561668070361617
F233,LOADER INTEG HVY 4YD DIES,1,24713.961639,908.1,2380.841433178757914,2380.841433178757914
J015,LGT TWR TRL MTD GAS,2,678.586264,No-DATA,35.968395006683852,71.936790013367703
H475,COMPOSTING MACHINE,1,,No-DATA,0,0
H521,BRSH CHPR 2-KNIF TRL MTD,13,15809.017627,293.4,810.34537923147771,10534.489930009210227
B135,PICKUP 7500 GVW 4WD LPG,18,27869.234091,11527,6439.930614402003921,115918.751059236070576
R391,"TRUCK, TRACTOR, 50,000 GV",1,1983.980796,389.6,2652.624357198367564,2652.624357198367564
A530,UTIL VEH PASS 2WD GAS,6,11960.354003,627.2,6309.689007781028445,37858.134046686170673
D2QR,AFD RESERVE QUINT,3,145345.978257,5522.8,6973.111625683540703,20919.334877050622109
A552,UTIL VEH PASS 4WD FLEX PURSUIT,9,34528.42378,13509.8,13605.041090428479857,122445.369813856318715
F711,EXCAV WHLD HYD OFF ROAD (DSL),1,2049.057129,115,495.911352080035706,495.911352080035706
K703,"SEMI-TRAILER, TRAILER MOU",1,748.46111,No-DATA,0,0
F519,ATTACHMENT ROCKWHEEL  CUTTER,3,174.275433,No-DATA,0,0
N416,"VAN, PANEL WINDOW, 4,800",1,883.709644,196.7,4046.096363808282484,4046.096363808282484
F032,ROLLER 11-12 TON MET DIES,2,9466.751699,171.9,50.752408721638542,101.504817443277084
B023,PICKUP 2WD FLEX FUEL,117,203799.57881,79836.2,7532.226408944057015,881270.489846454670739
G461,TRK REFUSE 25YD  REAR LOADER DSL,38,1278654.571081,173136.2,15720.645312883340893,597384.521889566953931
Q751,"TRUCK, PLATFORM, CREW CAB",62,435473.431799,78284.2,9932.555476341210411,615818.439533155045452
M119,"FORKLIFT, 3 TO 5,000 LBS",12,24123.592202,701.8,225.828300083153411,2709.939600997840937
G138,ROLL OFF BOX/BODY W/GRAPPLE,3,7843.7224,632.2,2476.906588980567286,7430.719766941701859
B123,PICKUP 6100 GVW 4WD LEV,23,47565.027646,15037.8,8173.696050205460405,187995.009154725589324
N771,"CAB - CHASSIS, CARGO VAN,",1,1424.712577,544.4,2823.178984894357379,2823.178984894357379
A513,VAN FULL SZ 5-8 PASS LEV,5,10079.210759,4426.9,10285.605150701098309,51428.025753505491545
Q851,"TRUCK, TIRE SERVICE, 16,0",1,1600.2864,129.4,1733.862814639228959,1733.862814639228959
H240,MOWER RID 16' FR/SD DIE,9,110030.980674,2492.2,860.056997496284503,7740.512977466560526
D250,TRK CUST LADDER TWR DIES,2,60563.665714,7083.6,9340.718927021815696,18681.437854043631391
L308,MARINE SKIMMER,1,1655.043079,No-DATA,0.42988237781462,0.42988237781462
G561,TRK REFUSE MULTIPACK 60K DSL,24,535071.946553,106216.5,18217.51363791107088,437220.327309865701118
P571,"TRUCK, SERVICE, UNDERGROU",4,28098.932095,4575.9,6592.980669903571459,26371.922679614285834
A520,VAN FUL SZ 10-15 PASS GAS,30,60936.021728,7272.6,4211.134731061707365,126334.041931851220953
F031,ROLLER 9-10 TON MET DIES,2,3481.417189,No-DATA,185.907342550678639,371.814685101357278
J250,GEN 27KW TRL MTD DIES,1,756.004833,132.4,0,0
M652,"AERIAL LIFT, TRAILER MOUN",1,389.438981,.9,84.804531719695843,84.804531719695843
L420,"TRAILER, INBOARD BOAT, SI",1,,No-DATA,0,0
G691,TRK AER TWR 48' 30K DIE,3,30844.824384,4440.7,8981.826653778567843,26945.47996133570353
J511,PAVER SELF-PROP MED,3,83362.466738,1848.1,1238.45950893005879,3715.37852679017637
J435,STRIP MACH THRMO TRL MTD,1,531.985156,No-DATA,6.602362627175779,6.602362627175779
V111,"TRUCK, INDUSTRIAL, 3 WHEE",7,5748.344202,46.6,883.620541488906007,6185.343790422342049
M123,"FORKLIFT, 16,000 LBS CAPA",2,1405.633091,41.2,1351.805629943274872,2703.611259886549743
G801,TRK AER TWR 40'/ 30K DIESEL,3,15229.814817,1205.6,4910.355865593980354,14731.067596781941062
P041,"TRUCK, SERVICE, GENERAL P",51,202587.164109,40578,9651.984740120964632,492251.22174616919621
C600,APD ARMORED SWAT UTILITY,2,29706.411766,916.9,2581.230325112313907,5162.460650224627814
A028,SEDAN MID-SIZE PLUG-IN HYBRID,77,91193.105025,6757.2,5999.811678066376026,461985.499211110954025
M125,"FORKLIFT, ARTICULATED, DI",1,116.315,No-DATA,7.843772187177417,7.843772187177417
B035,PICKUP 7500 GVW 2WD LPG,44,110580.855661,28309.1,7698.952713184756814,338753.919380129299795
M131,"LOADER, TRASH, DIESEL",1,1955.42,4.4,14.761740661494224,14.761740661494224
H130,TRCTR GEN PUR MED-LRG DIE,14,38016.361472,3118.6,1246.050966806055644,17444.713535284779009
G741,TRK AER TWR 90-99' DIE,1,27263.020211,315.3,2423.031954783311707,2423.031954783311707
A503,VAN MINI SIZE GAS (LEV),13,30503.680384,3795.9,5575.726835503628782,72484.448861547174166
F009,ROLLER VIB RUB TIRE DIES,2,16093.134556,136.4,851.595994024892511,1703.191988049785022
J270,GEN 200KW TRL MTD DIES,3,1422.519217,52,76.699144463959806,230.097433391879419
C536,EXECUTIVE PROTECTION,4,9619.860796,3120.5,15456.171544631922545,61824.686178527690181
N443,"VAN, PANEL WINDOW, 9,000",23,46273.178229,15928.9,7083.745757139462499,162926.152414207637469
K241,"TRAILER, HYDRO-MULCHER",1,4549.862022,12.6,751.205014988621577,751.205014988621577
J321,SWR CLNR AUX ENG DIES,6,98963.560813,2998.6,4719.169550816226759,28315.017304897360554
J324,VAC FLSH TRL MTD DIES,9,11750.468141,226.5,26.043962590354254,234.39566331318829
F531,VIBRA PLATE COMP DIES,4,204.8508,No-DATA,0,0
J720,MOBILE HEALTH UNIT,2,4668.474179,371.2,7629.788327760669967,15259.576655521339933
G911,TRK WRKR MED 27K DIE,1,9981.800762,No-DATA,1840.894386176806926,1840.894386176806926
M063,"AERIAL BOOM LIFT, 40-45 F",7,4900.722277,68.8,35.457802688879691,248.204618822157838
F213,POWER BUGGY,3,151.483142,5.4,411.314623433215329,1233.943870299645987
Q781,"TRUCK, PLATFORM, WATER CO",1,1932.007879,740.7,4914.579089609792726,4914.579089609792726
J441,STRIP MACH SLF PROP,1,554.549694,No-DATA,0,0
Q040,"TRUCK, PLATFORM, 10,000 G",1,6259.960975,68.5,89.457969925855827,89.457969925855827
K511,"SEMI-TRAILER, IMP., LOWBO",8,15808.947223,2.9,0,0
B000,PICKUP COMP 2WD GAS,3,9546.799074,494.3,4210.301349863379849,12630.904049590139546
A555,UTIL VEH FULL 4DR 2WD LPG,1,359.017755,249.5,5603.601740341686825,5603.601740341686825
P040,"TRUCK, SERVICE, GENERAL P",6,16927.051449,4060.1,6035.367243909838896,36212.203463459033373
J437,THRM0 PRE-MELT TRK MTD,1,4790.407696,737,7.326244336580832,7.326244336580832
F326,TRCTR LOAD BACK HVY,3,9997.624162,131.3,434.641825874445465,1303.925477623336395
F500,ATTACHMENT COMPACTION WHEEL,1,274.973689,No-DATA,0,0
P791,"TRUCK, SERVICE, WATER CON",42,287318.377677,51683.9,5794.279572460181911,243359.74204332764026
J343,HYD VLV OPER TRL MTD,2,3362.843325,No-DATA,21.685254254942769,43.370508509885539
H260,INFIELD DRAG,1,4062.178883,22.6,2650.95304323101643,2650.95304323101643
B133,PICKUP 7500 GVW 4WD LEV,98,156939.09006,66164.8,8145.421978793506344,798251.353921763621673
U203,"TRUCK, TANK, W/AUX ENGINE",1,1493.002039,31.5,2755.83358911492109,2755.83358911492109
J013,GEN W/LGT TWR TRL DIES,10,11172.820999,345.9,3484.91665459868549,34849.166545986854903
U401,"TRUCK, FLUSHER, 32,000 GV",1,11634.468577,557.1,3767.964436101478102,3767.964436101478102
V123,"TRUCKSTER, 4 WHEEL, ARTIC",6,8160.504838,270.3,2853.914188726082184,17123.485132356493103
K605,"SEMI-TRAILER, SLUDGE HAUL",3,57990.242019,No-DATA,0,0
M116,"FORKLIFT, 3 TO 5,000 LBS",1,677.343622,43,113.426748144922644,113.426748144922644
J330,"WATER PMP 2 3/4"" TRL GAS",3,3350.730163,4.5,174.694153748584845,524.082461245754534
L410,"TRAILER, OUTBOARD BOAT, S",28,17268.17506,No-DATA,0,0
E040,AMBULANCE TYPE I DIES,61,1458736.952616,222768.75,27083.289591678252889,1652080.665092373426222
Q051,"TRUCK, PLATFORM, 15,000 G",34,133488.421196,25619.1,6721.707161119023407,228538.04347804679584
B233,PU 7500 GVW 2WD CREW LEV,11,24213.890737,8539.7,9357.704774544403473,102934.752519988438198
A012,SEDAN ADM FL SZ FLEX,5,3922.575648,2902.1,8815.442066734267889,44077.210333671339447
G081,TRK DMP 5-6 YD 30K DIES,18,107409.456624,20367.2,7307.773153225559711,131539.916758060074791
J772,HOLE DIGG SGL AXLE TRK MT,2,32189.436305,1985.4,4105.970862418827977,8211.941724837655954
J752,CABL PLR TENSR MED TRL,2,10969.656663,224.3,787.017545903704142,1574.035091807408284
F121,TRENCH MED WHL GAS,2,3851.545717,74.5,388.06087092032454,776.121741840649079
A720,BUS 24 PASS GAS,3,6078.856196,808.3,2653.051905382564637,7959.15571614769391
E050,AMBULANCE LARGE DIESEL,6,37000.324084,3771.2,19247.343810382944984,115484.062862297669904
P050,"TRUCK, SERVICE, GENERAL P",7,42451.633737,8712.1,9929.716235815597811,69508.013650709184675
R591,"TRUCK, TRACTOR, 60,000 GV",13,93554.914423,4181.85,2533.753535240966428,32938.795958132563567
M117,"FORKLIFT, 3 TO 5,000 LBS",1,324.451066,No-DATA,638.261994011221154,638.261994011221154
U111,"TRUCK, TANK, W/PTO DRIVEN",5,14392.65275,4248.7,2931.618456637784022,14658.092283188920112
M050,"WORK PLATFORM, 32 FOOT, E",9,3574.687665,No-DATA,7.347998688913904,66.131988200225132
A716,BUS 15 PASS CNG,7,44.4,No-DATA,5697.05906862532854,39879.413480377299779
R592,"TRUCK, TRACTOR, 66K GVW ROLL-OFF DSL",6,86875.844818,21510.8,12177.649359335177759,73065.896156011066553
N430,"VAN, PANEL WINDOW, 7,500",9,61169.935229,2772.7,7396.188640248495492,66565.697762236459426
D061,TRK SQD FIRE 4WD GVW DIES,15,100639.597201,2217.7,2818.941330781731293,42284.119961725969402
P033,"TRUCK, SERVICE, GENERAL P",4,8530.877812,4834.4,7396.378386326611116,29585.513545306444464
F710,EXCAV WHLD HYD DIES,7,38263.706468,3010.7,863.278868692474081,6042.952080847318568
F221,LOADER TRACTOR DIESEL,2,12647.476231,376,5525.859950717103692,11051.719901434207383
F214,AUGER FOR SKID STEER,5,546.927697,No-DATA,0.110513614661172,0.552568073305858
F720,CONCRT MIXER 5 CF GAS,1,,No-DATA,0.984886182876962,0.984886182876962
K702,"SEMI-TRAILER, TANK, SPECI",2,73.855625,No-DATA,0,0
K512,"SEMI-TRAILER, IMP., 50 TO",1,1087.784197,No-DATA,0,0
D360,TRK AFR LARGE DIESEL,5,142016.470971,3051.2,7406.517423290684028,37032.587116453420141
G251,TRK ROLL-OFF W/CRANE 66K DSL,4,102576.525748,10651.2,6903.707184904796644,27614.828739619186578
F011,ROLLER VIB SELF PROP GAS,1,,No-DATA,0,0
P053,"TRUCK, SERVICE, GENERAL P",2,582.139092,1976.6,8221.33436023506107,16442.668720470122139
G751,TRK AER TWR 150' DIE,3,41654.483665,2346,4592.790785267942141,13778.372355803826424
J770,HOLE DIGG TRACK MTD DIES,3,19660.384503,19.6,128.730377284781825,386.191131854345476
Q091,"TRUCK, PLATFORM, 52,000 G",1,2946.235342,320.8,1958.797336554353191,1958.797336554353191
M060,"SCISSORLIFT, LPG",1,4102.347064,No-DATA,49.260262870923527,49.260262870923527
F211,LOADER COMP DIESEL,43,184000.079489,5562.9,3583.243932436869857,154079.489094785403841
K601,"SEMI-TRAILER, SLUDGE HAUL",1,7181.307172,No-DATA,0,0
F740,CATCH BASIN CLNR LRG DIES,16,368792.638048,27239.4,7343.769059590861069,117500.304953453777106
P133,"TRUCK, SERVICE, ELECTRIC",1,2526.608173,160.3,4893.410556067787381,4893.410556067787381
J749,CABL PLR TENSR LT TRL DIE,2,11137.81153,114.4,2530.99926131926745,5061.9985226385349
H510,"STUMP CUTTER, ATTACHMENT",4,3392.545023,No-DATA,0.080251380017221,0.321005520068882
P251,"TRUCK, SERVICE, SUPERVISO",18,84554.384744,14497.2,8875.175230562415662,159753.154150123481924
Q761,"TRUCK, PLATFORM, CONST, 2",11,46133.843935,6534.2,5591.253028737827626,61503.783316116103883
F123,TRENCH HVY WHL W/SAW DIES,1,1074.709181,No-DATA,19.289633834786967,19.289633834786967
J454,HOSE REEL TRACK MTD,1,1731.834487,No-DATA,26.66856733195504,26.66856733195504
N781,"CAB - CHASSIS, 30,000 GVW",2,5055.927447,801.4,2375.448102766945098,4750.896205533890196
K020,TRLR STOCK HAULIING,6,2503.633356,No-DATA,0,0
E021,EMS COMMAND VEH DIES,10,67602.815432,13025,23342.508796509498569,233425.087965094985694
K602,"SEMI-TRAILER, SLUDGE HAUL",12,174466.575316,No-DATA,0,0
F212,LOADER COMP WALKBEH,1,1507.599564,1.9,1833.05857699594947,1833.05857699594947
G681,TRK AER TWR 35' 27K DIE,10,77066.957683,9615,7095.018530856170798,70950.185308561707977
A534,UTIL VEH PASS 2WD HYBRID,88,146155.319496,20104.6,6849.898067479171132,602791.0299381670596
J429,"LINE REMOVER, SMALL",10,11346.159226,59.8,0,0
B040,PICKUP 10000 GVW GAS,11,37605.552294,10752.6,6993.394370975593142,76927.338080731524565
K250,"TRAILER, CABLE REEL",24,28057.434497,19,0.767039771222479,18.40895450933949
B044,PICKUP 10000 GVW 4WD HYBRID,2,1550.870989,1479.4,8256.639480122157511,16513.278960244315023
V125,"TRUCKSTER, 6-WHEEL, GAS",15,24632.396869,192.1,1945.160305240462956,29177.404578606944341
A532,UTIL VEH PASS 2WD FLEX,255,430288.61453,129833.7,8073.677379084551788,2058787.731666560706052
J756,CABL PLR TENSR BULWHL DIE,2,3674.382299,No-DATA,295.641098296550383,591.282196593100765
F741,CATCH BASIN CLNR MED DIES,4,24268.267361,753.5,4313.57120039517722,17254.284801580708881
L011,"MOTOR, OUTBOARD, 51-90 HP",5,5293.58455,135.2,134.68880464748095,673.444023237404748
V120,"TRUCKSTER, 4 WHEEL INDUSTRIAL, DIESEL",34,57440.229967,302.4,374.082192552857764,12718.794546797163968
B120,PICKUP 6100 GVW 4WD GAS,3,7772.54945,725.6,4158.48882452978426,12475.46647358935278
J758,MOBILE LIBRARY,1,4024.976753,728.1,2696.379076416192613,2696.379076416192613
Q071,"TRUCK, PLATFORM, 24,000 G",5,3401.710731,4158.5,6760.491460582526872,33802.457302912634362
J442,STRIP MACH SLF PROP TRK,2,23621.455613,3852.8,4697.478512093105347,9394.957024186210694
