Available_Bag_Type,BBL,BIN,Borough,CouncilDist,Latitude,Longitude,NTAName,Number,ObjectId,Street,Vendor_Address,Vendor_Name,Vendor_Phone_Number,Vendor_Site,Vendor_Type,Vendor_Website,ZipCode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Certified Compostable,3059410043,3148784,Brooklyn,43,40.84698,-73.83295,Bay Ridge,7510,15,5th Ave,7510 5th Ave,C-Town Supermarket,(347) 497-4292,7510 5th Ave Brooklyn NY 11209,Retail,,11209,310,134,POINT (-73.832953 40.84697899999998),11270,43,5,12,28
Certified Compostable,N/A,N/A,Bronx,N/A,40.84692,-73.83289,#N/A,846,99,Pelham Pkwy,846 Pelham Pkwy,Fairway,(914) 712-0011,846 Pelham Pkwy Pelham NY 10803,Retail,http://www.fairwaymarket.com/stores/,10803,N/A,N/A,POINT (-73.832892 40.846918),11270,43,5,12,28
Certified Compostable,3046760043,3102134,Brooklyn,41,40.652,-73.93012,Rugby-Remsen Village,5001,30,CHURCH AVE,5001 CHURCH AVE,Walgreens,(347) 557-0959,5001 CHURCH AVE BROOKLYN NY 11203,Retail,https://www.walgreens.com/storelocator/find.jsp,11203,317,868,POINT (-73.930125 40.652005),16866,61,2,17,40
Certified Compostable,3027650003,3068888,Brooklyn,34,40.71424,-73.94403,East Williamsburg,330,67,Graham Ave,330 Graham Ave,C-Town Supermarket,(718) 388-8968,330 Graham Ave Brooklyn NY 11211,Retail,location.ctownsupermarkets.com,11211,301,497,POINT (-73.94403 40.714237),17613,36,2,30,56
Certified Compostable,5080080014,5088658,Staten Island,51,40.51633,-74.2342,Charleston-Richmond Valley-Tottenville,7001,168,AMBOY ROAD,7001 AMBOY ROAD,Walgreens,(718) 569-5672,7001 AMBOY ROAD STATEN ISLAND NY 10307,Retail,https://www.walgreens.com/storelocator/find.jsp,10307,503,248,POINT (-74.234196 40.516326),10694,15,1,9,77
Certified Compostable,3061210024,3155727,Brooklyn,43,40.61646,-74.03426,Bay Ridge,9606,80,3rd Ave,9606 3rd Ave,Met Fresh Supermarket,(718) 836-2700,9606 3rd Ave Brooklyn NY 11209,Retail,,11209,310,5601,POINT (-74.034258 40.61645999999999),17216,10,2,44,41
Certified Compostable,,,Brooklyn,34,40.71408,-73.94959,North Side-South Side,588,53,Metropolitan Ave,588 Metropolitan Ave,Crest Hardware & Urban Garden Center,(718)388-9521,588 Metropolitan Ave Brooklyn NY 11211,Retail,http://crest.nyc/,11211,301,513,POINT (-73.94959 40.714075999999984),17613,36,2,30,57
Certified Compostable,5006990006,5017605,Staten Island,50,40.60365,-74.12038,New Springville-Bloomfield-Travis,955,163,MANOR RD,955 MANOR RD,Walgreens,(718) 983-7390,955 MANOR RD STATEN ISLAND NY 10314,Retail,https://www.walgreens.com/storelocator/find.jsp,10314,502,173,POINT (-74.120375 40.60364700000001),10700,30,1,14,76
Certified Compostable,3003310021,3004112,Brooklyn,39,40.84697,-73.83295,Carroll Gardens-Columbia Street-Red Hook,486,48,Henry St,486 Henry St,Key Foods,(718) 237-2829,486 Henry St Brooklyn NY 11231,Retail,,11231,306,63,POINT (-73.832946 40.846972),11270,43,5,12,28
Certified Compostable,5003710053,5000000,Staten Island,50,40.84695,-73.83293,Westerleigh,1795,158,Victory Boulevard,1795 Victory Boulevard,Met Foods - Victory,(718) 524-0800,1795 Victory Boulevard Staten Island NY 10314,Retail,http://www.metfoods.com/metfoods/locations.jsp,10314,501,151,POINT (-73.83293 40.846956),11270,43,5,12,28
