Address,BBL,BIN,Borough,CouncilDist,Latitude,Longitude,NTANAme,Number,ObjectId,Store_Contact_Number,Store_Name,Street,Zip,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
2 Newkirk Plaza,3052360000,3121174,Brooklyn,40,40.63564,-73.96267,Flatbush,2,34,718-434-1736,Almac True Value,Newkirk Plaza,11226,314,520,POINT (-73.962666 40.635634),13510,60,2,11,43
159 N 3rd Street,3023520000,3000000,Brooklyn,34,40.71559,-73.95936,North Side-South Side,159,2,718-302-5533,Foodtown,N 3rd Street,11211,301,553,POINT (-73.959357 40.715588),17613,36,2,30,57
3155 Amboy Rd,5044720000,5107641,Staten Island,51,40.56447,-74.13334,Great Kills,3155,103,(718) 987-1114,Capital Paint & True Value Hardware,Amboy Rd,10306,503,14606,POINT (-74.133337 40.564471999999995),10693,15,1,9,76
493 5 avenue,3010230000,3022920,Brooklyn,39,40.72473,-73.89832,Park Slope-Gowanus,493,15,718-499-3663,Key Foods,5 avenue,11215,306,139,POINT (-73.898325 40.72472599999999),14788,54,3,34,62
1441 Richmond Ave,5015440000,5151774,Staten Island,50,40.88197,-73.90194,New Springville-Bloomfield-Travis,1441,98,718-698-1138,Stop & Shop,Richmond Ave,10314,502,29104,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
985 Richmond Ave,5014790000,5150290,Staten Island,49,40.62346,-74.14813,Mariner's Harbor-Arlington-Port Ivory-Graniteville,985,93,718-982-8662,ShopRite,Richmond Ave,10314,501,30301,POINT (-74.148131 40.62345899999999),10700,4,1,13,75
5554 Broadway,2032660000,2016142,Bronx,11,40.87801,-73.90503,Spuyten Duyvil-Kingsbridge,5554,47,718-548-0433,Kornblau Supply Co Inc,Broadway,10463,208,283,POINT (-73.90503 40.878006),11272,48,5,40,33
104-12 Liberty Ave,4095270000,4551727,Ozone Park,32,40.68192,-73.8366,South Ozone Park,104-12,61,718-848-3222,Shop Rite Hardware & Paint,Liberty Ave,11417,410,94,POINT (-73.836603 40.681921999999986),24013,62,3,41,64
"6604 Fresh Pond Rd, Ridgewood, NY",4035270000,4443085,Queens,30,40.70881,-73.89867,Ridgewood,6604,79,(718) 821-5245,Noble True Hardware,"Fresh Pond Rd, Ridgewood, NY",11385,405,587,POINT (-73.898667 40.708808999999995),15310,54,3,34,62
"4728 Bell Blvd, Bayside",4073300000,4157334,Queens,19,40.75589,-73.76765,Bayside-Bayside Hills,4728,66,(718) 229-0377,Posner B & Son,"Bell Blvd, Bayside",11361,411,1447,POINT (-73.76765 40.75589300000001),14196,26,3,20,69
74-02 Forest Ave,4035780000,4086380,Ridgewood,34,40.69893,-73.89798,Ridgewood,74-02,78,718-381-5800,Forest Builders Supply Inc,Forest Ave,11385,405,557,POINT (-73.89798200000001 40.69892500000001),15310,54,3,30,62
2136 Bartow Ave,2051411000,2121320,Bronx,12,40.88197,-73.90194,Co-op City,2136,51,718-320-2902,Stop & Shop,Bartow Ave,10475,210,46201,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
545 Targee St,5029220000,5112730,Staten Island,49,40.76731,-73.84395,Grymes Hill-Clifton-Fox Hills,545,89,718-818-9334,Home Depot,Targee St,10304,501,40,POINT (-73.84395 40.767313),13832,22,3,20,67
74-17 Grand Ave,4024920000,4058131,Maspeth,30,40.88052,-73.82489,Elmhurst,74-17,83,718-803-0863,Super Stop & Shop,Grand Ave,11378,405,499,POINT (-73.824891 40.880516),12344,43,5,2,28
1248 150th St,4045050000,4102475,Queens,19,40.78945,-73.81435,Whitestone,1248,57,(718) 767-9546,Whitestone Hardware,150th St,11357,407,981,POINT (-73.81435 40.78944899999999),14192,22,3,20,67
347 Knickerbocker Ave,3032470000,3073855,Brooklyn,37,40.70109,-73.92186,Bushwick North,347,10,718-497-5882,A&G Locksmith & Hardware,Knickerbocker Ave,11237,304,429,POINT (-73.921861 40.70109),13828,42,2,37,53
12 E Tremont Ave,2028530000,2008255,Bronx,14,40.85126,-73.90881,Mount Hope,12,46,718-294-1650,C.S. Brown True Value Hardware,E Tremont Ave,10453,205,23301,POINT (-73.908817 40.851259),10931,6,5,29,29
596 5 Avenue,3010520000,3024141,Brooklyn,39,40.66436,-73.99065,Park Slope-Gowanus,596,25,718-788-6683,Park Slope Hardware,5 Avenue,11215,307,141,POINT (-73.990643 40.66436100000001),17617,9,2,27,45
34-51 48th St,4001200000,4000822,Long Island City,26,40.88052,-73.82489,Hunters Point-Sunnyside-West Maspeth,34-51,74,718-728-7724,Super Stop & Shop,48th St,11101,401,171,POINT (-73.824891 40.880516),12344,43,5,2,28
782 Union Street,3009570000,3020190,Brooklyn,39,40.67473,-73.97681,Park Slope-Gowanus,782,19,718-622-0560,Park Slope Food Coop,Union Street,11215,306,157,POINT (-73.976816 40.67473099999999),17617,14,2,27,50
4813 Church Ave,3046740000,3102054,Brooklyn,41,40.65191,-73.93185,East Flatbush-Farragut,4813,42,(718) 703-3364,Stanly Hardware,Church Ave,11203,317,870,POINT (-73.931848 40.65191000000001),16866,61,2,17,40
120 5th Ave,3009430000,3018991,Brooklyn,39,40.67923,-73.97908,Park Slope-Gowanus,120,14,718-783-8339,Key Food,5th Ave,11217,306,12901,POINT (-73.97908200000002 40.679233),17619,14,2,27,50
4343 Amboy Rd,5054970000,5073190,Staten Island,51,40.88197,-73.90194,Great Kills,4343,102,718-608-8950,Stop & Shop,Amboy Rd,10312,503,14604,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
7615 13th Ave,3062330000,3329035,Brooklyn,43,40.61922,-74.00814,Dyker Heights,7615,29,718-232-5055,Polsteins Home Center,13th Ave,11228,310,198,POINT (-74.008137 40.61922599999998),13511,10,2,44,41
2873 Richmond Avenue,5024600000,5000000,Staten Island,51,40.82402,-73.93005,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2873,97,917-791-5851,Target,Richmond Avenue,10314,502,27702,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
8107 Flatlands Avenue,3080020000,3224341,Brooklyn,46,40.63636,-73.91248,Canarsie,8107,43,718-444-8120,S & S Hardware,Flatlands Avenue,11236,318,954,POINT (-73.912479 40.636361),13827,5,2,8,42
470 Court St,3003710000,3005422,Brooklyn,39,40.6781,-73.99823,Carroll Gardens-Columbia Street-Red Hook,470,18,718-624-8494,Mazzone True Value,Court St,11231,306,65,POINT (-73.998233 40.67809599999999),13514,14,2,27,48
558 Metropolitan Ave,3027610000,3068782,Brooklyn,34,40.71381,-73.95025,North Side-South Side,558,1,718-388-9521,Crest True Value Hardware,Metropolitan Ave,11211,301,513,POINT (-73.950246 40.713806),17613,36,2,30,56
9107 Astoria Blvd,4013650000,4032452,East Elmhurst,22,40.76376,-73.87796,Jackson Heights,9107,75,(718) 429-0707,Dacorta Brothers Hardware Inc.,Astoria Blvd,11369,403,347,POINT (-73.877964 40.763759),14511,65,3,4,73
4125 Bell Blvd,4062900000,4138301,Queens,19,40.76291,-73.77028,Bayside-Bayside Hills,4125,65,(718) 229-1600,Parker Industrial Hardware,Bell Blvd,11361,411,1467,POINT (-73.770279 40.762907999999996),14196,26,3,20,69
2970 Cropsey Ave,3069470000,3348838,Brooklyn,47,40.76731,-73.84395,Seagate-Coney Island,2970,33,718-333-9850,Home Depot,Cropsey Ave,11214,313,348,POINT (-73.84395 40.767313),13832,22,3,20,67
64-66 Myrtle Ave,,,Ridgewood,30,40.88197,-73.90194,Glendale,64-66,82,718-381-5136,Stop & Shop,Myrtle Ave,11385,405,577,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
134-40 Springfield Blvd,4129990000,4279935,Springfield Gardens,27,40.77987,-73.77689,St. Albans,134-40,70,718-525-0600,Stop and Shop,Springfield Blvd,11413,412,352,POINT (-73.776886 40.779872999999995),14195,22,3,20,67
519 Gateway Drive,3044520000,3348833,Brooklyn,42,40.82402,-73.93005,East New York,519,11,718-235-6032,Target,Gateway Drive,11239,305,1070,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
2461 E 17th St,3074190000,3323035,Brooklyn,48,40.59094,-73.95263,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2461,38,718-648-6000,Doody Home Centers,E 17th St,11235,315,592,POINT (-73.952631 40.590942000000005),13826,32,2,15,36
147 smith Street,3001940000,3001237,Brooklyn,33,40.68675,-73.99022,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,147,6,718-389-7912,Mom and Pop's Organic Market,smith Street,11201,302,43,POINT (-73.990218 40.686747000000004),16865,68,2,38,54
