Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
404,05/01/2000,05/17/2000,2000,Industrial/commercial  construction/repair/demolit,20833
7883,09/22/1997,10/24/1997,1997,Industrial/commercial   Equipment Noise,20850
7549,07/16/1997,07/25/1997,1997,Industrial/commercial   Electrical Amp Equip,20876
2014524,04/15/2014,05/12/2014,2014,Industrial/commercial   Electrical Amp Equip,20854
12727,04/28/2003,06/19/2003,2003,Industrial/commercial  construction/repair/demolit,
9529,02/19/1998,03/19/1998,1998,Industrial/commercial  construction/repair/demolit,
14111,02/03/2004,03/08/2004,2004,Industrial/commercial  construction/repair/demolit,20814
20131085,08/29/2013,11/13/2013,2013,Residential   Mechanical,20817
26924,08/24/2012,11/02/2012,2012,Industrial/commercial  construction/repair/demolit,
1990910651,12/17/1990,01/04/1991,1990,Noise Industrial/commercial   Leaf Blower Noise,
19847,12/28/2007,04/25/2008,2007,Waiver Request,20895
10074,06/18/1998,06/26/1998,1998,Industrial/commercial   Equipment Noise,21771
23496,06/22/2010,07/22/2010,2010,Industrial/commercial  construction/repair/demolit,20903
262,03/20/2000,08/08/2000,2000,Industrial/commercial   Equipment Noise,20816
13459,09/15/2003,11/28/2003,2003,Residential   Mechanical,20817
16917,11/14/2005,12/02/2005,2005,Industrial/commercial   Equipment Noise,20854
20192511,10/07/2019,10/08/2019,2019,Industrial/commercial   Electrical Amp Equip,20879
25741,11/30/2011,01/31/2012,2011,Residential   El  Amplification Equip,
4036,02/02/1995,02/08/1995,1995,Industrial/commercial   Equipment Noise,
20339,05/08/2008,06/17/2008,2008,Industrial/commercial  construction/repair/demolit,20816
20201053,01/13/2020,01/15/2020,2020,Information Request,20886
20161079,01/22/2016,08/25/2016,2016,Industrial/commercial  construction/repair/demolit,20895
21588,04/10/2009,11/17/2009,2009,Residential   Construction/repair/demolition,20816
20380,05/19/2008,09/26/2008,2008,Project   Community Noise Survey,
10653,11/20/1998,12/04/1998,1998,Industrial/commercial   Equipment Noise,20816
25372,08/25/2011,10/28/2011,2011,Residential   El  Amplification Equip,20902
27398,12/11/2012,05/15/2013,2012,Noise Industrial/commercial   Leaf Blower Noise,20855
20161018,01/06/2016,01/06/2016,2016,Noise Industrial/commercial   Leaf Blower Noise,20879
2013904,07/08/2013,07/18/2013,2013,Residential   Construction/repair/demolition,20816
1793,04/19/2001,05/18/2001,2001,Industrial/commercial   Equipment Noise,20852
21339,02/19/2009,03/02/2009,2009,Industrial/commercial   Equipment Noise,20814
26332,05/01/2012,06/04/2012,2012,Residential Muti Tenant Dwelling,20866
20181848,05/31/2018,08/17/2018,2018,Industrial/commercial   Equipment Noise,20815
20152500,12/04/2015,12/16/2015,2015,Industrial/commercial  construction/repair/demolit,20910
1992921519,06/24/1992,08/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
25515,09/30/2011,11/17/2011,2011,Residential Muti Tenant Dwelling,20879
20172395,10/23/2017,11/21/2017,2017,Industrial/commercial  construction/repair/demolit,20817
1686,07/06/2001,11/16/2001,2001,Industrial/commercial   Equipment Noise,20850
1990910114,07/26/1990,08/23/1990,1990,Residential Muti Tenant Dwelling,
8035,11/17/1997,11/21/1997,1997,Residential House/yard,20876
20162555,12/05/2016,02/28/2017,2016,Residential Muti Tenant Dwelling,20816
19251,07/03/2007,07/18/2007,2007,Residential   Motor Vehicle Noise,20850
1949,04/12/2001,03/25/2002,2001,Industrial/commercial   Equipment Noise,20816
23528,07/02/2010,07/16/2010,2010,Residential   El  Amplification Equip,20906
22740,12/08/2009,02/19/2010,2009,Residential   El  Amplification Equip,20815
16210,04/25/2005,07/15/2005,2005,Residential   Mechanical,20832
20192357,09/11/2019,09/23/2019,2019,Industrial/commercial  construction/repair/demolit,20852
20182473,11/01/2018,02/28/2019,2018,Industrial/commercial  construction/repair/demolit,20878
20181694,04/30/2018,05/30/2018,2018,Industrial/commercial   Refuse Noise Collection,20850
20181823,05/29/2018,06/28/2018,2018,Residential Muti Tenant Dwelling,20910
2014340,03/12/2014,06/02/2014,2014,Residential   Construction/repair/demolition,20866
19213,06/20/2007,04/08/2008,2007,Industrial/commercial  construction/repair/demolit,20910
7423,06/13/1997,06/20/1997,1997,Residential House/yard,
9897,05/13/1998,05/26/1998,1998,Industrial/commercial  construction/repair/demolit,20876
5460,05/22/1996,05/31/1996,1996,Industrial/commercial   Electrical Amp Equip,
27160,10/16/2012,11/02/2012,2012,Residential Muti Tenant Dwelling,20874
20131284,10/22/2013,12/11/2013,2013,Industrial/commercial   Electrical Amp Equip,20910
15232,09/03/2004,02/25/2005,2004,Residential   Mechanical,20910
20141197,09/10/2014,10/13/2014,2014,Residential Muti Tenant Dwelling,
20192322,09/03/2019,09/10/2019,2019,Residential   Mechanical,20895
19043,05/21/2007,09/04/2007,2007,Industrial/commercial   Electrical Amp Equip,
27408,12/13/2012,12/27/2012,2012,Industrial/commercial  construction/repair/demolit,20817
10565,10/19/1998,11/05/1998,1998,Residential   Construction/repair/demolition,20879
4263,04/11/1995,06/28/1995,1995,Industrial/commercial   Equipment Noise,
13129,07/09/2003,07/14/2003,2003,Industrial/commercial  construction/repair/demolit,
10608,11/06/1998,12/23/1998,1998,Residential   El  Amplification Equip,20886
723,07/19/2000,07/30/2000,2000,Industrial/commercial  construction/repair/demolit,20853
20201586,04/15/2020,04/15/2020,2020,Industrial/commercial  construction/repair/demolit,20910
2013600,06/03/2013,08/05/2013,2013,Industrial/commercial   Equipment Noise,20910
10539,10/12/1998,11/05/1998,1998,Industrial/commercial   Equipment Noise,20814
2472,08/28/2001,09/18/2001,2001,Industrial/commercial  construction/repair/demolit,20850
8828,07/12/1999,03/14/2000,1999,Industrial/commercial   Equipment Noise,20850
20201483,04/02/2020,,2020,Waiver Request,20814
8864,07/21/1999,08/23/1999,1999,Residential   El  Amplification Equip,20906
6045,07/08/1996,07/12/1996,1996,Industrial/commercial  construction/repair/demolit,20854
17460,03/30/2006,08/14/2006,2006,Information Request,
19857,01/02/2008,07/28/2008,2008,Residential   El  Amplification Equip,20874
8460,04/27/1999,06/02/1999,1999,Industrial/commercial  construction/repair/demolit,20912
22554,10/21/2009,12/24/2009,2009,Industrial/commercial  construction/repair/demolit,
20161901,07/08/2016,07/13/2016,2016,Industrial/commercial   heat Pump/ac Noise,20910
25489,09/22/2011,07/23/2012,2011,Industrial/commercial  construction/repair/demolit,20910
7502,07/01/1997,08/07/1997,1997,Residential House/yard,20879
2325,09/06/2001,05/22/2002,2001,Industrial/commercial  construction/repair/demolit,20815
19217,06/21/2007,06/21/2007,2007,Industrial/commercial   Equipment Noise,20879
1992930339,09/18/1992,09/18/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
11429,04/25/2002,10/08/2002,2002,Industrial/commercial   Equipment Noise,20902
20192157,07/25/2019,08/12/2019,2019,Industrial/commercial   Refuse Noise Collection,20854
4836,08/25/1995,09/12/1995,1995,Residential   Mechanical,
15665,12/17/2004,01/04/2005,2004,Industrial/commercial  construction/repair/demolit,20850
20151846,06/29/2015,09/14/2015,2015,Residential   El  Amplification Equip,20874
20151659,05/18/2015,09/14/2015,2015,Waiver Request,20850
23566,07/13/2010,08/18/2010,2010,Residential   Construction/repair/demolition,20817
1009,09/27/2000,11/24/2000,2000,Industrial/commercial   Electrical Amp Equip,20817
8824,07/12/1999,07/29/1999,1999,Industrial/commercial  construction/repair/demolit,20860
20192356,09/11/2019,10/21/2019,2019,Residential Muti Tenant Dwelling,20910
10643,11/17/1998,12/31/1998,1998,Residential House/yard,20817
20152121,08/31/2015,09/14/2015,2015,Industrial/commercial   Equipment Noise,20817
20182219,08/30/2018,09/18/2018,2018,Residential   Construction/repair/demolition,20850
2013831,06/24/2013,09/16/2013,2013,Industrial/commercial   Equipment Noise,20912
24190,12/07/2010,03/11/2011,2010,Waiver Request,
20181945,06/20/2018,07/11/2018,2018,Industrial/commercial   Equipment Noise,20854
20182412,10/17/2018,10/29/2018,2018,Industrial/commercial  construction/repair/demolit,20910
20172526,11/22/2017,02/02/2018,2017,Industrial/commercial   Refuse Noise Collection,20910
8037,11/10/1997,01/13/1998,1997,Residential House/yard,20882
20192784,12/06/2019,02/03/2020,2019,Waiver Request,20814
22558,10/21/2009,01/29/2010,2009,Waiver Request,20910
20141289,10/01/2014,07/20/2015,2014,Industrial/commercial   Equipment Noise,20876
27388,12/10/2012,05/30/2013,2012,Industrial/commercial  construction/repair/demolit,20850
4445,05/17/1995,06/20/1995,1995,Residential House/yard,
25088,06/13/2011,07/05/2011,2011,Residential   El  Amplification Equip,20906
20141053,07/28/2014,08/18/2014,2014,Residential House/yard,20904
26697,07/26/2012,08/16/2012,2012,Residential   Construction/repair/demolition,20871
27302,11/20/2012,11/30/2012,2012,Residential   Construction/repair/demolition,20814
9998,06/02/1998,08/14/1998,1998,Industrial/commercial   Equipment Noise,
13366,08/27/2003,09/02/2003,2003,Industrial/commercial  construction/repair/demolit,20817
5403,02/11/1996,03/11/1996,1996,Residential   El  Amplification Equip,20906
20151449,04/14/2015,05/07/2015,2015,Industrial/commercial  construction/repair/demolit,20912
17961,07/25/2006,02/22/2007,2006,Industrial/commercial   Equipment Noise,20910
7228,05/05/1997,06/20/1997,1997,Residential House/yard,20853
1013,09/28/2000,12/12/2000,2000,Industrial/commercial  construction/repair/demolit,20814
12917,05/30/2003,06/27/2003,2003,Industrial/commercial  construction/repair/demolit,20878
20131275,10/18/2013,11/20/2013,2013,Industrial/commercial  construction/repair/demolit,20814
7074,04/04/1997,04/23/1997,1997,Industrial/commercial  construction/repair/demolit,
21831,06/08/2009,07/06/2009,2009,Industrial/commercial   Equipment Noise,20815
25930,01/20/2012,05/03/2012,2012,Residential   Construction/repair/demolition,20895
20181693,04/30/2018,05/08/2018,2018,Industrial/commercial   Equipment Noise,20910
20182476,11/01/2018,01/07/2019,2018,Industrial/commercial  construction/repair/demolit,20910
6108,10/31/1996,07/31/1997,1996,Industrial/commercial  construction/repair/demolit,
20151415,04/07/2015,05/06/2015,2015,Noise Industrial/commercial   Leaf Blower Noise,20817
17771,06/13/2006,06/13/2006,2006,Residential   Construction/repair/demolition,20814
19364,08/03/2007,08/27/2007,2007,Industrial/commercial  construction/repair/demolit,20850
7426,06/13/1997,07/14/1997,1997,Residential House/yard,20876
1989900005,07/05/1989,09/11/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
20181607,04/23/2018,07/11/2018,2018,Industrial/commercial  construction/repair/demolit,20832
20161854,06/27/2016,08/02/2016,2016,Noise Industrial/commercial   Leaf Blower Noise,20895
20162465,11/10/2016,11/14/2016,2016,Industrial/commercial   Refuse Noise Collection,20814
16909,11/14/2005,06/02/2006,2005,Industrial/commercial   Equipment Noise,20855
2013825,06/24/2013,10/25/2013,2013,Residential Muti Tenant Dwelling,20815
4402,05/04/1995,05/25/1995,1995,Industrial/commercial   Equipment Noise,
20182492,11/07/2018,02/13/2019,2018,Noise Industrial/commercial   Leaf Blower Noise,20814
20191124,02/06/2019,02/28/2019,2019,Industrial/commercial  construction/repair/demolit,20850
5955,06/13/1996,12/03/1997,1996,Residential House/yard,
20161076,01/21/2016,02/19/2016,2016,Residential   Mechanical,20852
25794,12/14/2011,01/10/2012,2011,Residential   Mechanical,20905
16871,10/28/2005,12/07/2005,2005,Industrial/commercial   Equipment Noise,20871
20514,06/23/2008,07/24/2008,2008,Residential   El  Amplification Equip,20902
20182546,11/26/2018,03/12/2019,2018,Residential Muti Tenant Dwelling,20874
18360,11/07/2006,02/20/2007,2006,Residential   Mechanical,20904
4567,06/15/1995,03/13/1996,1995,Residential   Motor Vehicle Noise,20906
13559,10/07/2003,09/28/2004,2003,Residential   El  Amplification Equip,
2013485,05/06/2013,06/12/2013,2013,Residential Muti Tenant Dwelling,20871
20131273,10/17/2013,10/17/2013,2013,Residential Muti Tenant Dwelling,20910
4453,05/19/1995,06/06/1995,1995,Industrial/commercial   Equipment Noise,20910
23215,04/15/2010,08/11/2010,2010,Industrial/commercial   heat Pump/ac Noise,20901
23422,06/04/2010,09/20/2010,2010,Residential   El  Amplification Equip,20855
20684,08/04/2008,09/04/2008,2008,Residential   Construction/repair/demolition,20910
1991920485,10/09/1991,10/18/1991,1991,Residential Muti Tenant Dwelling,20832
2013445,04/26/2013,06/10/2013,2013,Industrial/commercial  construction/repair/demolit,20841
5706,04/22/1996,09/23/1996,1996,Residential House/yard,
1990900900,04/11/1990,05/01/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
23425,06/04/2010,08/08/2011,2010,Industrial/commercial   Equipment Noise,20901
24246,01/03/2011,07/01/2011,2011,Industrial/commercial  construction/repair/demolit,20852
2013120,01/23/2013,03/08/2013,2013,Industrial/commercial   Equipment Noise,20906
12874,04/28/2003,04/28/2003,2003,Information Request,
15700,12/30/2004,03/24/2005,2004,Industrial/commercial   Equipment Noise,20815
20162030,08/01/2016,12/05/2016,2016,Residential Muti Tenant Dwelling,20904
20161418,04/28/2016,06/20/2016,2016,Residential Muti Tenant Dwelling,20841
20182030,07/11/2018,07/31/2018,2018,Industrial/commercial   heat Pump/ac Noise,20817
20192314,08/29/2019,09/12/2019,2019,Industrial/commercial   Equipment Noise,20814
23177,04/09/2010,08/04/2010,2010,Industrial/commercial   Refuse Noise Collection,20814
2013927,07/11/2013,08/12/2013,2013,Residential   Construction/repair/demolition,20816
9105,09/29/1999,10/27/1999,1999,Industrial/commercial   Electrical Amp Equip,20855
2013145,01/28/2013,02/01/2013,2013,Residential Muti Tenant Dwelling,20850
5371,01/24/1996,03/07/1996,1996,Industrial/commercial   Equipment Noise,20874
4688,07/12/1995,07/27/1995,1995,Industrial/commercial  construction/repair/demolit,
8201,05/13/1999,08/23/1999,1999,Residential   El  Amplification Equip,20866
20162564,12/06/2016,01/09/2017,2016,Industrial/commercial   Electrical Amp Equip,20814
9083,09/16/1999,11/09/1999,1999,Residential   Mechanical,20912
20182621,12/11/2018,04/03/2019,2018,Waiver Request,20814
301,03/29/2000,04/19/2000,2000,Industrial/commercial  construction/repair/demolit,20866
2014290,02/26/2014,03/28/2014,2014,Industrial/commercial  construction/repair/demolit,20910
1991920375,09/17/1991,10/21/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
20182419,10/18/2018,03/21/2019,2018,Waiver Request,20852
2013302,03/18/2013,12/11/2013,2013,Industrial/commercial   Equipment Noise,20895
27458,01/02/2013,01/03/2013,2013,Residential   Construction/repair/demolition,20817
12888,05/07/2003,05/07/2003,2003,Information Request,
20966,10/17/2008,10/29/2008,2008,Industrial/commercial   Electrical Amp Equip,20910
22662,11/17/2009,11/15/2010,2009,Industrial/commercial  construction/repair/demolit,20815
12714,04/23/2003,04/23/2003,2003,Information Request,
20925,10/08/2008,12/17/2008,2008,Waiver Request,20850
20161430,05/02/2016,05/17/2016,2016,Residential House/yard,20815
9588,03/05/1998,05/05/1998,1998,Residential House/yard,20815
2014583,04/25/2014,04/30/2014,2014,Industrial/commercial  construction/repair/demolit,20850
13627,10/21/2003,12/18/2003,2003,Residential   Mechanical,20850
16484,07/05/2005,08/18/2005,2005,Residential   El  Amplification Equip,
1989900148,08/10/1989,09/12/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
8567,03/26/1999,06/01/1999,1999,Industrial/commercial   Equipment Noise,20910
25585,10/18/2011,10/28/2011,2011,Industrial/commercial  construction/repair/demolit,20815
20152323,10/14/2015,10/19/2015,2015,Residential   Mechanical,20901
23234,04/20/2010,06/16/2010,2010,Residential   El  Amplification Equip,20903
9929,05/22/1998,06/18/1998,1998,Industrial/commercial   Equipment Noise,20874
20162315,10/06/2016,10/31/2016,2016,Residential Muti Tenant Dwelling,20906
9510,02/12/1998,06/17/1998,1998,Residential   Mechanical,
20151706,05/26/2015,06/12/2015,2015,Residential   El  Amplification Equip,20874
4751,08/01/1995,11/20/1995,1995,Industrial/commercial   Electrical Amp Equip,20902
26334,05/01/2012,07/09/2012,2012,Waiver Request,20910
22959,02/24/2010,03/01/2010,2010,Industrial/commercial  construction/repair/demolit,
20171463,04/21/2017,11/27/2017,2017,Industrial/commercial   Refuse Noise Collection,20910
20151860,07/01/2015,03/21/2016,2015,Industrial/commercial   Equipment Noise,20910
9020,10/27/1999,07/14/2000,1999,Residential   Mechanical,20815
2013524,05/16/2013,05/24/2013,2013,Industrial/commercial  construction/repair/demolit,20815
20131417,11/25/2013,04/14/2014,2013,Industrial/commercial   Electrical Amp Equip,20906
20192572,10/18/2019,12/16/2019,2019,Waiver Request,20814
4422,05/09/1995,06/08/1995,1995,Industrial/commercial   Equipment Noise,
649,06/28/2000,09/12/2000,2000,Industrial/commercial   Equipment Noise,20904
24523,03/21/2011,07/06/2011,2011,Industrial/commercial   Electrical Amp Equip,20814
7514,07/03/1997,07/15/1997,1997,Industrial/commercial   Equipment Noise,20854
2127,06/05/2001,03/21/2002,2001,Industrial/commercial   Equipment Noise,20904
20182567,11/29/2018,12/19/2018,2018,Noise Industrial/commercial   Leaf Blower Noise,20854
27195,10/26/2012,04/01/2013,2012,Residential   El  Amplification Equip,20876
2215,07/03/2001,09/18/2001,2001,Residential   Motor Vehicle Noise,20837
7205,04/28/1997,05/15/1997,1997,Residential House/yard,20874
20151722,05/29/2015,12/16/2015,2015,Industrial/commercial   Electrical Amp Equip,20850
20131328,11/01/2013,11/25/2013,2013,Residential   El  Amplification Equip,20816
20060,03/12/2008,05/16/2008,2008,Industrial/commercial  construction/repair/demolit,20815
1989900030,07/12/1989,07/26/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
20131140,09/10/2013,02/21/2014,2013,Residential   Construction/repair/demolition,20814
2013151,01/30/2013,01/02/2014,2013,Industrial/commercial  construction/repair/demolit,20814
9363,01/13/1998,03/02/1998,1998,Residential House/yard,20901
10695,11/12/1998,12/17/1998,1998,Industrial/commercial   Equipment Noise,20814
20172596,12/12/2017,01/09/2018,2017,Industrial/commercial  construction/repair/demolit,20872
54,01/27/2000,03/15/2000,2000,Residential   El  Amplification Equip,20832
2096,05/31/2001,07/11/2001,2001,Industrial/commercial   Equipment Noise,20816
18967,05/04/2007,05/17/2007,2007,Residential   El  Amplification Equip,20874
25391,08/29/2011,09/20/2011,2011,Residential   Construction/repair/demolition,20904
25098,06/15/2011,09/05/2012,2011,Residential   El  Amplification Equip,20855
15107,08/09/2004,09/01/2004,2004,Industrial/commercial  construction/repair/demolit,20904
9178,10/19/1999,10/28/1999,1999,Industrial/commercial   Equipment Noise,20895
9922,05/22/1998,06/26/1998,1998,Residential   Mechanical,20902
20171435,04/14/2017,08/30/2017,2017,Industrial/commercial  construction/repair/demolit,20850
25313,08/05/2011,08/16/2011,2011,Residential   El  Amplification Equip,20817
20131233,10/08/2013,10/18/2013,2013,Industrial/commercial  construction/repair/demolit,20853
2013713,06/17/2013,09/04/2013,2013,Residential   Construction/repair/demolition,20815
26130,03/19/2012,11/02/2012,2012,Residential   Mechanical,20861
20192389,09/16/2019,10/15/2019,2019,Industrial/commercial   Electrical Amp Equip,20886
10714,12/07/1998,01/07/1999,1998,Residential   El  Amplification Equip,20879
22912,02/01/2010,03/01/2010,2010,Residential   Construction/repair/demolition,20874
20181130,02/12/2018,06/07/2018,2018,Waiver Request,20814
14366,03/30/2004,04/06/2004,2004,Industrial/commercial   Equipment Noise,20910
