Application Type,Application Number,Process Date,Issued Date,Final Date,Expire Date,Type and purpose of work,Use Group,Watershed,Tributary,WSSC map grid,Tax map,Location,Street number,Street Pre direction,Street name,Street Post direction,Street suffix,City,State,Zip Code,Count Street Map Coordinate,Disturbed Area 100 Year FD,Impervious Surface 100 Year FD,State Water Use,Comments,Location1
FLOODPLAIN DISTRICT PERMIT,203691,03/15/2000,03/23/2000,11/01/2005,11/01/2007,SINGLE FAMILY RESIDENTIAL DEVELOPMENT,,LPB,#1,220NE4,KS561; KR563,"BLACKBURN VILLAGE, LOTS 1-17, PARCELS C & D/4; LOTS 18 & 19, PARCELS A & B/4",,,,,,,,,32F3,3484.80,0,0,,
FLOODPLAIN DISTRICT PERMIT,271782,10/25/2011,02/02/2012,,02/02/2014,THE PURPOSE OF THE WORK IS TO CONSTRUCT A NEW 4 LANE MASTER PLANNED ROADWAY,,LRC,UNNAMED,216-16NW4-5,HQ123; HQ343,,,,,,,,,,5285C-G2,30900,47029,0,,
FLOODPLAIN DISTRICT PERMIT,204742,05/05/2000,06/15/2000,,,REPAIR & OVERLAY ASPHALT ON LTL FALLS PKWY,,LFB,LITTLE FAL,208NW5,HN121,"LITTLE FALLS PARKWAY, BETHESDA",,,,,,,,,40 K-1,31798.80,6534000,0,,
FLOODPLAIN DISTRICT PERMIT,229650,05/28/2004,07/02/2004,09/05/2012,07/03/2006,"SWM GRADING IN FP BUFFER.  STROMDRAIN OUTFALL IN FLOODPLAIN.  SEE SC#210955, BIKEPATH WITHIN BUFFER.",,LSC,MAIN STEM,230 & 231NW13,EV43,"LITTLE SENECA PKWY, WEST OF MD RT 355, CLARKSBURG, 20871",,,,,,,,,9E8,60500,0,0,Parcels 888 & 617,
FLOODPLAIN DISTRICT PERMIT,206930,08/31/2000,11/21/2000,,,"INSTALLATION OF A 10 FOOT WIDE BOARDWALK, 860 FEET LONG",,LSC,,229NW13,,"BLACK HILL REGIONAL PARK, END OF CRYSTAL ROCK DRIVE, GERMANTOWN",,,,,,,,,9C11,172,0,0,,
FLOODPLAIN DISTRICT PERMIT,242996,02/01/2006,07/17/2009,04/02/2010,04/02/2012,"INSTALL SWM OUTFALL, SER LINES 7 8' HARD SURFACE PATH W/IN 100-YEAR FP &/OR 25' BRL.",,LSC,,230NW13,EV341,"WEST OLD BALTIMORE ROAD, BOYDS, MD 20841",,,,,,,,,9E10,41135,30650,0,"Parcels P600, P457",
FLOODPLAIN DISTRICT PERMIT,264883,03/12/2010,,,,DISTURBANCE IS FOR POND 9 OUTFALL. POND 9 IS TO BE INSTALLED AS PART OF THE CABIN BRANCH - TOLL 2,,LSC,,230NW14,EV22,"WEST OLD BALTIMORE ROAD, I-270 AND CLARKSBURG ROAD",,,,,,,,,EV562,2834,,4,CABIN BRANCH - TOLL 2 - POND 9,
FLOODPLAIN DISTRICT PERMIT,221847,05/23/2003,08/27/2003,12/18/2015,,"INSTALLATION OF HIGH PROFILE 27'-3""X 15'-5"" ALUMINIZED ARCH CULVERT TO ACCOMMIDATE CLARKSBURG SQUARE RD XING.",,LSC,,233NW13,,"CLARKSBURG RD & STRINGTOWN RD, PARCEL A",,,,,,,,,,32200,5210,0,"Clarksburg Town Center Phase 2 B, Parcel A",
FLOODPLAIN DISTRICT PERMIT,208529,10/10/2000,07/26/2004,01/16/2007,01/16/2009,ROADWAY SAFETY IMPROVEMENTS (REPLACING EXISTING BRIDGE SUPERSTRUCTURE & RECONSTRUCTING/WIDENING ROADWAY,,URC,,225NW6,,WEST OF HOLLINGSWORTH DR TO EAST OF AGRICULTURAL HISTORY FARM PARK,,,,,,,,,,111949.2,28314,0,,
FLOODPLAIN DISTRICT PERMIT,258410,07/02/2008,11/19/2008,08/03/2011,08/03/2013,REPLACEMENT OF CLARKSBURG BRIDGE NO. 009B OVER BENNETT CREEK,CONS,,,,,"CLARKSBURG ROAD CROSSING BENNETT CREEK, DAMASCUS, MD",,,,,,,,,,"22,600","8,226",0,,
