ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Tested Configuration,Griddle Plate Type Description,Width (ft.),Depth (ft.),Cooking Surface (sq. ft.),Cooking Energy Efficiency (%),Production Capacity (lbs/hr),Energy Use (Normalized Idle Energy) (Btu/h/sq. ft.),Energy Use (Normalized Idle Energy) (Watts/sq. ft.),Top Platen Type,Date Available on Market,Date Qualified,Markets,CB Model Identifier
1723365,Taylor Company,Taylor Company,Gas/Electric Griddle,C835-23,,Double-Sided,Gas,Double-Sided,Steel T-1,3,2,6,35,33,,,,01/19/2010,03/31/2011,"United States, Canada",ES_1084409_C835-23_05312012101933_1000066
1723389,Taylor Company,Taylor Company,Electric Griddle,C832-23,,Double-Sided,Electric,Double-Sided,Steel T-1,3,2,6,72,51,0,0,,01/01/2007,08/25/2011,"United States, Canada",ES_1084409_C832-23_05312012101933_1000070
1725101,Garland Group (A division of Welbilt),Garland,McDonald's 2P World Grill w/PRC,MWG2W,,Double-Sided,Gas,Double-Sided,Polished Steel,3,2,6,0.52,45,1180,0,Integrated,06/15/2007,03/31/2011,"United States, Canada",ES_1086332_MWG2W_05312012155008_1151344
1725994,MagiKitch'n Inc.,Magikitch'n,MKE36 (Chrome Top),MKE36 (Chrome Top),"MKE36 (Chrome Top),MKE36 (Chrome Top),",Single-Sided,Electric,Single-Sided,Chrome Top/flat finish,3,2,6,79.58,43,,244,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKE36 (Chrome Top)_06042012164759_8479696
1725995,MagiKitch'n Inc.,Magikitch'n,MKE36 (Plain Top),MKE36 (Plain Top),",,MKE48, MKE60, MKE72 (plain); MKE48 (Plain Top),MKE48 (Plain Top),MKE48, MKE60, MKE72 (plain); MKE60 (Plain Top),MKE60 (Plain Top),MKE48, MKE60, MKE72 (plain); MKE72 (Plain Top),MKE72 (Plain Top),MKE48, MKE60, MKE72 (plain)",Single-Sided,Electric,Single-Sided,Plain Top/flat finish,3,2,6,77.42,43,,319,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKE36 (Plain Top)_06042012164731_8451577
1725996,MagiKitch'n Inc.,Magikitch'n,MKH36 (Chrome Top),MKH36 (Chrome Top),,Single-Sided,Gas,Single-Sided,Chrome Top/flat finish,3,2,6,45.11,45,1879,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH36 (Chrome Top)_06042012164839_8519204
1725997,MagiKitch'n Inc.,Magikitch'n,MKH36 (Plain Top),MKH36 (Plain Top),,Single-Sided,Gas,Single-Sided,Plain Top/flat finish,3,2,6,45.14,45,2153,,,06/01/2011,05/27/2011,United States,ES_1105798_PITCO FRIALATOR INC (181040) | MKH36 (Plain Top)_06042012164823_8503051
1728315,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,GGF*****24,,Single-Sided,Gas,Single-Sided,"Flat, stainless steel",2,2.4,4.8,0.41,31,2534,,,01/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | GGF*****24_06042012212558_5158876
1728316,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,GGF*****36,"Accu-Steam,GGF*****48,",Single-Sided,Gas,Single-Sided,"Flat, stainless steel",3,2.4,7.1,0.47,51,2562,,,02/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | GGF*****36_06042012212709_5229868
1728317,"Accutemp Products, Inc.",AccuTemp,Accu-Steam,PGF*****24,,Single-Sided,Gas,Single-Sided,"Flat, stainless steel",2,2.4,4.8,0.41,31,2534,,,03/01/2002,04/07/2011,"United States, Canada",ES_1105798_ACCUTEMP PRODUCTS INC (263239) | PGF*****24_06042012212733_5253586
