Reporting Area,MMWR Year,MMWR Week,"Vancomycin-intermediate Staphylococcus aureus, Current week","Vancomycin-intermediate Staphylococcus aureus, Current week, flag","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-intermediate Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†","Vancomycin-intermediate Staphylococcus aureus, Cum 2020†, flag","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†","Vancomycin-intermediate Staphylococcus aureus, Cum 2019†, flag","Vancomycin-resistant Staphylococcus aureus, Current week","Vancomycin-resistant Staphylococcus aureus, Current week, flag","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†","Vancomycin-resistant Staphylococcus aureus, Previous 52 weeks Max†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2020†","Vancomycin-resistant Staphylococcus aureus, Cum 2020†, flag","Vancomycin-resistant Staphylococcus aureus, Cum 2019†","Vancomycin-resistant Staphylococcus aureus, Cum 2019†, flag","Varicella morbidity, Current week","Varicella morbidity, Current week, flag","Varicella morbidity, Previous 52 weeks Max†","Varicella morbidity, Previous 52 weeks Max†, flag","Varicella morbidity, Cum 2020†","Varicella morbidity, Cum 2020†, flag","Varicella morbidity, Cum 2019†","Varicella morbidity, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEW YORK,2020,18,,-,1,,,-,2,,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20201811,POINT (-75.59655 42.921241)
PACIFIC,2020,18,,-,0,,,-,1,,,-,0,,,-,,-,,-,6,,18,,42,,,PACIFIC,20201857,
WEST SOUTH CENTRAL,2020,18,,-,2,,,-,2,,,-,0,,,-,,-,,-,84,,171,,459,,,WEST SOUTH CENTRAL,20201843,
NEBRASKA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,18,,NEBRASKA,,20201825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,18,,-,1,,,-,1,,,-,1,,,-,,-,,-,12,,21,,80,,,EAST SOUTH CENTRAL,20201838,
NORTH DAKOTA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,16,,13,,NORTH DAKOTA,,20201826,POINT (-100.46931 47.446305)
NEVADA,2020,18,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20201853,POINT (-114.916992 39.283294)
ILLINOIS,2020,18,,-,1,,,-,2,,,-,0,,,-,,-,,-,16,,57,,160,,ILLINOIS,,20201815,POINT (-89.148632 40.124144)
MASSACHUSETTS,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,,-,13,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
MIDDLE ATLANTIC,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,7,,35,,13,,44,,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200212,
INDIANA,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,,-,10,,1,,5,,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,16,,,-,18,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
WISCONSIN,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,6,,13,,10,,12,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,1,,22,,1,,20,,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,1,,9,,1,,5,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,N,,NC,,N,,N,,-,0,,,-,,-,,-,3,,,-,1,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,18,,31,,34,,24,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,,-,18,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,3,,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,2,,7,,2,,1,,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,3,,29,,5,,26,,,MOUNTAIN,20200248,
ARIZONA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,1,,20,,3,,3,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
IDAHO,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,3,,MONTANA,,20200252,POINT (-109.645127 47.033521)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
CALIFORNIA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,
TOTAL,2020,4,,-,5,,,-,3,,,-,1,,1,,,-,45,,227,,261,,595,,,TOTAL,20200470,
PACIFIC,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,3,,4,,,PACIFIC,20200457,
US RESIDENTS,2020,17,25,,290,,1675,,2473,,,-,22,,12,,25,,,,,,,,,,,US RESIDENTS,20201701,
NEW HAMPSHIRE,2020,17,,-,2,,,-,4,,,-,1,,,-,,-,,,,,,,,,NEW HAMPSHIRE,,20201706,POINT (-71.57139 43.680429)
NEW YORK,2020,17,1,,16,,53,,56,,,-,1,,,-,,-,,,,,,,,,NEW YORK,,20201711,POINT (-75.59655 42.921241)
ILLINOIS,2020,17,,-,54,,46,,77,,,-,1,,1,,,-,,,,,,,,,ILLINOIS,,20201715,POINT (-89.148632 40.124144)
US RESIDENTS,2020,16,,-,5,,8,,20,,,-,1,,,-,,-,12,,228,,896,,2724,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,N,,NC,,N,,N,,-,0,,,-,,-,,-,3,,,-,19,,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,1,,,-,1,,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20201611,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,16,,-,1,,,-,2,,,-,0,,,-,,-,,-,58,,48,,377,,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,15,,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,1,,,-,1,,,-,1,,,-,,-,,-,12,,14,,71,,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,15,,12,,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,1,,,-,1,,,-,0,,,-,,-,,-,16,,41,,146,,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,1,,,-,2,,,-,0,,,-,,-,,-,57,,39,,320,,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,7,,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,2,,,-,12,,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,1,,1,,,-,,-,1,,,-,,-,,-,21,,64,,223,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,2,,19,,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,3,,5,,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,1,,,-,,-,,-,1,,,-,,-,,-,5,,2,,32,,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,1,,1,,1,,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,0,,,-,1,,,-,0,,,-,,-,,-,17,,10,,145,,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,1,,30,,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,2,,2,,7,,,-,0,,,-,,-,1,,48,,252,,588,,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,0,,,-,1,,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,1,,42,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,5,,52,,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,2,,2,,1,,,-,0,,,-,,-,1,,24,,111,,131,,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,25,,122,,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,2,,25,,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,1,,4,,15,,15,,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,1,,2,,2,,,-,0,,,-,,-,4,,61,,251,,600,,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,1,,1,,2,,,-,0,,,-,,-,3,,20,,78,,144,,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,35,,56,,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,N,,NC,,N,,N,,-,0,,,-,,-,3,,13,,20,,81,,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,2,,13,,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,6,,13,,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
MAINE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,14,,32,,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,1,,,-,1,,,-,0,,,-,,-,2,,14,,27,,146,,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
ARIZONA,2020,16,,-,1,,1,,2,,,-,0,,,-,,-,,-,13,,46,,117,,ARIZONA,,20201649,POINT (-111.664616 34.293239)
PACIFIC,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,5,,7,,,PACIFIC,20200557,
AMERICAN SAMOA,2020,16,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201664,
WISCONSIN,2020,16,,-,1,,,-,2,,,-,0,,,-,,-,,-,14,,37,,87,,WISCONSIN,,20201619,POINT (-89.732969 44.639954)
TOTAL,2020,3,,-,5,,,-,2,,,-,1,,,-,,-,83,,227,,205,,426,,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,5,,,-,2,,,-,1,,,-,,-,83,,227,,205,,426,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,,-,5,,,-,3,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,3,,4,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,8,,58,,16,,31,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,2,,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,13,,5,,13,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,4,,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,18,,6,,26,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,8,,57,,14,,27,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,3,,,-,1,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,3,,25,,7,,35,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,5,,,-,1,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,1,,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,6,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,17,,,-,35,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,6,,,-,1,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,2,,,-,1,,,-,1,,,-,,-,13,,48,,50,,98,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,3,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,8,,5,,11,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,5,,24,,20,,19,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,17,,1,,20,,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,4,,1,,3,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,28,,61,,68,,102,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,10,,20,,25,,29,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,9,,1,,21,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,7,,13,,9,,8,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,7,,5,,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,3,,6,,6,,7,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,3,,20,,4,,19,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,12,,20,,16,,6,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,5,,13,,15,,16,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,2,,16,,7,,30,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,17,,1,,24,,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,2,,4,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,7,,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,,-,3,,1,,2,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,4,,,-,,-,,-,0,,,-,,-,,-,9,,2,,9,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,10,,35,,25,,64,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,1,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,24,,31,,58,,46,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,5,,1,,6,,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,4,,,-,,-,,-,0,,,-,,-,1,,22,,4,,37,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,16,,,-,19,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,20,,29,,27,,42,,,MOUNTAIN,20200348,
INDIANA,2020,3,,N,,NC,,N,,N,,-,0,,,-,,-,1,,10,,2,,7,,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
US RESIDENTS,2020,4,,-,5,,,-,3,,,-,1,,1,,,-,45,,227,,261,,595,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,-,5,,,-,4,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK,,20200411,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,7,,58,,23,,43,,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,2,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,1,,,-,,-,,-,1,,1,,,-,,-,13,,5,,19,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,4,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,1,,18,,13,,38,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,5,,57,,19,,36,,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,3,,,-,3,,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,N,,NC,,N,,N,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,1,,25,,9,,50,,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,1,,5,,1,,1,,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,3,,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,1,,,-,,-,,-,1,,1,,,-,,-,5,,,-,9,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
