LOBBYIST,REGISTERED_BY,RENEWAL_DATE,TERMINATION_DATE,REGISTRANT_ID,REGISTERED_BY_ID,geom
"Cosgrove Jr., Joseph E.",Self,03/27/2021 12:00:00 AM,,RG0016,RG0016,
"Delp, Robert K.",Self,,04/06/2018 12:00:00 AM,RG0017,RG0017,
"Erwin, Gay T.","Strategic Partnerships, Inc.",07/17/2020 12:00:00 AM,,RG0023,RG0113,
"Francis, William B.",Self,,06/07/2017 12:00:00 AM,RG0024,RG0024,
"Haase, Victoria G.",Thrower Design,07/12/2020 12:00:00 AM,,RG0028,RG0108,
"Harris, Jerry L.",Self,04/26/2021 12:00:00 AM,,RG0029,RG0029,
"Miller, Steven J.",Self,,07/18/2017 12:00:00 AM,RG0055,RG0055,
"Moorhead, Scott",Self,,09/27/2017 12:00:00 AM,RG0056,RG0056,
"Williams, Talley","Metcalfe, Wolff, Stuart & Williams, LLP",06/01/2020 12:00:00 AM,,RG0082,RG0080,
"Lynch, Michele","Metcalfe, Wolff, Stuart & Williams, LLP",06/01/2020 12:00:00 AM,,RG0083,RG0080,
"Herring, William","Metcalfe, Wolff, Stuart & Williams, LLP",,04/10/2019 12:00:00 AM,RG0084,RG0080,
"Brown, Amanda","Metcalfe, Wolff, Stuart & Williams, LLP",06/01/2020 12:00:00 AM,,RG0085,RG0080,
"Joslove, Scott K.",Self,,01/09/2018 12:00:00 AM,RG0086,RG0086,
"Rye, Stephen","Stantec Consulting Services, Inc.",,05/31/2018 12:00:00 AM,RG0090,RG0089,
"Curtis, Matthew",Self,06/21/2020 12:00:00 AM,,RG0092,RG0092,
"Visco, Thomas","BVE Partners, LLC",,09/11/2018 12:00:00 AM,RG0093,RG0095,
"Enriquez, Francisco","BVE Partners, LLC",,09/11/2018 12:00:00 AM,RG0094,RG0095,
"Noonan, Thomas J.",Austin Convention & Visitors Bureau,06/26/2020 12:00:00 AM,,RG0097,RG0096,
"Roberts, Cary",Self,07/06/2020 12:00:00 AM,,RG0098,RG0098,
"Shoppa, Dwayne","Stantec Consulting Services, Inc.",,05/31/2018 12:00:00 AM,RG0100,RG0089,
"Gheno, Nicola","Stantec Consulting Services, Inc.",,05/31/2018 12:00:00 AM,RG0101,RG0089,
"Dehghan Niri, Hamid","Stantec Consulting Services, Inc.",,10/05/2017 12:00:00 AM,RG0102,RG0089,
"Isaja, Joseph","Stantec Consulting Services, Inc.",,04/09/2019 12:00:00 AM,RG0103,RG0089,
"Ehlers, Laci M.","McLean & Howard, L. L. P.",07/10/2020 12:00:00 AM,,RG0104,RG0099,
"Coleman, Glen",Self,,05/06/2019 12:00:00 AM,RG0107,RG0107,
"Cook, Neslie",Thrower Design,,07/02/2019 12:00:00 AM,RG0109,RG0108,
"Garcia, Joe",Self,07/14/2020 12:00:00 AM,,RG0110,RG0110,
"Glenn, David",Homebuilders Association of Greater Austin,07/14/2020 12:00:00 AM,,RG0112,RG0111,
"Antu, Edgar","Strategic Partnerships, Inc.",07/17/2020 12:00:00 AM,,RG0114,RG0113,
"Levinski, Robert Bobby",Self,,07/25/2018 12:00:00 AM,RG0115,RG0115,
"Richard, Jeffrey",Self,08/02/2020 12:00:00 AM,,RG0116,RG0116,
"Taylor, Timothy C.","Jackson Walker, L.L.P.",08/16/2020 12:00:00 AM,,RG0118,RG0117,
"Nias, James M.","Jackson Walker, L.L.P.",08/16/2020 12:00:00 AM,,RG0119,RG0117,
"Loayza, Katherine P.","Jackson Walker, L.L.P.",08/16/2020 12:00:00 AM,,RG0120,RG0117,
"Ibarra, Mia",Self,,10/08/2018 12:00:00 AM,RG0121,RG0121,
"Miller, Chris",Self,08/22/2021 12:00:00 AM,,RG0122,RG0122,
"Schrader, Megan",Self,08/25/2020 12:00:00 AM,,RG0123,RG0123,
"Rosen, Laura",Self,,04/10/2018 12:00:00 AM,RG0124,RG0124,
"Wolff, Jessica",Workers Defense Action Fund,09/14/2020 12:00:00 AM,,RG0126,RG0125,
"Gonzalez, Ana",Workers Defense Action Fund,09/14/2020 12:00:00 AM,,RG0127,RG0125,
"Mitchell, Kathleen",Self,,06/01/2018 12:00:00 AM,RG0128,RG0128,
"Hillard, Connor",3 Point Partners,,12/04/2018 12:00:00 AM,RG0131,RG0130,
"Cain, Julienne",Self,11/20/2021 12:00:00 AM,,RG0132,RG0132,
"Serna, Eduardo",Self,12/01/2021 12:00:00 AM,,RG0133,RG0133,
"Alborg, Tim",Self,,09/27/2018 12:00:00 AM,RG0143,RG0143,
"Paffe, Heather",Merck Sharp & Dohme Corp.,,09/05/2019 12:00:00 AM,RG0145,RG0144,
"Timm, Emily",Workers Defense Action Fund,,10/10/2019 12:00:00 AM,RG0146,RG0125,
"Philips, Jerry",Self,,10/10/2018 12:00:00 AM,RG0149,RG0149,
"Walker, Nathaniel J.",Self,,03/30/2019 12:00:00 AM,RG0150,RG0150,
"Riley, Chris",Self,,06/18/2019 12:00:00 AM,RG0154,RG0154,
"Burke, Joshua C.",Self,,10/15/2018 12:00:00 AM,RG0155,RG0155,
"Hartman, David A.",Self,11/03/2021 12:00:00 AM,,RG0030,RG0030,
"Haussmann, Michele C.",Self,10/05/2020 12:00:00 AM,,RG0031,RG0031,
"Howard, Jeffrey S.","McLean & Howard, L. L. P.",07/10/2020 12:00:00 AM,,RG0034,RG0099,
"Jashinsky, Alexandra C.",Self,06/30/2020 12:00:00 AM,,RG0035,RG0035,
"Kennard, Karen",Self,07/19/2020 12:00:00 AM,,RG0038,RG0038,
"Leffingwell, Lee",Self,02/24/2021 12:00:00 AM,,RG0041,RG0041,
"Morrow, Amanda L.",Self,01/06/2021 12:00:00 AM,,RG0057,RG0057,
"Myers, Alice A.",Self,03/29/2021 12:00:00 AM,,RG0058,RG0058,
"Nabers, Mary S.","Strategic Partnerships, Inc.",07/17/2020 12:00:00 AM,,RG0059,RG0113,
"Nathan, Mark R.",Self,,12/19/2019 12:00:00 AM,RG0060,RG0060,
"Neslund, Melissa M.",Self,,11/14/2017 12:00:00 AM,RG0061,RG0061,
"Nickells, Julienne K.",Drenner Group,,11/08/2017 12:00:00 AM,RG0062,RG0106,
"Poall, Steven",Self,01/12/2021 12:00:00 AM,,RG0063,RG0063,
"Poinsett, Royce P.",Self,,07/28/2017 12:00:00 AM,RG0064,RG0064,
"Robinson, Kelan",Self,,04/10/2018 12:00:00 AM,RG0065,RG0065,
"Salinas III, Derlis Trey",3 Point Partners,10/23/2020 12:00:00 AM,,RG0066,RG0130,
"Stephenson, John",Self,,01/03/2018 12:00:00 AM,RG0068,RG0068,
"Stratmann, Mary",Self,,07/07/2017 12:00:00 AM,RG0069,RG0069,
"Suttle, Richard T.",Self,12/22/2020 12:00:00 AM,,RG0070,RG0070,
"Swor, Amanda W.",Drenner Group,07/10/2020 12:00:00 AM,,RG0071,RG0106,
"Theunissen, Trevor",Self,,01/02/2019 12:00:00 AM,RG0073,RG0073,
"Thrower, Allen",Thrower Design,07/12/2020 12:00:00 AM,,RG0074,RG0108,
"Walker, Christopher J.",Self,,12/04/2017 12:00:00 AM,RG0075,RG0075,
"Whellan, Michael J.","Graves, Dougherty, Hearon & Moody, P.C.",,01/26/2018 12:00:00 AM,RG0077,RG0105,
"Buie, Jed",Self,04/27/2021 12:00:00 AM,,RG0079,RG0079,
"Metcalfe, Steven","Metcalfe, Wolff, Stuart & Williams, LLP",06/01/2020 12:00:00 AM,,RG0081,RG0080,
"Randazzo, Chris","Stantec Consulting Services, Inc.",,04/09/2019 12:00:00 AM,RG0158,RG0089,
"Strmiska, Greg","Stantec Consulting Services, Inc.",06/15/2020 12:00:00 AM,,RG0159,RG0089,
"Klingler, Hans J.",Self,,01/07/2019 12:00:00 AM,RG0160,RG0160,
"Clements, G. Ferris",Self,10/10/2020 12:00:00 AM,,RG0164,RG0164,
"Madere, Pamela M.","Jackson Walker, L.L.P.",08/16/2020 12:00:00 AM,,RG0165,RG0117,
"Bradford, Christopher B.","Jackson Walker, L.L.P.",08/16/2020 12:00:00 AM,,RG0169,RG0117,
"Gaudini, Michael J.",Self,04/18/2020 12:00:00 AM,,RG0171,RG0171,
"Anderson, David J.",Drenner Group,07/10/2020 12:00:00 AM,,RG0002,RG0106,
"Armbrust, David B.",Self,01/11/2021 12:00:00 AM,,RG0003,RG0003,
"Bingham Jr., Alfred L.",Self,01/06/2021 12:00:00 AM,,RG0006,RG0006,
"Cancialosi, David C.",Self,09/13/2020 12:00:00 AM,,RG0010,RG0010,
"Clark, Melody",Self,05/08/2020 12:00:00 AM,,RG0014,RG0014,
"Cole, Sheryl",Sheryl Cole & Associates,,04/10/2019 12:00:00 AM,RG0015,RG0151,
"Digneo, Robert H.",Self,07/28/2020 12:00:00 AM,,RG0019,RG0019,
"Drenner, Stephen O.",Drenner Group,07/10/2020 12:00:00 AM,,RG0020,RG0106,
"Gill, Evan C.",Self,,09/06/2017 12:00:00 AM,RG0025,RG0025,
"Heckler, Jeffrey",Texas Solutions Group,,12/26/2018 12:00:00 AM,RG0032,RG0129,
"Johns, Leandre",Self,,11/07/2018 12:00:00 AM,RG0036,RG0036,
"Joseph, John M.",Self,09/06/2020 12:00:00 AM,,RG0037,RG0037,
"King, Micah J.",Self,02/06/2021 12:00:00 AM,,RG0039,RG0039,
"Klingler, Hans",Self,,10/10/2017 12:00:00 AM,RG0040,RG0040,
"Littlefield, Mark",Self,02/08/2021 12:00:00 AM,,RG0042,RG0042,
"Lofye, David C.",Self,,04/08/2018 12:00:00 AM,RG0043,RG0043,
"Lopez, Carlos",Self,01/31/2021 12:00:00 AM,,RG0044,RG0044,
"Lopez Saltarelli, Amelia",Self,,09/29/2017 12:00:00 AM,RG0045,RG0045,
"Lubomudrov, Andrei Y.",Austin Board of Realtors,,04/08/2019 12:00:00 AM,RG0046,RG0134,
"Lucardi, Donald H.",Self,12/27/2021 12:00:00 AM,,RG0047,RG0047,
"Madere, Pamela",Self,,10/09/2018 12:00:00 AM,RG0049,RG0049,
"Martin, Donald G.",Self,,08/03/2017 12:00:00 AM,RG0050,RG0050,
"McLean, William P.","McLean & Howard, L. L. P.",07/10/2020 12:00:00 AM,,RG0051,RG0099,
"Meade, Nikelle S.",Self,04/26/2021 12:00:00 AM,,RG0052,RG0052,
"Miller, Scott",Texas Solutions Group,,12/26/2018 12:00:00 AM,RG0054,RG0129,
"Tahuahua, Geoffrey",Self,01/10/2021 12:00:00 AM,,RG0072,RG0072,
"Ward, Leslie L.",Self,03/02/2021 12:00:00 AM,,RG0076,RG0076,
"Winstead, Pete",Self,12/21/2020 12:00:00 AM,,RG0078,RG0078,
"Bingham, William H.",Self,12/27/2020 12:00:00 AM,,RG0005,RG0005,
"Burget, Erin K.",Self,03/02/2021 12:00:00 AM,,RG0008,RG0008,
"Butts, David J.",Self,12/13/2020 12:00:00 AM,,RG0009,RG0009,
"Carley, Lynn A.",Self,,05/31/2017 12:00:00 AM,RG0012,RG0012,
"Melancon, Rebecca L.",Self,,04/27/2020 12:00:00 AM,RG0087,RG0087,
"Lubbers, Emily",Self,,08/14/2018 12:00:00 AM,RG0088,RG0088,
"Kleeman, Robert",Self,06/19/2020 12:00:00 AM,,RG0091,RG0091,
"Allen, Ray",Self,,07/10/2017 12:00:00 AM,RG0001,RG0001,
"Arnold, Jim A.",Self,,10/03/2017 12:00:00 AM,RG0004,RG0004,
"Bojo, Leah",Drenner Group,07/10/2020 12:00:00 AM,,RG0007,RG0106,
"Cannon, Audrey C.",Self,,07/23/2019 12:00:00 AM,RG0011,RG0011,
"Cesaro, Peter J.","Graves, Dougherty, Hearon & Moody, P.C.",07/10/2020 12:00:00 AM,,RG0013,RG0105,
"DeYoung, Eric H.",Self,,04/18/2018 12:00:00 AM,RG0018,RG0018,
"Duhr, Kellie",Self,,02/16/2018 12:00:00 AM,RG0021,RG0021,
"Dunkerley, Betty J.",Self,08/19/2020 12:00:00 AM,,RG0022,RG0022,
"Gilmore, Henry H.",Self,03/29/2020 12:00:00 AM,,RG0026,RG0026,
"Glasco, Alice K.",Self,09/07/2020 12:00:00 AM,,RG0027,RG0027,
"Rooney, John",Self,,10/01/2019 12:00:00 AM,RG0135,RG0135,
"Whellan, Michael",Self,01/25/2021 12:00:00 AM,,RG0136,RG0136,
"Courtney, Jennifer",Self,,07/08/2019 12:00:00 AM,RG0137,RG0137,
"Townsend, Thomas",Self,01/30/2021 12:00:00 AM,,RG0138,RG0138,
"Leahy, Ed",Self,,05/24/2019 12:00:00 AM,RG0139,RG0139,
"Hansen, William",The ERISA Industry Committee,,01/02/2019 12:00:00 AM,RG0140,RG0141,
"Carley, Lynn A.",Self,,06/04/2018 12:00:00 AM,RG0142,RG0142,
"Huerta, Mayra",Workers Defense Action Fund,09/14/2020 12:00:00 AM,,RG0147,RG0125,
"Meachum, Kurt M.",Self,,09/18/2018 12:00:00 AM,RG0148,RG0148,
"Kegley-Whitehead, Ashley M.",Self,04/26/2020 12:00:00 AM,,RG0152,RG0152,
"Surman, Amanda",Self,04/30/2021 12:00:00 AM,,RG0153,RG0153,
"Edmonson, David",Self,,12/13/2018 12:00:00 AM,RG0156,RG0156,
"Gharakhanian, Stephanie A.",Workers Defense Action Fund,,09/30/2019 12:00:00 AM,RG0157,RG0125,
"Arnold, Jim",Self,,12/06/2018 12:00:00 AM,RG0161,RG0161,
"Barnes, Ben F.",Self,,01/07/2019 12:00:00 AM,RG0162,RG0162,
"Blair, Emily K.",Homebuilders Association of Greater Austin,,12/20/2018 12:00:00 AM,RG0163,RG0111,
"Nuttle, Christopher M.",Self,10/23/2021 12:00:00 AM,,RG0166,RG0166,
"Martinez, Michael",Self,01/09/2021 12:00:00 AM,,RG0167,RG0167,
"Stern, William C.",Self,01/24/2020 12:00:00 AM,,RG0168,RG0168,
"Pierce, Kevin D.","Metcalfe, Wolff, Stuart & Williams, LLP",06/01/2020 12:00:00 AM,,RG0170,RG0080,
"Vilms, Sarah",Squire Patton Boggs,,04/16/2020 12:00:00 AM,RG0173,RG0172,
"Toney, Alexander",Squire Patton Boggs,,01/08/2020 12:00:00 AM,RG0174,RG0172,
"Coleman, Glen",South Llano Strategies,05/07/2020 12:00:00 AM,,RG0176,RG0175,
"Stevenson, Josiah",South Llano Strategies,,01/10/2020 12:00:00 AM,RG0177,RG0175,
"Alborg, Tim",Spin,,07/25/2019 12:00:00 AM,RG0179,RG0178,
"Everhart, Amy",Austin Board of Realtors,,04/04/2020 12:00:00 AM,RG0180,RG0134,
"Lucio, Daniel",Self,06/26/2020 12:00:00 AM,,RG0181,RG0181,
"Ciliberto, Carrie L.",Homebuilders Association of Greater Austin,07/14/2020 12:00:00 AM,,RG0182,RG0111,
"Irion, Terrence L.",Self,10/08/2020 12:00:00 AM,,RG0183,RG0183,
"Delp, Robert K.",Self,01/15/2021 12:00:00 AM,,RG0184,RG0184,
"Visco, Thomas A.",Self,01/16/2021 12:00:00 AM,,RG0185,RG0185,
"Smith, Sharon J.",Self,02/19/2021 12:00:00 AM,,RG0186,RG0186,
"Gullatt, Dowe D.",Self,03/19/2021 12:00:00 AM,,RG0187,RG0187,
"Gharakhanian, Stephanie A.",Workers Defense Action Fund,09/14/2020 12:00:00 AM,,RG0188,RG0125,
