License number,Limited Electrician Business License,Applicant name,License date,Issue date,Expire date,Insurance expiration date,Address - Line 1,Address - Line 2,City,STATE,ZipCode,Location
EL5372,LIMITED ELECTRICAL BUSINESS,_ SYSTCOM INC,12/22/1987,12/22/1987,12/22/2021,02/01/2021,707 EAST ORDNANCE RD,SUITE 401,BALTIMORE,MD,21226,"707 EAST ORDNANCE RDSUITE 401
BALTIMORE, MD 21226
(39.202455, -76.597084)"
EL5408,LIMITED ELECTRICAL BUSINESS,_ AMERICAN AUTOMATION & COMMUN.,02/08/1994,02/08/1994,02/08/2022,08/15/2020,4801 TELSA DRIVE,SUITE A,BOWIE,MD,20715,"4801 TELSA DRIVESUITE A
BOWIE, MD 20715"
EL4144,LIMITED ELECTRICAL BUSINESS,_ QUALITY COMMUNICATIONS INC.,02/12/2004,02/19/2004,02/19/2022,01/01/2021,44645 GUILFORD DRIVE #204,,ASHBURN,VA,20147,"44645 GUILFORD DRIVE #204
ASHBURN, VA 20147
(39.021807, -77.455884)"
EL3845,LIMITED ELECTRICAL BUSINESS,_ SIGNATURE COMMUNICATIONS INC.,02/13/2002,02/13/2002,02/13/2022,09/30/2020,1671 BOWERSOX RD,,NEW WINDSOR,MD,21776,"1671 BOWERSOX RD
NEW WINDSOR, MD 21776
(39.526955, -77.055405)"
EL223385,LIMITED ELECTRICAL BUSINESS,_ CABLING SOLUTIONS INC,12/01/2016,12/01/2016,12/01/2020,03/01/2021,200 AZAR COURT,,BALTIMORE,MD,21227,"200 AZAR COURT
BALTIMORE, MD 21227
(39.258328, -76.681762)"
EL5604,LIMITED ELECTRICAL BUSINESS,_ CHESAPEAKE SYSTEMS SERVICE INC,02/08/2006,02/08/2006,02/08/2022,04/09/2020,10921 PUMP HOUSE ROAD,,ANNAPOLIS JUNCTION,MD,20701,"10921 PUMP HOUSE ROAD
ANNAPOLIS JUNCTION, MD 20701
(39.131274, -76.791931)"
EL5475,LIMITED ELECTRICAL BUSINESS,_ SLOMIN'S INC,01/28/1998,01/28/1998,01/28/2022,12/03/2020,7484 N-P CANDLEWOOD ROAD,,HANOVER,MD,21076,"7484 N-P CANDLEWOOD ROAD
HANOVER, MD 21076
(39.160344, -76.703521)"
EL227113,LIMITED ELECTRICAL BUSINESS,_ LOWE VOLTAGE LLC dba GET WIRED,08/12/2019,08/27/2019,08/27/2021,03/12/2021,664 SHEPHERD LANE,,SHEPHERDSTOWN,WV,25443,"664 SHEPHERD LANE
SHEPHERDSTOWN, WV 25443
(39.425734, -77.830791)"
EL212422,LIMITED ELECTRICAL BUSINESS,_ INTERCONNECT SERVICES INC,12/11/2013,12/11/2013,12/11/2021,03/01/2021,1212 PHILCO RD,,BALTIMORE,MD,21237,"1212 PHILCO RD
BALTIMORE, MD 21237
(39.35854, -76.454873)"
EL3960,LIMITED ELECTRICAL BUSINESS,_ INFINITI TECHNOLOGIES,12/27/2002,01/07/2003,01/07/2021,03/01/2021,9689 A GERWIG LANE,,BALTIMORE,MD,21046,"9689 A GERWIG LANE
BALTIMORE, MD 21046
(39.175381, -76.846909)"
EL5057,LIMITED ELECTRICAL BUSINESS,_ ADT LLC,07/20/1971,07/20/1971,08/16/2020,10/01/2020,45 W WATKINS MILL RD,SUITE B,GAITHERSBURG,MD,20878,"45 W WATKINS MILL RDSUITE B
GAITHERSBURG, MD 20878"
EL5090,LIMITED ELECTRICAL BUSINESS,_ ADRIAN L MERTON INC,06/27/1975,06/27/1975,02/28/2022,12/01/2020,9151 HAMPTON OVERLOOK,,CAPITOL HEIGHTS,MD,20743,"9151 HAMPTON OVERLOOK
CAPITOL HEIGHTS, MD 20743
(38.886456, -76.848015)"
EL5605,LIMITED ELECTRICAL BUSINESS,_ SECURITY & ENERGY TECHNOLOGIES CORP,03/16/2006,03/22/2006,03/22/2022,01/01/2021,4200 LAFAYETTE CENTER DRIVE,SUITE Q,CHANTILLY,VA,20151,"4200 LAFAYETTE CENTER DRIVESUITE Q
CHANTILLY, VA 20151"
EL213263,LIMITED ELECTRICAL BUSINESS,_ TRUE SECURITY LLC,02/27/2014,03/19/2014,03/19/2022,12/19/2020,7512 MAIN STREET,,SYKESVILLE,MD,21784,"7512 MAIN STREET
SYKESVILLE, MD 21784
(39.368347, -76.96999)"
EL222770,LIMITED ELECTRICAL BUSINESS,_ UNTICORP INC,03/14/2016,03/24/2016,03/24/2022,03/01/2021,8620 DAKOTA DRIVE,,GAITHERSBURG,MD,20877,"8620 DAKOTA DRIVE
GAITHERSBURG, MD 20877
(39.126635, -77.1767)"
EL5437,LIMITED ELECTRICAL BUSINESS,_ DATAWATCH SYSTEMS INC.,02/17/2000,02/17/2000,03/26/2022,10/01/2020,"4401 EAST WEST HWY., #500",#500,BETHESDA,MD,20814,"4401 EAST WEST HWY., #500#500
BETHESDA, MD 20814
(38.985246, -77.089745)"
EL222732,LIMITED ELECTRICAL BUSINESS,_ PERMALOC SECURITY DEVICES INC,02/18/2016,04/20/2016,04/20/2022,03/01/2021,P O BOX 4699,,SILVER SPRING,MD,20914,"P O BOX 4699
SILVER SPRING, MD 20914"
EL212944,LIMITED ELECTRICAL BUSINESS,_ NETCO INC,01/30/2014,04/11/2014,04/11/2022,07/01/2020,10 W COLLEGE TERRACE,SUITE 220,FREDERICK,MD,21701,"10 W COLLEGE TERRACESUITE 220
FREDERICK, MD 21701
(30.862767, -93.762823)"
EL222772,LIMITED ELECTRICAL BUSINESS,_ MIDPOINT TECHNOLOGY GROUP LLC,03/15/2016,03/24/2016,03/24/2022,02/03/2021,7380 COCA COLA DRIVE,SUITE 100,HANOVER,MD,21076,"7380 COCA COLA DRIVESUITE 100
HANOVER, MD 21076"
EB5512,LIMITED ELECTRICAL BUSINESS,_,,,,,,,,,,
EL5060,LIMITED ELECTRICAL BUSINESS,_ DEVCON SECURITY SERVICES CORP,05/13/2011,05/24/2011,05/24/2013,02/28/2013,15726 CRABBS BRANCH WAY,,ROCKVILLE,MD,20855,"15726 CRABBS BRANCH WAY
ROCKVILLE, MD 20855
(39.113031, -77.156696)"
EL5273,LIMITED ELECTRICAL BUSINESS,_ AMERICAN COMMERCIAL TELCOM INC,02/17/2000,02/17/2000,01/10/1989,,013505  JUSTICE  RD,,ROCKVILLE,MD,20853,"013505 JUSTICE RD
ROCKVILLE, MD 20853
(39.07745, -77.091321)"
EL5053,LIMITED ELECTRICAL BUSINESS,_ ALLIED ATLANTIC SIGNS INC,02/17/2000,02/17/2000,02/04/1991,,7540  RICKENBACKER  DR,,GAITHERSBURG,MD,20879,"7540 RICKENBACKER DR
GAITHERSBURG, MD 20879
(39.173044, -77.154688)"
EL5610,LIMITED ELECTRICAL BUSINESS,"_ PROLAWN LANDSCAPE LIGHTING, LLC.",07/07/2006,07/14/2006,07/14/2010,08/26/2006,1406 SHOEMAKER ROAD,,BALTIMORE,MD,21209,"1406 SHOEMAKER ROAD
BALTIMORE, MD 21209
(39.383571, -76.658991)"
EL5470,LIMITED ELECTRICAL BUSINESS,_ T & T CLIMATE CONCEPTS,11/18/1997,11/18/1997,11/18/1999,,19716  WOOTTON  AVE,,POOLESVILLE,MD,20837,"19716 WOOTTON AVE
POOLESVILLE, MD 20837
(39.142866, -77.412437)"
EL3823,LIMITED ELECTRICAL BUSINESS,"_ WASHINGTON TECHNOLOGIES, LLC.",12/12/2001,,,10/09/2002,10 N. CALVERT STREET,#539,BALTIMORE,MD,21202,"10 N. CALVERT STREET#539
BALTIMORE, MD 21202
(39.290525, -76.612433)"
EL5607,LIMITED ELECTRICAL BUSINESS,_ METROPOLITAN TELEPHONE CONTRACTORS INC,04/11/2005,04/11/2005,04/11/2021,01/07/2020,1041 CYGNET WAY,,HUNTINGTOWN,MD,20639,"1041 CYGNET WAY
HUNTINGTOWN, MD 20639
(38.584274, -76.635339)"
EL9351,LIMITED ELECTRICAL BUSINESS,_ RAMPART SECURITY SYSTEMS,03/05/2012,03/08/2012,03/08/2018,04/09/2016,3109 NESTLING PINE COURT,,ELLICOTT CITY,MD,21042,"3109 NESTLING PINE COURT
ELLICOTT CITY, MD 21042
(39.285304, -76.877089)"
EL6503,LIMITED ELECTRICAL BUSINESS,"_ D/A MID ATLANTIC,INC",10/28/2010,11/09/2010,11/09/2016,04/06/2015,8940 ROUTE 108,"OAKLAND RIDGE CENTER , SUITE H",MD,,21045,"8940 ROUTE 108OAKLAND RIDGE CENTER , SUITE H
MD 21045"
EL5289,LIMITED ELECTRICAL BUSINESS,_ CONSULTEL INC,02/17/2000,02/17/2000,01/10/1989,,006547  CEDAR  LA,,COLUMBIA,MD,21044,"006547 CEDAR LA
COLUMBIA, MD 21044
(39.192862, -76.889814)"
EL3876,LIMITED ELECTRICAL BUSINESS,_ PRIORITY SECURITY WEST INC.,06/21/2002,06/21/2002,06/21/2010,04/09/2010,6010 BELL STATION ROAD,,GLENN DALE,MD,20769,"6010 BELL STATION ROAD
GLENN DALE, MD 20769
(38.972367, -76.803)"
EL5216,LIMITED ELECTRICAL BUSINESS,_ GARYS HEATING & AIR CONDITIONING SERVICE,02/17/2000,02/17/2000,07/11/1990,,17511  SHENANDOAH  CT,,ASHTON,MD,20861,"17511 SHENANDOAH CT
ASHTON, MD 20861
(39.143497, -76.983005)"
EL5019,LIMITED ELECTRICAL BUSINESS,_ SECURITY INC,02/17/2000,02/17/2000,12/31/1992,,005518  DORSEY  LN,,BETHESDA,MD,20816,"005518 DORSEY LN
BETHESDA, MD 20816
(38.964787, -77.101855)"
EL5693,LIMITED ELECTRICAL BUSINESS,"_ BT COMMUNICATIONS,LLC",05/04/2011,05/10/2011,05/10/2013,10/17/2011,P.O. BOX 501,,REISTERSTOWN,MD,21136,"P.O. BOX 501
REISTERSTOWN, MD 21136"
EL5275,LIMITED ELECTRICAL BUSINESS,_ D E GERRITY ASSOCIATES C A T V SERVICES,02/17/2000,02/17/2000,01/10/1989,,008126  GEORGIA  AVE,,SILVER SPRING,MD,20910,"008126 GEORGIA AVE
SILVER SPRING, MD 20910
(38.990695, -77.026721)"
EL5243,LIMITED ELECTRICAL BUSINESS,_ P M SPECIALITIES INC,02/17/2000,02/17/2000,04/13/1985,,000116  RIDGE  RD,,RIVA,MD,21140,"000116 RIDGE RD
RIVA, MD 21140
(38.955398, -76.581262)"
EL5067,LIMITED ELECTRICAL BUSINESS,_ A J ALARMS INC,02/17/2000,02/17/2000,11/01/1994,,374  MAIN  ST,,LAUREL,MD,20707,"374 MAIN ST
LAUREL, MD 20707
(39.104796, -76.845376)"
EL5342,LIMITED ELECTRICAL BUSINESS,_ AIRWAY CLIMATROL INC - EVEROL WILLACY,07/11/1989,07/11/1989,06/21/2000,,2622 BRENTWOOD RD NE,,WASHINGTON,DC,20018,"2622 BRENTWOOD RD NE
WASHINGTON, DC 20018
(38.931564, -76.969371)"
EL5272,LIMITED ELECTRICAL BUSINESS,_ POTOMAC LOCK & SECURITY INC,02/17/2000,02/17/2000,01/10/1989,,005206  DANBURY  RD,,BETHESDA,MD,20814,"005206 DANBURY RD
BETHESDA, MD 20814
(39.008701, -77.103805)"
EL5214,LIMITED ELECTRICAL BUSINESS,_ MASTERCOM,02/17/2000,02/17/2000,06/30/1988,,012216  PARKLAWN  DR102,,ROCKVILLE,MD,20852,"012216 PARKLAWN DR102
ROCKVILLE, MD 20852"
EL5489,LIMITED ELECTRICAL BUSINESS,_ IN COMMUNICATIONS INC.,08/28/1998,08/28/1998,08/28/2012,02/15/2015,2931-C ESKRIDGE RD.,,FAIRFAX,VA,22031,"2931-C ESKRIDGE RD.
FAIRFAX, VA 22031
(38.871943, -77.232114)"
EL5211,LIMITED ELECTRICAL BUSINESS,_ JAMES R SPANGLER CO INC,02/17/2000,02/17/2000,01/10/1989,,005020  EDMONSTON  RD,,HYATTSVILLE,MD,20781,"005020 EDMONSTON RD
HYATTSVILLE, MD 20781
(38.950414, -76.925527)"
EL5270,LIMITED ELECTRICAL BUSINESS,_ L L JORDAN HEATING & AIR CONDITIONING,02/17/2000,02/17/2000,05/02/1989,,9710  GLENWAY  CT,,BURKE,VA,22015,"9710 GLENWAY CT
BURKE, VA 22015
(38.770314, -77.282876)"
EL3814,LIMITED ELECTRICAL BUSINESS,_ PREMIER LIFTS INC,04/12/2012,04/23/2012,04/23/2018,05/01/2016,"7 WEST AYLESBURY ROAD, SUITE I",P O BOX 4586,TIMONIUM,MD,21094,"7 WEST AYLESBURY ROAD, SUITE IP O BOX 4586
TIMONIUM, MD 21094
(39.433049, -76.625125)"
EL4112,LIMITED ELECTRICAL BUSINESS,_ COMMERCIAL SECURITY SYSTEMS,11/14/2003,05/12/2005,05/12/2019,12/15/2016,PO BOX 170,,JOPPA,MD,21085,"PO BOX 170
JOPPA, MD 21085"
EL5002,LIMITED ELECTRICAL BUSINESS,_ W F BOND PLUMBING & HEATING,02/17/2000,02/17/2000,07/11/1989,,000404  BALTIMORE  RD,,ROCKVILLE,MD,20850,"000404 BALTIMORE RD
ROCKVILLE, MD 20850
(39.084168, -77.140082)"
EL5351,LIMITED ELECTRICAL BUSINESS,"_ ANTI-CRIME LOCK & ALARM CO., INC",11/22/1989,11/22/1989,11/22/2001,04/01/2016,15204  BUNCHBERRY  CT,,N POTOMAC,MD,20878,"15204 BUNCHBERRY CT
N POTOMAC, MD 20878
(39.106331, -77.247142)"
EL5495,LIMITED ELECTRICAL BUSINESS,_ BAD-COMMERCIAL ENERGY SYSTEMS INC,10/23/1998,10/23/1998,10/23/2002,,414 W PATRICK  ST,,FREDERICK,MD,21701,"414 W PATRICK ST
FREDERICK, MD 21701
(39.412732, -77.421758)"
EL3777,LIMITED ELECTRICAL BUSINESS,_ PETITBON ALARM CO INC,08/09/2001,08/09/2001,08/09/2013,12/01/2015,2125 BALDWIN AVE,SUITE-10-B,CROFTON,MD,21114,"2125 BALDWIN AVESUITE-10-B
CROFTON, MD 21114"
EL5427,LIMITED ELECTRICAL BUSINESS,_ SECURITY SERVICES COMPANY,02/17/2000,02/17/2000,01/25/1998,,549  RITCHIE  HWY#165,,SEVERNA PARK,MD,21146,"549 RITCHIE HWY#165
SEVERNA PARK, MD 21146
(39.077306, -76.545554)"
EL5263,LIMITED ELECTRICAL BUSINESS,_ BEST SECURITY SYSTEMS CO INC,02/17/2000,02/17/2000,07/23/1994,,8424  VETERANS S PLZSTE6,,MILLERSVILLE,MD,21108,"8424 VETERANS S PLZSTE6
MILLERSVILLE, MD 21108"
EL214423,LIMITED ELECTRICAL BUSINESS,_ TSI SECURITY INC,05/16/2014,05/20/2014,05/20/2020,02/01/2019,9693 GERWIG LANE,SUITE I,COLUMBIA,MD,21046,"9693 GERWIG LANESUITE I
COLUMBIA, MD 21046
(39.175381, -76.846909)"
EL208021,LIMITED ELECTRICAL BUSINESS,_ Viastream Inc,02/20/2013,04/23/2013,04/23/2015,08/17/2013,30501 Fishing Creek Valley Road,,Harrisburg,PA,17112,"30501 Fishing Creek Valley Road
Harrisburg, PA 17112"
EL5363,LIMITED ELECTRICAL BUSINESS,"_ COASTAL COMMUNICATIONS, INC.",02/17/2000,02/17/2000,03/20/1995,,532  RIDGE  RD,,ANNAPOLIS,MD,21401,"532 RIDGE RD
ANNAPOLIS, MD 21401
(38.993163, -76.559262)"
EL212481,LIMITED ELECTRICAL BUSINESS,_ URBAN ALARM,12/20/2013,12/31/2013,12/31/2019,09/01/2018,2323 STEWART AVENUE,STE B,SILVER SPRING,MD,20910,"2323 STEWART AVENUESTE B
SILVER SPRING, MD 20910"
EL5709,LIMITED ELECTRICAL BUSINESS,JOHN SHIRK ALLIED TELEPHONE & DATA CORP.,09/11/2007,09/25/2007,09/25/2009,04/15/2008,423 COUNTRY RIDGE CIRCLE,,BEL-AIR,MD,21015,"423 COUNTRY RIDGE CIRCLE
BEL-AIR, MD 21015
(39.48969, -76.334863)"
EL5231,LIMITED ELECTRICAL BUSINESS,_ COLLINS ELEVATOR SERVICE INC,12/09/1980,12/09/1980,09/15/2020,12/24/2020,800 HAMLIN ST NE,,WASHINGTON,DC,20017,"800 HAMLIN ST NE
WASHINGTON, DC 20017
(38.927406, -76.994611)"
EL5248,LIMITED ELECTRICAL BUSINESS,_ ESTEPS ELECTRICAL SERVICE,02/17/2000,02/17/2000,09/30/1990,,003121  LANCER  PL,,W HYATTSVILLE,MD,20782,"003121 LANCER PL
W HYATTSVILLE, MD 20782
(38.960201, -76.962805)"
EL5461,LIMITED ELECTRICAL BUSINESS,"_ DIGITAL SECURITY, INC.",02/17/2000,02/17/2000,06/03/2005,04/22/2008,19684 LOUDOUN ORCHARD ROAD,,LEESBURG,VA,20175,"19684 LOUDOUN ORCHARD ROAD
LEESBURG, VA 20175
(39.073359, -77.656321)"
EL5609,LIMITED ELECTRICAL BUSINESS,"_ CIRCUIT CITY STORES, INC.",06/16/2006,06/27/2006,06/27/2008,10/01/2009,9954 MAYLAND DRIVE,,RICHMOND,VA,23233,"9954 MAYLAND DRIVE
RICHMOND, VA 23233
(37.640849, -77.578471)"
EL5315,LIMITED ELECTRICAL BUSINESS,_ ABLE SIGN COMPANY INC,02/17/2000,02/17/2000,07/11/1989,,146  HILLWOOD  AV,,FALLS CHURCH,VA,22046,"146 HILLWOOD AV
FALLS CHURCH, VA 22046
(38.879234, -77.172409)"
EL5967,LIMITED ELECTRICAL BUSINESS,_ CHECKPOINT,05/11/2012,06/29/2012,06/29/2014,06/01/2016,8180 UPLAND CIRCLE,,CHANHASSEN,MN,55317,"8180 UPLAND CIRCLE
CHANHASSEN, MN 55317
(44.855218, -93.556898)"
EL222951,LIMITED ELECTRICAL BUSINESS,_ ASKS TELECOMMUNICATIONS CONSULTING LLC,06/03/2016,06/03/2016,06/03/2018,01/08/2017,5133 FROLICH LANE SUITE C,,TUXEDO,MD,20781,"5133 FROLICH LANE SUITE C
TUXEDO, MD 20781
(38.920876, -76.925397)"
EL5397,LIMITED ELECTRICAL BUSINESS,_ MAXIMA CORP./COMMUNITY RESOURCE GROUP,02/17/2000,02/17/2000,08/10/1994,,4200  PARLIAMENT  PL,,LANHAM,MD,20706,"4200 PARLIAMENT PL
LANHAM, MD 20706
(38.95047, -76.836857)"
EL5650,LIMITED ELECTRICAL BUSINESS,_ DEFENDER SECURITY COMPANY,06/12/2009,03/09/2010,03/09/2018,07/01/2019,"3750 PRIORITY WAY SOUTH DRIVE, SUITE 200",,IDIANAPOLIS,IN,46240,"3750 PRIORITY WAY SOUTH DRIVE, SUITE 200
IDIANAPOLIS, IN 46240
(39.920014, -86.102909)"
EL5485,LIMITED ELECTRICAL BUSINESS,"_ CAIN SECURITY SYSTEMS, INC",07/15/1998,07/15/1998,07/15/2010,11/22/2009,8101  HINSON FARM  RD#206,,ALEXANDRIA,VA,22306,"8101 HINSON FARM RD#206
ALEXANDRIA, VA 22306
(38.737252, -77.077661)"
EL5349,LIMITED ELECTRICAL BUSINESS,_ ADVANCED DEFENSE INC,02/17/2000,02/17/2000,11/08/1996,,4815  PRINCE GEORGES  AVE#104,,BELTSVILLE,MD,20705,"4815 PRINCE GEORGES AVE#104
BELTSVILLE, MD 20705
(39.03966, -76.909817)"
EL5390,LIMITED ELECTRICAL BUSINESS,_ STANLEY E. ROCKLIN,02/17/2000,02/17/2000,01/01/1998,,4305  PICKETT  RD,,FAIRFAX,VA,22032,"4305 PICKETT RD
FAIRFAX, VA 22032
(38.830782, -77.272326)"
EL5302,LIMITED ELECTRICAL BUSINESS,_ GTE COMMUNICATION SYSTEMS CORP,02/17/2000,02/17/2000,01/10/1989,,000400 N WOLF  RD,,NORTHLAKE,IL,60164,"000400 N WOLF RD
NORTHLAKE, IL 60164
(41.917091, -87.903634)"
EL5366,LIMITED ELECTRICAL BUSINESS,"_ REGIONAL TELECOMMUNICATIONS, INC.",05/07/1991,05/07/1991,05/07/2003,09/09/2003,P.O. BOX 959,,COLUMBIA,MD,21044,"P.O. BOX 959
COLUMBIA, MD 21044"
EL5296,LIMITED ELECTRICAL BUSINESS,"_ D & K GENERAL WIRING & COMM., INC",02/17/2000,02/17/2000,02/05/1991,,23509  WOODFIELD  RD,,GAITHERSBURG,MD,20879,"23509 WOODFIELD RD
GAITHERSBURG, MD 20879
(39.242446, -77.183763)"
EL5299,LIMITED ELECTRICAL BUSINESS,_ CLEAR CONNECTION,02/17/2000,02/17/2000,08/01/1995,,550  FOREST GLEN  RD,,SILVER SPRING,MD,20901,"550 FOREST GLEN RD
SILVER SPRING, MD 20901
(39.016667, -77.018683)"
EL3788,LIMITED ELECTRICAL BUSINESS,"_ ALARM ONE, ETAL",09/05/2001,09/05/2001,09/05/2003,03/28/2006,P.O. BOX 778,,CROWNSVILLE,MD,21032,"P.O. BOX 778
CROWNSVILLE, MD 21032"
EL5284,LIMITED ELECTRICAL BUSINESS,_ PEAK COMMUNICATIONS,02/17/2000,02/17/2000,01/10/1989,,008909  GARFIELD  DR,,GAITHERSBURG,MD,20879,"008909 GARFIELD DR
GAITHERSBURG, MD 20879
(39.243907, -77.184149)"
EL5276,LIMITED ELECTRICAL BUSINESS,_ INDEPENDENT TELEPHONE INSTALLERS,02/17/2000,02/17/2000,09/25/1993,,3717  COLUMBIA  PIK#306,,ARLINGTON,VA,22204,"3717 COLUMBIA PIK#306
ARLINGTON, VA 22204
(38.860381, -77.095455)"
