the_geom,ObjectID,Name,Address
POINT (-90.073167802361 29.952836026041),18,New Orleans Business Alliance,935 GRAVIER ST
POINT (-89.978486472736 30.039654299977),6,Eastern New Orleans Neighborhood Advisory Commission,7100 READ BLVD
POINT (-90.060226698473 29.959074474981),7,French Market Corporation,1008 N PETERS ST
POINT (-90.020783045489 29.928488311454),2,Algiers Economic Development Foundation,3520 GENERAL DEGAULLE DR
,20,New Orleans East Business Association,4434 POCHE CT
POINT (-90.070092209078 29.951949376514),5,Downtown Development District,201 ST CHARLES AVE
POINT (-90.067878335368 29.94874876483),15,Louisiana Minority Business Council,400 POYDRAS ST
POINT (-90.133356018114 29.950108351728),21,"Oak Street Merchants, Residents, & Property Owners",8500 OAK ST
POINT (-90.038058989121 29.966200285346),24,St. Claude Main Street,3700 ST CLAUDE AVE
POINT (-90.084734761653 29.967206353874),3,Broad Community Connections,300 N BROAD ST
POINT (-90.0309688254 29.944474169333),1,Algiers Development District,2500 GENERAL MEYER AVE
POINT (-90.078588615665 29.952166866114),19,New Orleans Chamber of Commerce,1515 POYDRAS ST
POINT (-90.10250292086 29.976382109677),13,Greater Mid-City Business Association,4227 CANAL ST
,25,,
POINT (-90.10250292086 29.976382109677),17,National Association of Women Business Owners,4227 CANAL ST
POINT (-90.08668006961 29.924020497505),16,Magazine Street Merchants Association,3205 MAGAZINE ST
POINT (-90.064512930934 29.954252155008),8,French Quarter Business Association,400 N PETERS ST
POINT (-90.065462867374 29.958612344133),9,French Quarter Business League,700 BOURBON ST
,4,Broadmoor Improvement Association,4320 S BROAD ST
POINT (-90.070324103554 29.94930889679),10,French-American Chamber of Commerce,650 POYDRAS ST
POINT (-90.065513619977 29.951361287862),23,Small Business Administration,365 CANAL ST
POINT (-90.078588615665 29.952166866114),14,Louisiana Hispanic Chamber of Commerce,1515 POYDRAS ST
POINT (-90.109668146166 29.934815443117),11,Freret Business & Property Owner Association,5110 FRERET ST
POINT (-90.08034913003 29.939352905693),22,Oretha Castle Haley Merchants & Business Assoc.,1712 ORETHA CASTLE HALEY BLVD
POINT (-90.076211640134 30.011830108011),12,Gentilly Civic Improvement Association,1509 FILMORE AVE
