Date,Address,Event,the_geom,LONG,LAT
12/08/2015 12:00:00 AM +0000,1165 Ogden Avenue,Ogden Car Services Inc,POINT (-73.92701757838074 40.8371251255873),-73.9270175784,40.8371251256
12/08/2015 12:00:00 AM +0000,1161 Southern Boulevard,Mega Radio Dispatcher Inc,POINT (-73.8919095444799 40.827685940628974),-73.8919095445,40.8276859406
12/08/2015 12:00:00 AM +0000,560 Southern Boulevard,Agape Luxury Corp,POINT (-73.90323443602634 40.81238320816742),-73.903234436,40.8123832082
12/10/2015 12:00:00 AM +0000,32-60 81 Street,Golden-Town Car & Limousine Service Inc,POINT (-73.88647026723302 40.756353350390846),-73.8864702672,40.7563533504
12/10/2015 12:00:00 AM +0000,2357 83 Street,844 Limo Car Inc,POINT (-73.88625221840395 40.765674290717755),-73.8862522184,40.7656742907
12/10/2015 12:00:00 AM +0000,84-16F Astoria Boulevard,Antonio's New York City Car Service Inc,POINT (-73.88487139927922 40.764624427263094),-73.8848713993,40.7646244273
12/15/2015 12:00:00 AM +0000,275 20 Street,XYZ Limousine,POINT (-73.99185053973571 40.66132218527576),-73.9918505397,40.6613221853
12/15/2015 12:00:00 AM +0000,783 Mcdonald Avenue,Ally Car Service LLC,POINT (-73.97788522558166 40.63480025024752),-73.9778852256,40.6348002502
12/17/2015 12:00:00 AM +0000,136-20 38 Avenue,Clean Air Car Service And Parking Corp.,POINT (-73.83028014579224 40.76096132114816),-73.8302801458,40.7609613211
12/17/2015 12:00:00 AM +0000,30-50 Whitestone Expressway,New Golden Horse,POINT (-73.83563880215635 40.77048238123826),-73.8356388022,40.7704823812
12/22/2015 12:00:00 AM +0000,528 Empire Boulevard,Bed Star Drivers Assoc Inc,POINT (-73.9446382673966 40.664152743781216),-73.9446382674,40.6641527438
12/22/2015 12:00:00 AM +0000,1267 Atlantic Avenue,Mineola Transportation Inc,POINT (-73.94889507272181 40.67843304063288),-73.9488950727,40.6784330406
12/22/2015 12:00:00 AM +0000,3616 Church Avenue,Fast City Car & Limo Service Inc.,POINT (-73.94354273059024 40.65109803257846),-73.9435427306,40.6510980326
12/29/2015 12:00:00 AM +0000,20-11 Steinway Street,Viamax Service Station & Car Service Corp,POINT (-73.90207399969441 40.77610511695214),-73.9020739997,40.776105117
12/29/2015 12:00:00 AM +0000,38-12 Astoria Boulevard,Classic Car Service Corp,POINT (-73.91170565024433 40.768965597558974),-73.9117056502,40.7689655976
12/29/2015 12:00:00 AM +0000,11-01 43 Avenue,Henry Limousine Ltd,POINT (-73.94792565666732 40.751786349362675),-73.9479256567,40.7517863494
