State,Year,Sex,Age Group,Race and Hispanic Origin,Deaths,Population,Crude Death Rate,Standard Error for Crude Rate,Low Confidence Limit for Crude Rate,Upper Confidence Limit for Crude Rate,Age-adjusted Rate,Standard Error Age-adjusted Rate,Lower Confidence Limit for Age-adjusted Rate,Upper Confidence for Age-adjusted Rate,State Crude Rate in Range,US Crude Rate,US Age-adjusted Rate,Unit
Alabama,1999,Both Sexes,All Ages,All Races-All Origins,169,4430143,3.8148,0.29344,3.2396,4.3899,3.8521,0.29657,3.2708,4.4334,1.8–7.2,6.0382,6.057,"per 100,000 population"
Alabama,2000,Both Sexes,All Ages,All Races-All Origins,197,4447100,4.4299,0.31561,3.8112,5.0485,4.4857,0.31985,3.8588,5.1126,1.8–7.2,6.1882,6.1749,"per 100,000 population"
Alabama,2001,Both Sexes,All Ages,All Races-All Origins,216,4467634,4.8348,0.32896,4.19,5.4795,4.8915,0.33329,4.2382,5.5447,1.8–7.2,6.8057,6.7922,"per 100,000 population"
Alabama,2002,Both Sexes,All Ages,All Races-All Origins,211,4480089,4.7097,0.32423,4.0742,5.3452,4.7619,0.32868,4.1177,5.4062,1.8–7.2,8.1766,8.1957,"per 100,000 population"
Alabama,2003,Both Sexes,All Ages,All Races-All Origins,197,4503491,4.3744,0.31166,3.7635,4.9852,4.4333,0.31701,3.812,5.0547,1.8–7.2,8.8881,8.8765,"per 100,000 population"
Alabama,2004,Both Sexes,All Ages,All Races-All Origins,283,4530729,6.2462,0.3713,5.5185,6.974,6.3542,0.37944,5.6105,7.0979,1.8–7.2,9.366,9.3831,"per 100,000 population"
Alabama,2005,Both Sexes,All Ages,All Races-All Origins,283,4569805,6.1928,0.36813,5.4713,6.9143,6.333,0.37832,5.5915,7.0745,1.8–7.2,10.0884,10.0699,"per 100,000 population"
Alabama,2006,Both Sexes,All Ages,All Races-All Origins,398,4628981,8.598,0.43098,7.7533,9.4427,8.7498,0.44162,7.8842,9.6154,7.2–10.5,11.5373,11.4883,"per 100,000 population"
Alabama,2007,Both Sexes,All Ages,All Races-All Origins,511,4672840,10.9355,0.48376,9.9874,11.8837,11.0885,0.49516,10.118,12.059,10.5–12.8,11.9543,11.8775,"per 100,000 population"
Alabama,2008,Both Sexes,All Ages,All Races-All Origins,607,4718206,12.8651,0.52218,11.8416,13.8885,12.9811,0.53292,11.9366,14.0256,12.8–16.7,11.9864,11.8947,"per 100,000 population"
Alabama,2009,Both Sexes,All Ages,All Races-All Origins,630,4757938,13.241,0.52754,12.2071,14.275,13.6077,0.54855,12.5325,14.6828,12.8–16.7,12.0624,11.9388,"per 100,000 population"
Alabama,2010,Both Sexes,All Ages,All Races-All Origins,547,4779736,11.4441,0.48932,10.4851,12.4032,11.7688,0.50959,10.77,12.7676,10.5–12.8,12.4144,12.2966,"per 100,000 population"
Alabama,2011,Both Sexes,All Ages,All Races-All Origins,552,4802740,11.4934,0.48919,10.5346,12.4523,11.7632,0.50803,10.7674,12.7589,10.5–12.8,13.2674,13.1852,"per 100,000 population"
Alabama,2012,Both Sexes,All Ages,All Races-All Origins,562,4822023,11.6549,0.49163,10.6913,12.6185,12.0706,0.51722,11.0569,13.0844,10.5–12.8,13.2208,13.1422,"per 100,000 population"
Alabama,2013,Both Sexes,All Ages,All Races-All Origins,598,4833722,12.3714,0.5059,11.3798,13.363,12.7176,0.52933,11.6801,13.7551,10.5–12.8,13.9127,13.8005,"per 100,000 population"
Alabama,2014,Both Sexes,All Ages,All Races-All Origins,723,4849377,14.9091,0.55448,13.8224,15.9959,15.1532,0.57484,14.0265,16.2799,12.8–16.7,14.7574,14.6831,"per 100,000 population"
Alabama,2015,Both Sexes,All Ages,All Races-All Origins,736,4858979,15.1472,0.55833,14.0529,16.2415,15.6639,0.58859,14.5103,16.8176,12.8–16.7,16.304,16.2923,"per 100,000 population"
Alabama,2016,Both Sexes,All Ages,All Races-All Origins,756,4863300,15.545,0.56537,14.4369,16.6531,16.2075,0.60241,15.0268,17.3883,12.8–16.7,19.6925,19.7851,"per 100,000 population"
Alabama,2017,Both Sexes,All Ages,All Races-All Origins,835,4874747,17.1291,0.59278,15.9673,18.2909,17.9803,0.63576,16.7343,19.2264,16.7–57.8,21.5637,21.7048,"per 100,000 population"
