State,Year,Month,Period,Indicator,Data Value
IDAHO,2018,August,Monthly,Number of Deaths,1125
ILLINOIS,2018,August,Monthly,Number of Deaths,8465
INDIANA,2018,August,Monthly,Number of Deaths,5222
IOWA,2018,August,Monthly,Number of Deaths,2385
KANSAS,2018,August,Monthly,Number of Deaths,2113
KENTUCKY,2018,August,Monthly,Number of Deaths,3880
LOUISIANA,2018,August,Monthly,Number of Deaths,3693
MAINE,2018,August,Monthly,Number of Deaths,1179
MARYLAND,2018,August,Monthly,Number of Deaths,3958
MASSACHUSETTS,2018,August,Monthly,Number of Deaths,4540
MICHIGAN,2018,August,Monthly,Number of Deaths,7757
MINNESOTA,2018,August,Monthly,Number of Deaths,3658
MISSISSIPPI,2018,August,Monthly,Number of Deaths,2568
MISSOURI,2018,August,Monthly,Number of Deaths,5096
MONTANA,2018,August,Monthly,Number of Deaths,829
NEBRASKA,2018,August,Monthly,Number of Deaths,1368
NEVADA,2018,August,Monthly,Number of Deaths,1978
NEW HAMPSHIRE,2018,August,Monthly,Number of Deaths,1020
NEW JERSEY,2018,August,Monthly,Number of Deaths,6131
NEW MEXICO,2018,August,Monthly,Number of Deaths,1498
NEW YORK,2018,August,Monthly,Number of Deaths,12327
NORTH CAROLINA,2018,August,Monthly,Number of Deaths,7433
NORTH DAKOTA,2018,August,Monthly,Number of Deaths,481
OHIO,2018,August,Monthly,Number of Deaths,9764
OKLAHOMA,2018,August,Monthly,Number of Deaths,3269
OREGON,2018,August,Monthly,Number of Deaths,2887
PENNSYLVANIA,2018,August,Monthly,Number of Deaths,10501
RHODE ISLAND,2018,August,Monthly,Number of Deaths,801
SOUTH CAROLINA,2018,August,Monthly,Number of Deaths,4073
SOUTH DAKOTA,2018,August,Monthly,Number of Deaths,623
TENNESSEE,2018,August,Monthly,Number of Deaths,5648
TEXAS,2018,August,Monthly,Number of Deaths,16087
UTAH,2018,August,Monthly,Number of Deaths,1489
VERMONT,2018,August,Monthly,Number of Deaths,474
VIRGINIA,2018,August,Monthly,Number of Deaths,5531
WASHINGTON,2018,August,Monthly,Number of Deaths,4514
WEST VIRGINIA,2018,August,Monthly,Number of Deaths,1798
WISCONSIN,2018,August,Monthly,Number of Deaths,4311
WYOMING,2018,August,Monthly,Number of Deaths,395
PUERTO RICO,2018,August,Monthly,Number of Deaths,2355
ALABAMA,2018,September,Monthly,Number of Deaths,4170
ALASKA,2018,September,Monthly,Number of Deaths,355
ARIZONA,2018,September,Monthly,Number of Deaths,4505
ARKANSAS,2018,September,Monthly,Number of Deaths,2531
CALIFORNIA,2018,September,Monthly,Number of Deaths,20230
COLORADO,2018,September,Monthly,Number of Deaths,2993
CONNECTICUT,2018,September,Monthly,Number of Deaths,2440
DELAWARE,2018,September,Monthly,Number of Deaths,704
DISTRICT OF COLUMBIA,2018,September,Monthly,Number of Deaths,416
FLORIDA,2018,September,Monthly,Number of Deaths,15933
GEORGIA,2018,September,Monthly,Number of Deaths,6441
HAWAII,2018,September,Monthly,Number of Deaths,915
IDAHO,2018,September,Monthly,Number of Deaths,1181
ILLINOIS,2018,September,Monthly,Number of Deaths,8708
INDIANA,2018,September,Monthly,Number of Deaths,5106
IOWA,2018,September,Monthly,Number of Deaths,2323
KANSAS,2018,September,Monthly,Number of Deaths,2156
KENTUCKY,2018,September,Monthly,Number of Deaths,3785
LOUISIANA,2018,September,Monthly,Number of Deaths,3576
MAINE,2018,September,Monthly,Number of Deaths,1192
MARYLAND,2018,September,Monthly,Number of Deaths,3811
MASSACHUSETTS,2018,September,Monthly,Number of Deaths,4574
MICHIGAN,2018,September,Monthly,Number of Deaths,7627
MINNESOTA,2018,September,Monthly,Number of Deaths,3542
MISSISSIPPI,2018,September,Monthly,Number of Deaths,2538
MISSOURI,2018,September,Monthly,Number of Deaths,4892
MONTANA,2018,September,Monthly,Number of Deaths,795
NEBRASKA,2018,September,Monthly,Number of Deaths,1337
NEVADA,2018,September,Monthly,Number of Deaths,1852
NEW HAMPSHIRE,2018,September,Monthly,Number of Deaths,1041
NEW JERSEY,2018,September,Monthly,Number of Deaths,5779
NEW MEXICO,2018,September,Monthly,Number of Deaths,1527
NEW YORK,2018,September,Monthly,Number of Deaths,11917
NORTH CAROLINA,2018,September,Monthly,Number of Deaths,7220
NORTH DAKOTA,2018,September,Monthly,Number of Deaths,507
OHIO,2018,September,Monthly,Number of Deaths,9779
OKLAHOMA,2018,September,Monthly,Number of Deaths,3043
OREGON,2018,September,Monthly,Number of Deaths,2765
PENNSYLVANIA,2018,September,Monthly,Number of Deaths,10241
RHODE ISLAND,2018,September,Monthly,Number of Deaths,821
SOUTH CAROLINA,2018,September,Monthly,Number of Deaths,3979
SOUTH DAKOTA,2018,September,Monthly,Number of Deaths,646
TENNESSEE,2018,September,Monthly,Number of Deaths,5479
TEXAS,2018,September,Monthly,Number of Deaths,15350
UTAH,2018,September,Monthly,Number of Deaths,1413
VERMONT,2018,September,Monthly,Number of Deaths,466
VIRGINIA,2018,September,Monthly,Number of Deaths,5391
WASHINGTON,2018,September,Monthly,Number of Deaths,4344
WEST VIRGINIA,2018,September,Monthly,Number of Deaths,1868
WISCONSIN,2018,September,Monthly,Number of Deaths,4153
WYOMING,2018,September,Monthly,Number of Deaths,418
PUERTO RICO,2018,September,Monthly,Number of Deaths,2251
ALABAMA,2018,October,Monthly,Number of Deaths,4365
ALASKA,2018,October,Monthly,Number of Deaths,373
ARIZONA,2018,October,Monthly,Number of Deaths,4603
ARKANSAS,2018,October,Monthly,Number of Deaths,2667
CALIFORNIA,2018,October,Monthly,Number of Deaths,21223
COLORADO,2018,October,Monthly,Number of Deaths,3220
CONNECTICUT,2018,October,Monthly,Number of Deaths,2602
DELAWARE,2018,October,Monthly,Number of Deaths,765
DISTRICT OF COLUMBIA,2018,October,Monthly,Number of Deaths,455
FLORIDA,2018,October,Monthly,Number of Deaths,16508
GEORGIA,2018,October,Monthly,Number of Deaths,6861
HAWAII,2018,October,Monthly,Number of Deaths,893
IDAHO,2018,October,Monthly,Number of Deaths,1151
ILLINOIS,2018,October,Monthly,Number of Deaths,9172
INDIANA,2018,October,Monthly,Number of Deaths,5404
IOWA,2018,October,Monthly,Number of Deaths,2651
KANSAS,2018,October,Monthly,Number of Deaths,2179
KENTUCKY,2018,October,Monthly,Number of Deaths,4113
LOUISIANA,2018,October,Monthly,Number of Deaths,3620
MAINE,2018,October,Monthly,Number of Deaths,1275
MARYLAND,2018,October,Monthly,Number of Deaths,4249
MASSACHUSETTS,2018,October,Monthly,Number of Deaths,4942
MICHIGAN,2018,October,Monthly,Number of Deaths,8198
MINNESOTA,2018,October,Monthly,Number of Deaths,3877
MISSISSIPPI,2018,October,Monthly,Number of Deaths,2637
MISSOURI,2018,October,Monthly,Number of Deaths,5203
MONTANA,2018,October,Monthly,Number of Deaths,869
NEBRASKA,2018,October,Monthly,Number of Deaths,1435
NEVADA,2018,October,Monthly,Number of Deaths,1945
NEW HAMPSHIRE,2018,October,Monthly,Number of Deaths,1142
NEW JERSEY,2018,October,Monthly,Number of Deaths,6349
NEW MEXICO,2018,October,Monthly,Number of Deaths,1591
NEW YORK,2018,October,Monthly,Number of Deaths,13435
NORTH CAROLINA,2018,October,Monthly,Number of Deaths,7812
NORTH DAKOTA,2018,October,Monthly,Number of Deaths,583
OHIO,2018,October,Monthly,Number of Deaths,10212
OKLAHOMA,2018,October,Monthly,Number of Deaths,3351
OREGON,2018,October,Monthly,Number of Deaths,2997
PENNSYLVANIA,2018,October,Monthly,Number of Deaths,11421
RHODE ISLAND,2018,October,Monthly,Number of Deaths,878
SOUTH CAROLINA,2018,October,Monthly,Number of Deaths,4081
SOUTH DAKOTA,2018,October,Monthly,Number of Deaths,714
TENNESSEE,2018,October,Monthly,Number of Deaths,5758
TEXAS,2018,October,Monthly,Number of Deaths,16340
UTAH,2018,October,Monthly,Number of Deaths,1577
VERMONT,2018,October,Monthly,Number of Deaths,534
VIRGINIA,2018,October,Monthly,Number of Deaths,5964
WASHINGTON,2018,October,Monthly,Number of Deaths,4815
WEST VIRGINIA,2018,October,Monthly,Number of Deaths,1950
WISCONSIN,2018,October,Monthly,Number of Deaths,4574
WYOMING,2018,October,Monthly,Number of Deaths,408
PUERTO RICO,2018,October,Monthly,Number of Deaths,2305
ALABAMA,2018,November,Monthly,Number of Deaths,4397
ALASKA,2018,November,Monthly,Number of Deaths,395
ARIZONA,2018,November,Monthly,Number of Deaths,4730
ARKANSAS,2018,November,Monthly,Number of Deaths,2724
CALIFORNIA,2018,November,Monthly,Number of Deaths,21793
COLORADO,2018,November,Monthly,Number of Deaths,3189
CONNECTICUT,2018,November,Monthly,Number of Deaths,2595
DELAWARE,2018,November,Monthly,Number of Deaths,792
DISTRICT OF COLUMBIA,2018,November,Monthly,Number of Deaths,424
FLORIDA,2018,November,Monthly,Number of Deaths,16379
GEORGIA,2018,November,Monthly,Number of Deaths,7027
HAWAII,2018,November,Monthly,Number of Deaths,938
IDAHO,2018,November,Monthly,Number of Deaths,1148
ILLINOIS,2018,November,Monthly,Number of Deaths,9014
INDIANA,2018,November,Monthly,Number of Deaths,5329
IOWA,2018,November,Monthly,Number of Deaths,2530
KANSAS,2018,November,Monthly,Number of Deaths,2244
KENTUCKY,2018,November,Monthly,Number of Deaths,4075
LOUISIANA,2018,November,Monthly,Number of Deaths,3804
MAINE,2018,November,Monthly,Number of Deaths,1256
MARYLAND,2018,November,Monthly,Number of Deaths,4172
MASSACHUSETTS,2018,November,Monthly,Number of Deaths,4784
MICHIGAN,2018,November,Monthly,Number of Deaths,8268
MINNESOTA,2018,November,Monthly,Number of Deaths,3836
MISSISSIPPI,2018,November,Monthly,Number of Deaths,2721
MISSOURI,2018,November,Monthly,Number of Deaths,5065
MONTANA,2018,November,Monthly,Number of Deaths,875
NEBRASKA,2018,November,Monthly,Number of Deaths,1337
NEVADA,2018,November,Monthly,Number of Deaths,2027
NEW HAMPSHIRE,2018,November,Monthly,Number of Deaths,1028
NEW JERSEY,2018,November,Monthly,Number of Deaths,6318
NEW MEXICO,2018,November,Monthly,Number of Deaths,1568
NEW YORK,2018,November,Monthly,Number of Deaths,12909
NORTH CAROLINA,2018,November,Monthly,Number of Deaths,7764
NORTH DAKOTA,2018,November,Monthly,Number of Deaths,551
OHIO,2018,November,Monthly,Number of Deaths,10419
OKLAHOMA,2018,November,Monthly,Number of Deaths,3432
OREGON,2018,November,Monthly,Number of Deaths,3019
PENNSYLVANIA,2018,November,Monthly,Number of Deaths,10963
RHODE ISLAND,2018,November,Monthly,Number of Deaths,815
SOUTH CAROLINA,2018,November,Monthly,Number of Deaths,4247
SOUTH DAKOTA,2018,November,Monthly,Number of Deaths,665
TENNESSEE,2018,November,Monthly,Number of Deaths,5941
TEXAS,2018,November,Monthly,Number of Deaths,16717
UTAH,2018,November,Monthly,Number of Deaths,1511
VERMONT,2018,November,Monthly,Number of Deaths,478
VIRGINIA,2018,November,Monthly,Number of Deaths,5790
WASHINGTON,2018,November,Monthly,Number of Deaths,4684
WEST VIRGINIA,2018,November,Monthly,Number of Deaths,1876
WISCONSIN,2018,November,Monthly,Number of Deaths,4408
WYOMING,2018,November,Monthly,Number of Deaths,446
PUERTO RICO,2018,November,Monthly,Number of Deaths,2373
ALABAMA,2018,December,Monthly,Number of Deaths,4833
ALASKA,2018,December,Monthly,Number of Deaths,395
ARIZONA,2018,December,Monthly,Number of Deaths,5279
ARKANSAS,2018,December,Monthly,Number of Deaths,2894
CALIFORNIA,2018,December,Monthly,Number of Deaths,23555
COLORADO,2018,December,Monthly,Number of Deaths,3339
CONNECTICUT,2018,December,Monthly,Number of Deaths,2727
DELAWARE,2018,December,Monthly,Number of Deaths,811
DISTRICT OF COLUMBIA,2018,December,Monthly,Number of Deaths,436
FLORIDA,2018,December,Monthly,Number of Deaths,18081
GEORGIA,2018,December,Monthly,Number of Deaths,7712
HAWAII,2018,December,Monthly,Number of Deaths,982
IDAHO,2018,December,Monthly,Number of Deaths,1227
ILLINOIS,2018,December,Monthly,Number of Deaths,9421
INDIANA,2018,December,Monthly,Number of Deaths,5871
IOWA,2018,December,Monthly,Number of Deaths,2681
KANSAS,2018,December,Monthly,Number of Deaths,2446
KENTUCKY,2018,December,Monthly,Number of Deaths,4220
LOUISIANA,2018,December,Monthly,Number of Deaths,4129
MAINE,2018,December,Monthly,Number of Deaths,1300
MARYLAND,2018,December,Monthly,Number of Deaths,4599
MASSACHUSETTS,2018,December,Monthly,Number of Deaths,5298
MICHIGAN,2018,December,Monthly,Number of Deaths,8428
MINNESOTA,2018,December,Monthly,Number of Deaths,3890
MISSISSIPPI,2018,December,Monthly,Number of Deaths,2825
MISSOURI,2018,December,Monthly,Number of Deaths,5389
MONTANA,2018,December,Monthly,Number of Deaths,834
NEBRASKA,2018,December,Monthly,Number of Deaths,1475
NEVADA,2018,December,Monthly,Number of Deaths,2098
NEW HAMPSHIRE,2018,December,Monthly,Number of Deaths,1133
NEW JERSEY,2018,December,Monthly,Number of Deaths,6618
NEW MEXICO,2018,December,Monthly,Number of Deaths,1614
NEW YORK,2018,December,Monthly,Number of Deaths,13773
NORTH CAROLINA,2018,December,Monthly,Number of Deaths,8404
NORTH DAKOTA,2018,December,Monthly,Number of Deaths,564
OHIO,2018,December,Monthly,Number of Deaths,10867
OKLAHOMA,2018,December,Monthly,Number of Deaths,3478
OREGON,2018,December,Monthly,Number of Deaths,3204
PENNSYLVANIA,2018,December,Monthly,Number of Deaths,11787
RHODE ISLAND,2018,December,Monthly,Number of Deaths,900
SOUTH CAROLINA,2018,December,Monthly,Number of Deaths,4503
SOUTH DAKOTA,2018,December,Monthly,Number of Deaths,684
TENNESSEE,2018,December,Monthly,Number of Deaths,6310
TEXAS,2018,December,Monthly,Number of Deaths,17932
UTAH,2018,December,Monthly,Number of Deaths,1572
VERMONT,2018,December,Monthly,Number of Deaths,481
VIRGINIA,2018,December,Monthly,Number of Deaths,6219
WASHINGTON,2018,December,Monthly,Number of Deaths,4896
WEST VIRGINIA,2018,December,Monthly,Number of Deaths,2040
WISCONSIN,2018,December,Monthly,Number of Deaths,4629
WYOMING,2018,December,Monthly,Number of Deaths,468
PUERTO RICO,2018,December,Monthly,Number of Deaths,2688
ALABAMA,2019,January,Monthly,Number of Deaths,4893
ALASKA,2019,January,Monthly,Number of Deaths,409
ARIZONA,2019,January,Monthly,Number of Deaths,5658
ARKANSAS,2019,January,Monthly,Number of Deaths,2965
CALIFORNIA,2019,January,Monthly,Number of Deaths,24871
COLORADO,2019,January,Monthly,Number of Deaths,3537
CONNECTICUT,2019,January,Monthly,Number of Deaths,2904
DELAWARE,2019,January,Monthly,Number of Deaths,844
DISTRICT OF COLUMBIA,2019,January,Monthly,Number of Deaths,442
FLORIDA,2019,January,Monthly,Number of Deaths,18371
GEORGIA,2019,January,Monthly,Number of Deaths,7649
HAWAII,2019,January,Monthly,Number of Deaths,1016
IDAHO,2019,January,Monthly,Number of Deaths,1198
ILLINOIS,2019,January,Monthly,Number of Deaths,9750
INDIANA,2019,January,Monthly,Number of Deaths,5801
IOWA,2019,January,Monthly,Number of Deaths,2744
KANSAS,2019,January,Monthly,Number of Deaths,2502
KENTUCKY,2019,January,Monthly,Number of Deaths,4373
LOUISIANA,2019,January,Monthly,Number of Deaths,4093
MAINE,2019,January,Monthly,Number of Deaths,1343
MARYLAND,2019,January,Monthly,Number of Deaths,4548
MASSACHUSETTS,2019,January,Monthly,Number of Deaths,5535
MICHIGAN,2019,January,Monthly,Number of Deaths,8596
MINNESOTA,2019,January,Monthly,Number of Deaths,4093
MISSISSIPPI,2019,January,Monthly,Number of Deaths,2877
MISSOURI,2019,January,Monthly,Number of Deaths,5551
MONTANA,2019,January,Monthly,Number of Deaths,955
NEBRASKA,2019,January,Monthly,Number of Deaths,1593
NEVADA,2019,January,Monthly,Number of Deaths,2322
NEW HAMPSHIRE,2019,January,Monthly,Number of Deaths,1150
NEW JERSEY,2019,January,Monthly,Number of Deaths,6876
NEW MEXICO,2019,January,Monthly,Number of Deaths,1829
NEW YORK,2019,January,Monthly,Number of Deaths,14363
NORTH CAROLINA,2019,January,Monthly,Number of Deaths,8351
NORTH DAKOTA,2019,January,Monthly,Number of Deaths,571
OHIO,2019,January,Monthly,Number of Deaths,11338
OKLAHOMA,2019,January,Monthly,Number of Deaths,3684
OREGON,2019,January,Monthly,Number of Deaths,3246
PENNSYLVANIA,2019,January,Monthly,Number of Deaths,12158
RHODE ISLAND,2019,January,Monthly,Number of Deaths,993
SOUTH CAROLINA,2019,January,Monthly,Number of Deaths,4540
SOUTH DAKOTA,2019,January,Monthly,Number of Deaths,721
TENNESSEE,2019,January,Monthly,Number of Deaths,6261
TEXAS,2019,January,Monthly,Number of Deaths,18386
UTAH,2019,January,Monthly,Number of Deaths,1714
VERMONT,2019,January,Monthly,Number of Deaths,512
VIRGINIA,2019,January,Monthly,Number of Deaths,6130
WASHINGTON,2019,January,Monthly,Number of Deaths,5222
WEST VIRGINIA,2019,January,Monthly,Number of Deaths,2188
WISCONSIN,2019,January,Monthly,Number of Deaths,4838
WYOMING,2019,January,Monthly,Number of Deaths,438
PUERTO RICO,2019,January,Monthly,Number of Deaths,2792
ALABAMA,2019,February,Monthly,Number of Deaths,4386
ALASKA,2019,February,Monthly,Number of Deaths,367
ARIZONA,2019,February,Monthly,Number of Deaths,4843
ARKANSAS,2019,February,Monthly,Number of Deaths,2781
CALIFORNIA,2019,February,Monthly,Number of Deaths,22692
COLORADO,2019,February,Monthly,Number of Deaths,3200
CONNECTICUT,2019,February,Monthly,Number of Deaths,2670
DELAWARE,2019,February,Monthly,Number of Deaths,730
DISTRICT OF COLUMBIA,2019,February,Monthly,Number of Deaths,403
FLORIDA,2019,February,Monthly,Number of Deaths,16936
GEORGIA,2019,February,Monthly,Number of Deaths,6584
HAWAII,2019,February,Monthly,Number of Deaths,924
IDAHO,2019,February,Monthly,Number of Deaths,1239
ILLINOIS,2019,February,Monthly,Number of Deaths,8918
INDIANA,2019,February,Monthly,Number of Deaths,5348
IOWA,2019,February,Monthly,Number of Deaths,2486
KANSAS,2019,February,Monthly,Number of Deaths,2235
KENTUCKY,2019,February,Monthly,Number of Deaths,3946
LOUISIANA,2019,February,Monthly,Number of Deaths,3699
MAINE,2019,February,Monthly,Number of Deaths,1196
MARYLAND,2019,February,Monthly,Number of Deaths,4035
MASSACHUSETTS,2019,February,Monthly,Number of Deaths,4868
MICHIGAN,2019,February,Monthly,Number of Deaths,7533
MINNESOTA,2019,February,Monthly,Number of Deaths,3612
MISSISSIPPI,2019,February,Monthly,Number of Deaths,2734
MISSOURI,2019,February,Monthly,Number of Deaths,5078
MONTANA,2019,February,Monthly,Number of Deaths,881
NEBRASKA,2019,February,Monthly,Number of Deaths,1386
NEVADA,2019,February,Monthly,Number of Deaths,2103
NEW HAMPSHIRE,2019,February,Monthly,Number of Deaths,1073
NEW JERSEY,2019,February,Monthly,Number of Deaths,6337
NEW MEXICO,2019,February,Monthly,Number of Deaths,1538
NEW YORK,2019,February,Monthly,Number of Deaths,12733
NORTH CAROLINA,2019,February,Monthly,Number of Deaths,8076
NORTH DAKOTA,2019,February,Monthly,Number of Deaths,508
OHIO,2019,February,Monthly,Number of Deaths,9719
OKLAHOMA,2019,February,Monthly,Number of Deaths,3408
OREGON,2019,February,Monthly,Number of Deaths,2952
PENNSYLVANIA,2019,February,Monthly,Number of Deaths,10843
RHODE ISLAND,2019,February,Monthly,Number of Deaths,813
SOUTH CAROLINA,2019,February,Monthly,Number of Deaths,4146
SOUTH DAKOTA,2019,February,Monthly,Number of Deaths,642
TENNESSEE,2019,February,Monthly,Number of Deaths,5844
TEXAS,2019,February,Monthly,Number of Deaths,16263
UTAH,2019,February,Monthly,Number of Deaths,1474
VERMONT,2019,February,Monthly,Number of Deaths,472
VIRGINIA,2019,February,Monthly,Number of Deaths,5760
WASHINGTON,2019,February,Monthly,Number of Deaths,4820
WEST VIRGINIA,2019,February,Monthly,Number of Deaths,1861
WISCONSIN,2019,February,Monthly,Number of Deaths,4213
WYOMING,2019,February,Monthly,Number of Deaths,373
PUERTO RICO,2019,February,Monthly,Number of Deaths,2389
ALABAMA,2019,March,Monthly,Number of Deaths,4702
ALASKA,2019,March,Monthly,Number of Deaths,398
ARIZONA,2019,March,Monthly,Number of Deaths,5481
ARKANSAS,2019,March,Monthly,Number of Deaths,3049
CALIFORNIA,2019,March,Monthly,Number of Deaths,24577
COLORADO,2019,March,Monthly,Number of Deaths,3536
CONNECTICUT,2019,March,Monthly,Number of Deaths,2737
DELAWARE,2019,March,Monthly,Number of Deaths,808
DISTRICT OF COLUMBIA,2019,March,Monthly,Number of Deaths,406
FLORIDA,2019,March,Monthly,Number of Deaths,18523
GEORGIA,2019,March,Monthly,Number of Deaths,7282
HAWAII,2019,March,Monthly,Number of Deaths,1095
IDAHO,2019,March,Monthly,Number of Deaths,1271
ILLINOIS,2019,March,Monthly,Number of Deaths,9595
INDIANA,2019,March,Monthly,Number of Deaths,5788
IOWA,2019,March,Monthly,Number of Deaths,2697
KANSAS,2019,March,Monthly,Number of Deaths,2517
KENTUCKY,2019,March,Monthly,Number of Deaths,4399
LOUISIANA,2019,March,Monthly,Number of Deaths,3948
MAINE,2019,March,Monthly,Number of Deaths,1402
MARYLAND,2019,March,Monthly,Number of Deaths,4597
MASSACHUSETTS,2019,March,Monthly,Number of Deaths,5154
MICHIGAN,2019,March,Monthly,Number of Deaths,8424
MINNESOTA,2019,March,Monthly,Number of Deaths,3801
MISSISSIPPI,2019,March,Monthly,Number of Deaths,2804
MISSOURI,2019,March,Monthly,Number of Deaths,5469
MONTANA,2019,March,Monthly,Number of Deaths,935
NEBRASKA,2019,March,Monthly,Number of Deaths,1453
NEVADA,2019,March,Monthly,Number of Deaths,2240
NEW HAMPSHIRE,2019,March,Monthly,Number of Deaths,1115
NEW JERSEY,2019,March,Monthly,Number of Deaths,6709
NEW MEXICO,2019,March,Monthly,Number of Deaths,1696
NEW YORK,2019,March,Monthly,Number of Deaths,13921
NORTH CAROLINA,2019,March,Monthly,Number of Deaths,8326
NORTH DAKOTA,2019,March,Monthly,Number of Deaths,544
OHIO,2019,March,Monthly,Number of Deaths,11157
OKLAHOMA,2019,March,Monthly,Number of Deaths,3770
OREGON,2019,March,Monthly,Number of Deaths,3397
PENNSYLVANIA,2019,March,Monthly,Number of Deaths,11986
RHODE ISLAND,2019,March,Monthly,Number of Deaths,937
SOUTH CAROLINA,2019,March,Monthly,Number of Deaths,4496
SOUTH DAKOTA,2019,March,Monthly,Number of Deaths,698
TENNESSEE,2019,March,Monthly,Number of Deaths,6130
TEXAS,2019,March,Monthly,Number of Deaths,17901
UTAH,2019,March,Monthly,Number of Deaths,1695
VERMONT,2019,March,Monthly,Number of Deaths,527
VIRGINIA,2019,March,Monthly,Number of Deaths,6242
WASHINGTON,2019,March,Monthly,Number of Deaths,5282
WEST VIRGINIA,2019,March,Monthly,Number of Deaths,2111
WISCONSIN,2019,March,Monthly,Number of Deaths,4690
WYOMING,2019,March,Monthly,Number of Deaths,478
PUERTO RICO,2019,March,Monthly,Number of Deaths,2467
ALABAMA,2018,January,Monthly,Number of Live Births,4936
ALASKA,2018,January,Monthly,Number of Live Births,814
ARIZONA,2018,January,Monthly,Number of Live Births,6743
ARKANSAS,2018,January,Monthly,Number of Live Births,3085
CALIFORNIA,2018,January,Monthly,Number of Live Births,38167
COLORADO,2018,January,Monthly,Number of Live Births,5190
CONNECTICUT,2018,January,Monthly,Number of Live Births,2785
DELAWARE,2018,January,Monthly,Number of Live Births,865
DISTRICT OF COLUMBIA,2018,January,Monthly,Number of Live Births,748
FLORIDA,2018,January,Monthly,Number of Live Births,19081
GEORGIA,2018,January,Monthly,Number of Live Births,10522
HAWAII,2018,January,Monthly,Number of Live Births,1411
IDAHO,2018,January,Monthly,Number of Live Births,1729
ILLINOIS,2018,January,Monthly,Number of Live Births,11816
INDIANA,2018,January,Monthly,Number of Live Births,6624
IOWA,2018,January,Monthly,Number of Live Births,3138
KANSAS,2018,January,Monthly,Number of Live Births,2949
KENTUCKY,2018,January,Monthly,Number of Live Births,4540
LOUISIANA,2018,January,Monthly,Number of Live Births,5190
MAINE,2018,January,Monthly,Number of Live Births,971
MARYLAND,2018,January,Monthly,Number of Live Births,5917
MASSACHUSETTS,2018,January,Monthly,Number of Live Births,5580
MICHIGAN,2018,January,Monthly,Number of Live Births,8957
MINNESOTA,2018,January,Monthly,Number of Live Births,5484
MISSISSIPPI,2018,January,Monthly,Number of Live Births,3134
MISSOURI,2018,January,Monthly,Number of Live Births,6085
MONTANA,2018,January,Monthly,Number of Live Births,985
NEBRASKA,2018,January,Monthly,Number of Live Births,1945
NEVADA,2018,January,Monthly,Number of Live Births,2910
NEW HAMPSHIRE,2018,January,Monthly,Number of Live Births,962
NEW JERSEY,2018,January,Monthly,Number of Live Births,8187
NEW MEXICO,2018,January,Monthly,Number of Live Births,1897
NEW YORK,2018,January,Monthly,Number of Live Births,19061
NORTH CAROLINA,2018,January,Monthly,Number of Live Births,9782
NORTH DAKOTA,2018,January,Monthly,Number of Live Births,867
OHIO,2018,January,Monthly,Number of Live Births,11012
OKLAHOMA,2018,January,Monthly,Number of Live Births,4259
OREGON,2018,January,Monthly,Number of Live Births,3512
PENNSYLVANIA,2018,January,Monthly,Number of Live Births,11127
RHODE ISLAND,2018,January,Monthly,Number of Live Births,837
SOUTH CAROLINA,2018,January,Monthly,Number of Live Births,4783
SOUTH DAKOTA,2018,January,Monthly,Number of Live Births,996
TENNESSEE,2018,January,Monthly,Number of Live Births,6689
TEXAS,2018,January,Monthly,Number of Live Births,31889
UTAH,2018,January,Monthly,Number of Live Births,3692
VERMONT,2018,January,Monthly,Number of Live Births,427
VIRGINIA,2018,January,Monthly,Number of Live Births,8287
WASHINGTON,2018,January,Monthly,Number of Live Births,7041
WEST VIRGINIA,2018,January,Monthly,Number of Live Births,1558
WISCONSIN,2018,January,Monthly,Number of Live Births,5085
WYOMING,2018,January,Monthly,Number of Live Births,548
PUERTO RICO,2018,January,Monthly,Number of Live Births,1773
ALABAMA,2018,February,Monthly,Number of Live Births,4338
ALASKA,2018,February,Monthly,Number of Live Births,757
ARIZONA,2018,February,Monthly,Number of Live Births,6197
ARKANSAS,2018,February,Monthly,Number of Live Births,2797
CALIFORNIA,2018,February,Monthly,Number of Live Births,34465
COLORADO,2018,February,Monthly,Number of Live Births,4783
CONNECTICUT,2018,February,Monthly,Number of Live Births,2503
DELAWARE,2018,February,Monthly,Number of Live Births,795
DISTRICT OF COLUMBIA,2018,February,Monthly,Number of Live Births,676
FLORIDA,2018,February,Monthly,Number of Live Births,16621
GEORGIA,2018,February,Monthly,Number of Live Births,9660
HAWAII,2018,February,Monthly,Number of Live Births,1275
IDAHO,2018,February,Monthly,Number of Live Births,1570
ILLINOIS,2018,February,Monthly,Number of Live Births,10956
INDIANA,2018,February,Monthly,Number of Live Births,6210
IOWA,2018,February,Monthly,Number of Live Births,2842
KANSAS,2018,February,Monthly,Number of Live Births,2762
KENTUCKY,2018,February,Monthly,Number of Live Births,4056
LOUISIANA,2018,February,Monthly,Number of Live Births,4528
MAINE,2018,February,Monthly,Number of Live Births,836
MARYLAND,2018,February,Monthly,Number of Live Births,5171
MASSACHUSETTS,2018,February,Monthly,Number of Live Births,5075
MICHIGAN,2018,February,Monthly,Number of Live Births,8173
MINNESOTA,2018,February,Monthly,Number of Live Births,4965
MISSISSIPPI,2018,February,Monthly,Number of Live Births,2852
MISSOURI,2018,February,Monthly,Number of Live Births,5468
MONTANA,2018,February,Monthly,Number of Live Births,909
NEBRASKA,2018,February,Monthly,Number of Live Births,1976
NEVADA,2018,February,Monthly,Number of Live Births,2658
