Business Id,Business Name,Business Address1,Business Address2,Business City,Business State,Business Zip4,Business Zip5,Mailing Address1,Mailing Address2,Mailing Zip4,Mailing Zip5,Mailing City,Mailing State,Email Id,Date Incorporated,Location
779572,"THE ART OF TAO LABOSSIERE, INC.",,,,,,,,,,,,CT,amylalala11@yahoo.com,03/26/2004,
1249059,CITY INVESTIGATIONS & SECURITY INC,,,,,,,,,,,,,ELITECORP95@GMAIL.COM,09/05/2017,
1181933,"CT TOWN COMMERCIAL, CORP.",,,,,,,,,,,,,,07/24/2015,
1153823,DONATIONEASE INC.,,,,,,,,,,,,,ANDY.QUINN@DONATIONEASE.COM,09/08/2014,
1241423,CJ NAILS & SPA INC,,,,,,,,,,,,,GIANA@PREMIERCFS.COM,06/07/2017,
1264252,BOSSA BOLO TRUCKING INC,,,,,,,,,,,,,TANIOBOSSA@GMAIL.COM,02/19/2018,
1156168,"GOODSTREETS, INC.",,,,,,,,,,,,,,10/01/2014,
1092789,TANRC AFFILIATE SERVICES CORPORATION,55 CAPITAL BOULEVARD,2ND FLOOR,ROCKY HILL,CT,,06067,55 CAPITAL BOULEVARD,SUITE 203,,06067,ROCKY HILL,CT,FINANCE@TANRC.ORG,01/07/2013,
1181285,"CONNECTICUT OVERSEAS VENTURES AND ENTERPRISES, INC.",,,,,,,,,,,,,,07/17/2015,
1172517,HOME AGAIN BENEFIT CORP.,,,,,,,,,,,,,,03/25/2015,
1162768,MD LOGISTICS INC,NONE,,X,CT,,,6444 N MILWAUKEE AVE,,,60631,CHICAGO,IL,maria.sloan@gmail.com,12/30/2014,"NONE
X, CT"
1249211,CT LILY NAIL SPA INC.,,,,,,,,,,,,,ATAX8808@GMAIL.COM,09/06/2017,
1158641,MJ SUSHI INC.,,,,,,,,,,,,,,10/28/2014,
1195704,DIAMOND DENTAL SERVICES INC,,,,,,,,,,,,,,01/13/2016,
1248433,DISONG INC.,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,08/25/2017,
1037395,"STILL WATERS RETREAT CENTER, INC.",NONE,,X,CT,,06384,,,,,,,amy@stillwaterspond.com,05/09/2011,"NONE
X, CT 06384"
1170550,D.J PARK PC,207 GEORGE ST,APT. 134,MIDDLETOWN,CT,,06457,,,,,,,ehdwls1102@gmail.com,03/20/2015,"207 GEORGE ST
MIDDLETOWN, CT 06457
(41.54878, -72.687799)"
1267091,PEREZ ECCENTRIC TRADES INC,,,,,,,,,,,,,RAINENTERPRISES65@GMAIL.COM,03/16/2018,
1219729,DREW'S HONEYBEES INC.,,,,,,,,,,,,,DREW@DREWSHONEYBEES.COM,10/20/2016,
1239974,EASTERN PEARL NAIL SPA INC,,,,,,,,,,,,,EXCELLISA@YAHOO.COM,05/23/2017,
1155388,"ELM CITY COMMUNITY MARKET, INC.",777 CHAPEL ST,,NEW HAVEN,CT,,06510,777 CHAPEL ST,,,06510,NEW HAVEN,CT,LINFIELD.SIMON@RISCFOUNDATION.ORG,09/23/2014,
1156149,SIMPLY SMILES PRODUCTS CORPORATION,,,,,,,,,,,,,,10/01/2014,
