Reporting Area,MMWR Year,MMWR Week,"Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2015","Shiga toxin-producing E. coli (STEC)§, Cum 2015, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag","Shigellosis, Cum 2015","Shigellosis, Cum 2015, flag",Location 1,Location 2
DELAWARE,2016,30,,-,0,,1,,3,,2,,1,,0,,3,,28,,16,,"DELAWARE
(39.008676, -75.574561)",
MINNESOTA,2016,30,,-,0,,13,,,-,130,,,-,0,,21,,,-,72,,"MINNESOTA
(44.943719, -93.094281)",
CONNECTICUT,2016,30,,-,1,,33,,82,,53,,,-,1,,4,,24,,36,,"CONNECTICUT
(41.544654, -72.651713)",
RHODE ISLAND,2016,30,,-,0,,2,,4,,3,,1,,0,,2,,15,,20,,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2016,30,,-,0,,0,,,-,,-,,-,0,,5,,,-,4,,"GUAM
(13.3532, 144.653198)",
KANSAS,2016,30,,-,2,,7,,67,,59,,,-,4,,14,,151,,63,,"KANSAS
(38.345528, -98.201847)",
KENTUCKY,2016,30,1,,1,,6,,39,,44,,2,,4,,15,,106,,300,,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2016,30,5,,10,,18,,277,,330,,27,,64,,130,,1449,,2503,,,
PACIFIC,2016,30,6,,17,,399,,457,,645,,12,,43,,190,,1027,,996,,,
WASHINGTON,2016,30,3,,0,,386,,88,,,-,7,,1,,152,,97,,,-,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2016,30,8,,10,,53,,287,,292,,48,,102,,363,,2660,,2564,,"TEXAS
(31.827233, -99.423022)",
MID. ATLANTIC,2016,30,8,,12,,34,,365,,366,,15,,27,,58,,703,,1086,,,
WISCONSIN,2016,30,,-,1,,12,,9,,113,,,-,14,,33,,524,,107,,"WISCONSIN
(44.395526, -89.834513)",
DIST. OF COL.,2016,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
NEVADA,2016,30,,-,0,,7,,5,,18,,,-,0,,3,,2,,25,,"NEVADA
(39.491833, -117.070159)",
NEW ENGLAND,2016,30,,-,5,,36,,190,,121,,5,,5,,13,,135,,148,,,
WEST VIRGINIA,2016,30,,-,0,,3,,12,,8,,,-,0,,2,,3,,13,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2016,30,,-,2,,8,,56,,83,,,-,5,,15,,90,,188,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGIN ISL.,2016,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
OREGON,2016,30,2,,4,,10,,82,,117,,2,,3,,10,,81,,27,,"OREGON
(44.567912, -120.156945)",
VERMONT,2016,30,,-,0,,4,,9,,9,,,-,0,,1,,1,,5,,"VERMONT
(43.622479, -72.51927)",
PENNSYLVANIA,2016,30,2,,3,,12,,94,,124,,3,,9,,24,,276,,175,,"PENNSYLVANIA
(40.789676, -77.858055)",
MASSACHUSETTS,2016,30,,-,2,,7,,61,,29,,3,,3,,11,,91,,84,,"MASSACHUSETTS
(42.268546, -72.085064)",
C.N.M.I.,2016,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
UTAH,2016,30,,-,1,,7,,22,,52,,,-,1,,5,,38,,23,,"UTAH
(39.359772, -111.584173)",
OHIO,2016,30,13,,4,,19,,119,,116,,25,,21,,54,,681,,256,,"OHIO
(40.056807, -82.405897)",
E.N. CENTRAL,2016,30,13,,13,,36,,307,,473,,30,,61,,123,,1908,,1293,,,
ALABAMA,2016,30,,-,0,,3,,13,,23,,,-,9,,25,,162,,361,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2016,30,6,,4,,16,,157,,94,,3,,4,,10,,100,,233,,"NEW YORK
(42.826892, -75.544286)",
MISSOURI,2016,30,,-,0,,11,,9,,143,,,-,0,,52,,27,,425,,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2016,30,2,,3,,7,,92,,76,,19,,17,,38,,390,,1187,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2016,30,,-,2,,8,,35,,68,,,-,5,,13,,145,,168,,"INDIANA
(39.76845, -86.156212)",
IOWA,2016,30,,-,4,,19,,156,,86,,,-,10,,31,,337,,380,,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2016,30,,-,1,,5,,28,,32,,,-,1,,12,,10,,203,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2016,30,,-,3,,9,,76,,106,,,-,13,,35,,321,,474,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2016,30,3,,2,,9,,86,,67,,3,,2,,14,,119,,40,,"NEBRASKA
(41.640503, -99.367122)",
W.S. CENTRAL,2016,30,11,,15,,92,,408,,451,,75,,127,,497,,3329,,3035,,,
MISSISSIPPI,2016,30,,-,0,,3,,13,,13,,,-,1,,4,,32,,69,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2016,30,,-,0,,3,,11,,20,,,-,2,,13,,85,,37,,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2016,30,1,,3,,12,,83,,68,,,-,1,,4,,37,,11,,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2016,30,53,,112,,549,,2781,,3509,,187,,409,,981,,10618,,11525,,,
NORTH CAROLINA,2016,30,,-,1,,6,,16,,33,,,-,6,,34,,131,,148,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2016,30,,-,0,,16,,,-,109,,,-,0,,8,,,-,34,,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2016,30,,-,0,,2,,13,,28,,,-,4,,44,,123,,117,,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2016,30,,-,0,,2,,8,,33,,,-,1,,6,,25,,46,,"HAWAII
(21.30992, -157.858158)",
NEW YORK CITY,2016,30,,-,1,,8,,58,,65,,9,,7,,21,,237,,490,,NEW YORK CITY,
ARIZONA,2016,30,1,,2,,11,,79,,73,,17,,21,,49,,842,,221,,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2016,30,,-,1,,8,,50,,62,,3,,7,,22,,244,,185,,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2016,30,,-,1,,3,,19,,27,,,-,0,,2,,10,,16,,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2016,30,2,,2,,33,,59,,79,,23,,16,,165,,436,,353,,"OKLAHOMA
(35.468494, -97.521264)",
W.N. CENTRAL,2016,30,3,,16,,41,,365,,544,,3,,33,,98,,654,,1199,,,
GEORGIA,2016,30,,-,2,,6,,50,,67,,1,,19,,38,,445,,703,,"GEORGIA
(32.836038, -83.631709)",
E.S. CENTRAL,2016,30,4,,5,,13,,158,,168,,3,,16,,37,,399,,898,,,
ARKANSAS,2016,30,1,,2,,7,,56,,44,,4,,3,,9,,97,,26,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2016,31,6,,3,,12,,89,,75,,,-,1,,4,,36,,11,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2016,31,2,,3,,12,,98,,131,,8,,9,,24,,294,,194,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2016,31,,-,0,,7,,6,,20,,,-,0,,3,,2,,26,,"NEVADA
(39.491833, -117.070159)",
AMER. SAMOA,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
NORTH CAROLINA,2016,31,,-,1,,6,,16,,33,,,-,6,,34,,140,,162,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2016,31,3,,0,,3,,20,,16,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
WYOMING,2016,31,,-,0,,2,,3,,30,,1,,0,,3,,5,,5,,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,31,,-,1,,3,,21,,28,,,-,0,,2,,13,,16,,"NORTH DAKOTA
(47.475879, -100.121011)",
W.S. CENTRAL,2016,31,2,,15,,92,,422,,461,,76,,128,,497,,3494,,3116,,,
MID. ATLANTIC,2016,31,11,,12,,27,,373,,386,,23,,27,,58,,751,,1135,,,
SOUTH DAKOTA,2016,31,,-,1,,4,,28,,35,,,-,1,,12,,10,,213,,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2016,31,,-,0,,2,,8,,33,,,-,1,,6,,25,,47,,"HAWAII
(21.30992, -157.858158)",
TEXAS,2016,31,1,,11,,53,,294,,296,,67,,100,,363,,2753,,2630,,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2016,31,,-,0,,3,,14,,24,,,-,9,,25,,162,,377,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK CITY,2016,31,2,,1,,7,,60,,67,,11,,7,,21,,248,,503,,NEW YORK CITY,
S. ATLANTIC,2016,31,4,,10,,17,,293,,346,,14,,63,,130,,1486,,2601,,,
MOUNTAIN,2016,31,8,,10,,30,,268,,437,,22,,28,,54,,1060,,384,,,
VIRGINIA,2016,31,1,,1,,8,,58,,66,,6,,7,,22,,254,,197,,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2016,31,,-,0,,13,,,-,138,,,-,0,,21,,,-,73,,"MINNESOTA
(46.357661, -94.793397)",
ARKANSAS,2016,31,1,,2,,7,,62,,47,,1,,3,,9,,101,,30,,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2016,31,,-,0,,6,,18,,13,,,-,0,,2,,5,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2016,31,,-,0,,3,,13,,23,,,-,2,,17,,101,,41,,"NEW MEXICO
(34.520396, -106.244402)",
GUAM,2016,31,,-,0,,0,,,-,,-,,-,0,,5,,,-,4,,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2016,31,,-,0,,2,,13,,30,,,-,4,,44,,123,,118,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KENTUCKY,2016,31,,-,1,,4,,42,,46,,,-,4,,15,,107,,309,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2016,31,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
COLORADO,2016,31,,-,0,,10,,,-,114,,,-,0,,8,,,-,38,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2016,31,,-,2,,7,,71,,63,,,-,4,,14,,152,,67,,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
OKLAHOMA,2016,31,,-,2,,33,,59,,82,,,-,16,,165,,436,,359,,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2016,31,57,,111,,549,,2997,,3704,,205,,409,,981,,11123,,11947,,,
MONTANA,2016,31,,-,2,,6,,53,,43,,,-,0,,2,,7,,11,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2016,31,13,,0,,386,,99,,,-,3,,1,,152,,100,,,-,"WASHINGTON
(47.517368, -120.467672)",
WISCONSIN,2016,31,,-,1,,12,,17,,125,,6,,14,,37,,562,,109,,"WISCONSIN
(44.395526, -89.834513)",
MICHIGAN,2016,31,1,,2,,7,,71,,73,,7,,9,,17,,253,,293,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2016,31,,-,11,,33,,301,,518,,9,,36,,158,,876,,970,,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2016,31,1,,1,,33,,88,,55,,,-,1,,4,,27,,37,,"CONNECTICUT
(41.544654, -72.651713)",
GEORGIA,2016,31,1,,2,,6,,57,,70,,7,,19,,38,,463,,735,,"GEORGIA
(32.836038, -83.631709)",
PACIFIC,2016,31,17,,17,,399,,503,,685,,12,,41,,190,,1087,,1046,,,
VERMONT,2016,31,,-,0,,4,,9,,9,,,-,0,,1,,1,,5,,"VERMONT
(43.622479, -72.51927)",
ILLINOIS,2016,31,,-,3,,41,,134,,110,,,-,13,,35,,349,,503,,"ILLINOIS
(40.477092, -88.993221)",
NEW ENGLAND,2016,31,4,,5,,36,,204,,128,,4,,5,,13,,144,,156,,,
UTAH,2016,31,,-,1,,7,,23,,53,,,-,1,,5,,39,,24,,"UTAH
(39.359772, -111.584173)",
DELAWARE,2016,31,,-,0,,1,,4,,2,,,-,0,,3,,28,,17,,"DELAWARE
(39.008676, -75.574561)",
OREGON,2016,31,4,,3,,10,,88,,127,,,-,3,,10,,82,,27,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2016,31,,-,0,,3,,12,,10,,,-,0,,2,,3,,13,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2016,31,,-,2,,7,,56,,87,,,-,5,,15,,104,,200,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2016,31,,-,2,,8,,36,,73,,,-,5,,13,,147,,172,,"INDIANA
(39.76845, -86.156212)",
MASSACHUSETTS,2016,31,,-,2,,7,,65,,32,,3,,3,,11,,95,,90,,"MASSACHUSETTS
(42.268546, -72.085064)",
W.N. CENTRAL,2016,31,1,,16,,41,,380,,580,,,-,33,,98,,666,,1246,,,
ALASKA,2016,31,,-,0,,1,,7,,7,,,-,0,,1,,4,,2,,"ALASKA
(64.836661, -147.738891)",
E.N. CENTRAL,2016,31,7,,13,,55,,383,,500,,48,,63,,123,,2025,,1336,,,
E.S. CENTRAL,2016,31,3,,5,,13,,171,,181,,6,,15,,37,,410,,927,,,
TENNESSEE,2016,31,3,,3,,11,,102,,98,,6,,3,,9,,108,,171,,"TENNESSEE
(35.681402, -85.774444)",
NEBRASKA,2016,31,1,,2,,9,,87,,69,,,-,2,,14,,120,,43,,"NEBRASKA
(41.640503, -99.367122)",
MISSOURI,2016,31,,-,0,,11,,9,,154,,,-,0,,52,,27,,445,,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2016,31,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
RHODE ISLAND,2016,31,,-,0,,2,,4,,3,,1,,0,,2,,16,,21,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2016,31,7,,4,,16,,159,,101,,4,,4,,10,,105,,238,,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2016,31,,-,0,,3,,13,,13,,,-,1,,4,,33,,70,,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2016,31,,-,3,,7,,92,,80,,,-,17,,38,,390,,1220,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2016,31,2,,2,,8,,81,,79,,21,,22,,49,,870,,228,,"ARIZONA
(34.869712, -111.760902)",
IOWA,2016,31,,-,4,,19,,164,,93,,,-,10,,31,,344,,389,,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2016,31,,-,0,,1,,,-,1,,,-,0,,3,,14,,11,,"PUERTO RICO
(18.215692, -66.414655)",
OHIO,2016,31,6,,4,,19,,125,,119,,35,,21,,54,,714,,259,,"OHIO
(40.056807, -82.405897)",
MARYLAND,2016,31,2,,1,,6,,41,,55,,1,,3,,13,,85,,139,,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2016,31,,-,0,,2,,7,,36,,8,,6,,16,,204,,97,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2016,32,6,,1,,33,,66,,86,,32,,16,,165,,472,,363,,"OKLAHOMA
(35.468494, -97.521264)",
E.N. CENTRAL,2016,32,13,,13,,63,,452,,533,,35,,63,,123,,2087,,1372,,,
MISSISSIPPI,2016,32,,-,0,,3,,12,,13,,,-,1,,4,,32,,70,,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2016,32,,-,1,,7,,62,,47,,4,,3,,9,,106,,33,,"ARKANSAS
(34.748745, -92.275105)",
KANSAS,2016,32,,-,2,,7,,73,,67,,,-,4,,14,,156,,69,,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2016,32,,-,0,,2,,4,,3,,,-,0,,2,,16,,21,,"RHODE ISLAND
(41.707447, -71.522488)",
W.S. CENTRAL,2016,32,6,,15,,92,,430,,473,,99,,128,,497,,3639,,3223,,,
E.S. CENTRAL,2016,32,2,,5,,12,,178,,193,,3,,15,,37,,417,,938,,,
VIRGINIA,2016,32,1,,1,,8,,60,,68,,5,,7,,22,,260,,200,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2016,32,,-,0,,6,,18,,13,,,-,0,,2,,5,,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2016,32,,-,1,,33,,91,,59,,,-,1,,4,,29,,41,,"CONNECTICUT
(41.544654, -72.651713)",
NORTH DAKOTA,2016,32,,-,1,,3,,24,,29,,,-,0,,2,,15,,16,,"NORTH DAKOTA
(47.475879, -100.121011)",
S. ATLANTIC,2016,32,7,,10,,17,,303,,360,,31,,61,,130,,1546,,2685,,,
MISSOURI,2016,32,,-,0,,9,,9,,159,,,-,0,,52,,27,,473,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2016,32,2,,3,,12,,92,,81,,,-,1,,4,,35,,12,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2016,32,3,,1,,5,,39,,56,,6,,3,,13,,91,,146,,"MARYLAND
(39.290443, -76.612333)",
UNITED STATES,2016,32,57,,111,,549,,3179,,3898,,208,,407,,981,,11497,,12367,,,
FLORIDA,2016,32,3,,3,,7,,99,,84,,14,,17,,38,,416,,1255,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2016,32,,-,1,,6,,16,,36,,,-,6,,34,,142,,171,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,32,,-,1,,8,,36,,77,,,-,5,,13,,152,,174,,"INDIANA
(39.76845, -86.156212)",
AMER. SAMOA,2016,32,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,AMER. SAMOA,
PACIFIC,2016,32,9,,17,,399,,527,,721,,8,,41,,190,,1127,,1093,,,
DELAWARE,2016,32,,-,0,,2,,5,,2,,2,,0,,3,,33,,17,,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2016,32,,-,2,,7,,56,,89,,,-,5,,15,,104,,213,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2016,32,,-,0,,13,,,-,146,,,-,0,,21,,,-,76,,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2016,32,,-,0,,10,,,-,121,,,-,0,,8,,,-,41,,"COLORADO
(38.841772, -106.132562)",
MID. ATLANTIC,2016,32,11,,12,,27,,389,,407,,16,,27,,58,,778,,1181,,,
MAINE,2016,32,1,,0,,3,,21,,18,,,-,0,,1,,,-,2,,"MAINE
(45.252223, -68.986647)",
GEORGIA,2016,32,,-,2,,6,,58,,73,,4,,18,,38,,474,,762,,"GEORGIA
(32.836038, -83.631709)",
GUAM,2016,32,,-,0,,0,,,-,,-,,-,0,,5,,,-,4,,"GUAM
(13.3532, 144.653198)",
ILLINOIS,2016,32,,-,3,,47,,156,,116,,,-,13,,35,,355,,515,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2016,32,,-,0,,3,,16,,25,,2,,2,,19,,108,,46,,"NEW MEXICO
(34.520396, -106.244402)",
MONTANA,2016,32,,-,2,,6,,53,,45,,,-,0,,2,,7,,11,,"MONTANA
(47.062617, -109.430168)",
SOUTH DAKOTA,2016,32,,-,1,,4,,30,,36,,,-,1,,12,,10,,220,,"SOUTH DAKOTA
(44.35371, -100.373709)",
HAWAII,2016,32,,-,0,,2,,8,,34,,,-,1,,6,,26,,50,,"HAWAII
(21.30992, -157.858158)",
OREGON,2016,32,2,,3,,10,,90,,137,,,-,3,,10,,82,,28,,"OREGON
(44.567912, -120.156945)",
WISCONSIN,2016,32,,-,2,,9,,41,,133,,9,,14,,39,,579,,111,,"WISCONSIN
(44.395526, -89.834513)",
