Comp Affordable Housing ID,Property Name,Address,City,State,Zip Code,Latitude,Longitude,Unit Type,Census Tract,Owner,Developer,Council District,Phone,Email,Property Manager Or Landlord,Website,Students Only,Community Elderly,Community Disabled,Cmty Domestic Abuse Survivor,Community Mental,Community Veteran,Community Military,Only Serves Designated Cmtys,Cmty Served Descriptions,Broken Lease,Broken Lease Criteria,Eviction History,Eviction History Criteria,Criminal History,Criminal History Criteria,Has Waitlist,Total Units,Total Permanent Support Units,Has Permanent Support Units,Total Income Restricted Units,Has Allocated IR Units,Total Housing Choice Units,Accepts Housing Choice,Total Accessible IR Units,Has Allocated Acc IR Units,Num Units MFI 30,Num Units MFI 40,Num Units MFI 50,Num Units MFI 60,Num Units MFI 65,Num Units MFI 70,Num Units MFI 80,Num Units MFI 90,Num Units MFI 100,Num Units MFI 110,Num Units MFI 120,Has 0 Bed Unit,Has 1 Bed Unit,Has 2 Bed Unit,Has 3 Bed Unit,Has 4 Bed Unit,Has 5 Bed Unit,Num IR 0 Bed Units,Num IR 1 Bed Units,Num IR 2 Bed Units,Num IR 3 Bed Units,Num IR 4 Bed Units,Num IR 5 Bed Units,Has Playground,Has Pool,Has Off Street Parking,Has Air Conditioning,Has Ceiling Fans,Washer Dryer Unit,Washer Dryer Hookups,Washer Dryer Onsite,Washer Dryer Other,Allows Pet,Pet Other,Bus Transit Distance,Security,Elementary School,Middle School,High School,Affordability Start,Affordability Expiration,Austin Housing Inventory ID,Housing Program,Community Development Block Gr,Home Program Funding,Low Income Housing Tax Credit,Source ATC Guide,Source TDHCA,Source AHI,Is Duplicate,TDHCA Funded,NHCD Funded,HACA Funded,HATC Funded,Geocolumn
2928,Hilltop-UNDER CONSTRUCTION,2402 San Gabriel Street,Austin,TX,78705,30.288769,-97.748248,Multifamily,,,,9,,,,,,,,,,,,,,,,,,,,,514,0,,102,,,,,,0,0,51,51,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,0,,true,,0,POINT (-97.748248 30.288769)
2557,E6,2400 E 6th Street,Austin,TX,78702,30.25979996,-97.71600342,Multifamily,,"AE6 Apartments, LLC",AE6 Apartments LLC,3,512-469-0400,e6@greystar.com,Greystar,www.livee6.com,false,false,false,false,false,false,false,,All SMART housing units are studio apartments,depends,Rental debt must be paid off,no,,depends,Applicants will be denied if they have a history of violent criminal activity,false,208,0,,21,true,,false,,,0,0,0,0,0,,21,,,,,true,true,true,,,,,,,,,,false,true,true,true,true,,,,,yes,,1/2 Mile,,Zavala Elementary,Martin Middle,Eastside Memorial HS at Johnston,January 01 2018,01/01/2058 12:00:00 AM,3619,"Development Incentives, VMU",0,0,,true,false,true,0,false,true,,,POINT (-97.71600342 30.25979996)
2904,The Park at Estancia-UNDER CONSTRUCTION,820 Camino Vaquero Parkway,Austin,TX,78652,30.123941,-97.804756,Multifamily,,,,5,512-280-6711,,"Estancia Villas, LLC",https://www.parkatestancia.com/,,,,,,,,,,,,,,,,,320,0,,32,,,,,,0,0,0,32,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,true,false,0,POINT (-97.804756 30.123941)
2915,MOSAIC HOUSING CORP XXIII,2404 Roehampton Dr,Austin,Texas,78745,30.19677454390253,-97.81716235518932,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,POINT (-97.817162355189 30.196774543903)
2873,Bridge at Northwest Hills,3600 Greystone Dr,Austin,TX,78731,30.359282746193916,-97.75203810546141,multi-family,,,,10,512-346-0384,info@bridgeatnorthwesthills.com,AAHC,www.bridgeatnorthwesthills.com,false,false,false,false,false,false,false,,,depends,no rental debt,no,,depends,case by case,false,314,0,,157,,,true,4,,0,0,0,0,0,,157,,,,,,,,,,,,,,,,,false,true,false,true,,false,true,true,2 on site laundromats,yes,50# breed restrictions,,no,Doss Elementary,Murchison Middle,Anderson High,,,,,,,,,,,0,,,true,,POINT (-97.752038105461 30.359282746194)
2834,Lexington Hills Apartments,2430 Cromwell Circle,Austin,TX,78741,30.22669983,-97.72090149,Multifamily,,,,3,844-741-6319,leasing@lexigtonhillsaustin.com,AAHC,lexingtonhillsaustin.com,false,false,false,false,false,false,false,,,yes,As long as no balance owed,no,,depends,DWI only - go back 20 years for all other criminal offenses,false,238,0,,119,,,true,0,,0,0,0,0,0,,119,,,,,,true,true,,,,,,,,,,false,true,true,true,true,false,true,true,,yes,"2 pets, cats and dogs accepted (restricted breeds), $150 deposit per first pet and $200 for second, $10 monthly per pet for pet rent",<1/2,courtesy patrol,Baty Elementary School,John P Ojeda J High School,Del Valle High School,,,,HUD Section 8; AHFC (Austin Affordable Housing Corporation),,,,true,false,false,0,false,false,true,,POINT (-97.72090149 30.22669983)
2543,Garden Terrace Phase I,1015 W William Cannon Drive,Austin,TX,78745,30.198400499999998,-97.79309845,Multifamily,,"Foundation Communities, Inc.","Foundation Communities, Inc.",5,512-416-5300,morgan.acree@foundcom.org,Morgan Acree,http://foundcom.org/housing/our-austin-communities/garden-terrace/,false,false,false,false,false,false,false,,Single adults; 50 units reserved for individuals experiencing homelessness,depends,Applicants who have left without notice or have a history of lease violations will be denied,depends,Rental debt must be paid off,depends,Certain convictions permanently excluded; violent felonies excluded 7 years; non-violent felonies excluded 3 years; Class A misdemeanors excluded 1 year; Class B misdemeanors excluded 180 days,true,85,0,true,85,true,,true,,,4,0,16,0,0,,0,,,,,true,,,,,,,,,,,,false,false,,true,,,,true,,no,,,On-site support services,Williams Elementary,Bedichek Middle,Crockett High,January 01 2015,01/01/2055 12:00:00 AM,3795,"Foundation Communities (nonprofit, offers affordable housing); AHFC Bond; RHDA",0,176070,,true,false,true,0,false,true,false,0,POINT (-97.79309845 30.1984005)
2887,Villages at Fiskville,10127 Middle Fiskville Road,Austin,TX,78753,30.364962,-97.681102,Multifamily,,,,4,512-434-0288,leasingatmiddlefisksville@gmail.com,,https://villagesatfiskville.com,false,true,false,false,false,false,false,,,,,,,,,,172,,,155,,,,,,,,,69,,,86,,,,,,,,,,,,,,,,,false,true,,true,true,false,false,true,,yes,"45 lb. max weight, breed restrictions",,Controlled access,Graham,Dobie,Reagan,March 01 2017,03/01/2032 12:00:00 AM,,,,,,,,,0,false,false,false,0,POINT (-97.681102 30.364962)
2905,700 E 11th Street-UNDER CONSTRUCTION,700 E 11th Street,Austin,TX,78701,30.271082,-97.733918,Multifamily,,,,1,,,"Texas Motor Transportation & Oilfield Haulers, INC",,,,,,,,,,,,,,,,,,276,0,,4,,,,,,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matthews Elementary School,O Henry Middle School,Austin High School,,,,,,,,,,,0,,true,false,0,POINT (-97.733918 30.271082)
2888,Plaza Saltillo-UNDER CONSTRUCTION,1011 E 5th Street,Austin,TX,78702,30.263744,-97.732588,Multifamily,,,,4,512-682-5500,,Endeavor Real Estate Group,,false,false,false,false,false,false,false,,,,,,,,,,278,0,,41,,,,,,0,0,41,0,0,,0,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,0,false,true,false,0,POINT (-97.732588 30.263744)
