inci_no,Alm_Date,Address,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
7866,4/1/2012,217 W ST CATHERINE n/a City of Louisville KY 40203,112 - Fires in structure other than in a building,1000,2000,3000,80000,77000
8072,4/3/2012,3153 TALISMAN N/A City of Cambridge KY 40220,111 - Building fire,0,5000,5000,127000,122000
8132,4/4/2012,RUNDILL MAP 4 City of Louisville KY 40214,131 - Passenger vehicle fire,0,4000,4000,4000,0
8322,4/6/2012,3308 HALE n/a City of Louisville KY 40211,111 - Building fire,0,5000,5000,5000,0
8316,4/6/2012,1150 S 28TH n/a City of Louisville KY 40211,111 - Building fire,0,5000,5000,50000,45000
8438,4/7/2012,S SHELBY City of Louisville KY 40203,131 - Passenger vehicle fire,0,250,250,1500,1250
8528,4/8/2012,740 I 264 East n/a City of Louisville KY 40215,131 - Passenger vehicle fire,0,3000,3000,6000,3000
8520,4/8/2012,100 HIGH RISE n/a City of Audubon Park KY 40213,111 - Building fire,500,500,1000,1000000,999000
8879,4/12/2012,419 N 28TH None City of Louisville KY 40212,"118 - Trash or rubbish fire, contained",0,100,100,500,400
8857,4/12/2012,1601 GAGEL front entrance City of Louisville KY 40216,164 - Outside mailbox fire,0,200,200,500000,499800
8854,4/12/2012,6708 SEMINOLE n/a City of Louisville KY 40214,111 - Building fire,30000,60000,90000,225000,135000
8953,4/13/2012,144 BRECKENRIDGE 4 City of Beechwood Village KY 40207,111 - Building fire,500,1000,1500,1000,-500
8973,4/13/2012,3025 KLONWAY N/A City of Cambridge KY 40220,111 - Building fire,20000,40000,60000,120000,60000
9049,4/14/2012,1610 BULGER B City of Louisville KY 40210,111 - Building fire,20000,100000,120000,400000,280000
9042,4/14/2012,1125 MULBERRY n/a City of Louisville KY 40217,111 - Building fire,500,500,1000,118000,117000
9169,4/15/2012,2907 S 6TH 0 City of Louisville KY 40208,111 - Building fire,500,1000,1500,7000,5500
9272,4/16/2012,215 ALBANY N/A City of Louisville KY 40206,111 - Building fire,250,2000,2250,105000,102750
9529,4/19/2012,605 SCHOLAR HOUSE 306 City of Louisville KY 40217,"113 - Cooking fire, confined to container",3000,5000,8000,500000,492000
9500,4/19/2012,934 FRANKLIN 4 City of Louisville KY 40206,111 - Building fire,2000,30000,32000,100000,68000
9793,4/22/2012,515 M n/a City of Louisville KY 40208,111 - Building fire,0,300,300,800,500
9793,4/22/2012,517 M n/a City of Louisville KY 40208,111 - Building fire,300,1000,1300,1000,-300
9876,4/23/2012,3315 GREENWOOD N/A City of Louisville KY 40211,131 - Passenger vehicle fire,0,2000,2000,2500,500
9896,4/24/2012,1415 WEYLER N/A City of Louisville KY 40215,111 - Building fire,20000,50000,70000,125000,55000
10104,4/26/2012,303 E BRANDEIS n/a City of Louisville KY 40208,131 - Passenger vehicle fire,100,500,600,7000,6400
10179,4/27/2012,959 CHARLES NA City of Louisville KY 40204,111 - Building fire,0,5000,5000,80000,75000
10179,4/27/2012,959 CHARLES NA City of Louisville KY 40204,111 - Building fire,0,5000,5000,80000,75000
10179,4/27/2012,959 CHARLES NA City of Louisville KY 40204,111 - Building fire,10000,50000,60000,75000,15000
10343,4/28/2012,1693 GARLAND N/A City of Louisville KY 40210,"113 - Cooking fire, confined to container",0,250,250,400,150
10305,4/28/2012,120 I 64 West n/a City of Louisville KY 40212,131 - Passenger vehicle fire,0,1000,1000,1000,0
10472,4/29/2012,1239 S CLAY n/a City of Louisville KY 40203,111 - Building fire,1000,10000,11000,69500,58500
10527,4/30/2012,301 N 44TH N/A City of Louisville KY 40212,111 - Building fire,2500,10000,12500,80000,67500
10674,5/1/2012,433 S 2ND 102 City of Louisville KY 40202,"113 - Cooking fire, confined to container",1500,200,1700,200,-1500
10643,5/1/2012,700 CENTRAL n/a City of Louisville KY 40208,111 - Building fire,0,450,450,150000,149550
10592,5/1/2012,2325 DUNCAN None City of Louisville KY 40212,"118 - Trash or rubbish fire, contained",500,0,500,0,-500
11012,5/4/2012,2319 DIXDALE na City of Louisville KY 40210,111 - Building fire,8000,15000,23000,46000,23000
10947,5/4/2012,GREENWOOD City of Louisville KY 40211,"130 - Mobile property (vehicle) fire, other",0,500,500,500,0
10941,5/4/2012,2800 YORKSHIRE n/a City of Cambridge KY 40220,"113 - Cooking fire, confined to container",0,400,400,60000,59600
11157,5/6/2012,664 S 40TH n/a City of Louisville KY 40211,131 - Passenger vehicle fire,250,2500,2750,5000,2250
11341,5/7/2012,1327 TEMPLE 1 City of Louisville KY 40210,162 - Outside equipment fire,0,100,100,49000,48900
11443,5/8/2012,934 FRANKLIN n/a City of Louisville KY 40206,111 - Building fire,10000,80000,90000,96960,6960
11762,5/11/2012,ALLMOND City of Louisville KY 40209,162 - Outside equipment fire,5000,0,5000,0,-5000
11759,5/11/2012,412 W LEE n/a City of Louisville KY 40217,131 - Passenger vehicle fire,2500,2500,5000,2500,-2500
11684,5/11/2012,3565 FINCASTLE N/A City of Audubon Park KY 40213,111 - Building fire,100,0,100,200000,199900
11678,5/11/2012,S 35TH City of Louisville KY 40211,131 - Passenger vehicle fire,0,11000,11000,11000,0
11846,5/12/2012,1680 I 264 East N/A City of Cambridge KY 40220,131 - Passenger vehicle fire,0,7500,7500,7500,0
11828,5/12/2012,1839 W GAULBERT N/A City of Louisville KY 40210,111 - Building fire,0,50,50,50,0
11799,5/12/2012,743 S SHELBY N/A City of Louisville KY 40203,111 - Building fire,4000,50000,54000,150000,96000
11934,5/13/2012,4122 S 2ND n/a City of Louisville KY 40214,111 - Building fire,5000,20000,25000,120000,95000
11901,5/13/2012,1101 E WASHINGTON N/A City of Louisville KY 40206,111 - Building fire,500,10000,10500,450000,439500
11871,5/13/2012,1501 DIXIE N/A City of Louisville KY 40210,131 - Passenger vehicle fire,0,15000,15000,35000,20000
11941,5/14/2012,1361 S FLOYD 14 City of Louisville KY 40208,111 - Building fire,0,500,500,500,0
12016,5/14/2012,107 FENLEY S-2 City of Beechwood Village KY 40207,131 - Passenger vehicle fire,0,3000,3000,3000,0
12163,5/16/2012,425 WARNOCK n/a City of Louisville KY 40217,131 - Passenger vehicle fire,300,5000,5300,5000,-300
12288,5/17/2012,CONN City of Louisville KY 40215,131 - Passenger vehicle fire,1000,9000,10000,9000,-1000
12250,5/17/2012,530 AMY 1 City of Louisville KY 40211,"113 - Cooking fire, confined to container",150,0,150,NULL,NULL
12425,5/18/2012,7417 STEEPLECREST 304 City of Bancroft KY 40222,111 - Building fire,5000,15000,20000,500000,480000
12383,5/18/2012,3314 W MAIN n/a City of Louisville KY 40212,111 - Building fire,0,25000,25000,50000,25000
12538,5/19/2012,1718 W JEFFERSON N/A City of Louisville KY 40203,111 - Building fire,0,20000,20000,150000,130000
12529,5/19/2012,1708 W OAK N/A City of Louisville KY 40210,112 - Fires in structure other than in a building,0,300,300,300,0
12526,5/19/2012,409 E MUHAMMAD ALI 1106 City of Louisville KY 40202,111 - Building fire,500,200,700,200,-500
12499,5/19/2012,S 9TH City of Louisville KY 40208,131 - Passenger vehicle fire,0,1000,1000,2000,1000
12436,5/19/2012,1200 I 264 East n/a City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,4000,4000,4000,0
12846,5/23/2012,402 N HITE n/a City of Louisville KY 40206,131 - Passenger vehicle fire,0,5000,5000,25000,20000
12845,5/23/2012,719 SUTCLIFFE n/a City of Louisville KY 40211,131 - Passenger vehicle fire,0,2875,2875,2875,0
13058,5/24/2012,2045 RIVER na City of Louisville KY 40206,162 - Outside equipment fire,0,200000,200000,2000000,1800000
13034,5/24/2012,555 S 2ND on sidewalk City of Louisville KY 40202,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
13033,5/24/2012,S 2ND City of Louisville KY 40202,"151 - Outside rubbish, trash or waste fire",0,200,200,200,0
12958,5/24/2012,2804 7TH STREET N/A City of Louisville KY 40215,111 - Building fire,100000,120000,220000,120000,-100000
13073,5/25/2012,3520 LEITH N/A City of Louisville KY 40218,137 - Camper or recreational vehicle (RV) fire,5000,25000,30000,25000,-5000
13213,5/26/2012,12980 I 65 North n/a City of Audubon Park KY 40213,131 - Passenger vehicle fire,0,2000,2000,4000,2000
13182,5/26/2012,2640 FRANKFORT N/A City of Louisville KY 40206,111 - Building fire,0,500,500,200000,199500
