Report Date,Borough,Community District,Case Type,Cases,Individuals
03/31/2020,Brooklyn,1,All Case Types,236,446
03/31/2020,Brooklyn,2,All Case Types,261,432
03/31/2020,Brooklyn,3,All Case Types,884,1662
03/31/2020,Brooklyn,4,All Case Types,368,716
03/31/2020,Brooklyn,5,All Case Types,1202,2478
03/31/2020,Brooklyn,6,All Case Types,155,292
03/31/2020,Brooklyn,7,All Case Types,118,207
03/31/2020,Brooklyn,8,All Case Types,413,771
03/31/2020,Brooklyn,9,All Case Types,336,570
03/31/2020,Brooklyn,10,All Case Types,72,132
03/31/2020,Brooklyn,11,All Case Types,102,196
03/31/2020,Brooklyn,12,All Case Types,92,156
03/31/2020,Brooklyn,13,All Case Types,222,456
03/31/2020,Brooklyn,14,All Case Types,283,491
03/31/2020,Brooklyn,15,All Case Types,101,178
03/31/2020,Brooklyn,16,All Case Types,747,1563
03/31/2020,Brooklyn,17,All Case Types,613,1209
03/31/2020,Brooklyn,18,All Case Types,398,782
03/31/2020,Brooklyn,Unknown CD,All Case Types,1417,2330
03/31/2020,Manhattan,1,All Case Types,260,508
03/31/2020,Manhattan,2,All Case Types,33,47
03/31/2020,Manhattan,3,All Case Types,345,603
03/31/2020,Manhattan,4,All Case Types,207,303
03/31/2020,Manhattan,5,All Case Types,91,132
03/31/2020,Manhattan,6,All Case Types,127,145
03/31/2020,Manhattan,7,All Case Types,204,321
03/31/2020,Manhattan,8,All Case Types,77,120
03/31/2020,Manhattan,9,All Case Types,380,698
03/31/2020,Manhattan,10,All Case Types,786,1404
03/31/2020,Manhattan,11,All Case Types,745,1317
03/31/2020,Manhattan,12,All Case Types,394,704
03/31/2020,Manhattan,Unknown CD,All Case Types,2320,3031
03/31/2020,Queens,1,All Case Types,559,750
03/31/2020,Queens,2,All Case Types,293,376
03/31/2020,Queens,3,All Case Types,157,283
03/31/2020,Queens,4,All Case Types,128,233
03/31/2020,Queens,5,All Case Types,122,203
03/31/2020,Queens,6,All Case Types,40,67
03/31/2020,Queens,7,All Case Types,115,201
03/31/2020,Queens,8,All Case Types,173,299
03/31/2020,Queens,9,All Case Types,173,313
03/31/2020,Queens,10,All Case Types,143,264
03/31/2020,Queens,11,All Case Types,20,33
03/31/2020,Queens,12,All Case Types,873,1706
03/31/2020,Queens,13,All Case Types,352,686
03/31/2020,Queens,14,All Case Types,498,1045
03/31/2020,Queens,Unknown CD,All Case Types,1056,1781
03/31/2020,Staten Island,1,All Case Types,420,923
03/31/2020,Staten Island,2,All Case Types,51,82
03/31/2020,Staten Island,3,All Case Types,29,55
03/31/2020,Staten Island,Unknown CD,All Case Types,97,168
