ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Power Conversion Mechanism,Minimum Configuration Tested Model Number,Active Output Power Rating Minimum Configuration (W),Apparent Output Power Rating Minimum Configuration (VA),Maximum Configuration Tested Model Number,Active Output Power Rating Maximum Configuration (W),Apparent Output Power Rating Maximum Configuration (VA),Topology (ac),Topology and Product Type Combined,Application,Rated Input Voltage (V rms),Rated Input Frequency (Hz),Rated Output Voltage (V),Rated Output Frequency (Hz),Rack Mountable,Rack Mount Height (U),Height (mm),Width (mm),Depth (mm),Total Number of Outlets,Number of Battery Backup and Surge Protected Outlets,Number of Surge Protected Only Outlets,Normal Mode(s) Input Dependency Characteristic (ac),Modular UPS,Number of Normal Modes,Default Normal Mode (ac),Test Input Voltage (V rms),Test Input Frequency (Hz),Test Output Voltage (V),Test Output Frequency (Hz),Total Input Power in W at 0% Load Min Config Lowest Dependency (ac),Total Input Power in W at 0% Load Min Config Highest Dependency (ac),Efficiency at 25% Load Min Config Lowest Dependency (ac),Efficiency at 25% Load Min Config Highest Dependency (ac),Efficiency at 50% Load Min Config Lowest Dependency (ac),Efficiency at 50% Load Min Config Highest Dependency (ac),Efficiency at 75% Load Min Config Lowest Dependency (ac),Efficiency at 75% Load Min Config Highest Dependency (ac),Efficiency at 100% Load Min Config Lowest Dependency (ac),Efficiency at 100% Load Min Config Highest Dependency (ac),Weighted Efficiency Calc Min Config Lowest Dependency,Weighted Efficiency Calc Min Config Highest Dependency,Total Input Power in W at 0% Load Minimum Configuration (dc),Efficiency at 30% Load Minimum Configuration (dc),Efficiency at 40% Load Minimum Configuration (dc),Efficiency at 50% Load Minimum Configuration (dc),Efficiency at 60% Load Minimum Configuration (dc),Efficiency at 70% Load Minimum Configuration (dc),Efficiency at 80% Load Minimum Configuration (dc),Minimum Configuration Input Power Factor Lowest-Input Dependency,Minimum Configuration Input Power Factor Highest-Input Dependency,Total Input Power in W at 0% Load Max Config Lowest Dependency (ac),Total Input Power in W at 0% Load Max Config Highest Dependency (ac),Efficiency at 25% Load Max Config Lowest Dependency (ac),Efficiency at 25% Load Max Config Highest Dependency (ac),Efficiency at 50% Load Max Config Lowest Dependency (ac),Efficiency at 50% Load Max Config Highest Dependency (ac),Efficiency at 75% Load Max Config Lowest Dependency (ac),Efficiency at 75% Load Max Config Highest Dependency (ac),Efficiency at 100% Load Max Config Lowest Dependency (ac),Efficiency at 100% Load Max Config Highest Dependency (ac),Weighted Efficiency Calc Max Config Lowest Dependency,Weighted Efficiency Calc Max Config Highest Dependency,Total Input Power in W at 0% Load Maximum Configuration  (dc),Efficiency at 30% Load Maximum Configuration (dc),Efficiency at 40% Load Maximum Configuration (dc),Efficiency at 50% Load Maximum Configuration (dc),Efficiency at 60% Load Maximum Configuration (dc),Efficiency at 70% Load Maximum Configuration (dc),Efficiency at 80% Load Maximum Configuration (dc),Maximum Configuration Input Power Factor Lowest-Input Dependency,Maximum Configuration Input Power Factor Highest-Input Dependency,Efficiency (%),Modular UPS Module Tested Model Number,Energy Storage Mechanism,Energy Storage System Technology,Energy Storage System Configuration,Energy Storage System Removable to Another Room,Energy Storage System Runtime at 100% Load (min.),Energy Storage System Runtime at 50% Load (min.),Energy Storage System Warranty (yrs),Energy Storage System Information URL,Battery Recycling URL,Network Connections Available,Communication Protocols,Communication Protocol Other,Manufacturer Take Back Program,Manufacturer Take Back Program URL,Model Web Page URL,Test Method Guidelines,Date Available on Market,Date Certified,Markets,CB Model Identifier
2331550,"CyberPower Systems, Inc.",CyberPower,CP1000AVRLCDa,CP1000AVRLCDa,"CP1000AVRLCDaTAA,CP1000AVRLCDaTAA,; CP850AVRLCDa,CP850AVRLCDa,; CP850AVRLCDaTAA,CP850AVRLCDaTAA,",Ac-output UPS,Static,CP1000AVRLCDa,600,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,229,99,259,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.9,,97.3,,98.3,,98.7,,98.7,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,9,3,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/cp1000avrlcd/,N/A,01/01/2019,12/17/2018,"United States, Canada",ES_1095904_CP1000AVRLCDa_12172018060213_6533358
2331551,"CyberPower Systems, Inc.",CyberPower,CST150XLU,CST150XLU,"CST150XLUTAA,CST150XLUTAA,",Ac-output UPS,Static,LX1500GU,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,249,99,348,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.9,,97.6,,98.5,,98.7,,98.6,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,3,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/lx1500gu/,N/A,04/01/2016,12/17/2018,"United States, Canada",ES_1095904_CST150XLU_12172018062029_7629946
2331552,"CyberPower Systems, Inc.",CyberPower,LX1500GU,LX1500GU,"BL1250U,BL1250U,; CP1350AVRLCDa,CP1350AVRLCDa,; CP1350AVRLCDaTAA,CP1350AVRLCDaTAA,; CST135XLU,CST135XLU,; CST135XLUTAA,CST135XLUTAA,; LX1100G,LX1100G,; LX1100GTAA,LX1100GTAA,; LX1325GU,LX1325GU,; LX1325GUTAA,LX1325GUTAA,; LX1500GUTAA,LX1500GUTAA,",Ac-output UPS,Static,LX1500GU,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,249,99,348,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.9,,97.6,,98.5,,98.7,,98.6,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,3,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/lx1500gu/,N/A,06/27/2014,12/17/2018,"United States, Canada",ES_1095904_LX1500GU_12172018061850_7530066
2331553,"CyberPower Systems, Inc.",CyberPower,BRG1000AVRLCD,BRG1000AVRLCD,"BRG1000AVRLCDTAA,BRG1000AVRLCDTAA,; BRG850AVRLCD,BRG850AVRLCD,; BRG850AVRLCDTAA,BRG850AVRLCDTAA,",Ac-output UPS,Static,BRG1000AVRLCD,600,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,246,99,259,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,5,,96.9,,98.2,,98.6,,98.7,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,1,9,3,N/A,,"Serial Port,USB Port",Other,"HID
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/brg1000avrlcd/,N/A,01/01/2019,12/17/2018,"United States, Canada",ES_1095904_BRG1000AVRLCD_12172018064951_9391421
2331554,"CyberPower Systems, Inc.",CyberPower,BRG1500AVRLCD,BRG1500AVRLCD,"BRG1350AVRLCD,BRG1350AVRLCD,; BRG1350AVRLCDTAA,BRG1350AVRLCDTAA,; BRG1500AVRLCDTAA,BRG1500AVRLCDTAA,",Ac-output UPS,Static,BRG1500AVRLCD,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,279,99,356,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,5.7,,97.4,,98.4,,98.7,,98.7,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,3,N/A,,"Serial Port,USB Port",Other,"HID
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/brg1500avrlcd/,N/A,05/15/2014,12/17/2018,"United States, Canada",ES_1095904_BRG1500AVRLCD_12172018072717_1637139
2331555,"CyberPower Systems, Inc.",CyberPower,CP1500AVRLCDa,CP1500AVRLCDa,"CP1500AVRLCDaTAA,CP1500AVRLCDaTAA,",Ac-output UPS,Static,BRG1500AVRLCD,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,279,99,356,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,5.7,,97.4,,98.4,,98.7,,98.7,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,12,3,N/A,,"Serial Port,USB Port",Other,"HID
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/brg1500avrlcd/,N/A,07/15/2016,12/17/2018,"United States, Canada",ES_1095904_CP1500AVRLCDa_12172018072831_1711775
2331669,"CyberPower Systems, Inc.",CyberPower,CPS1500AVRa,CPS1500AVRa,"CPS1500AVRaTAA,CPS1500AVRaTAA,",Ac-output UPS,Static,OR1500LCDRT2U,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer,Data Center",120-120,50-60,120-120,50-60,Yes,2,88,438,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.5,,98.3,,98.9,,99,,98.9,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,6,18,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or1500lcdrt2u/,N/A,09/18/2013,12/19/2018,"United States, Canada",ES_1095904_CPS1500AVRa_12192018072533_4333622
2331670,"CyberPower Systems, Inc.",CyberPower,OR1500LCDRT2U,OR1500LCDRT2U,"OR1500LCDRT2UN,OR1500LCDRT2UN,; OR1500LCDRT2UNTAA,OR1500LCDRT2UNTAA,; OR1500LCDRT2UTAA,OR1500LCDRT2UTAA,",Ac-output UPS,Static,OR1500LCDRT2U,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer,Data Center",120-120,50-60,120-120,50-60,Yes,2,88,438,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.5,,98.3,,98.9,,99,,98.9,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,6,18,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or1500lcdrt2u/,N/A,09/18/2013,12/19/2018,"United States, Canada",ES_1095904_OR1500LCDRT2U_12192018072131_4091351
2331671,"CyberPower Systems, Inc.",CyberPower,CP1000PFCLCD,CP1000PFCLCD,"CP1000PFCLCDTAA,CP1000PFCLCDTAA,; CP850PFCLCD,CP850PFCLCD,; CP850PFCLCDTAA,CP850PFCLCDTAA,",Ac-output UPS,Static,CP1000PFCLCD,600,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,231,99,264,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.1,,97.8,,98.6,,98.9,,99,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,3,9,3,N/A,,"Serial Port,USB Port",Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/cp1000pfclcd/,N/A,07/04/2012,12/19/2018,"United States, Canada",ES_1095904_CP1000PFCLCD_12192018075623_6183427
2331672,"CyberPower Systems, Inc.",CyberPower,CP1500PFCLCD,CP1500PFCLCD,"CP1350PFCLCD,CP1350PFCLCD,; CP1350PFCLCDTAA,CP1350PFCLCDTAA,; CP1500PFCLCD,CP1500PFCLCD,; CP1500PFCLCDTAA,CP1500PFCLCDTAA,; CST1400S,CST1400S,; CST1500S,CST1500S,; GX1325U,GX1325U,",Ac-output UPS,Static,CP1500PFCLCD,900,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,No,,264,99,361,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4,,97.8,,98.6,,98.8,,98.8,,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,11,3,N/A,,"Serial Port,USB Port",Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/cp1500pfclcd/,N/A,07/04/2012,12/19/2018,"United States, Canada",ES_1095904_CP1500PFCLCD_12192018081032_7032376
2331982,"CyberPower Systems, Inc.",CyberPower,LE1000DG,LE1000DG,"AVRG750LCD,AVRG750LCD,; AVRG750LCDTAA,AVRG750LCDTAA,; AVRG750U,AVRG750U,; AVRG750UTAA,AVRG750UTAA,; AVRG900LCD,AVRG900LCD,; AVRG900LCDTAA,AVRG900LCDTAA,; AVRG900U,AVRG900U,; AVRG900UTAA,AVRG900UTAA,; LE850G,LE850G,",Ac-output UPS,Static,LE1000DG,530,1000,,,,Line Interactive,ac Line Interactive (VI),Consumer,120-120,60-60,120-120,60-60,No,,180,311,90,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,4.4,,97.1,,98.3,,98.6,,98.8,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,10,1,N/A,,USB Port,Other,HID,Yes,,https://www.cyberpowersystems.com/product/ups/avrg900lcd/,N/A,01/01/2019,12/24/2018,"United States, Canada",ES_1095904_LE1000DG_12252018061254_8374786
2331983,"CyberPower Systems, Inc.",CyberPower,OR1000PFCRT2U,OR1000PFCRT2U,"OR1000PFCRT2UTAA,OR1000PFCRT2UTAA,",Ac-output UPS,Static,OR1000PFCRT2U,700,1000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,Yes,2,433,88,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,1.1,,98.4,,98.7,,98.8,,98.7,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,3,13,1,N/A,,"Serial Port,USB Port",Other,"HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or1000pfcrt2u/,N/A,01/01/2019,12/24/2018,"United States, Canada",ES_1095904_OR1000PFCRT2U_12252018062454_9094467
2331984,"CyberPower Systems, Inc.",CyberPower,OR1500PFCRT2U,OR1500PFCRT2U,"OR1500PFCRT2UTAA,OR1500PFCRT2UTAA,",Ac-output UPS,Static,OR1500PFCRT2U,1050,1500,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,Yes,2,433,88,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.3,,98.3,,98.9,,98.9,,98.8,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,3,13,1,N/A,,"Serial Port,USB Port",Other,"HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or1500pfcrt2u/,N/A,01/01/2019,12/24/2018,"United States, Canada",ES_1095904_OR1500PFCRT2U_12252018064441_0281282
2331985,"CyberPower Systems, Inc.",CyberPower,PR1500LCD,PR1500LCD,"PR1000LCD,PR1000LCD,; PR1000LCDN,PR1000LCDN,; PR1000LCDNTAA,PR1000LCDNTAA,; PR1000LCDTAA,PR1000LCDTAA,; PR1500LCDN,PR1500LCDN,; PR1500LCDNTAA,PR1500LCDNTAA,; PR1500LCDTAA,PR1500LCDTAA,",Ac-output UPS,Static,PR1500LCD,1500,1500,,,,Line Interactive,ac Line Interactive (VI),Consumer,120-120,50-60,120-120,50-60,No,,222,170,433,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,5.3,,98.3,,98.7,,98.5,,98.2,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,4,15,1,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID, 
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/pr1500lcd/,N/A,01/01/2019,12/24/2018,"United States, Canada",ES_1095904_PR1500LCD_12252018065433_0873211
2331986,"CyberPower Systems, Inc.",CyberPower,OR2200PFCRT2U,OR2200PFCRT2U,"OR2200PFCRT2UTAA,OR2200PFCRT2UTAA,",Ac-output UPS,Static,OR2200PFCRT2U,1540,2000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer",120-120,60-60,120-120,60-60,Yes,2,433,88,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.1,,98.6,,98.6,,98.3,,97.7,,98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,3,13,1,N/A,,"Serial Port,USB Port",Other,"HID, 
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or2200pfcrt2u/,N/A,01/01/2019,12/24/2018,"United States, Canada",ES_1095904_OR2200PFCRT2U_12252018070348_1428946
2333810,"CyberPower Systems, Inc.",CyberPower,OR2200LCDRT2U,OR2200LCDRT2U,"OR2200LCDRT2UN,OR2200LCDRT2UN,; OR2200LCDRT2UNTAA,OR2200LCDRT2UNTAA,; OR2200LCDRT2UTAA,OR2200LCDRT2UTAA,",Ac-output UPS,Static,OR2200LCDRT2U,1320,2000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer,Data Center",120-120,50-60,120-120,50-60,Yes,2,88,438,400,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.5,,98.7,,98.9,,98.8,,98.6,,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,5,13,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/or2200lcdrt2u/,N/A,09/17/2013,01/14/2019,"United States, Canada",ES_1095904_OR2200LCDRT2U_02212019055801_8681534
2333811,"CyberPower Systems, Inc.",CyberPower,PR5000LCDRTXL5U,PR5000LCDRTXL5U,"PR5000LCDRTXL5UN,PR5000LCDRTXL5UN,; PR5000LCDRTXL5UNTAA,PR5000LCDRTXL5UNTAA,; PR5000LCDRTXL5UTAA,PR5000LCDRTXL5UTAA,",Ac-output UPS,Static,PR5000LCDRTXL2U,4500,5000,,,,Line Interactive,ac Line Interactive (VI),"Commercial,Consumer,Data Center",208-240,50-60,208-240,50-60,Yes,5,433,220,645,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,230,50,230,50,5.4,,98.8,,98.7,,98.5,,98.3,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,10,28,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/pr5000lcdrtxl5u/,N/A,03/31/2016,01/14/2019,"United States, Canada",ES_1095904_PR5000LCDRTXL5U_02212019082529_7529417
2333812,"CyberPower Systems, Inc.",CyberPower,PR750LCD,PR750LCD,"PR750LCDN,PR750LCDN,; PR750LCDNTAA,PR750LCDNTAA,; PR750LCDTAA,PR750LCDTAA,",Ac-output UPS,Static,PR750LCD,525,750,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),"Commercial,Consumer,Data Center",120-120,50-60,120-120,50-60,No,,163,137,348,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,3.3,,97.4,,98.2,,98.5,,98.6,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,6,17,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/pr750lcd/,N/A,05/13/2012,01/14/2019,"United States, Canada",ES_1095904_PR750LCD_02212019084154_8514551
2333813,"CyberPower Systems, Inc.",CyberPower,PR3000LCDSL,PR3000LCDSL,"PR2200LCDSL,PR2200LCDSL,; PR2200LCDSLN,PR2200LCDSLN,; PR2200LCDSLNTAA,PR2200LCDSLNTAA,; PR2200LCDSLTAA,PR2200LCDSLTAA,; PR3000LCDSLN,PR3000LCDSLN,; PR3000LCDSLNTAA,PR3000LCDSLNTAA,; PR3000LCDSLTAA,PR3000LCDSLTAA,",Ac-output UPS,Static,PR3000LCDSL,2700,3000,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),"Commercial,Consumer,Data Center",120-120,60-60,120-120,60-60,No,,222,170,233,,,,Voltage Independent,No,Single-normal-mode,Voltage Independent,120,60,120,60,5.8,,98.7,,98.8,,98.7,,98.4,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,7,3,N/A,,"Serial Port,USB Port,Ethernet","HTTPS,Other,HTTP,SNMP (v1, 2 or 3)","HID,
CyberPower serial Protocol (v2)",Yes,,https://www.cyberpowersystems.com/product/ups/pr3000lcdsl/,N/A,10/22/2013,01/14/2019,"United States, Canada",ES_1095904_PR3000LCDSL_02212019085246_9166001
2336445,"CyberPower Systems, Inc.",CyberPower,OL6KRTHD (with cord connected),OL6KRTHD,"OL5KERTHD (with cord connected),OL5KERTHD,; OL5KERTHDS (with cord connected),OL5KERTHDS,; OL5KRTHD (with cord connected),OL5KRTHD,; OL5KRTHDS (with cord connected),OL5KRTHDS,; OL5KRTHDSTAA (with cord connected),OL5KRTHDSTAA,; OL5KRTHDTAA (with cord connected),OL5KRTHDTAA,; OL6KERTHD (with cord connected),OL6KERTHD,; OL6KERTHDS (with cord connected),OL6KERTHDS,; OL6KRTHDS (with cord connected),OL6KRTHDS,; OL6KRTHDSTAA (with cord connected),OL6KRTHDSTAA,; OL6KRTHDTAA (with cord connected),OL6KRTHDTAA,",Ac-output UPS,Static,OL6KRTHD (with cord connected),5400,5400,,,,Double Conversion,ac - Double Conversion (VFI),"Commercial,Consumer,Data Center",200-240,50-60,200-240,50-60,Yes,2,87,433,720,,,,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Single-normal-mode,Voltage and Frequency Independent,240,60,240,60,79,,91.4,,93.5,,93.8,,93.6,,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,5,3,http://www.cyberpowersystems.com/,,"Serial Port,USB Port,Ethernet","HTTPS,HTTP,SNMP (v1, 2 or 3)",,Yes,,http://www.cyberpowersystems.com/,http://www.cyberpowersystems.com/,03/31/2019,04/02/2019,United States,ES_1095904_OL6KRTHD_04022019052851_2931803
2336446,"CyberPower Systems, Inc.",CyberPower,OL6KRTHD (with permanently connected),OL6KRTHD,"OL5KERTHD (with permanently connected),OL5KERTHD,; OL5KERTHDS (with permanently connected),OL5KERTHDS,; OL5KRTHD (with permanently connected),OL5KRTHD,; OL5KRTHDS (with permanently connected),OL5KRTHDS,; OL5KRTHDSTAA (with permanently connected),OL5KRTHDSTAA,; OL5KRTHDTAA (with permanently connected),OL5KRTHDTAA,; OL6KERTHD (with permanently connected),OL6KERTHD,; OL6KERTHDS (with permanently connected),OL6KERTHDS,; OL6KRTHDS (with permanently connected),OL6KRTHDS,; OL6KRTHDSTAA (with permanently connected),OL6KRTHDSTAA,; OL6KRTHDTAA (with permanently connected),OL6KRTHDTAA,",Ac-output UPS,Static,OL6KRTHD (with permanently connected),6000,6000,,,,Double Conversion,ac - Double Conversion (VFI),"Commercial,Consumer,Data Center",200-240,50-60,200-240,50-60,Yes,2,87,433,720,,,,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Single-normal-mode,Voltage and Frequency Independent,240,60,240,60,80,,92.2,,94,,94.2,,94,,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,5,3,http://www.cyberpowersystems.com/,,"Serial Port,USB Port,Ethernet","HTTPS,HTTP,SNMP (v1, 2 or 3)",,Yes,,http://www.cyberpowersystems.com/,http://www.cyberpowersystems.com/,03/31/2019,04/02/2019,United States,ES_1095904_OL6KRTHD_04022019075317_1597095
2336478,"CyberPower Systems, Inc.",CyberPower,SL750U,SL750U,"SL700U,SL700U,",Ac-output UPS,Static,SL750U,375,750,,,,Passive Standby,Alternating Current (ac) - Offline (VFD),"Commercial,Consumer",120-120,50-60,120-120,50-60,Yes,,138,324,70,,,,Voltage and Frequency Dependent,No,Single-normal-mode,Voltage and Frequency Dependent,120,60,120,60,3.1,,97.3,,98.6,,98.9,,99,,98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,2,8,3,N/A,,USB Port,Other,HID,Yes,,N/A,N/A,02/28/2019,04/08/2019,"United States, Canada",ES_1095904_SL750U_04092019054852_8932025
2333231,Schneider Electric,APC by Schneider Electric,APC Smart-UPS SRT 8000VA RM 208V IEC,SRT8KRMXLT-IEC,"APC Smart-UPS SRT 8000VA 208V IEC Factory Serviced,SRT8KRXLT-IECW,; Std Exch APC Smart-UPS SRT 8000VA 208V IEC,SRT8KRXLT-IECQ,",Ac-output UPS,Static,SRT8KRMXLT,8000,8000,,,,Multi-Mode Double Conversion,ac - Other,Commercial,208-240,50-60,208-240,50-60,Yes,6,263,432,715,6,6,0,"Voltage and Frequency Dependent,Voltage and Frequency Independent",No,Multiple-normal-mode,Voltage and Frequency Independent,240,60,240,60,94.8,73.48,93.2,96.3,94.9,98.1,95.3,98.7,95.1,98.9,95.1,98.6,,,,,,,,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,95.1,N/A,Battery,Valve Regulated Lead-acid Battery,Integral,No,5,14,2,http://www.apc.com/shop/us/en/products/P-APCRBC140,http://www.apc.com/company/us/en/sustainability/recycling-options/,"Serial Port,USB Port,Ethernet","Modbus TCP,HTTPS,Other,HTTP,Modbus RTU","USB Power Summary, Micro-Link, Simple Signaling",Yes,http://www.apc.com/company/us/en/sustainability/recycling-options/,http://www.apc.com/shop/us/en/products/P-SRT8KRMXLT,http://www.apc.com/company/us/en/sustainability/energy-efficiency/,01/29/2015,12/28/2018,"United States, Canada",ES_22220_SRT8KRMXLT-IEC_02082019131140_1500600
