Status,Solicitation Type,Solicitation Number,Solicitation Title,Issuance Date,Closing Date,Cancelled or Postponed,Construction Solicitation,LSBRP,Buyer Name,Issuing Department,Department Contact,Bid Tabulation
Closed,Informal,1042660,Graphic Art and Design Services,07/11/2014,08/04/2014,,N,Y,--,Department of Environmental Protection,DEP Procurements,
Closed,RFP,1038024,Friendly Visitation,04/08/2014,05/22/2014,,N,N,"Flood, Samuel",Department of Health & Human Svcs,David Salem,
Closed,IFB,1028613,"Fire Department Tools, Equipment, Hoses, and Appliances",07/24/2013,08/08/2013,,N,N,"DeLuca, Karen",Fire & Rescue Services,Steve Lamphier,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1028613
Closed,Informal,1051892,Sex Offender Treatment Services,04/06/2015,05/07/2015,,N,Y,--,Department of Correction & Rehabilitation,Rita Ellis,
Closed,Informal,1034068,Planning Study Strategy/Model Development Consulting Services for the Department of Economic Development,08/14/2013,08/28/2013,,N,Y,--,Department of Economic Development,Peter Bang,
Closed,RFP,1050503,Multi Agency Service Park (MASP) MCPS & MNCPPC Depots,02/13/2015,03/16/2015,,Y,N,"Collins, Todd",Department of General Services,Hamid Omidvar,
Closed,Informal,1045162,Community Educator,10/01/2014,10/15/2014,,N,N,--,Department of Health & Human Svcs,Dandria Clark,
Closed,RFP,1036509,Regional Youth Services,03/07/2014,04/14/2014,,N,N,"Greve, Michael",Department of Health & Human Svcs,John Dunn,
Closed,Informal,1048947,Sale of Surplus IBM Mainframe Equipment,11/03/2014,11/10/2014,,N,N,--,Department of General Services,Michael Thomas,
Closed,RFP,1030213,Development and Construction Wheaton CBD and Silver Spring CBD,06/03/2013,07/31/2013,,Y,N,"Norris, Robert",Department of Transportation,Rick Siebert,
Closed,REOI,1046019,Fire Station Alerting System for use by the Montgomery County Fire and Rescue Service,08/11/2014,09/10/2014,,N,N,"Steed, Jeffrey",Fire & Rescue Services,Stacey Daniel,
Closed,Informal,1059150,Grants Manager - Council,10/05/2015,10/19/2015,,N,Y,--,County Council,Mary Jane Berry,
Closed,RFP,1037166,Cable Television Producer Services,12/05/2013,01/06/2014,,N,Y,"Thomas, Michael",Public Information Office,Tracy O'Connor,
Closed,Informal,1035797,Gaithersburg Library Coffee Bar,10/23/2013,11/07/2013,,N,Y,--,Department of General Services,Stewart Whisman,
Closed,REOI,1029601,North Potomac Community Recreation Center,05/22/2013,06/19/2013,,Y,N,"Collins, Todd",Department of General Services,David Heltemes,
Closed,Informal,1038293,Oaks Landfill Reforestation Planting,01/23/2014,02/14/2014,,N,N,--,Department of Environmental Protection,DEP Procurements,
Closed,Informal,1059074,Tenant Information and Organizing Services,10/06/2015,10/23/2015,,N,N,--,Department of Housing & Community Affair,Rosie McCray-Moody,
Closed,Informal,1039819,"Cleaning, Decontamination and Sanitizing Vehicles and Buildings",03/14/2014,03/21/2014,,N,Y,--,Police,Greg Dilla,
Closed,Informal,1049654,Developmentally Disabled Supplement and Provider Wage Allocation Analysis,03/04/2015,03/11/2015,,N,N,--,Department of Health & Human Svcs,Kim Mayo,
Closed,RFP,1048350,"Manual Video Turning Counts, Spot Speed Distribution Studies and Random Mechanical Counts",01/23/2015,02/23/2015,,N,Y,"Harris, Eric",Department of Transportation,Devang Dave,
Closed,RFP,1041485,Division of Parking Management Operations Consulting Services for Engineering and Testing Services,01/07/2015,02/06/2015,,N,Y,"Harris, Eric",Department of Transportation,Chabiram Deoraj,
Closed,RFP,1050719,Homebuyer Education and MPDU Orientation Seminars,04/02/2015,05/11/2015,,N,N,"Greve, Michael",Department of Housing & Community Affair,Emilia McCarthy,
Closed,REOI,1029602,Colesville Maintenance Depot Addition and Renovation,05/30/2013,06/27/2013,,Y,N,"Collins, Todd",Department of General Services,Mike Lowe,
Closed,RFP,1038376,Family Emergency Shelter,03/10/2014,04/14/2014,,N,N,"Flood, Samuel",Department of Health & Human Svcs,Kim Ball,
Closed,Informal,1030207,"Hazardous Medical Waste Removal, Pickup and Legal Disposal",07/22/2013,07/31/2013,,N,N,--,Department of Health & Human Svcs,Tania Olaciregui,
Closed,Informal,1046240,Dorm Room Bunk Beds & Lockers,12/03/2014,12/15/2014,,N,N,--,Department of Correction & Rehabilitation,Rita Ellis,
Closed,Informal,1039451,School Based Tobacco Education and Cessation Program,03/26/2014,04/09/2014,,N,N,--,Department of Health & Human Svcs,Tyrone Rowland,
Closed,Informal,1052177,"Marine Motor Inspection, Maintenance, Repair Service and Parts",04/23/2015,04/30/2015,,N,N,--,Fire & Rescue Services,Maurice Witt,
Closed,Informal,1047611,Calibration and Repair of LIDAR/Radar Devices,10/01/2014,10/08/2014,,N,N,--,Police,PO 3 John Powell,
Closed,RFP,1031326,"Diesel, Diesel/Electric Hybrid & CNG Powered Low-Floor Heavy Duty Transit Buses",03/10/2014,07/11/2014,,N,N,"Steed, Jeffrey",Department of General Services,Kathleen Hynes,
Closed,RFP,1056826,Elevator Modernization Program,09/16/2015,10/27/2015,,Y,N,"Collins, Todd",Department of General Services,Homer Bakhtiary,
Closed,Informal,1056370,Pediatric Audiology Services,09/02/2015,09/23/2015,,N,N,--,Department of Health & Human Svcs,Natasha Ramberg,
Closed,RFP,1006728,Contract for Construction Contract Administration Inspection and Testing Services Basis Ordering Agreement,08/15/2013,09/16/2013,,N,N,"Norris, Robert",Department of Transportation,Mark Aebig,
Closed,Informal,1057866,Institutional Mattresses,10/02/2015,10/19/2015,,N,N,--,Department of Correction & Rehabilitation,Christine Johnson,
Closed,RFP,1026771,"Pick-Up, Removal and Legal Disposal of Deer Carcasses",11/04/2014,12/05/2014,,N,N,"McRae, Sarah",Police,Paul Hibler,
Closed,RFP,1029325,Viability and Need Assessments for Small Businesses Proximate to Planned County Redevelopment Projects,09/24/2013,10/24/2013,,N,N,"Thomas, Michael",Department of General Services,Peter McGinnity,
Closed,RFP,1049455,Rapid Re-Housing for Young Adult Heads of Households,12/22/2014,01/26/2015,,N,N,"Flood, Samuel",Department of Health & Human Svcs,Kim Ball,
Closed,IFB,1110468,Printing and Mailing Services for Tax Operations,01/17/2020,02/19/2020,,N,N,"Vasileva, Renata",Department of Finance,Lih Jiang,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1110468
Closed,IFB,1066905,Time and Material HVAC Water Treatment Services,10/12/2016,01/13/2017,,N,N,"Karakaya, Penny Perrus",Department of General Services,William Herrmann,https://apps.montgomerycountymd.gov/prosolicitation/BidTabDetail.aspx?type=bidtab&solnumber=1066905
Closed,Informal,1039627,Election Equipment - Amendment #1 has been issued,03/01/2014,03/14/2014,,N,N,--,Board of Elections,Margie Roher,
Closed,Informal,1034076,Comprehensive business Plan for the Department of Liquor Control,08/30/2013,09/20/2013,,N,N,--,Department of Liquor Control,Lynn Duncan,
Closed,Informal,1051399,Automotive Auction Services,06/01/2015,06/12/2015,,N,N,--,Department of General Services,Michael Atkinson,
Closed,Informal,1036340,Review & Analysis to Enhance the Council Portal Baseline review and requirements analysis to enhance the current portal of the Montgomery County Council.,10/23/2013,11/13/2013,,N,Y,--,County Council,Mary Jane Berry,
