LOCATION,DATES,CLOSURE TYPE,PURPOSE,HOTLINE
7TH AVE & APACHE ST,03-05-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
CAVE CREEK RD & BEARDSLEY RD,05-06-2020 - 05/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
99TH AVE & INDIAN SCHOOL RD,04-09-2020 - 05/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
NEW RIVER RD & 47TH AVE,04-22-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
WARNER ELLIOT LOOP & EQUESTRIAN TRL,04-27-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
NEW RIVER RD & 47TH AVE,04-22-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,602-235-2400
CAVE CREEK RD & GROVERS AVE,04-27-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,602-319-0621
15TH DR & BUCKEYE RD,04-22-2020 - 05/08/2020,FULL,UTILITY WORK,NOT APPLICABLE
15TH DR & BUCKEYE RD,04-22-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
23RD AVE & GREENWAY RD,04-27-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,480-268-9669
THOMAS RD & 74TH AVE,04-24-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE & PIMA ST,04-24-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
GLENDALE AVE & 27TH AVE,04-27-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
PIONEER RD & GAVILAN PEAK PKWY,04-24-2020 - 05/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
WASHINGTON ST & 2ND ST,04-27-2020 - 05/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,602-545-0617
COTTON CENTER BLVD & 44TH PL,04-27-2020 - 05/08/2020,PARTIAL,UTILITY WORK,480-268-9669
47TH AVE & TARO DR,04-28-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
BASELINE RD & 36TH WAY,04-28-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
64TH ST & THUNDERBIRD RD,05-01-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
60TH ST & BELL RD,05-01-2020 - 05/08/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
PINNACLE PEAK RD & CENTRAL AVE,05-06-2020 - 05/08/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,NOT APPLICABLE
49TH ST & INDIAN SCHOOL RD,05-04-2020 - 05/08/2020,PARTIAL,UTILITY WORK,602-288-7744
19TH AVE & DEER VALLEY RD,05-06-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
VAN BUREN ST & 40TH ST,05-07-2020 - 05/08/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
CENTRAL AVE & WASHINGTON ST,05-07-2020 - 05/08/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
WASHINGTON ST & CENTRAL AVE,05-07-2020 - 05/08/2020,PARTIAL,LIGHT RAIL,NOT APPLICABLE
NORTHERN AVE & 3RD AVE,03-09-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
ELWOOD ST & 16TH ST,03-12-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
INDIAN SCHOOL RD & 1ST AVE,04-13-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
10TH DR & HATCHER RD,04-23-2020 - 05/09/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
LONE MOUNTAIN RD & CAVE CREEK RD,04-27-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
LONE MOUNTAIN RD & CAVE CREEK RD,04-27-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST & MITCHELL DR,04-28-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
OSBORN RD & 20TH ST,04-28-2020 - 05/09/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
35TH AVE & HAZELWOOD ST,05-04-2020 - 05/09/2020,PARTIAL,PRIVATE DEVELOPMENT WORK,480-375-1606
ROOSEVELT ST & 16TH ST,05-09-2020 - 05/09/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
RAY RD & 50TH ST,04-18-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
50TH ST & RAY RD,04-18-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
3RD AVE & OSBORN RD,04-18-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
27TH AVE & SOUTHERN AVE,05-09-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
19TH AVE & SOUTHERN AVE,05-09-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
SOUTHERN AVE & 27TH AVE,05-09-2020 - 05/10/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
NORTHERN AVE & 7TH AVE,04-27-2020 - 05/11/2020,PARTIAL,STREET TRANSPORTATION WORK,NOT APPLICABLE
25TH AVE & BERYL AVE,04-27-2020 - 05/11/2020,PARTIAL,UTILITY WORK,NOT APPLICABLE
16TH ST & INDIAN SCHOOL RD,04-27-2020 - 05/11/2020,PARTIAL,UTILITY WORK,480-268-9669
