Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2009,11/06/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Widener,Racing,Thoroughbred, ,Imandra,WILLIAM BADGETT JR, ,Imandra-Tr. William Badgett-scratched-already on vets list and ineligible,Steward's List
2009,11/07/2009,RACING INJURY,Aqueduct Racetrack (NYRA),After the race,Racing,Thoroughbred,Clear,Quirk,JOHN T. TOSCANO JR, ,Quirk-Tr. John Toscano-Fx L kneetaken off by ambulance-will not race again-retired,Injury
2009,11/10/2009,EQUINE DEATH,Batavia Downs,3/4 mark on track at Batavia Downs..,Racing,Harness,50 degrees and clear,Key Decision,GREGORY M. LUTHER, ,Key Decision-Tr. Gregory Luther-broke at 3/4 mark-acute pulmonary problem-died on track,Equine Death
2009,11/12/2009,RACING INJURY,Aqueduct Racetrack (NYRA),1/8 pole,Unknown,Thoroughbred,Rain,The Other Buddy,DOMINIC G. GALLUSCIO, ,The Other Buddy-Tr. Dominick Galluscio-fx LF condylar-horse had surgery-convalescing-retired,Injury
2009,11/13/2009,ACCIDENT - IN STARTING GATE,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,DEVILISH DEAL,RALPH D'ALESSANDRO, ,Devilish Deal-Tr. R. D'Alessandro-Stumbled at start-unseated rider-no injuries reported, 
2009,11/13/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,Cloudy,Mew's Victory,VIRGINIA VERDECANNA, ,Mew's Victory-Tr. V. Verdecannap-LFL condylar fx-ambulanced off-euthanized,Euthanasia
2009,11/13/2009,RACING INCIDENT,Aqueduct Racetrack (NYRA),After the race,Racing,Thoroughbred,Cloudy,Wadi Suki,GARY C. CONTESSA, ,Wadi Suki-Tr. Gary Contessa-locked RF stifle -ambulanced off-no injury found, 
2009,11/14/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),At the gate.,Racing,Thoroughbred, ,Timber Cat,THOMAS M. BUSH, ,Timber Cat-Tr. Thomas Bush-unseated rider at gate-scratched-no injuries reported,Steward's List
2009,11/16/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Other,Thoroughbred, ,ELUSIVITY,JEREMIAH C. ENGLEHART, ,Elusivity-Tr. J. Englehart-necrotizing cellulitis LH leg-laminitic LH leg-euthanized,Euthanasia
2009,11/17/2009,FALL OF RIDER,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,HOLY TOLEDO,DONNA M. BIRETA, ,Holy Toledo-Tr. Donna Bireta-stumbled-unseating jockey J. Flores who sustained minor injuries-horse uninjured, 
2009,11/17/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,UNLIMITED WARRANTY,JAMES G. KETTELL, ,Unlimited Warranty-Tr. James Kettell-pulled up-no apparent injury-must requalify,Steward's List
2009,11/19/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred,Cloudy,Gimme My Dough,RICARDO CREARY, ,Gimme My Dough-Tr. Ricardo Creary-pulled up-ambulanced off-no apparent injury-horse doing fine,Steward's List
2009,11/19/2009,STEWARDS/VETS LIST,Yonkers Raceway,1/4 Pole,Racing,Harness,Rain,Casual Behavior,JOSEPH A. D'AMICO, ,Casual Behavior-Tr. Joseph D'Amico-fx sesamoid & pulled suspensory-no longer racing,Steward's List
2009,11/20/2009,STEWARDS/VETS LIST,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,ON WITH IT,LINDA L. RICE, ,On With It-Tr. Linda Rice-pulled up-ambulanced off-no apparent injury-must requalify,Steward's List
2009,11/21/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Other,Thoroughbred, ,Wanda's Double,CODY J. AUTREY, ,Wanda's Double-Tr. Cody Autrey- severe laminitis to both front feet-euthanized,Euthanasia
2009,11/21/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred,Cloudy,"Yes, He's the Man",DAVID JACOBSON, ,Yes  He's the Man-Tr. David Jacobson-fx both LF sesamoids-euthanized,Euthanasia
2009,11/22/2009,ACCIDENT - ON TRACK,Aqueduct Racetrack (NYRA),Leaving the starting gate.,Racing,Thoroughbred, ,Ship of Fools,LUIS A. CHIARI, ,Ship of Fools-Tr. Luis Chiari-struck by another horse-unseated rider-horse OK & resting at farm-jockey treated & released, 
2009,11/22/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness, ,Electric Star,RICHARD L. RAMSEY, ,Electric Star-Tr. Richard Ramsey-LF leg lame-suspensory problem-horse retired,Lameness
2009,11/25/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/2 mile pole,Racing,Thoroughbred,Cloudy,My Sister Diane,COLUM O'BRIEN, ,My Sister Diane -pulled uptaken off by ambulance-no apparent injuries-must requalify,Steward's List
2009,11/26/2009,ACCIDENT - IN STARTING GATE,Aqueduct Racetrack (NYRA),After start of 2nd.race.,Racing,Thoroughbred,Cloudy,Saumon Fume,PATRICK J. QUICK, ,Saumon Fume-Tr. Patrick Quick-stumbled and unseated rider-both horse and rider were unhurt,Accident
2009,11/26/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/4 pole,Racing,Thoroughbred,Cloudy,Tobruk,GARY J. SCIACCA, ,Tobruk-Tr. Gary Sciacca-fx RH cannon  sesamoids-euthanized,Euthanasia
2009,11/26/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After the finish,Racing,Thoroughbred,Cloudy,Bebob,ENRIQUE ARROYO, ,Bebob-Tr. Enrique Arroyo-pulled up-taken off by ambulance-horse doing fine,Steward's List
2009,11/27/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,FIGGY'S FREUD,TIMOTHY P. MURPHY, ,Figgy's Freud-Tr. Timothy Murphy-fx RF sesamoid-euthanized,Euthanasia
2009,11/27/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/4 Pole,Racing,Harness,Cloudy,Tremendous Hit,JOSEPH S. ANDERSON, ,Tremendous Hit-Tr. Joseph Anderson-lame RH ankle-probably not race again,Steward's List
2009,11/28/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish.,Racing,Thoroughbred,Clear,Smokin Gladiator,CHRISTOPHER J. ENGLEHART, ,Smokin Gladiator-Tr. Christopher Englehard-pulled up-fx L knee-ambulanced off-euthanized,Euthanasia
2009,11/28/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),At start of race.,Racing,Thoroughbred,Clear,Mom Proof,RAINDRANAUTH . PERSAUD RANDI, ,Mom Proof-Tr. R. Persaud-eased up-walked off under own power-horse found to be fit,Steward's List
2009,11/29/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),After the wire,Racing,Thoroughbred,Sunny,Archaround,GLENN B. DISANTO, ,Archaround-Tr. Glenn DiSanto-fx RF leg-euthanized,Euthanasia
2009,11/30/2009,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FINGER LAKES,Racing,Thoroughbred, ,FEDERAL DEPOSIT,MARIALICE COFFEY, ,Federal Deposit-Tr. Marialice Coffey-fx R leg-euthanized,Euthanasia
2009,11/30/2009,RACING INCIDENT,Yonkers Raceway,3/4 pole,Racing,Harness,Cloudy,Seattle Moon,EDWARD (NED) J. URBANSKI JR, ,Seattle Moon-Tr. Edward Urbanski-broke at start-broken equipment-DNF,Accident
2009,12/01/2009,EQUINE DEATH,Yonkers Raceway,After Finish,Racing,Harness,Clear,Single Man,DEAN M. ECKLEY, ,Single Man-Tr. Dean Eckley-horse fell after finish and died-probable heart attack,Equine Death
2009,12/01/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/4 pole,Racing,Harness,Clear,Four Starz Magic,MARTHE DROLET, ,Four Starz Magic-Tr. Marthe Drolet-pulled up- A fib-DNF,Steward's List
2009,12/03/2009,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,cloudy with rain,Magical Love,LOUIS R. BERTOLINI JR, ,Magical Love-Tr. Louis Bertolini  Jr.-horse fell and fx L femur-euthanized,Euthanasia
2009,12/04/2009,ACCIDENT - DRIVER/JOCKEY,Saratoga Gaming & Raceway,Saratoga,Racing,Harness,Clear,Crown Rules,ANGUS L. MACDONALD, ,Crown Rules-Tr./Dr. Angus Mac Donald-bike hit post unseating driver-driver treated & released-horse uninjured,Accident
2009,12/05/2009,FALL OF RIDER,Aqueduct Racetrack (NYRA),Start of race - end of race,Racing,Thoroughbred, ,Burns up the track,GREGORY J. DIPRIMA,FRANCESCA V. PETRECCA,Burns Up The Track-Tr. Greg DiPrima- Appr. Jockey  F. Petrecca lost her irons at start & fell after race-no injuries to horse or jockey,Accident
2009,12/05/2009,RACING INCIDENT,Aqueduct Racetrack (NYRA),Start of race and 1/16 pole.,Racing,Thoroughbred,Light rain,Driven by  Seattle,ROBERT A. BARBARA, ,Driven by Seattle-Tr. Rober Barbara-horse bolted at 1st turn & was pulled up-walked off track on its own-no injuries reported, 
2009,12/05/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness, ,Speed Skater,JOHN D. MINCKLER, ,Speed Skater-Tr. John Minckler-LR lameness with swelling-scratched-horse to be rested,Steward's List
2009,12/05/2009,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Saratoga,Racing,Harness, ,Teddy Ball Girl,DAVID A. JOSEPH, ,Teddy Ball Girl-Tr. David Joseph-RR lower leg lameness-scratched-recovering,Steward's List
2009,12/11/2009,EQUINE DEATH,Yonkers Raceway,Final Turn,Racing,Harness,Cloudy & Cold,Guestimate,MARK S. FORD, ,Guestimate-Tr. Mark Ford-fx RF Pastern-euthanized,Euthanasia
2009,12/14/2009,EQUINE DEATH,Belmont Park (NYRA), ,Other,Thoroughbred, ,Prute Hill,SETH P. BENZEL, ,Prute Hill-Tr. Seth Benzel-developed severe case of pneumonia/pleurisy-euthanized,Euthanasia
2009,12/14/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/4 Pole,Racing,Harness,Clear,Blueridge D'Bang,SERAFINO(SAM) FAVA, ,Blueridge D'Bang-Tr. Serafino Fava-pulled up-horse tied up-DNF,Steward's List
2009,12/14/2009,STEWARDS/VETS LIST,Yonkers Raceway,3/4 Pole,Racing,Harness,Clear,Rolled Up Aces,JACOB T. HARTLINE, ,Rolled Up Aces-Tr. Jacob Hartline-electrolyte imbalance-DNF,Steward's List
2009,12/15/2009,EQUINE DEATH,Belmont Park (NYRA),3/16 pole - Training track,Training,Thoroughbred, ,American Veteran,TIMOTHY A. HILLS, ,American Veteran-Tr. Timothy Hills-Fx both RF sesamoids-euthanized,Euthanasia
2009,12/17/2009,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,cold/snow flurries,Sweetest Bunny,RICKY MAHER JR, ,Sweetest Bunny-Tr. Ricky Maher-broke causing accident-unseated driver-no injuries-must requalify,Steward's List
2009,12/21/2009,STEWARDS/VETS LIST,Yonkers Raceway,After 3/4 Pole,Racing,Harness,Clear & Cold,Florida Boy,ANTHONY SANTERAMO, ,Florida Boy-Tr. Anthony Santeramo-pulled up-A Fib-DNF,Steward's List
2009,12/23/2009,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Monticello,Racing,Harness,Cold/flurries,Production Sequel,STEVEN R. RAY, ,Production Sequel-Tr. Steven Ray-fell during qualifying-fx upper RF leg-euthanized,Euthanasia
2009,12/28/2009,EQUINE DEATH,Belmont Park (NYRA),Stall/Barn,Other,Thoroughbred, ,Lady Boudicca,DAVID H. ADEL, ,Lady Boudicca-Tr. David Adel-found dead in stall-being treated for colic,Equine Death
2009,12/29/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After the wire,Racing,Thoroughbred,Sunny,King of Soul,BARCLAY TAGG, ,King of Soul-Tr. Barclay Tagg-pulled up after wire-vanned off-rest recommended,Steward's List
2009,12/30/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Holding Barn,Racing,Thoroughbred,Clear,Treasures of Gold,CODY J. AUTREY, ,Treasures of Gold-Tr. Cody Autrey-fx L hind leg-euthanized,Euthanasia
2009,12/31/2009,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqu - 3/8 pole,Racing,Thoroughbred,Cloudy,On With It,LINDA L. RICE, ,On With It-Tr. Linda Rice-ambulanced off-RK slab fracture-euthanized,Euthanasia
2010,01/01/2010,FALL OF RIDER,Aqueduct Racetrack (NYRA),At start of race.,Racing,Thoroughbred,Cloudy,Raffie's Deer,STEVEN M. ASMUSSEN, ,Raffie's Deer-Tr. Steven Asmussen-lost footing & unseated rider-no injuries reported,Accident
2010,01/02/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),At the finish line.,Racing,Thoroughbred,Cloudy,Cajun Token,JAMES G. KETTELL, ,Cajun Token-Tr. James Kettell-ambulanced off-precautionary measure-horse sound & doing fine, 
2010,01/07/2010,EQUINE DEATH,Belmont Park (NYRA),Barn/Stall,Racing,Thoroughbred, ,Big Grey,BRUCE R. BROWN, ,Big Grey-Tr. Bruce Brown-post-op complications for 1/7/10 racing injury-euthanized 1 month later,Euthanasia
2010,01/07/2010,RACING INJURY,Aqueduct Racetrack (NYRA),After finish of race.,Racing,Thoroughbred,Clear,Bella Blu,MICHAEL E. TANNUZZO, ,Bella Blu-Tr. Michael Tannuzzo-ambulanced off-fx LH leg-retired to broodmare,Injury
2010,01/07/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After the wire.,Racing,Thoroughbred,Clear,Big Grey,BRUCE R. BROWN, ,Big Grey-Tr. Bruce Brown-vanned off-fx L knee-went to surgery,Steward's List
2010,01/08/2010,EQUINE DEATH,Belmont Park (NYRA),Belmont amtraining,Training,Thoroughbred,Cloudy,Marly My Way,ROY SEDLACEK, ,Marly My Way-Tr. Roy Sedlacek-collapsed and died of apparent VC collapse,Equine Death
2010,01/08/2010,RACING INJURY,Aqueduct Racetrack (NYRA),After finishing race.,Racing,Thoroughbred,Cloudy,El Tamberito,ANTHONY W. DUTROW, ,El Tamberito-Tr. Anthony Dutrow-ambulanced off-fx LF leg-surgery & retire to farm,Injury
2010,01/09/2010,RACING INJURY,Aqueduct Racetrack (NYRA),Aqueduct Race Track,Racing,Thoroughbred,Clear,Fiery Footwork,GARY C. CONTESSA, ,Fiery Footwork-Tr. Gary Contessa-stumbled-hit rail-unseated rider-suffered lacerations & torn tricep-surgery-will never race again,Accident
2010,01/10/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Race Track,Racing,Thoroughbred, ,Leo (GB),DAVID P. DUGGAN, ,Leo-Tr. David Duggan-pulled up-fx both LF sesamoids-euthanized,Euthanasia
2010,01/10/2010,FALL OF HORSE,Aqueduct Racetrack (NYRA),Aqueduct Race track,Racing,Thoroughbred,Clear 21*,A Saint among us.,DAVID JACOBSON, ,A Saint Among Us-Tr. David Jacobson-fell-walked off under own power-no injuries to horse or rider,Accident
2010,01/11/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),Barn 32 - (Stall),Other,Thoroughbred, ,Cardinal Hayes,BERNARDO J. CALLEJAS, ,Cardinal Hayes-Tr. Bernardo Callejas-found in stall-fx both hind legs-euthanized,Euthanasia
2010,01/12/2010,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,Cold/Windy,Best Brand,BETTY J. CLEGG, ,Best Brand-Tr. Betty Clegg-stumbled & fell unseated driver-minor abrasions to horse-driver uninjured,Steward's List
2010,01/13/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct Race  Track,Racing,Thoroughbred,Clear,Wild Conga,WILLIAM BADGETT JR, ,Wild Conga-Tr. William Badgett-fx LF knee-euthanized two days after race,Euthanasia
2010,01/13/2010,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,Monticello Raceway,Racing,Harness,cold/ snowing,PVT Vinnie Fra,JOHN B. DILORENZO, ,PVT Vinnie Fra-Tr. John DiLorenzo-horse choked down & fell-unseated driver-driver to ER-horse uninjured-must requalify,Steward's List
2010,01/15/2010,EQUINE DEATH,Belmont Park (NYRA),Belmont Race Track,Other,Thoroughbred,Unc,Ilopan,TIMOTHY S. RITVO, ,Ilopan-Tr. Timothy Ritvo-severe pleuropneumonia-euthanized,Euthanasia
2010,01/18/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Freefourme,MIKE J. MAKER, ,Freefourme-Tr. Mike Maker-fx LF cannon bone-euthanized,Euthanasia
2010,01/20/2010,EQUINE DEATH,Belmont Park (NYRA),Trg. Track - 1/8 pole,Training,Thoroughbred,Clear,One Brave Cat,EDWARD LOTRUGLIO, ,One Brave Cat-Tr. Edward Lotruglio-fx LH cannon bone while breezing-euthanized,Euthanasia
2010,01/20/2010,FALL OF RIDER,Aqueduct Racetrack (NYRA),At start,Racing,Thoroughbred,Clear,Vita Veloce,BRUCE N. LEVINE, ,Vita Veloce-Tr. Bruce Levine-stumbled & unseated Jockey Mike Luzzi-no injuries reported,Accident
2010,01/21/2010,EQUINE DEATH,Belmont Park (NYRA),Barn 61 @ Belmont,Training,Thoroughbred, ,Duke of de Buqe,PETER A. CHIN, ,Duke of de Buqe-Tr. Peter Chin-threw mount & fell back hitting head-apparent skull fracture-euthanized,Euthanasia
2010,01/22/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),By the starting gate.,Racing,Thoroughbred,Clear,No Questions,JAMES H. ISELIN, ,No Questions-Tr. James Iselin-Broke open starting gate doors before start-unseated rider-scratched-no injuries reported,Steward's List
2010,01/23/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred, Clear,Honest Wildcat,MARK A. HENNIG, ,Honest Wildcat-Tr. Mark Hennig-fell-ambulanced off-x-ray revealed fx RF biaxial sesamoids-euthanized,Euthanasia
2010,01/23/2010,EQUINE DEATH,Buffalo Raceway,Buffalo Raceway,Training,Harness, ,Philosopher King,ROBERT H. GRUBER III, ,Philosopher King-Tr. Robert Gruber III-fx LR cannon bone-euthanized,Euthanasia
2010,01/24/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/8 pole,Training,Thoroughbred, Clear,Point to Royalty,JOHN P. CAMPO JR, ,Point to Royalty-Tr. John Campo Jr.-fx LF leg-euthanized,Euthanasia
2010,01/25/2010,EQUINE DEATH,Belmont Park (NYRA),Finish line -Training Track,Training,Thoroughbred,Cloudy,Golden Boychick,BRUCE N. LEVINE, ,Golden Boychick-Tr. Bruce Levine-fx LH cannon bone-euthanized 2 days later,Euthanasia
2010,01/29/2010,EQUINE DEATH,Belmont Park (NYRA),3/8 pole - Training Track,Training,Thoroughbred,Clear,Alicias Butterfly,OLIVER P. HOSANG JR, ,Alicias Butterfly-Tr. Oliver Hosang-fx LF cannon bone-euthanized,Euthanasia
2010,01/29/2010,RACING INJURY,Aqueduct Racetrack (NYRA),16th pole,Racing,Thoroughbred,Clear 25*,Mr. Aldo,NEAL J. TERRACCIANO, ,Mr. Aldo-Tr. Neal Terracciano-pulled up-ambulanced off-suffered pulled hamstring-sent to farm to rest,Injury
2010,01/31/2010,EQUINE DEATH,Buffalo Raceway,Buffalo Raceway Stables,Other,Harness, ,NF Jazz,DAVID P. MCNEIGHT JR, ,NF Jazz-Tr. David McNeight-died of colic in stable,Equine Death
2010,02/03/2010,EQUINE DEATH,Belmont Park (NYRA),7/8 pole-Belmont Trg.Tr.,Training,Thoroughbred,Cloudy,Pegasian,CARLOS F. MARTIN, ,Pegasian-Tr. Carlos Martin-fx RH cannon bone-euthanized,Euthanasia
2010,02/04/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After finish of 4th.race.,Racing,Thoroughbred,Clear 30*,Ciminella,CARLOS F. MARTIN, ,Ciminella-Tr. Carlos Martin-fell-walked back to barn under own power-jockey uninjured-horse tired after race-no injuries,Accident
2010,02/04/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After the race,Racing,Thoroughbred,Fast 30*,Regents Ridge,CODY J. AUTREY, ,Regents Ridge-Tr. Cody Autrey-pulled up-ambulanced off-ankle soreness-horse fine  walking & resting,Lameness
2010,02/05/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After the finish,Racing,Thoroughbred,Cloudy 35*,Marisadaniele,JUAN ORTIZ, ,Marisadaniele-Tr. Juan Ortiz-pulled up-ambulanced off-horse fine, 
2010,02/06/2010,FALL OF RIDER,Aqueduct Racetrack (NYRA),First turn,Racing,Thoroughbred,Cloudy/Sleet,Eightyfiveinafifty,GARY C. CONTESSA, ,Eightyfiveinafifty-Tr. Gary Contessa-bolted at 1st turn-unseated jockey/treated and released-,Accident
2010,02/06/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),1/4 pole,Racing,Thoroughbred,Cloudy/Sleet,West Coast Flier,ENRIQUE ARROYO, ,West Coast Flier-Tr. Enrique Arroyo-pulled up-walked off on its own-horse ok, 
2010,02/06/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Main track,Racing,Thoroughbred,Cloudy/Sleet,Read the Post,FRANK MARTIN, ,Read the Post-Tr. Frank Martin-pulled up-ambulanced off-horse was fine,Steward's List
2010,02/12/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After gate opened (4th.race).,Racing,Thoroughbred,Clear 32*,Costello Dream,JOHN N. QUILES, ,Costello Dream-Tr. John Quiles-broke & unseated rider-knocked down rail & ran away-no injuries to horse or rider,Accident
2010,02/13/2010,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred,Clear,Client Eight,KARL M. GRUSMARK, ,Client Eight-Tr. Karl Grusmark-fx LFM sesamoid while training-euthanized,Euthanasia
2010,02/13/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After gate.,Racing,Thoroughbred,Sunny,Evil Girl,DAVID J. SMITH, ,Evil Girl-Tr. David Smith-stumbled at start-unseated rider-no injuries to jockey or horse,Accident
2010,02/13/2010,RACING INCIDENT,Aqueduct Racetrack (NYRA),After gate.,Racing,Thoroughbred,Sunny,Ucheap,BRIAN S. HOUSE, ,Ucheap-Tr. Brian House-stumbled out of gate & unseated rider-neither Jockey nor horse were injured, 
2010,02/13/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After the race.,Racing,Thoroughbred,Sunny,History Starts Now,DAVID JACOBSON, ,History Starts Now-Tr. David Jacobson-stumbled-vanned off-sustained slight crack to coffin bone-sent to farm for rest,Steward's List
2010,02/13/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Main track,Unknown,Thoroughbred,Sunny,Embrace Change,BRUCE R. BROWN, ,EmbraceChange-TR Bruce Brown vanned off track -Hind sesamois Fx   went back to racing.,Steward's List
2010,02/15/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Suddenly I See,DAVID J. SMITH, ,Suddenly I See-Tr. David Smith-fx LFM sesamoid-euthanized,Euthanasia
2010,02/15/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/4 pole - 9th. Race,Racing,Thoroughbred,Clear,Thousand Excuses,MIKE J. MAKER, ,Thousand Excuses-Tr. Mike Maker-fx LF cannon bone-euthanized,Euthanasia
2010,02/16/2010,EQUINE DEATH,Buffalo Raceway,Buffalo Raceway Barn 13,Other,Harness, ,SA Monterosa,BOBBI JO MARTIN, ,SA Monterosa-Tr. Bobbi Jo Martin-found dead in stall-being treated for colic,Equine Death
2010,02/17/2010,EQUINE DEATH,Belmont Park (NYRA), ,Training,Thoroughbred, ,China Wavered,BRUCE N. LEVINE, ,China Wavered-Tr. Bruce Levine-fx L tibia-euthanized,Euthanasia
2010,02/17/2010,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,Jogging track,Training,Harness, ,With a Flash,CEDRIC M. WASHINGTON, ,With a Flash-Tr. Cedric Washington-fell & died while jogging-suspected rutrured aorta,Equine Death
2010,02/17/2010,RACING INJURY,Aqueduct Racetrack (NYRA),1/16 pole - 1st. Race.,Racing,Thoroughbred,Clear,Linda's Kisses,WILLIAM BADGETT JR, ,Linda's Kisses-Tr. William Badgett-LF suspensory-vanned off-to NJ Clinic-possibly retire,Lameness
2010,02/18/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),Training track am,Training,Thoroughbred,Fast,Tutor,RICHARD E. DUTROW JR, ,Tutor-Tr. Richard Dutrow-severe distress-collapsed-CV Collapse-euthanized,Euthanasia
2010,02/18/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA), ,Racing,Thoroughbred, ,Smokey Eyes,CARLOS F. MARTIN, ,Smokey Eyes-Tr. Carlos Martin-vanned off-gash behind L leg-rest recommended,Steward's List
2010,02/18/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After race,Racing,Thoroughbred,Clear,Key Secret,THOMAS ALBERTRANI, ,Key Secret-Tr. T. Albertrani-fx RF condular bone-surgery-horse has good prognosis,Steward's List
2010,02/18/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After the race,Racing,Thoroughbred,Clear,U.S.Cavalry,GREGORY J. DIPRIMA, ,U.S.Cavalry -TR Greg DiPrima-vanned off- strained ligaments-horse fine & resting,Injury
2010,02/19/2010,ACCIDENT - ON TRACK,Batavia Downs,Buffalo Raceway,Racing,Harness,clear and 33 degrees,Carscot Max,RONALD P. BAUMEISTER, ,Carscot Max-Tr. Ronald Baumeister-hooked wheels unseating driver Michael Baumeister-no injuries reported,Accident
2010,02/19/2010,ACCIDENT - ON TRACK,Batavia Downs,Buffalo Raceway,Racing,Harness,clear and 33 degrees,Getcha Sum Fortune,SHERRI L. HOLLIDAY, ,Getcha Sum Fortune-Tr. Sherri Holliday-hooked wheels & fell unseated driver Ken Holliday-driver treated & released-horse ok with few scrapes,Accident
2010,02/19/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Wayofthefuture,GEORGE R. WEAVER, ,Wayofthefuture-Tr. George Weaver-pulled up-vanned off-tendonitis-rest recommended,Steward's List
2010,02/19/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Main,Racing,Thoroughbred,Cloudy,Professional Crush,CODY J. AUTREY, ,Professional Crush-Tr. Cody Autrey-pulled up-vanned off-horse uninjured,Steward's List
2010,02/20/2010,EQUINE DEATH,Belmont Park (NYRA),Bel. Training Track,Training,Thoroughbred,Cloudy,Whirling Agatha,BERNARDO J. CALLEJAS, ,Whirling Agatha-Tr. Bernardo Callejas-collided with another horse while breezing   broke neck and was euthanized.,Euthanasia
2010,02/20/2010,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Clear  44*,Freddy the Cap,OSCAR S. BARRERA JR, ,Freddy the Cap-Tr. Oscar Barrera-was vanned off-reinjured suspensory-horse now fine,Steward's List
2010,02/25/2010,EQUINE DEATH,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Snow,Badgette,JOHN T. TOSCANO JR, ,Badgette-Tr. John Toscano-fx RF leg-euthanized,Euthanasia
2010,02/27/2010,EQUINE DEATH,Yonkers Raceway,First turn YR,Racing,Harness,Clear & Cold,Brown Bottle Flu,CURTIS J. CAREY, ,Brown Bottle Flu-Tr. Curtis Carey-fx RH pastern-euthanasia,Euthanasia
