ID,Year,Method,"CLL.A.1_Quality of cultural and learning services and programs in Austin (e.g. libraries, museums, cultural centers and events)","CLL.A.3_Quality of the City's cultural and learning facilities (e.g. libraries, cultural centers, City museums)",CLL.A.4_Attended a cultural event or program organizedby the City in the past 6 months,CLL.A.5_Overall quality of life in the city,CLL.A.5_Have you participated in a City of Austin recreation program/event?,CLL.C.1_The City of Austin as a place where I feel welcome,CLL.D.1_Austin is a place that honors and preserves my personal heritage,CLL.E.1_CLL.E.2_Have you participated in a lifelong learning activity in the past 3 months (learning activity or class unrelated to work),"CLL.E.3_City-offered lifelong learning events, activities, and resources (Classes or learning materials)",HE.C.3_Overall quality of City of Austin parks and recreation programs or classesoffered by the City,"HE.C.3_Quality of City of Austin Park facilities (includes recreation, senior, nature,cultural centers and museums)",HE.C.3_Special/Weighted Measure,HE.E.2_I have frequent contact with friends and neighbors outside of my home,S.A.1_I feel safe in my neighborhood during the day,S.A.1_I feel safe in my neighborhood at night,S.A.1_I feel safe walking alone downtown during the day,S.A.1_I feel safe in my home,S.A.1_I feel safe walking alone downtown at night,S.A.1_S.B.4_I feel safe in my workplace,S.A.1_I feel safe in city parks,S.A.1_Special/Weighted Measure,S.A.2_I trust Austin Police Department (APD),S.A.2_I trust Austin Fire Department (AFD),S.A.2_I trust Emergency Medical Services (EMS),S.A.2_Special/Weighted Measure,"S.A.3_I am confident that in case of an emergency, my response will be delivered effectively","S.B.3_I have sufficient knowledge and understanding of community laws, codes, and ordinances",S.C.2_I have access to information and education on disasters and other major emergencies,"S.C.3_I feel prepared to help myself, my family, and my neighbors to respond to disasters and major emergencies","S.D.2_I feel I was treated fairly during my enforcement process (arrests, tickets, warnings, code violations)","S.D.2_I feel I was treated fairly during my judicial process (traffic and parking ticket processing, fine collections, misdemeanor court case appearances)",S.D.2_Special/Weighted Measure,M.B.2_Cost of transportation to get around Austin,M.B.3_Did your household reduce the total number of cars owned/leased in the household by one or more within the last year?,"M.C.2_Transportation options (aside from personal vehicle) to get around Austin (e.g. ride share, but/train, bike, walk)","M.E.1_Condition of major city streets (Congress Ave, Lamar, South First, Burnet, etc.)",M.E.2_Overall maintenance of city sidewalks,"GTW.B.6_Condition of City facilities and buildings (e.g. clean, safe, accessible)",GTW.B.6_Special/Weighted Measure,GTW.C.1_Services provided by the City’s 3-1-1 assistance telephone number,GTW.C.2_GTW.F.1_Overall quality of services provided by the City of Austin,GTW.C.3_Overall value that you receive for your city tax dollars and fees,GTW.E.2_Civic engagement experience with the City,GTW.E.3_The City’s effort to support dialogue between residents and government,GTW.G.1_Employees of the City of Austin are ethical in the way they conduct City business.,GTW.G.6_The City's efforts to be fair,GTW.G.6_The City's efforts to be transparent,GTW.G.6_Special/Weighted Measure,City,Council District,Block Level X Longitude,Block Level Y Latitude
2015_1490,01/01/2015 12:00:00 AM,,,,,3,0,,,,,3,3,0.6257,,4,3,2,,1,,2,,,,,,,,,,,,,,,,3,,,,4,2,2,,,4,,,,Austin,4,-97.708,30.368
2017_5898,01/01/2017 12:00:00 AM,Mail,,,,4,0,,,,,3,3,0.6448,,4,4,2,,2,,3,,,,,,,,,,,,,,,,2,1,,,3,4,3,,3,3,,,,Austin,2,-97.892,30.193
2015_1188,01/01/2015 12:00:00 AM,,,,,5,1,,,,,4,3,0.6257,,4,4,4,,3,,4,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,9,-97.713,30.289
2017_5935,01/01/2017 12:00:00 AM,Mail,,,,3,0,,,,,4,3,0.6448,,4,3,4,,3,,4,,,,,,,,,,,,,,,,3,2,,,3,2,2,,2,4,,,,Austin,9,-97.856,30.208
2015_549,01/01/2015 12:00:00 AM,,,,,4,0,,,,,9,9,0.6257,,4,4,4,,9,,4,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,7,-97.721,30.362
2017_4196,01/01/2017 12:00:00 AM,Web,,,,4,0,,,,,4,3,0.6448,,5,4,4,,3,,4,,,,,,,,,,,,,,,,2,2,,,4,2,4,,1,3,,,,Austin,4,-97.774,30.431
2016_3077,01/01/2016 12:00:00 AM,,,,,3,0,,,,,3,2,0.6421,,4,3,4,,3,,4,,,,,,,,,,,,,,,,2,2,,,2,3,3,,,9,,,,Austin,2,-97.804,30.177
2016_3931,01/01/2016 12:00:00 AM,,,,,3,0,,,,,3,3,0.6421,,3,3,3,,3,,3,,,,,,,,,,,,,,,,3,4,,,3,3,2,,,3,,,,Austin,1,-97.704,30.283
2017_4279,01/01/2017 12:00:00 AM,Mail,,,,5,1,,,,,4,3,0.6448,,5,2,4,,3,,4,,,,,,,,,,,,,,,,3,3,,,4,3,3,,3,4,,,,Austin,2,-97.712,30.342
2017_4347,01/01/2017 12:00:00 AM,Web,,,,3,0,,,,,3,3,0.6448,,4,4,3,,3,,3,,,,,,,,,,,,,,,,3,3,,,4,3,2,,2,3,,,,Austin,3,-97.696,30.349
2015_1284,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,4,0.6257,,5,4,5,,5,,5,,,,,,,,,,,,,,,,4,,,,4,4,4,,,4,,,,Austin,1,-97.72,30.282
2015_1316,01/01/2015 12:00:00 AM,,,,,4,0,,,,,4,3,0.6257,,3,2,2,,1,,3,,,,,,,,,,,,,,,,3,,,,4,3,4,,,4,,,,Austin,2,-97.745,30.186
2015_1411,01/01/2015 12:00:00 AM,,,,,2,1,,,,,3,4,0.6257,,5,5,3,,2,,4,,,,,,,,,,,,,,,,4,,,,5,4,3,,,4,,,,Austin,9,-97.766,30.277
