Application Type,License Number,Processed Date,License Date,Issued Date,Last Renewal Date,Next Renewal Date,License Expiration Date,IN_COUNTY,OUT_COUNTY,PRODUCT_SOLD,Farm name,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code,Work Location
AGRICULTURAL PRODUCERS CERTIF,200080,12/01/1999,12/01/1999,12/01/1999,,12/07/2001,12/07/2001,N,Y,TREES,MUSSER FOREST,6900,,NEW HAMPSHIRE,AVE,,TAKOMA PARK,MD,20912,
AGRICULTURAL PRODUCERS CERTIF,202287,03/12/2003,03/12/2003,03/13/2003,03/11/2005,03/11/2006,03/11/2006,N,Y,SEAFOOD,E. GOODWIN & SONS (SEAFOOD),,,,,,,,,29 AND TECH ROAD
AGRICULTURAL PRODUCERS CERTIF,217422,06/18/2012,06/18/2012,06/26/2012,,06/26/2013,06/26/2013,Y,N,PRODUCE,Country Thyme Farm Market,13520,,CLOPPER,RD,,GERMANTOWN,MD,20874,
AGRICULTURAL PRODUCERS CERTIF,207590,10/16/2006,10/16/2006,,,,,Y,N,"FLOWERS, PRODUCE AND TREES",LEWIS ORCHARD,4253,,MUNCASTER MILL,RD,,ROCKVILLE,MD,20853,
AGRICULTURAL PRODUCERS CERTIF,223265,06/09/2015,06/09/2015,06/12/2015,,06/12/2016,06/12/2016,Y,N,PRODUCE,YOUR CHEF'S TABLE,4340,,EAST WEST,HWY,,BETHESDA,MD,20814,
AGRICULTURAL PRODUCERS CERTIF,226334,09/17/2018,09/17/2018,09/18/2018,,09/18/2019,09/18/2019,N,Y,PRODUCE,FOWLER FARMS,9625,,MOUNT PISGAH,RD,,SILVER SPRING,MD,20903,
AGRICULTURAL PRODUCERS CERTIF,200219,08/03/2000,08/03/2000,,,,,N,N,PRODUCE,WOJO'S PRODUCE,,,DARNESTOWN,RD,,DARNESTOWN,MD,20878,
AGRICULTURAL PRODUCERS CERTIF,200030,10/07/1999,10/07/1999,,,,,N,Y,PRODUCE,WHEATLY PRODUCE,,,RIVER,RD,,,,,PUBLIC R-OF-W/RIVER ROAD/KENWOOD
AGRICULTURAL PRODUCERS CERTIF,200157,05/10/2000,05/10/2000,05/25/2000,05/15/2002,05/10/2003,05/10/2003,N,Y,PRODUCE,GREENSBURG AND LEWIS ORCHARDS,23329,,FREDERICK,RD,,CLARKSBURG,MD,20871,
AGRICULTURAL PRODUCERS CERTIF,215615,05/20/2011,05/20/2011,05/26/2011,,05/26/2012,05/26/2012,N,Y,PRODUCE,VINCENT FARMS,25810,,FREDERICK,RD,,CLARKSBURG,MD,20871,
