Reporting Area,MMWR Year,MMWR Week,"Salmonella Paratyphi infection§, Current week","Salmonella Paratyphi infection§, Current week, flag","Salmonella Paratyphi infection§, Previous 52 weeks Max†","Salmonella Paratyphi infection§, Previous 52 weeks Max†, flag","Salmonella Paratyphi infection§, Cum 2020†","Salmonella Paratyphi infection§, Cum 2020†, flag","Salmonella Paratyphi infection§, Cum 2019†","Salmonella Paratyphi infection§, Cum 2019†, flag","Salmonella Typhi infection¶, Current week","Salmonella Typhi infection¶, Current week, flag","Salmonella Typhi infection¶, Previous 52 weeks Max†","Salmonella Typhi infection¶, Previous 52 weeks Max†, flag","Salmonella Typhi infection¶, Cum 2020†","Salmonella Typhi infection¶, Cum 2020†, flag","Salmonella Typhi infection¶, Cum 2019†","Salmonella Typhi infection¶, Cum 2019†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Current week, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Previous 52 weeks Max†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2020†, flag","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†","Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)**, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
NEVADA,2020,3,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,,-,7,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,1,,,-,,-,,-,3,,,-,1,,,-,95,,2,,70,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,2,,118,,16,,24,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,1,,,-,,-,,-,6,,,-,,-,7,,207,,16,,41,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,1,,,-,,-,,-,1,,,-,1,,,-,6,,,-,4,,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,1,,1,,1,,1,,,-,2,,,-,,-,5,,21,,25,,19,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,2,,,-,,-,,-,6,,1,,1,,6,,81,,45,,57,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,3,,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,1,,0,,1,,,-,,-,0,,,-,,-,4,,53,,26,,25,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,108,,,-,60,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,1,,,-,,-,,-,2,,,-,1,,,-,58,,2,,43,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,21,,2,,15,,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,1,,,-,,-,,-,3,,,-,1,,26,,137,,76,,130,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,4,,52,,17,,10,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,1,,,-,,-,,-,1,,,-,1,,,-,26,,,-,12,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,1,,,-,,-,,-,2,,,-,1,,11,,46,,35,,43,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,7,,85,,33,,38,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,9,,74,,17,,13,,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,22,,66,,50,,59,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,9,,53,,11,,24,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,1,,8,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,,-,2,,,-,,-,,-,6,,,-,1,,27,,478,,90,,395,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,1,,,-,,-,,-,2,,,-,,-,7,,66,,31,,1,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
US RESIDENTS,2020,2,,-,5,,,-,2,,,-,12,,1,,5,,118,,1411,,247,,679,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,2,,,-,,-,,-,6,,1,,,-,6,,81,,18,,33,,,NEW ENGLAND,20200202,
CONNECTICUT,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,26,,,-,7,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
NEW HAMPSHIRE,2020,2,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,1,,5,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,1,,10,,1,,,-,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
NEW JERSEY,2020,2,,-,1,,,-,,-,,-,2,,,-,1,,,-,58,,1,,35,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,,-,2,,,-,,-,,-,3,,,-,,-,11,,62,,11,,8,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
EAST NORTH CENTRAL,2020,2,,-,1,,,-,,-,,-,3,,,-,1,,20,,137,,41,,100,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,1,,,-,,-,,-,3,,,-,1,,,-,95,,,-,56,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
IOWA,2020,2,,-,0,,,-,,-,,-,2,,,-,,-,5,,118,,12,,18,,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200222,POINT (-98.38018 38.484729)
NEBRASKA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,4,,18,,4,,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,2,,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
PACIFIC,2020,2,,-,1,,,-,1,,,-,2,,,-,,-,3,,46,,13,,18,,,PACIFIC,20200257,
UTAH,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,20,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,1,,,-,,-,,-,2,,,-,1,,,-,27,,3,,35,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,8,,1,,1,,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,,-,14,,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,1,,3,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,2,,,-,,-,,-,2,,,-,,-,8,,58,,21,,20,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,38,,23,,55,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,4,,30,,24,,1,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,1,,10,,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,13,,6,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,1,,5,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,36,,13,,27,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,2,,,-,,-,,-,5,,,-,2,,25,,174,,62,,72,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,1,,10,,1,,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,234,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,6,,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,8,,134,,40,,59,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,2,,,-,,-,,-,2,,1,,,-,5,,50,,39,,33,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,1,,,-,,-,,-,2,,,-,2,,,-,101,,29,,148,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
TOTAL,2020,6,,-,6,,2,,12,,1,,12,,12,,26,,148,,1410,,1137,,2143,,,TOTAL,20200670,
US RESIDENTS,2020,6,,-,6,,2,,12,,1,,12,,12,,26,,148,,1410,,1137,,2143,,,US RESIDENTS,20200601,
NEW HAMPSHIRE,2020,6,,-,0,,,-,,-,,-,5,,,-,,-,,-,10,,5,,10,,NEW HAMPSHIRE,,20200606,POINT (-71.57139 43.680429)
NEW YORK,2020,6,,-,2,,,-,,-,,-,3,,,-,2,,20,,62,,81,,88,,NEW YORK,,20200611,POINT (-75.59655 42.921241)
PACIFIC,2020,6,,-,1,,,-,2,,,-,2,,,-,1,,3,,46,,56,,65,,,PACIFIC,20200657,
MAINE,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,1,,1,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,2,,,-,,-,,-,2,,1,,,-,5,,50,,15,,20,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
VERMONT,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,7,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,,-,2,,,-,,-,,-,5,,,-,1,,15,,174,,24,,44,,,MIDDLE ATLANTIC,20200209,
NEW YORK CITY,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,1,,,-,,-,,-,2,,,-,,-,4,,66,,12,,1,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,16,,66,,29,,43,,OHIO,,20200218,POINT (-82.70936 40.415534)
WISCONSIN,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,4,,30,,12,,1,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
MOUNTAIN,2020,2,,-,1,,,-,,-,,-,2,,,-,2,,5,,101,,29,,105,,,MOUNTAIN,20200248,
WEST SOUTH CENTRAL,2020,6,,-,3,,,-,1,,1,,6,,2,,,-,41,,337,,211,,255,,,WEST SOUTH CENTRAL,20200643,
NEBRASKA,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,4,,18,,19,,,-,NEBRASKA,,20200625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,6,,-,1,,1,,,-,,-,1,,,-,,-,5,,116,,93,,140,,,EAST SOUTH CENTRAL,20200638,
NORTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,4,,10,,NORTH DAKOTA,,20200626,POINT (-100.46931 47.446305)
NEVADA,2020,6,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,,-,11,,NEVADA,,20200653,POINT (-114.916992 39.283294)
ILLINOIS,2020,6,,-,1,,,-,3,,,-,3,,,-,5,,,-,95,,11,,119,,ILLINOIS,,20200615,POINT (-89.148632 40.124144)
IOWA,2020,6,,-,0,,,-,,-,,-,2,,,-,,-,1,,118,,29,,52,,IOWA,,20200621,POINT (-93.500061 42.074659)
TEXAS,2020,6,,-,3,,,-,1,,,-,6,,1,,,-,25,,247,,136,,159,,TEXAS,,20200647,POINT (-99.317341 31.447238)
ALASKA,2020,6,,-,1,,,-,,-,,-,0,,,-,1,,,-,6,,,-,5,,ALASKA,,20200658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200630,POINT (-77.016275 38.904785)
WASHINGTON,2020,6,,-,1,,,-,2,,,-,2,,,-,,-,3,,21,,52,,43,,WASHINGTON,,20200662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,6,,-,2,,1,,1,,,-,6,,3,,3,,2,,81,,75,,118,,,NEW ENGLAND,20200602,
RHODE ISLAND,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,5,,,-,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,1,,1,,,-,,-,0,,,-,,-,1,,53,,46,,68,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,-,0,,,-,,-,,-,2,,,-,1,,,-,109,,,-,103,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,1,,,-,,-,,-,2,,,-,3,,,-,58,,4,,94,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,21,,16,,25,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,,-,1,,,-,3,,,-,3,,1,,6,,16,,137,,143,,227,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,4,,52,,37,,37,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,1,,,-,1,,,-,1,,,-,2,,,-,26,,,-,31,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,,-,1,,,-,1,,,-,2,,,-,2,,12,,47,,67,,70,,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,8,,86,,60,,66,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,0,,,-,,-,1,,1,,1,,,-,12,,74,,38,,39,,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,,-,1,,,-,,-,,-,1,,1,,1,,15,,66,,91,,106,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,53,,12,,43,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,24,,4,,17,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,,-,3,,,-,4,,,-,6,,,-,5,,30,,546,,185,,784,,,SOUTH ATLANTIC,20200628,
PENNSYLVANIA,2020,6,,-,1,,,-,,-,,-,2,,3,,,-,8,,66,,85,,1,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,15,,,-,28,,UTAH,,20200655,POINT (-111.678222 39.323779)
COLORADO,2020,6,,-,1,,,-,1,,,-,2,,,-,2,,6,,27,,47,,60,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,3,,1,,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,27,,10,,35,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,7,,4,,11,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,2,,,-,2,,,-,2,,,-,2,,10,,58,,56,,44,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,,-,1,,,-,,-,,-,1,,2,,,-,3,,38,,58,,93,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,0,,,-,,-,,-,1,,,-,,-,1,,30,,41,,2,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,1,,,-,,-,,-,1,,,-,,-,,-,12,,2,,19,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,93,,,-,75,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
ARKANSAS,2020,6,,-,2,,,-,,-,,-,1,,,-,,-,4,,42,,25,,14,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,8,,2,,14,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,5,,,-,,-,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,0,,,-,,-,,-,1,,1,,1,,9,,36,,27,,50,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,,-,2,,,-,,-,,-,5,,3,,7,,28,,174,,170,,183,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,10,,2,,,-,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,,-,1,,,-,,-,,-,5,,,-,,-,,-,234,,,-,426,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,9,,MONTANA,,20200652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,6,,-,0,,,-,,-,,-,2,,1,,1,,14,,134,,81,,126,,,WEST NORTH CENTRAL,20200620,
TOTAL,2020,4,,-,6,,1,,5,,1,,12,,3,,9,,117,,1342,,669,,1346,,,TOTAL,20200470,
US RESIDENTS,2020,4,,-,6,,1,,5,,1,,12,,3,,9,,117,,1342,,669,,1346,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,5,,,-,,-,1,,10,,3,,8,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,,-,2,,,-,,-,,-,3,,,-,1,,11,,62,,39,,50,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,,-,1,,,-,1,,,-,2,,,-,1,,3,,46,,36,,45,,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,,-,2,,,-,,-,,-,6,,1,,,-,31,,338,,100,,123,,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,18,,12,,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,1,,1,,,-,,-,1,,,-,,-,6,,116,,59,,75,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,6,,,-,7,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,,-,15,,,-,9,,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,1,,,-,1,,,-,3,,,-,1,,,-,95,,2,,85,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,5,,118,,24,,31,,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,1,,,-,,-,,-,6,,1,,,-,20,,207,,49,,62,,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,1,,,-,,-,,-,1,,,-,1,,,-,6,,,-,5,,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,-,1,,,-,1,,,-,2,,,-,,-,3,,21,,34,,28,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,2,,,-,1,,,-,6,,1,,1,,3,,81,,56,,81,,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,10,,3,,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,0,,1,,,-,,-,0,,,-,,-,2,,53,,37,,37,,ALABAMA,,20200439,POINT (-86.844516 32.756889)
