Permit Number,Status,Processed Date,Issued Date,Finaled Date,Description,Application Type,Work Type,Use code ,Number of Dwelling units,High Rise,Tax Description,Tax Amount,Tax Status,Tax Paid Date,Street Number,Pre-direction,Street name of work location,Street Suffix,Post-direction,City,State,ZIP code
292874,Finaled,11/20/2002,11/20/2002,11/20/2002,PARKING GARAGE,GAITHERSBURG COM. BUILDING,CONSTRUCT,GARAGE,0,N,"IMPACT TAX, COUNTY DISTRICT",5735.50,PAID,11/20/2002,9821,,WASHINGTONIAN,BLVD,,GAITHERSBURG,MD,20878
295211,Issued,12/27/2002,12/27/2002,,,GAITHERSBURG COM. BUILDING,CONSTRUCT,MERCANTILE BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",2958.38,PAID,12/27/2002,662,,QUINCE ORCHARD,RD,,GAITHERSBURG,MD,20878
296285,Issued,01/17/2003,01/17/2003,,,GAITHERSBURG COM. BUILDING,CONSTRUCT,MERCANTILE BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",1128.38,PAID,01/17/2003,4,,BUREAU,DR,,GAITHERSBURG,MD,20878
297077,Finaled,01/29/2003,01/29/2003,01/29/2003,,GAITHERSBURG COM. BUILDING,CONSTRUCT,ASSEMBLY BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",1980.00,PAID,01/29/2003,750,,CLOPPER,RD,,GAITHERSBURG,MD,20878
314812,Issued,08/06/2003,08/06/2003,,,GAITHERSBURG COM. BUILDING,CONSTRUCT,,0,N,"IMPACT TAX, COUNTY DISTRICT",33928.50,PAID,08/06/2003,,,,,,,,
341849,Finaled,04/22/2004,04/22/2004,04/22/2004,,GAITHERSBURG COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,"IMPACT TAX, COUNTY DISTRICT",67750.40,PAID,04/22/2004,183,,KENTLANDS,BLVD,,GAITHERSBURG,MD,20878
378662,Finaled,04/01/2005,04/01/2005,04/01/2005,"PI BO30151, Culture Center of T.E.C.R.O",GAITHERSBURG COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >MAR04-GENERAL,18735.00,UNPAID,,901,,WIND RIVER,LN,,GAITHERSBURG,MD,20878
381146,Finaled,04/26/2005,04/26/2005,04/26/2005,City of Gaithersburg Impax Tax.,GAITHERSBURG COM. BUILDING,CONSTRUCT,MERCANTILE BUILDING,0,N,IMPACT TAX >MAR04-GENERAL,17991.00,PAID,04/26/2005,84,,BUREAU,DR,,GAITHERSBURG,MD,20878
381816,Finaled,05/02/2005,02/09/2007,02/09/2007,PI-B021698,GAITHERSBURG COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >MAR04-GENERAL,38400.00,PAID,05/02/2005,9841,,WASHINGTONIAN,BLVD,,GAITHERSBURG,MD,20878
387412,Finaled,06/15/2005,06/15/2005,06/15/2005,PI-B050110,GAITHERSBURG COM. BUILDING,CONSTRUCT,BUSINESS BUILDING,0,N,IMPACT TAX >MAR04-GENERAL,98700.00,PAID,06/15/2005,17,,FIRSTFIELD,RD,,GAITHERSBURG,MD,20878
391994,Finaled,07/27/2005,07/27/2005,07/27/2005,,GAITHERSBURG COM. BUILDING,CONSTRUCT,PLACE OF WORSHIP,0,N,IMPACT TAX >JUL05-GENERAL,4943.10,PAID,07/27/2005,1409,,MAIN,ST,,GAITHERSBURG,MD,20878
395680,Issued,08/26/2005,08/26/2005,,,GAITHERSBURG COM. BUILDING,CONSTRUCT,ASSEMBLY BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,11955.00,PAID,08/26/2005,600,,PELICAN,AVE,,GAITHERSBURG,MD,20877
407073,Issued,12/21/2005,12/21/2005,,Gaithersburg Taxes -addition to orig bldg,GAITHERSBURG COM. BUILDING,ADD,BUSINESS BUILDING,0,N,IMPACT TAX >JUL05-GENERAL,7573.70,PAID,12/21/2005,4,,PARK,AVE,,GAITHERSBURG,MD,20877
