Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
COLORADO,2020,6,1,,4,,6,,3,,,-,0,,,-,,-,,-,6,,3,,10,,COLORADO,,20200650,POINT (-105.547832 38.998552)
VERMONT,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200608,POINT (-72.662695 44.075252)
KENTUCKY,2020,6,,-,2,,1,,,-,,-,0,,,-,,-,,-,15,,3,,31,,KENTUCKY,,20200640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200667,POINT (-66.414655 18.215692)
MAINE,2020,6,,-,1,,,-,2,,,-,0,,,-,,-,,-,3,,,-,5,,MAINE,,20200604,POINT (-69.06137 45.117911)
VIRGINIA,2020,6,,-,3,,3,,3,,,-,0,,,-,,-,1,,10,,7,,14,,VIRGINIA,,20200636,POINT (-78.666382 37.510861)
ARIZONA,2020,6,2,,3,,7,,4,,,-,0,,,-,,-,,-,6,,13,,16,,ARIZONA,,20200649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200664,
WISCONSIN,2020,6,,-,4,,5,,3,,,-,0,,,-,,-,,-,8,,,-,15,,WISCONSIN,,20200619,POINT (-89.732969 44.639954)
IDAHO,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,2,,IDAHO,,20200651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200668,POINT (-64.840836 18.060868)
MICHIGAN,2020,6,,-,3,,,-,8,,,-,1,,,-,,-,,-,25,,10,,35,,MICHIGAN,,20200617,POINT (-85.730977 44.874798)
GEORGIA,2020,6,,-,4,,2,,5,,,-,0,,,-,,-,,-,9,,,-,2,,GEORGIA,,20200632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,6,,-,4,,6,,1,,,-,0,,,-,,-,1,,39,,11,,32,,,NEW YORK CITY,20200612,
ARKANSAS,2020,6,,-,4,,1,,2,,,-,0,,,-,,-,1,,3,,4,,4,,ARKANSAS,,20200644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,6,,-,3,,3,,2,,,-,0,,,-,,-,,-,4,,2,,2,,MISSISSIPPI,,20200641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,6,,-,1,,1,,2,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200627,POINT (-100.230491 44.43614)
WYOMING,2020,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,1,,1,,WYOMING,,20200656,POINT (-107.55145 42.999627)
MISSOURI,2020,6,,-,2,,2,,2,,,-,1,,1,,,-,,-,18,,9,,8,,MISSOURI,,20200624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,6,1,,6,,14,,5,,,-,1,,,-,,-,4,,92,,56,,138,,,MIDDLE ATLANTIC,20200609,
CALIFORNIA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,14,,,-,77,,CALIFORNIA,,20200659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,6,,-,2,,,-,3,,,-,0,,,-,,-,,-,7,,,-,11,,WEST VIRGINIA,,20200637,POINT (-80.613729 38.642579)
FLORIDA,2020,6,3,,6,,11,,9,,,-,1,,,-,1,,,-,17,,,-,42,,FLORIDA,,20200631,POINT (-82.420978 28.260731)
MONTANA,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200652,POINT (-109.645127 47.033521)
CONNECTICUT,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,8,,,-,3,,CONNECTICUT,,20200203,POINT (-72.738288 41.575155)
MAINE,2020,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,3,,,-,1,,MAINE,,20200204,POINT (-69.06137 45.117911)
MASSACHUSETTS,2020,2,,-,3,,,-,2,,,-,0,,,-,,-,,-,12,,,-,16,,MASSACHUSETTS,,20200205,POINT (-71.481104 42.151077)
NEW HAMPSHIRE,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,,-,1,,NEW HAMPSHIRE,,20200206,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,5,,,-,2,,RHODE ISLAND,,20200207,POINT (-71.534637 41.572574)
VERMONT,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200208,POINT (-72.662695 44.075252)
MIDDLE ATLANTIC,2020,2,2,,6,,4,,1,,,-,1,,,-,,-,2,,92,,9,,57,,,MIDDLE ATLANTIC,20200209,
NEW JERSEY,2020,2,,-,4,,2,,1,,,-,0,,,-,,-,,-,8,,,-,7,,NEW JERSEY,,20200210,POINT (-74.655514 40.110253)
NEW YORK,2020,2,2,,6,,2,,,-,,-,1,,,-,,-,2,,48,,2,,4,,NEW YORK,,20200211,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,39,,3,,17,,,NEW YORK CITY,20200212,
PENNSYLVANIA,2020,2,,-,2,,,-,,-,,-,1,,,-,,-,,-,31,,4,,29,,PENNSYLVANIA,,20200213,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,2,2,,8,,5,,7,,2,,1,,3,,1,,13,,115,,26,,47,,,EAST NORTH CENTRAL,20200214,
ILLINOIS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,1,,14,,ILLINOIS,,20200215,POINT (-89.148632 40.124144)
INDIANA,2020,2,,-,3,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
MICHIGAN,2020,2,,-,3,,,-,3,,,-,1,,,-,,-,,-,26,,,-,13,,MICHIGAN,,20200217,POINT (-85.730977 44.874798)
OHIO,2020,2,2,,3,,4,,,-,2,,1,,3,,1,,13,,68,,25,,16,,OHIO,,20200218,POINT (-82.70936 40.415534)
WEST NORTH CENTRAL,2020,2,1,,5,,1,,2,,,-,1,,,-,1,,3,,32,,6,,14,,,WEST NORTH CENTRAL,20200220,
TOTAL,2020,4,9,,32,,54,,70,,,-,2,,5,,4,,29,,309,,161,,452,,,TOTAL,20200470,
WISCONSIN,2020,2,,-,4,,1,,1,,,-,0,,,-,,-,,-,8,,,-,4,,WISCONSIN,,20200219,POINT (-89.732969 44.639954)
IOWA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,,-,2,,IOWA,,20200221,POINT (-93.500061 42.074659)
KANSAS,2020,2,,-,2,,,-,1,,,-,1,,,-,1,,,-,5,,,-,2,,KANSAS,,20200222,POINT (-98.38018 38.484729)
MINNESOTA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,4,,MINNESOTA,,20200223,POINT (-94.198308 46.349153)
MISSOURI,2020,2,1,,2,,1,,,-,,-,1,,,-,,-,3,,18,,5,,3,,MISSOURI,,20200224,POINT (-92.477244 38.3675)
NEBRASKA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,1,,,-,NEBRASKA,,20200225,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200226,POINT (-100.46931 47.446305)
SOUTH DAKOTA,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,3,,,-,1,,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,2,5,,9,,6,,14,,,-,1,,,-,,-,4,,140,,10,,40,,,SOUTH ATLANTIC,20200228,
DELAWARE,2020,2,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,DELAWARE,,20200229,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,2,,DISTRICT OF COLUMBIA,,20200230,POINT (-77.016275 38.904785)
FLORIDA,2020,2,5,,6,,5,,7,,,-,1,,,-,,-,,-,17,,,-,15,,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,4,,,-,2,,,-,0,,,-,,-,,-,9,,,-,1,,GEORGIA,,20200232,POINT (-83.426574 32.638481)
MARYLAND,2020,2,,-,3,,,-,2,,,-,0,,,-,,-,2,,16,,7,,9,,MARYLAND,,20200233,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,,-,4,,NORTH CAROLINA,,20200234,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,1,,1,,SOUTH CAROLINA,,20200235,POINT (-80.864614 33.878572)
VIRGINIA,2020,2,,-,3,,1,,1,,,-,0,,,-,,-,2,,10,,2,,3,,VIRGINIA,,20200236,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,2,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,,-,5,,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
EAST SOUTH CENTRAL,2020,2,3,,8,,3,,3,,,-,0,,,-,,-,,-,20,,3,,15,,,EAST SOUTH CENTRAL,20200238,
ALABAMA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,2,,3,,ALABAMA,,20200239,POINT (-86.844516 32.756889)
KENTUCKY,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,8,,KENTUCKY,,20200240,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,2,2,,3,,2,,1,,,-,0,,,-,,-,,-,4,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
TENNESSEE,2020,2,1,,3,,1,,2,,,-,0,,,-,,-,,-,10,,1,,4,,TENNESSEE,,20200242,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,2,,-,9,,,-,2,,,-,2,,,-,,-,,-,25,,,-,2,,,WEST SOUTH CENTRAL,20200243,
ARKANSAS,2020,2,,-,4,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
LOUISIANA,2020,2,,-,2,,,-,1,,,-,0,,,-,,-,,-,6,,,-,,-,LOUISIANA,,20200245,POINT (-91.840238 30.921314)
OKLAHOMA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200246,POINT (-97.508297 35.583449)
TEXAS,2020,2,,-,9,,,-,1,,,-,2,,,-,,-,,-,16,,,-,2,,TEXAS,,20200247,POINT (-99.317341 31.447238)
MOUNTAIN,2020,2,1,,5,,5,,2,,,-,1,,,-,1,,4,,13,,8,,13,,,MOUNTAIN,20200248,
ARIZONA,2020,2,,-,3,,3,,,-,,-,0,,,-,,-,4,,6,,6,,5,,ARIZONA,,20200249,POINT (-111.664616 34.293239)
COLORADO,2020,2,,-,3,,1,,,-,,-,0,,,-,,-,,-,6,,,-,4,,COLORADO,,20200250,POINT (-105.547832 38.998552)
IDAHO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,1,,IDAHO,,20200251,POINT (-114.659366 44.389073)
MONTANA,2020,2,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
NEVADA,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,1,,2,,NEVADA,,20200253,POINT (-114.916992 39.283294)
NEW MEXICO,2020,2,1,,2,,1,,1,,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,20200254,POINT (-106.108388 34.421369)
UTAH,2020,2,,-,2,,,-,1,,,-,1,,,-,1,,,-,3,,,-,,-,UTAH,,20200255,POINT (-111.678222 39.323779)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20200256,POINT (-107.55145 42.999627)
PACIFIC,2020,2,,-,1,,,-,1,,,-,1,,,-,,-,,-,23,,4,,29,,,PACIFIC,20200257,
ALASKA,2020,2,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200258,POINT (-151.631889 63.631126)
CALIFORNIA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,19,,,-,23,,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
HAWAII,2020,2,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,1,,2,,HAWAII,,20200260,POINT (-157.854309 21.361013)
OREGON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,2,,OREGON,,20200261,POINT (-120.605279 43.940449)
WASHINGTON,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,1,,2,,WASHINGTON,,20200262,POINT (-120.592492 47.411715)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,14,,32,,24,,37,,2,,2,,3,,3,,26,,329,,66,,240,,,TOTAL,20200270,
WEST NORTH CENTRAL,2020,6,,-,5,,3,,10,,,-,1,,1,,1,,,-,32,,15,,35,,,WEST NORTH CENTRAL,20200620,
TOTAL,2020,3,7,,32,,41,,50,,2,,2,,5,,3,,36,,309,,115,,351,,,TOTAL,20200370,
US RESIDENTS,2020,3,7,,32,,41,,50,,2,,2,,5,,3,,36,,309,,115,,351,,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,4,,,-,1,,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,6,,2,,1,,,-,1,,,-,,-,8,,48,,11,,10,,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,1,,,-,1,,,-,1,,,-,,-,,-,23,,5,,52,,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,1,,10,,3,,2,,,-,2,,,-,,-,2,,25,,4,,12,,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,6,,1,,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,8,,3,,3,,,-,0,,,-,,-,1,,20,,5,,21,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,1,,2,,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,43,,1,,19,,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,8,,1,,2,,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,9,,,-,1,,,-,2,,,-,,-,,-,16,,2,,7,,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,3,,,-,2,,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,4,,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,3,,,-,7,,,-,0,,,-,,-,,-,22,,,-,30,,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,5,,,-,4,,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,2,,3,,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,1,,6,,3,,4,,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,2,,,-,1,,,-,1,,,-,1,,,-,5,,,-,3,,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,,-,8,,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,4,,2,,1,,,-,0,,,-,,-,,-,8,,,-,8,,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,2,,1,,2,,,-,0,,,-,,-,,-,2,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,1,,8,,8,,8,,2,,1,,5,,1,,15,,115,,41,,73,,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,3,,1,,2,,,-,0,,,-,,-,,-,10,,2,,5,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,8,,,-,4,,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,3,,,-,3,,,-,0,,,-,,-,4,,16,,11,,12,,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,1,,2,,1,,1,,,-,0,,,-,,-,,-,6,,1,,3,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,1,,3,,5,,1,,2,,1,,5,,1,,15,,68,,40,,32,,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,5,,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,2,,2,,1,,,-,0,,,-,,-,,-,6,,,-,1,,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,1,,3,,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,4,,9,,11,,16,,,-,1,,,-,,-,6,,135,,16,,61,,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,,-,2,,,-,2,,,-,1,,,-,,-,1,,29,,15,,44,,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,2,,1,,1,,,-,1,,,-,1,,,-,3,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,3,,1,,,-,,-,0,,,-,,-,,-,6,,,-,6,,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,10,,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,2,,,-,2,,,-,0,,,-,,-,,-,3,,,-,2,,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,1,,3,,2,,1,,,-,0,,,-,,-,2,,10,,4,,6,,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,1,,3,,5,,2,,,-,0,,,-,,-,1,,6,,7,,10,,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,6,,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,3,,1,,1,,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,3,,,-,3,,,-,1,,,-,,-,,-,26,,,-,16,,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,4,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,4,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,1,,4,,1,,,-,,-,0,,,-,,-,2,,4,,2,,4,,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,3,,2,,1,,,-,0,,,-,,-,,-,4,,,-,2,,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,,-,3,,,-,2,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,2,,1,,1,,,-,1,,,-,,-,2,,18,,7,,6,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,,-,6,,7,,4,,,-,1,,,-,,-,9,,68,,26,,62,,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,19,,,-,42,,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,2,,,-,2,,,-,0,,,-,,-,,-,7,,,-,8,,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,2,,6,,7,,7,,,-,1,,,-,,-,,-,17,,,-,22,,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,5,,1,,4,,,-,1,,,-,1,,2,,32,,9,,20,,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,3,,,-,3,,,-,0,,,-,,-,,-,12,,,-,19,,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,1,,5,,8,,5,,,-,1,,,-,1,,1,,13,,9,,20,,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,3,,,-,3,,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
US RESIDENTS,2020,4,9,,32,,54,,70,,,-,2,,5,,4,,29,,309,,161,,452,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,1,,4,,1,,1,,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,1,,6,,3,,1,,,-,1,,,-,,-,3,,48,,14,,15,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,,-,1,,,-,1,,,-,1,,,-,1,,1,,23,,8,,69,,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,,-,10,,4,,3,,,-,2,,,-,,-,3,,25,,7,,20,,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,1,,6,,2,,1,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,8,,4,,4,,,-,0,,,-,,-,,-,20,,6,,27,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,2,,,-,2,,,-,0,,,-,,-,,-,2,,,-,2,,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
