the_geom,OBJECTID,SURVEY_MONUMENT_ID,MONUMENT_NAME,Y_COORDINATE,X_COORDINATE,ELEVATION,STREET,CROSS_STREET,GRID,SURVEY_MONUMENT_SOURCE
POINT (-97.761323938172 30.252844617394),268,2030233,H-21-4001,10065081.3,3108597.76,488.38,JEWELL STREET,SOUTH 7TH STREET,H-21,
POINT (-97.700671606634 30.283153313418),225,2030030,L-23-1001(CB31),10076549.13,3127481.99,534.02,MLK JR BLVD,PERSHING DRIVE,L-23,
POINT (-97.698180099313 30.289180260839),286,2030104,L-24-3001(RM08),10078759.07,3128216.27,590.29,MANOR ROAD,E. M. FRANKLIN AVE.,L-24,
POINT (-97.733136053197 30.258942664899),16,2030215,J-21-2002,10067505.38,3117443.54,466.21,WALLER STREET,WILLOW STREET,J-21,
POINT (-97.757022740902 30.264258853479),26,2030131,H-22-3002,10069262.85,3109859.32,454.28,S LAMAR BLVD,W RIVERSIDE DR,H-22,
POINT (-97.768981524908 30.383594004954),32,2030129,H-32-4003,10112564.93,3105084.52,625.12,N CAPITAL OF TEXAS HWY,SPICEWOOD SPRINGS RD,H-32,
POINT (-97.685788650719 30.433355259084),199,2030272,M-36-1001,10131271.79,3130878.33,796.37,HOWARD LANE,AVENUE I,M-36,
POINT (-97.721599598388 30.326196614956),137,2030159,K-27-4001,10092043.49,3120510.61,664.16,GUADALUPE STREET,SKYVIEW ROAD,K-27,
POINT (-97.784495004477 30.242150727067),154,2030181,G-20-4001,10061024.68,3101372.79,682.5,SOUTH LAMAR BLVD,WESTOAK DRIVE,G-20,
POINT (-97.737666518733 30.215326365677),20,2030067,J-18-3001,10051613.46,3116383.68,650.13,E BEN WHITE BLVD SVRD,TODD LN,J-18,
POINT (-97.758156515182 30.372322233566),187,2030136,H-31-1003,10108545.46,3108591.75,873.94,SPICEWOOD SPRINGS RD,MESA DR,H-31,
POINT (-97.759800538534 30.252176415378),144,2030165,H-21-3001,10064849.47,3109084.25,523.71,JEWELL STREET,SOUTH 5TH STREET,H-21,
POINT (-97.837707915813 30.404003481572),258,2030138,D-34-3001,10119492.92,3083253.38,1004.02,RIVER PLACE BLVD,,D-34,
POINT (-97.685651365435 30.300385680312),70,2051504,M-25-4006,10082927.05,3132072.45,566.8,MANOR ROAD,WESTMINSTER DRIVE,M-25,
POINT (-97.764589256455 30.295540422933),207,2030256,H-24-1001,10080581.36,3107208.51,598.47,INDIAN TRL,VISTA LN,H-24,
POINT (-97.742724118777 30.443952485127),110,2030232,J-37-1001,10034702.4,3112850.4,837.74,W PARMER LN,MCNEIL DR,J-37,
POINT (-97.694282244893 30.258265064128),11,2030208,L-21-2001(CB39),10067547.86,3129712.88,452.91,SHADY LANE,AIRPORT BLVD,L-21,
POINT (-97.683089701481 30.239321723349),157,2030141,M-20-4001,10060744.31,3133409.73,450.22,THOMPSON LN,FLIGHT LN,M-20,
POINT (-97.735104075648 30.259754667698),265,2030228,J-21-2001,10067786.1,3116815.47,466.47,WILLOW STREET,SAN MARCOS STREET,J-21,
POINT (-97.700910175934 30.189828108894),288,2030260,L-15-1002,10042615.35,3128209.83,536.23,McKINNEY FALLS PARKWAY,CHARLES GOODNIGHT TR.,L-15,
POINT (-97.76686564546 30.249337178696),74,2030083,H-20-1002,10063765.61,3106877.92,548.21,WEST MARY STREET,SOUTH LAMAR BLVD,H-20,
POINT (-97.708269085062 30.295397134772),67,2030207,L-24-1001(RM10),10080944.17,3124979.52,599.08,AIRPORT BLVD.,SCHIEFFER AVE.,L-24,
