Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2020†","Malaria, Cum 2020†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2020†","Measles§, Imported, Cum 2020†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Indigenous, Current week","Measles§, Indigenous, Current week, flag","Measles§, Indigenous, Previous 52 weeks Max†","Measles§, Indigenous, Previous 52 weeks Max†, flag","Measles§, Indigenous, Cum 2020†","Measles§, Indigenous, Cum 2020†, flag","Measles§, Indigenous, Cum 2019†","Measles§, Indigenous, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
MISSOURI,2020,4,,-,3,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,4,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
SOUTH ATLANTIC,2020,4,4,,21,,19,,26,,1,,1,,1,,0,,0,,8,,0,,3,,,SOUTH ATLANTIC,20200428,
FLORIDA,2020,4,,-,5,,,-,,-,1,,1,,1,,0,,0,,1,,0,,0,,FLORIDA,,20200431,POINT (-82.420978 28.260731)
GEORGIA,2020,4,,-,0,,,-,,-,,-,0,,0,,0,,,-,8,,0,,3,,GEORGIA,,20200432,POINT (-83.426574 32.638481)
MARYLAND,2020,4,3,,13,,12,,9,,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,7,,1,,6,,,-,,-,,-,,-,,-,,-,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,1,,6,,6,,6,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
WEST VIRGINIA,2020,4,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
KENTUCKY,2020,4,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,4,,-,0,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
TENNESSEE,2020,4,,-,2,,1,,3,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
ARKANSAS,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
LOUISIANA,2020,4,,-,2,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
ARIZONA,2020,4,,-,5,,2,,3,,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,4,,,-,2,,,-,1,,0,,1,,,-,0,,0,,0,,COLORADO,,20200450,POINT (-105.547832 38.998552)
IDAHO,2020,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
MONTANA,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
NEW MEXICO,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,2,,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
WYOMING,2020,4,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
CALIFORNIA,2020,4,,-,6,,,-,9,,,-,2,,0,,3,,0,,9,,0,,0,,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
HAWAII,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
TOTAL,2020,4,10,,60,,43,,87,,1,,8,,1,,6,,0,,86,,0,,81,,,TOTAL,20200470,
US RESIDENTS,2020,4,10,,60,,43,,87,,1,,8,,1,,6,,0,,86,,0,,81,,,US RESIDENTS,20200401,
NEW ENGLAND,2020,4,1,,7,,6,,5,,,-,1,,0,,0,,,-,2,,0,,2,,,NEW ENGLAND,20200402,
NEW HAMPSHIRE,2020,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,4,,-,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
NEW YORK,2020,4,1,,4,,1,,2,,,-,4,,0,,0,,,-,35,,0,,6,,NEW YORK,,20200411,POINT (-75.59655 42.921241)
ILLINOIS,2020,4,,-,6,,2,,3,,,-,1,,0,,0,,,-,2,,0,,1,,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,3,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200421,POINT (-93.500061 42.074659)
KANSAS,2020,4,,-,1,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
NEBRASKA,2020,4,1,,2,,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
DELAWARE,2020,4,,-,3,,,-,4,,,-,,-,,-,,-,,-,,-,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,-,3,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
EAST SOUTH CENTRAL,2020,4,,-,3,,1,,4,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
WEST SOUTH CENTRAL,2020,4,,-,9,,,-,2,,,-,1,,,-,,-,,-,5,,,-,,-,,WEST SOUTH CENTRAL,20200443,
TEXAS,2020,4,,-,9,,,-,1,,,-,1,,,-,,-,,-,5,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
NEVADA,2020,4,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
PACIFIC,2020,4,,-,8,,2,,15,,,-,3,,0,,4,,0,,18,,0,,39,,,PACIFIC,20200457,
ALASKA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
OREGON,2020,4,,-,1,,1,,1,,,-,2,,0,,0,,,-,5,,0,,2,,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,3,,1,,4,,,-,3,,0,,1,,,-,17,,0,,37,,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
TOTAL,2020,11,4,,70,,167,,246,,,-,8,,4,,21,,,-,86,,6,,314,,,TOTAL,20201170,
CONNECTICUT,2020,4,,-,2,,,-,,-,,-,0,,0,,0,,,-,2,,0,,2,,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
US RESIDENTS,2020,11,4,,70,,167,,246,,,-,8,,4,,21,,,-,86,,6,,314,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,1,,,-,1,,,-,0,,,-,1,,,-,0,,,-,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
PACIFIC,2020,11,,-,8,,7,,23,,,-,3,,1,,7,,,-,9,,5,,81,,,PACIFIC,20201157,
NEW YORK,2020,11,2,,4,,8,,6,,,-,4,,,-,3,,,-,35,,,-,38,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,11,,-,9,,6,,14,,,-,1,,,-,2,,,-,3,,,-,8,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,2,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,3,,5,,5,,,-,1,,,-,1,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,2,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,7,,6,,12,,,-,1,,,-,1,,,-,1,,,-,5,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,3,,2,,2,,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,9,,3,,13,,,-,1,,,-,2,,,-,3,,,-,8,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,1,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,3,,,-,6,,,-,0,,,-,,-,,-,1,,1,,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,-,3,,5,,6,,,-,3,,,-,1,,,-,4,,,-,71,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,7,,13,,13,,,-,1,,1,,1,,,-,1,,,-,2,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,1,,2,,2,,,-,2,,,-,,-,,-,5,,,-,8,,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,2,,4,,5,,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,1,,2,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,7,,6,,9,,,-,0,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,7,,7,,13,,,-,1,,,-,1,,,-,3,,,-,8,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,1,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,9,,25,,27,,,-,2,,,-,1,,,-,17,,,-,8,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,1,,3,,4,,,-,1,,,-,,-,,-,2,,,-,,-,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,2,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,1,,13,,30,,28,,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,5,,14,,11,,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,1,,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,1,,25,,56,,79,,,-,1,,2,,,-,,-,8,,1,,3,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,9,,7,,17,,,-,4,,,-,1,,,-,2,,,-,,-,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,2,,2,,3,,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,4,,2,,6,,,-,0,,,-,1,,,-,0,,,-,,-,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,2,,,-,,-,,-,0,,,-,1,,,-,0,,,-,1,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,3,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,6,,15,,17,,,-,1,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,,-,5,,6,,5,,,-,0,,,-,1,,,-,0,,,-,,-,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,,-,2,,,-,2,,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,4,,5,,2,,,-,1,,,-,,-,,-,17,,,-,3,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,,-,4,,1,,10,,,-,1,,1,,,-,,-,8,,,-,3,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,1,,13,,17,,27,,,-,2,,,-,2,,,-,66,,,-,164,,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,2,,3,,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,3,,,-,2,,,-,0,,,-,,-,,-,0,,,-,1,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,3,,22,,39,,63,,,-,5,,,-,7,,,-,70,,,-,210,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,-,6,,,-,13,,,-,2,,1,,6,,,-,9,,4,,2,,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,,-,5,,,-,4,,,-,1,,1,,,-,,-,1,,,-,,-,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,5,,5,,7,,,-,1,,,-,,-,,-,1,,,-,1,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,6,,12,,10,,,-,1,,1,,,-,,-,1,,,-,,-,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,,-,6,,11,,15,,,-,2,,,-,2,,,-,1,,,-,,-,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
TOTAL,2020,14,3,,70,,180,,299,,,-,8,,4,,32,,1,,81,,7,,558,,,TOTAL,20201470,
US RESIDENTS,2020,14,3,,70,,180,,298,,,-,8,,4,,32,,1,,81,,7,,558,,,US RESIDENTS,20201401,
SOUTH ATLANTIC,2020,18,,-,25,,60,,115,,,-,1,,2,,2,,,-,5,,2,,10,,,SOUTH ATLANTIC,20201828,
MAINE,2020,1,1,,3,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200104,POINT (-69.06137 45.117911)
NEW HAMPSHIRE,2020,1,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200106,POINT (-71.57139 43.680429)
RHODE ISLAND,2020,1,,-,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,RHODE ISLAND,,20200107,POINT (-71.534637 41.572574)
MIDDLE ATLANTIC,2020,1,2,,22,,2,,3,,,-,5,,,-,1,,,-,70,,,-,2,,,MIDDLE ATLANTIC,20200109,
NEW YORK,2020,1,,-,4,,,-,,-,,-,4,,,-,,-,,-,35,,,-,,-,NEW YORK,,20200111,POINT (-75.59655 42.921241)
NEW YORK CITY,2020,1,2,,13,,2,,1,,,-,4,,,-,1,,,-,2,,,-,,-,,NEW YORK CITY,20200112,
PENNSYLVANIA,2020,1,,-,9,,,-,,-,,-,2,,,-,,-,,-,66,,,-,2,,PENNSYLVANIA,,20200113,POINT (-77.838886 40.896694)
EAST NORTH CENTRAL,2020,1,3,,9,,3,,1,,,-,2,,,-,,-,,-,17,,,-,,-,,EAST NORTH CENTRAL,20200114,
INDIANA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200116,POINT (-86.2818 39.919991)
MICHIGAN,2020,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,17,,,-,,-,MICHIGAN,,20200117,POINT (-85.730977 44.874798)
OHIO,2020,1,3,,5,,3,,,-,,-,0,,,-,,-,,-,1,,,-,,-,OHIO,,20200118,POINT (-82.70936 40.415534)
WISCONSIN,2020,1,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,WISCONSIN,,20200119,POINT (-89.732969 44.639954)
WEST NORTH CENTRAL,2020,1,,-,5,,,-,1,,,-,1,,,-,,-,,-,1,,,-,,-,,WEST NORTH CENTRAL,20200120,
IOWA,2020,1,,-,3,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,IOWA,,20200121,POINT (-93.500061 42.074659)
MINNESOTA,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MINNESOTA,,20200123,POINT (-94.198308 46.349153)
MISSOURI,2020,1,,-,3,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MISSOURI,,20200124,POINT (-92.477244 38.3675)
NORTH DAKOTA,2020,1,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTH DAKOTA,,20200126,POINT (-100.46931 47.446305)
DELAWARE,2020,1,,-,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,DELAWARE,,20200129,POINT (-75.452394 38.994926)
FLORIDA,2020,1,,-,5,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,20200131,POINT (-82.420978 28.260731)
INDIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
MOUNTAIN,2020,4,,-,6,,2,,7,,,-,2,,0,,1,,,-,1,,0,,0,,,MOUNTAIN,20200448,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,US TERRITORIES,20200463,
NON-US RESIDENTS,2020,4,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,NON-US RESIDENTS,20200469,
MARYLAND,2020,1,3,,11,,3,,,-,,-,0,,,-,,-,,-,4,,,-,,-,MARYLAND,,20200133,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,1,,-,7,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTH CAROLINA,,20200134,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,1,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,SOUTH CAROLINA,,20200135,POINT (-80.864614 33.878572)
EAST SOUTH CENTRAL,2020,1,1,,3,,1,,1,,,-,1,,,-,,-,,-,2,,,-,,-,,EAST SOUTH CENTRAL,20200138,
KENTUCKY,2020,1,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,KENTUCKY,,20200140,POINT (-85.290484 37.526683)
MISSISSIPPI,2020,1,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MISSISSIPPI,,20200141,POINT (-89.65344 32.713378)
ARKANSAS,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,ARKANSAS,,20200144,POINT (-92.439162 34.899825)
LOUISIANA,2020,1,,-,2,,,-,1,,,-,,-,,-,,-,,-,,-,,-,,-,LOUISIANA,,20200145,POINT (-91.840238 30.921314)
OKLAHOMA,2020,1,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20200146,POINT (-97.508297 35.583449)
TEXAS,2020,1,,-,9,,,-,,-,,-,1,,,-,,-,,-,5,,,-,,-,TEXAS,,20200147,POINT (-99.317341 31.447238)
MOUNTAIN,2020,1,1,,6,,1,,,-,,-,2,,,-,,-,,-,1,,,-,,-,,MOUNTAIN,20200148,
ARIZONA,2020,1,1,,5,,1,,,-,,-,1,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200149,POINT (-111.664616 34.293239)
COLORADO,2020,1,,-,4,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,COLORADO,,20200150,POINT (-105.547832 38.998552)
IDAHO,2020,1,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,IDAHO,,20200151,POINT (-114.659366 44.389073)
MONTANA,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,MONTANA,,20200152,POINT (-109.645127 47.033521)
NEW MEXICO,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW MEXICO,,20200154,POINT (-106.108388 34.421369)
UTAH,2020,1,,-,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,UTAH,,20200155,POINT (-111.678222 39.323779)
PACIFIC,2020,1,1,,8,,1,,4,,,-,3,,,-,3,,,-,18,,,-,1,,,PACIFIC,20200157,
ALASKA,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,ALASKA,,20200158,POINT (-151.631889 63.631126)
HAWAII,2020,1,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,HAWAII,,20200160,POINT (-157.854309 21.361013)
OREGON,2020,1,,-,1,,,-,1,,,-,2,,,-,,-,,-,5,,,-,1,,OREGON,,20200161,POINT (-120.605279 43.940449)
WASHINGTON,2020,1,1,,3,,1,,,-,,-,3,,,-,1,,,-,17,,,-,,-,WASHINGTON,,20200162,POINT (-120.592492 47.411715)
US TERRITORIES,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,US TERRITORIES,20200163,
AMERICAN SAMOA,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,AMERICAN SAMOA,20200164,
NORTHERN MARIANA ISLANDS,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,NORTHERN MARIANA ISLANDS,,20200165,POINT (145.725693 15.1834)
GUAM,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,GUAM,,20200166,POINT (144.653198 13.3532)
PUERTO RICO,2020,1,,-,0,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,PUERTO RICO,,20200167,POINT (-66.414655 18.215692)
