Business Name,Zip Code,License Number,License Type,City
LEAKY ROOF MEADERY LLC,656224500,219829,22MS,BUFFALO
LEONARD KREUSCH INC.,076472406,85819,LS,NORTHVALE
LEONARD WINE COMPANY LLC,945584732,234957,22S,NAPA
LEONARDINI FAMILY WINERY LLC,945749775,210624,22S,ST. HELENA
LEONETTI CELLAR LLC,993629052,226937,22S,WALLA WALLA
LES BOURGEOIS VINEYARDS INC.,65279,266723,LMS,ROCHEPORT
LES LUNES WINE LLC,945632331,249499,22S,ORINDA
LEVECKE CORPORATION,917523235,111624,LS,MIRA LOMA
"LEWIS, KENNETH W.",636708754,199577,DOMW,STE. GENEVIEVE
LF WINES LLC,954927706,248869,22S,WINDSOR
LIBERTY CAP BREWING COMPANY,645012332,253992,22MS,ST. JOSEPH
LIDESTRI BEVERAGES LLC,146064250,261245,LS,ROCHESTER
LIFTED SPIRITS DISTILLATION LLC,64108,268816,LMS,KANSAS CITY
LILE WINE LLC,641113667,220514,LS,KANSAS CITY
LIMERICK LANE CELLARS INC.,954489537,247766,22S,HEALDSBURG
LINCOLN SQUARE WINE COMPANY LLC,934465910,243510,22S,PASO ROBLES
LINDWEDEL WINE GARDEN LLC,656166136,190656,22MS,BRANSON
LINGUA FRANCA LLC,973049714,267487,22S,SALEM
LION NATHAN USA INC.,662102151,196759,22S,OVERLAND PARK
LLAURADOR WINES LLC,949301678,247846,22S,FAIRFAX
LO DUCA BROTHERS INC.,531517954,124802,22S,NEW BERLIN
LO-FI WINES LLC,934279580,268004,22S,BUELLTON
LOEST AND MCNAMEE INC.,191394526,162345,22S,PHILADELPHIA
LOGBOAT BREWING COMPANY LLC,652014782,220648,MICB,COLUMBIA
"LOHR DISTRIBUTING COMPANY, INC.",631043511,194578,LS,ST. LOUIS
LONG ISLAND SPIRITS INC.,11933,248154,LS,BAITING HOLLOW
LONG MEADOW RANCH WINERY INC.,945749807,234639,22S,ST. HELENA
"LONG, KRISTY I. & KEVIN LEE",653503622,215471,22MS,SMITHTON
LOOSEN BROS. USA LTD.,970458496,155765,22S,OREGON CITY
"LORBERT IMPORTS, LLC",631321307,265137,LS,ST. LOUIS
LOST CREEK VINEYARD LLC,633573534,198426,DOMW,MARTHASVILLE
LOST SIGNAL BREWING COMPANY LLC,658061240,242220,MICB,SPRINGFIELD
LOUIS GLUNZ BEER INC.,607122740,200366,LS,LINCOLNWOOD
LOUIS P. BALDUCCI VINEYARDS LLC,633321617,122401,DOMW,AUGUSTA
LOWDEN SCHOOLHOUSE CORPORATION,993600111,183251,22S,LOWDEN
"LUDWIG, GREGORY LYNN",637557161,237573,22MS,JACKSON
"LUETJEN, RODGER D. & THEILA J.",653251211,134145,DOMW,COLE CAMP
LUNA VINEYARDS INC.,945582016,268005,22S,NAPA
LUNEAU USA INC.,068805959,146158,LS,WESTPORT
LUXCO INC.,441111501,202980,LS,CLEVELAND
"LUXCO, INC.",631391106,13803,LMS,ST LOUIS
LUXE VINTAGES LLC,334840000,228192,LS,DELRAY BEACH
"LYRA, LLC",940806524,269926,LS,SOUTH SAN FRANCISCO
L18 WINES LLC,945586202,260246,22S,NAPA
M.S. WALKER INC.,021360000,193090,LS,BOSTON
MACH FLYNT INC.,945039604,228164,LS,AMERICAN CANYON
"MACK & SCHUHLE, INC",331491556,268006,LS,KEY BISCAYNE
MAD SCIENTISTS BREWING PARTNERS LLC,112311529,265152,22S,BROOKLYN
MAGNUM SOURCE LLC,641113667,165123,22S,KANSAS CITY
MAIN & MILL BARRELWORKS LLC,630281903,267170,22MS,FESTUS
MAIN AND MILL BREWING COMPANY LLC,630281907,242860,22MS,FESTUS
MAINE BEER COMPANY LLC,040327009,257328,22S,FREEPORT
MAISONS MARQUES & DOMAINES USA INC.,946074104,75623,22S,OAKLAND
MAJOR BRANDS INC.,631432623,178675,LS,ST. LOUIS
MALDONADO WINES LLC,945159728,216957,22S,CALISTOGA
MALLINSON MANOR INC.,640501102,214536,DOMW,SUGAR CREEK
MANCAN WINE LLC,945035106,260625,22S,AMERICAN CANYON
MANGO BOTTLING INC.,329225208,96998,LS,COCOA
"MANOS, INC.",641081714,224975,22MS,KANSAS CITY
MARGERUM WINE COMPANY INC.,934279565,212637,22S,BUELLTON
MARIETTA CELLARS INC.,954419702,202265,22S,GEYSERVILLE
MARK ANTHONY BRANDS INC.,606615644,209209,22S,CHICAGO
MARK HEROLD WINES LLC,945031298,255843,22S,AMERICAN CANYON
MARKET VINEYARDS LLC,993527754,195243,22S,RICHLAND
MARQUEE SELECTIONS LLC,641113667,180209,22S,KANSAS CITY
MARTIAN RANCH & VINEYARD,934400000,248284,22S,LOS ALAMOS
MARTIN BROTHERS VINEYARD & WINERY LLC,650410000,247334,22MS,HERMANN
MARTIN RAY WINERY INC.,954013705,127358,22S,SANTA ROSA
MARY MICHELLE WINERY & VINEYARD LLC,620161175,148361,22S,CARROLLTON
"MASCOT WINE LLC, THE",945620000,249839,22S,OAKVILLE
"MASON, CARL E.",637716241,213735,DOMW,ORAN
MASSACHUSETTS BEVERAGE ALLIANCE LLC,020193106,251391,22S,BELLINGHAM
MASSANOIS LLC,10016,224079,22S,NEW YORK
MASSICAN LLC,945151310,253282,22S,CALISTOGA
"MAST-JAEGERMEISTER US, INC.",10606,233931,LS,WHITE PLAINS
MASTERMIND VODKA INC.,620406408,203589,LS,PONTOON BEACH
MATHANY FAMILY VINEYARDS LLC,65017,267245,DOMW,BRUMLEY
MATTHIASSON FAMILY VINEYARDS,945586214,246604,22S,NAPA
MAURITSON FAMILY WINERY,954488230,197327,22S,HEALDSBURG
MAWNAN LANE INC.,945586216,258810,22S,NAPA
MAYACAMAS VINEYARDS,945589566,251113,22S,NAPA
MAYSARA WINERY LLC,97128,269541,22S,MCMINNVILLE
MB ROLAND DISTILLERY INC.,422669437,206377,LS,PEMBROKE
MCBCO BREWERY LLC,641451672,219856,MICB,KANSAS CITY
MCBRIDE SISTERS COLLECTIONS INC.,934017938,264165,22S,SAN LUIS OBISPO
MCCLEAN LLC,934224811,269328,22S,ATASCADERO
MCCORMICK DISTILLING CO INC.,64098,260347,LMS,WESTON
MCCORMICK DISTILLING CO INC.,64098,267042,LMS,WESTON
"MCCORMICK WINE IMPORTS, LLC",631193765,242081,22S,WEBSTER GROVES
MCCRACKEN ANCESTRAL SPIRITS DISTILLERY,65649,263050,LMS,FAIR PLAY
MCINTOSH AGRICULTURAL CONSORTIUM LLC,651019481,258724,LS,JEFFERSON CITY
MEAN MULE DISTILLING CO LLC,641081401,251134,LMS,KANSAS CITY
MEIER'S WINE CELLARS INC.,452363733,257127,LS,SILVERTON
MELVIN BREWING COMPANY LLC,831280000,256955,22S,ALPINE
MELVIN BREWING EUREKA LLC,63025,261939,MICB,EUREKA
MENDOCINO WINE GROUP LLC,954823015,148425,22S,UKIAH
MERAMEC VINEYARDS WINERY LLC,65559,255777,LMS,ST. JAMES
MERCENARY BREWERY & DISTILLERY LLC,606471930,258799,22S,CHICAGO
MERCER WINE ESTATES LLC,993506572,214444,22S,PROSSER
MERCHANT DU VIN CORPORATION,981043471,99681,22S,SEATTLE
MESA VINEYARDS L.P.,797350130,153061,22S,FORT STOCKTON
METRO PARK WAREHOUSES INC.,641164331,244580,LS,NORTH KANSAS CITY
"METRO WINE DISTRIBUTION CO., INC.",108013412,249151,22S,NEW ROCHELLE
METTLER WINES LLC,952409331,238204,22S,LODI
MEV CORPORATION,950709729,141962,22S,SARATOGA
MEXCOR INC.,770784516,189465,LS,HOUSTON
MEYER CELLARS LLC,954940294,183570,22S,YORKVILLE
MEYER FARMS INC.,657126319,219242,22MS,MOUNT VERNON
MHW LTD.,110303022,254113,LS,MANHASSET
MI SUENO WINERY INC.,945586209,210439,22S,NAPA
MIAMI CREEK FARM LLC,647429733,250930,22MS,DREXEL
MICHAEL SKURNIK WINES INC.,117532710,258245,LS,JERICHO
MID-OAK DISTILLERY INC.,604691547,254811,22S,POSEN
MILBRANDT FAMILY WINES LLC,993506733,239313,22S,PROSSER
"MILLER FAMILY WINE COMPANY, LLC",934551537,213184,22S,SANTA MARIA
MILLER SQUARED INC.,600896937,168540,22S,BUFFALO GROVE
MILLERCOORS LLC,532082816,251753,22S,MILWAUKEE
MILLIE B.JONES IRREVOCABLE TRUST J.JONES,993490000,227065,22S,MATTAWA
"MILTON'S DISTRIBUTING CO., INC.",020481805,185679,22S,MANSFIELD
MINGLEWOOD BREWERY LLC,637017326,224874,MICB,CAPE GIRARDEAU
MISA IMPORTS INC.,752356222,185221,LS,DALLAS
MISSISSIPPI RIVER DISTILLING COMPANY,527539220,199918,LS,LECLAIRE
MISSOURI BEER COMPANY LLC,633661926,247836,22MS,O'FALLON
MISSOURI RIDGE DISTILLERY LLC,656160000,238879,LMS,BRANSON
MISSOURI SPIRITS HOUSE LLC,65806,269807,LMS,SPRINGFIELD
MISSOURI STATE UNIVERSITY-MOUNTAIN GROVE,657112999,134902,LMS,MOUNTAIN GROVE
MISTARR WINE IMPORTERS,945102930,249150,22S,BENICIA
MKNZ LLC,63088,251851,MICB,VALLEY PARK
"MODERN BREWERY INC., THE",631100000,233795,22MS,ST. LOUIS COUNTY
MODERN SPIRITS LLC,900211733,189825,LS,LOS ANGELES
MODERN TIMES DRINKS INC.,921104441,262742,22S,SAN DIEGO
"MOET HENNESSY USA, INC.",100114725,147056,LS,NEW YORK
MONSIEUR TOUTON SELECTION LTD.,100016206,205653,LS,MANHATTAN
MONTAGU WINES LLC,945581019,262636,22S,NAPA
MONTCALM WINE IMPORTERS LTD.,100070010,223245,22S,NEW YORK
MOON CITY BEVERAGE COMPANY LLC,658107510,256720,LS,SPRINGFIELD
MOONSHINERS DISTILLERY LLC,647237460,261569,LMS,AMSTERDAM
MORE THAN GRAPES LLC,600622505,247433,22S,NORTHBROOK
MORGAN IMPORTS LLC,605151461,261246,LS,DOWNERS GROVE
MORGAN STREET BREWERY AND TAVERN INC.,631022518,89485,MICB,ST LOUIS
MORGAN WINERY INC.,939014355,91114,22S,SALINAS
"MORLET SELECTION, INC., THE",945749655,178724,22S,ST HELENA
MORTENSEN NAATZ ENTERPRISES LLC,640989282,202145,DOMW,WESTON
MORTENSEN NAATZ ENTERPRISES LLC,644840000,241815,22MS,RUSHVILLE
MOTHERS BREWING CO LLC,658062001,194145,22MS,SPRINGFIELD
MOUNTAIN CREST SRL LLC,535662055,190266,22S,MONROE
MOUNTAIN PEAK VINEYARDS LLC,645599744,236575,22S,NAPA
MOUNTAIN VALLEY VINEYARDS INC.,954398819,228052,22S,FULTON
MOUNTAIN VIEW VINTNERS LLC,950373201,231323,22S,MORGAN HILL
MPL BRANDS NV INC,891090430,267849,LS,LAS VEGAS
MPW INC.,633321652,150341,22MS,AUGUSTA
MTBC LLC,634013324,223794,MICB,HANNIBAL
MULE 2.0 LLC,558022446,243153,22S,DULUTH
MULTI-V LLC,629027809,239175,LS,CARBONDALE
"MUTUAL TRADING CO., INC.",900132114,245774,LS,LOS ANGELES
"MYRTLE'S DISTILLED SPIRITS, LLC",648502008,260670,LMS,NEOSHO
NAKED SPIRITS LLC,63144,261000,LS,ST. LOUIS
NAKED SPIRITS LLC,63144,267005,LMS,ST. LOUIS
NAPA WINE COMPANY LLC,945620434,205375,22S,OAKVILLE
NAPA WINERY GROUP LLC,945581324,263835,22S,NAPA
"NATIVE SON BREWERY, LLC",652014898,192474,MICB,COLUMBIA
NATURAL MERCHANTS INC.,975264240,220862,22S,GRANTS PASS
NATURAL SELECTIONS 357 LLC,949541200,258848,22S,PETALUMA
NATURAL SPIRITS USA LLC,770741126,264429,LS,HOUSTON
NAVARRO VINEYARDS LLC,954669609,226237,22S,PHILO
"NAYLOR CREEK VINEYARD, INC.",641532212,198777,DOMW,KANSAS CITY
NBI ACQUISTION LLC,947092025,210180,22S,BERKELEY
NEBRASKA BREWING CO. INC.,681285701,258774,22S,LA VISTA
NEGOCIANTS U.S.A. INC.,945586418,43590,22S,NAPA
NEW AXIOM LLC,640642977,260672,22MS,LEE'S SUMMIT
"NEW BELGIUM BREWING COMPANY, INC",805242457,269581,22S,FORT COLLINS
NEW HOLLAND BREWING COMPANY LLC,494242913,191329,LS,HOLLAND
NEW MEXICO WINERIES INC.,880309033,194449,22S,DEMING
NEW PARROTT & COMPANY,945509149,102340,22S,LIVERMORE
NEW VAVIN INC.,945749657,203590,22S,ST. HELENA
NEXTERRA WINE COMPANY LLC,605171123,265758,22S,WOODRIDGE
NEXUS BRANDS LLC,802212910,242782,22S,DENVER
NICHE IMPORT CO.,079272009,228393,LS,CEDAR KNOLLS
NICHOLSON JONES SELECTIONS LLC,945583847,237203,LS,NAPA
NIEBAUM-COPPOLA ESTATE WINERY LP,945730000,168434,22S,RUTHERFORD
NIMBLE BREWING LLC,64108,268607,22MS,KANSAS CITY
NLV TEQUILA BOTTLING LLC,890307850,250232,LS,N. LAS VEGAS
NOBLETONS LLC,63013,256650,LMS,BEAUFORT
NOBOLEIS VINEYARDS LLC,633321333,181549,22MS,AUGUSTA
NORTH COAST BREWING COMPANY INC.,954373215,115906,22S,FORT BRAGG
NORTH SHORE DISTILLERY LLC,600489724,187907,LS,GREEN OAKS
NORTHERN EMPIRE LLC,945581100,201192,22S,NAPA
NORTHLAND WINE EXPERIENCES LLC,640981206,266077,22MS,WESTON
NORTHWEST NATURAL SPIRITS LLC,97209,269542,LS,PORTLAND
NOUVEAU VENTURES LLC,537134806,268511,LS,MONONA
NOVA WINES INC.,945749539,103063,22S,ST. HELENA
"NOW WINE IMPORTS, INC.",070393606,268092,22S,LIVINGSTON
NUCCIO & WISE GENERAL PARTNERSHIP,945349608,265259,22S,FAIRFIELD
"NUDE BEVERAGES, INC.",803016113,269816,5S,BOULDER
NUMBSKUL BEVERAGE COMPANY LLC,600603826,236070,22S,MUNDELEIN
NW WINE COMPANY LLC,971159028,218055,22S,DUNDEE
O'MALLEY'S OF WESTON LLC,640981242,155120,22MS,WESTON
"O'MALLEY'S OF WESTON, LLC",640981249,203650,22MS,WESTON
"O'NEILL BEVERAGES CO., LLC",936489708,190265,LS,PARLIER
OAK RIDGE WINERY LLC,952400804,155162,22S,LODI
OAKGLENN WINERY LLC,650410096,201397,22MS,HERMANN
OCTOPI BREWING LLC,535978947,244290,22S,WAUNAKEE
ODELL BREWING COMPANY INC.,805242507,163274,22S,FT. COLLINS
ODESSA COUNTRY WINERY LLC,640765412,160448,DOMW,ODESSA
ODISEA WINE COMPANY LLC,945587574,184344,22S,NAPA
OF THE EARTH FARM DISTILLERY LLC,64085,210590,LMS,RICHMOND
"OLD BAKERY BEER COMPANY, THE",620022405,233615,22S,ALTON
OLD BRIDGE CELLARS,945592424,167584,22S,NAPA
OLD DOMINICK DISTILLERY LLC,381034111,258948,LS,MEMPHIS
OLD ELK DISTILLERIES LLC,805244727,256677,LS,FORT COLLINS
OLD FARM WINERY LLC,631051917,244978,22MS,CATAWISSA
OLD OZARKIAN DISTILLERY LLC,63084,262811,LMS,UNION
OLDE WORLD IMPORTS INC.,071054402,185963,LS,NEWARK
OLE IMPORTS LLC,108016560,198981,22S,NEW ROCHELLE
OLE SMOKY DISTILLERY LLC,377383183,219048,LS,GATLINBURG
OLEA ESTATES LLC,630432417,267520,22S,MARYLAND HEIGHTS
"OLIVER WINE CO., INC.",474042400,157490,22S,BLOOMINGTON
ONE TRUE VINE LLC,945749667,176902,22S,ST. HELENA
ONX WINERY INC.,934465989,254629,22S,PASO ROBLES
OPICI IMPORT COMPANY,074523301,136435,LS,GLEN ROCK
OPOLO WINES LP,934463033,260916,LS,PASO ROBLES
ORCHARD GATE,982819315,256774,22S,POINT ROBERTS
OREGON BREWING COMPANY INC.,973655261,162583,LS,NEWPORT
OREGON WINE SERVICES AND STORAGE LLC,631463560,249619,22S,MARYLAND HEIGHTS
ORIGINATION BREWING COMPANY LLC,64015,261289,MICB,BLUE SPRINGS
ORVINO IMPORTS & DISTRIBUTING INC.,330653164,246156,22S,CORAL SPRINGS
OSAGE ORANGE VINEYARD & WINERY LLC,635443517,247284,22MS,GREEN CASTLE
OTT ENTERPRISES LLC,631432116,195418,LS,MAPLEWOOD
"OVUM WINES, LLC",971327376,268744,22S,NEWBERG
OZARK DISTILLERY LLC,650654815,212764,LMS,OSAGE BEACH
OZARK MOUNTAIN DISTILLING LLC,657348708,240323,LMS,PURDY
OZARK MOUNTAIN WINERY LLC,656336301,211115,DOMW,CRANE
OZARKS BREWING COMPANY LLC,657756140,246442,MICB,WEST PLAINS
PABST BREWING COMPANY LLC,532331405,253046,LS,MILWAUKEE
PACIFIC EDGE MARKETING GROUP,913016308,163273,LS,AGOURA HILLS
PAHLMEYER LLC,945159799,192482,22S,CALISTOGA
PAL-MAC LLC,64024,253451,MICB,EXCELSIOR SPRINGS
PALI WINE COMPANY LP,93436,269543,22S,LOMPOC
PALISADES WINE COMPANY LLC,945159728,233934,22S,CALISTOGA
PALM BAY INTERNATIONAL INC.,334314919,215613,LS,BOCA RATON
"PALMATEER CONSULTING, LLC",949600000,269609,22S,SAN ANSELMO
PAMPA BEVERAGES LLC,331313138,225529,LS,MIAMI
PAMPELONNE LLC,953574102,261393,22S,MODESTO
PANTHER CREEK CELLARS LLC,971155003,246399,22S,DUNDEE
PAPINEAU LLC,993621921,249153,22S,WALLA WALLA
PARADISE DISTRIBUTION COMPANY LLC,801070000,248156,LS,ELIZABETH
"PARAGON VINEYARD CO., INC.",934018335,160836,LS,SAN LUIS OBISPO
PARK STREET IMPORTS LLC,331313004,193331,LS,MIAMI
PARK WINE COMPANY INC.,940254713,262637,22S,MENLO PARK
PATERNO IMPORTS LTD.,600441926,131098,LS,LAKE BLUFF
PATRON SPIRITS CO.,891183910,258776,LS,LAS VEGAS
"PATTON, DENNIS R., & SILVERSTEIN, ANDREA",954013728,244699,22S,SANTA ROSA
PAUL HOBBS IMPORTS INC.,954722327,146939,22S,SEBASTOPOL
PAUL J. WRABEC CO. INC.,640541544,255258,DOMW,SUGAR CREEK
PAULANER USA LLC,106043432,241871,22S,WHITE PLAINS
PAX MAHLE WINES LLC,654729424,257788,22S,SEBASTOPOL
PCJ INC.,945741704,267685,22S,ST. HELENA
PEACEFUL BEND VINEYARD LLC,655655067,253151,22MS,STEELVILLE
PEACHY CANYON WINERY,934468753,205656,22S,PASO ROBLES
"PECULIAR WINERY LLC, THE",64078,269666,22MS,PECULIAR
PEIRANO ESTATE WINERY INC.,954449373,266024,22S,GRATON
"PEJU FAMILY OPERATING PARTNERSHIP, LP",945730478,250795,22S,RUTHERFORD
PERENNIAL PARTNERS LLC,631113535,199015,22MS,ST. LOUIS
PERNOD RICARD USA LLC,10601,133289,LS,WHITE PLAINS
PERSIMMON RIDGE VINEYARD LLC,630121792,195656,DOMW,BARNHART
PETIT HAMEAU LLC,945591998,247773,22S,NAPA
PETRICHOR BREWING LLC,63368,263957,MICB,O'FALLON
PHANTOM V DISTILLING COMPANY LLC,64093,254616,LMS,WARRENSBURG
PHILLIPS FARMS LLC,952429529,165457,22S,LODI
PHUSION PROJECTS LLC,546014471,229273,LS,LA CROSSE
"PICNIC WINE COMPANY, LLC",945594422,259489,22S,NAPA
"PINE MOUNTAIN VINEYARDS, LLC",954258507,260070,22S,CLOVERDALE
PINE RIDGE WINERY LLC,945589417,66330,22S,NAPA
PINEY RIVER BREWING CO LLC,654449002,194954,MICB,BUCYRUS
PINK DUCK CORPORATION,662212290,242352,LS,OVERLAND PARK
PINNACLE IMPORTS LLC,631146124,109462,22S,OVERLAND
PIPEWORKS PRODUCTIONS LLC,606475972,262633,22S,CHICAGO
PIRTLE WINERY LLC,640981230,207348,22MS,WESTON
PL BRANDS INC.,600741156,211621,LS,PALATINE
PLATA WINE PARTNERS LLC,945587565,221788,22S,NAPA
PLUME RIDGE IRREVOCABLE TRUST,917115766,186977,22S,CLAREMONT
POG BREWING COMPANY,64734,264201,MICB,CLEVELAND
POPCORN DESIGN LLC,954483613,168838,LS,HEALDSBURG
PORT WASHINGTON IMPORTS LLC,110504653,239174,22S,PORT WASHINGTON
POST WINERY INC.,728219001,120785,22S,ALTUS
POWERPLAY BEVERAGE LLC,630492684,253933,LS,HIGH RIDGE
"PRAIRIE WOLF SPIRITS, INC.",730443243,267942,LS,GUTHRIE
PRECEPT BRANDS LLC,981023662,139533,LS,SEATTLE
"PREHISTORIC BREWING COMPANY, LLC",65804,269641,22MS,SPRINGFIELD
PREMIUM PORT WINES INC.,941034842,81506,22S,SAN FRANCISCO
PRESQUILE WINERY,934555811,257327,22S,SANTA MARIA
PRESTIGE IMPORTS LLC,480432255,259789,LS,MT. CLEMENS
PRESTIGE WINE IMPORTS CORPORATION,100118945,80909,22S,NEW YORK
PRICHARD'S DISTILLERY INC.,373480000,238641,LS,KELSO
PRISON BREWS LLC,651014002,172481,MICB,JEFFERSON CITY
PROST BREWING COMPANY,802113910,269730,22S,DENVER
PROXIMO SPIRITS INC.,073023066,171204,LS,JERSEY CITY
PRP ENTERPRISES LLC,46368,269544,LS,PORTAGE
"PUBLIC HOUSE BREWING COMPANY LLC, THE",655591158,226475,22MS,ST. JAMES
"PUBLIC HOUSE BREWING COMPANY, LLC, THE",654013111,226448,22MS,ROLLA
PUENTE-INTERNACIONAL INC.,954766357,256779,LS,SONOMA
PURE HOLDINGS LLC,631144501,267222,LS,ST. LOUIS
"PURPLE WINE COMPANY, LLC",954449373,131144,22S,GRATON
QUADY SOUTH WINERY LLC,936379087,231918,22S,MADERA
"QUANTUM WINES, LLC",934279492,260856,22S,BUELLTON
QUEST BEVERAGES LLC,631292525,260948,22S,ST. LOUIS
QUINTESSENTIAL LLC,945590000,241791,LS,NAPA
"R.F. BEVERAGE, LLC",601261601,268912,LS,ELMHURST
R.H. KEENAN COMPANY,945749677,107437,22S,ST. HELENA
"R.S. LIPMAN COMPANY, LLC",372281403,269554,LS,NASHVILLE
RACINE WINE CO.,971488422,232442,22S,YAMHILL
RAGE RECORDS INC.,124461534,251689,22S,KERHONKSON
RAHR & SONS BREWING LP,761043355,239548,22S,FORT WORTH
"RAMEY WINE CELLARS, INC.",954484410,144427,22S,HEALDSBURG
RANSOM SPIRITS LLC,973789725,231617,LS,SHERIDAN
"RARE BARREL LLC, THE",947102523,263459,22S,BERKELEY
RASA VINEYARDS LLC,993627760,234800,22S,WALLA WALLA
RB WINE ASSOCIATES LLC,954480000,205652,22S,HEALDSBURG
RBZ VINEYARDS LLC,934460000,203855,22S,PASO ROBLES
RED BARN FOOD & WINE LLC,641021032,162981,22MS,KANSAS CITY
RED BARN FOOD & WINE LLC,641021032,176420,22MS,KANSAS CITY
RED FOX WINERY & VINEYARDS LLC,647888149,216308,22MS,URICH
RED MOOSE VINEYARD LLC,655605431,218522,22MS,SALEM
REDEMPTION SPIRITS LLC,194051066,200115,LS,BRIDGEPORT
REED ROGER V. & REED DARLENE A.,640687939,237766,DOMW,LIBERTY
REEVE WINES LLC,954769295,238639,22S,SONOMA
REGAL BRAU BREWING COMPANY LLC,535662055,216817,22S,MONROE
REGAL WINE IMPORTS INC.,080574240,193042,22S,MOORESTOWN
REMY COINTREAU USA,101040051,15355,LS,NEW YORK
RENTERIA WINES LLC,945589220,193735,22S,NAPA
RESTLESS SPIRITS DISTILLING COMPANY LLC,641160000,234009,LMS,NORTH KANSAS CITY
REUSTLE VINEYARDS & WINERY LLC,974719679,258311,22S,ROSEBURG
REVELRY VINTNERS LLC,993627002,200785,22S,WALLA WALLA
"REVOLVER BREWING, LLC",760495347,260249,22S,GRANBURY
RHINELANDER BREWING COMPANY LLC,535662055,196762,22S,MONROE
RHYS VINEYARDS LLC,950339588,250206,22S,LOS GATOS
RIDGE VINEYARDS INC.,950145435,62647,22S,CUPERTINO
RIGHTEOUS ROAD LLC,631242307,260390,LS,ST. LOUIS
RIVER BOTTOMS BREWING COMPANY LLC,646331203,243936,MICB,CARROLLTON
RIVER RIDGE WINERY LLC,63780,244115,DOMW,SCOTT CITY
RIVERBENCH LLC,934549656,269855,22S,SANTA MARIA
RO SALES AND DISTRIBUTION SERVICES INC.,954769779,202846,22S,SONOMA
"ROBERT FOLEY, LLC",945089774,193478,22S,ANGWIN
ROBERT MONDAVI INVESTMENTS & B PR R,945620000,126026,22S,OAKVILLE
ROBLLER VINEYARD INC.,630682102,209878,DOMW,NEW HAVEN
ROCHE MERE WINE SELECTIONS LLC,672064408,243064,22S,WICHITA
ROCHESTER BREWING AND ROASTING CO. LLC,641082130,260513,22MS,KANSAS CITY
ROCK TOWN DISTILLERY INC.,722022712,243154,LS,LITTLE ROCK
ROCKIN'A DISTILLERY LLC,64739,245141,LMS,CREIGHTON
ROCKING C DISTILLERY LLC,646730000,232220,LMS,PRINCETON
ROCKWELL BEER COMPANY LLC,631102325,258422,22MS,ST. LOUIS
ROCKY TOP ENTERPRISES LLC,650414045,252167,LMS,HERMANN
ROCOCO WINES LLC,934468628,259627,22S,PASO ROBLES
RODINIA LLC,601621457,196170,22S,HILLSIDE
ROESSLER WINE CELLAR LLC,954762817,202017,22S,SONOMA
ROOTED SELECTIONS LLC,730133249,259650,22S,EDMOND
ROOTS RUN DEEP LLC,945587583,177761,22S,NAPA
ROSE IMPORTING & DISTRIBUTING LLC,604182205,110837,22S,CRESTWOOD
ROTTEN REGGIE DISTILLERY LLC,657930000,250331,LMS,WILLOW SPRINGS
ROUND HILL CELLARS,945749542,36276,22S,ST HELENA
ROUND TOWN BREWERY LLC,462211373,257329,22S,INDIANAPOLIS
ROYAL WINE CORPORATION,070025024,33057,LS,BAYONNE
ROYALTY IMPORTERS LLC,63105,245419,LS,ST. LOUIS
RTV WINERY LLC,934549179,232653,22S,SANTA MARIA
RUBIN WINES LLC,954722158,208527,22S,SEBASTOPOL
RUDYANDDON LLC,64108,263661,MICB,KANSAS CITY
"RUSSELL HOUSE LLC, THE",630503587,252085,MICB,HILLSBORO
RUSSIAN STANDARD VODKA (USA) INC.,100162901,220077,LS,NEW YORK
S & H INDEPENDENT PREMIUM BRANDS EAST,802021075,249740,22S,DENVER
S L J GROUP INC.,60045,62619,22S,LAKE FOREST
S L J GROUP INC.,431379676,265384,22S,LOCKBOURNE
SAGAMORE WHISKEY LLC,212305012,267430,LS,BALTIMORE
SAINT FOX LLC,656048998,249841,DOMW,ASH GROVE
SAINTE GENEVIEVE WINERY LLC,636708264,189673,22MS,STE. GENEVIEVE
SAINTE GENEVIEVE WINERY LLC,636701609,189676,DOMW,STE. GENEVIEVE
SALOON SPIRITS LLC,402996339,242353,LS,LOUISVILLE
SAMANDIA WINE IMPORTS LLC,801285455,255746,22S,LITTLETON
SAMUEL BERTON DISTILLING LLC,630551223,258401,LMS,LABADIE
SAN ANTONIO WINERY INC.,900312514,118410,22S,LOS ANGELES
SAN JOAQUIN WINE COMPANY INC.,936378608,235535,22S,MADERA
SAND CREEK VINEYARD AND WINERY LLC,636407345,216242,DOMW,FARMINGTON
SANGLIER SELECTIONS LLC,603023135,221526,LS,OAK PARK
SANS LIEGE INC.,934492532,219504,22S,PISMO BEACH
SANS WINE & SPIRITS COMPANY,927825104,200620,LS,TUSTIN
SANTA CROCE LLC,945741905,183252,22S,ST. HELENA
SANTA CROCE LLC,945921025,252774,LS,VALLEJO
SANTA FE BREWING COMPANY,875084493,210614,22S,SANTA FE
SANTA MARGHERITA USA INC.,331391400,226947,LS,MIAMI BEACH
SAPPORO U.S.A. INC.,105915413,197735,22S,TERRYTOWN
SARMENTO'S IMPORTS & EXPORTS INC.,027204724,227512,LS,FALL RIVER
SAUGATUCK BREWING COMPANY INC.,494065195,236137,22S,DOUGLAS
"SAVAGE GRACE WINES, LLC",986510000,268513,22S,UNDERWOOD
SAXONY HILLS BREWERY LLC,637326113,251583,22MS,ALTENBURG
