ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
HOME DELIVERED MEAL SERVICE CONTRACTS,15Y01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC,3450 BOSTON ROAD,BRONX,NY,10469,BRONX,718 231-7246,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.876304,-73.848594,212,12,364,2060739,2047370105,Eastchester-Edenwald-Baychester,"(40.876304, -73.848594)"
HOME DELIVERED MEAL SERVICE CONTRACTS,29E01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1201 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239,BROOKLYN,718 769 7455,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.651173,-73.885082,305,42,105801,3336175,3044350001,Starrett City,"(40.651173, -73.885082)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46J01,SNAP HOME DELIVERED MEALS,SERVICES NOW FOR ADULT PERSONS INC,80-45 WINCHESTER BOULEVARD,JAMAICA,NY,11427,QUEENS,718-454-2385,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.737685,-73.734021,413,23,1567,4537294,4078800400,Bellerose,"(40.737685, -73.734021)"
HOME DELIVERED MEAL SERVICE CONTRACTS,29R01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,319 STANHOPE STREET,BROOKLYN,NY,11237,BROOKLYN,718-782-6334,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.70285,-73.918336,304,37,443,3074237,3032590023,Bushwick North,"(40.70285, -73.918336)"
HOME DELIVERED MEAL SERVICE CONTRACTS,29D01,WAYSIDE HOME DELIVERED MEALS,WAYSIDE OUT-REACH DEVELOPMENT INC,460 DUMONT AVENUE,BROOKLYN,NY,11212,BROOKLYN,929-234-6333,Y,08:00,03:00,08:00,03:00,08:00,03:00,08:00,03:00,08:00,03:00,00:00,00:00,00:00,00:00,40.66514,-73.902222,316,42,910,3328133,3037970001,Brownsville,"(40.66514, -73.902222)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46E01,CCNS SWQ HOME DELIVERED MEALS PROGRAM,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101ST AVENUE,JAMAICA,NY,11416,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.686027,-73.839777,409,28,112,4198392,4094210001,Richmond Hill,"(40.686027, -73.839777)"
HOME DELIVERED MEAL SERVICE CONTRACTS,27Y01,JCCGCI HOME DELIVERED MEALS,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1960 EAST 7TH STREET,BROOKLYN,NY,11223,BROOKLYN,718 627 2500,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.603084,-73.965083,315,47,418,3178703,3066820045,Homecrest,"(40.603084, -73.965083)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46N01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-18 ASTORIA BOULEVARD,FLUSHING,NY,11369,QUEENS,718-806-1080,Y,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,8 :00,4 :00,00:00,00:00,00:00,00:00,40.763727,-73.87957,403,22,329,4032388,4013630011,Jackson Heights,"(40.763727, -73.87957)"
HOME DELIVERED MEAL SERVICE CONTRACTS,46H01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01B HILLSIDE AVENUE,JAMAICA,NY,11432,QUEENS,718-357-4903,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.710318,-73.794757,408,24,454,4210504,4098400001,Briarwood-Jamaica Hills,"(40.710318, -73.794757)"
HOME DELIVERED MEAL SERVICE CONTRACTS,36H01,STANLEY ISAACS HOME DELIVERED MEALS,STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 EAST 93RD STREET,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.780904,-73.945112,108,5,152,1082367,1015730001,Yorkville,"(40.780904, -73.945112)"
