Reporting Area,MMWR Year,MMWR Week,"Arboviral diseases, Jamestown Canyon virus disease, Current week","Arboviral diseases, Jamestown Canyon virus disease, Current week, flag","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†","Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†, flag","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†","Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†, flag","Arboviral diseases, La Crosse virus disease, Current week","Arboviral diseases, La Crosse virus disease, Current week, flag","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†","Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, La Crosse virus disease, Cum 2020†","Arboviral diseases, La Crosse virus disease, Cum 2020†, flag","Arboviral diseases, La Crosse virus disease, Cum 2019†","Arboviral diseases, La Crosse virus disease, Cum 2019†, flag","Arboviral diseases, Powassan virus disease, Current week","Arboviral diseases, Powassan virus disease, Current week, flag","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†","Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†, flag","Arboviral diseases, Powassan virus disease, Cum 2020†","Arboviral diseases, Powassan virus disease, Cum 2020†, flag","Arboviral diseases, Powassan virus disease, Cum 2019†","Arboviral diseases, Powassan virus disease, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
INDIANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200216,POINT (-86.2818 39.919991)
WEST NORTH CENTRAL,2020,2,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,WEST NORTH CENTRAL,20200220,
MISSOURI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200224,POINT (-92.477244 38.3675)
SOUTH DAKOTA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200227,POINT (-100.230491 44.43614)
FLORIDA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200231,POINT (-82.420978 28.260731)
GEORGIA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200232,POINT (-83.426574 32.638481)
WEST VIRGINIA,2020,2,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200237,POINT (-80.613729 38.642579)
MISSISSIPPI,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200241,POINT (-89.65344 32.713378)
ARKANSAS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200244,POINT (-92.439162 34.899825)
MOUNTAIN,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200248,
MONTANA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200252,POINT (-109.645127 47.033521)
WYOMING,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200256,POINT (-107.55145 42.999627)
CALIFORNIA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200259,POINT (-119.662127 37.211164)
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
US RESIDENTS,2020,4,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200401,
TOTAL,2020,4,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200470,
NEBRASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
IOWA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
DELAWARE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
KANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
OHIO,2020,3,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
SOUTH ATLANTIC,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200328,
WISCONSIN,2020,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,2,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
MICHIGAN,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
SOUTH DAKOTA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
MISSOURI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
WEST NORTH CENTRAL,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,WEST NORTH CENTRAL,20200320,
NEBRASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
NORTH DAKOTA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
SOUTH ATLANTIC,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,SOUTH ATLANTIC,20200428,
DELAWARE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
DISTRICT OF COLUMBIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
MARYLAND,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
NORTH CAROLINA,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
SOUTH CAROLINA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
VIRGINIA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200438,
ALABAMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KENTUCKY,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
TENNESSEE,2020,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
WEST SOUTH CENTRAL,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200443,
LOUISIANA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
OKLAHOMA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
TEXAS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ARIZONA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
COLORADO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
NEVADA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
NEW MEXICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
UTAH,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
PACIFIC,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200457,
ALASKA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
HAWAII,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
OREGON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
WASHINGTON,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200464,
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
TOTAL,2020,5,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200570,
US RESIDENTS,2020,5,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
NON-US RESIDENTS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200569,
NEBRASKA,2020,17,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201725,POINT (-99.810595 41.527099)
TOTAL,2020,3,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,TOTAL,20200370,
US RESIDENTS,2020,3,,-,3,,,-,,-,,-,6,,,-,,-,,-,4,,,-,,-,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200343,
EAST SOUTH CENTRAL,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NEVADA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
TEXAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,1,,,-,,-,,-,1,,,-,,-,,-,3,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
ALABAMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
NORTH CAROLINA,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,2,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
LOUISIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
PENNSYLVANIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
IDAHO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
GEORGIA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MIDDLE ATLANTIC,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
MASSACHUSETTS,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
TOTAL,2020,16,,-,4,,,-,1,,,-,6,,1,,,-,,-,4,,,-,1,,,TOTAL,20201670,
US RESIDENTS,2020,16,,-,4,,,-,1,,,-,6,,1,,,-,,-,4,,,-,1,,,US RESIDENTS,20201601,
NEW HAMPSHIRE,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20201606,POINT (-71.57139 43.680429)
NEW YORK,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW YORK,,20201611,POINT (-75.59655 42.921241)
PACIFIC,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,PACIFIC,20201657,
WEST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20201643,
NEBRASKA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEBRASKA,,20201625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,16,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201638,
NORTH DAKOTA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,NORTH DAKOTA,,20201626,POINT (-100.46931 47.446305)
NEVADA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,20201653,POINT (-114.916992 39.283294)
ILLINOIS,2020,16,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ILLINOIS,,20201615,POINT (-89.148632 40.124144)
IOWA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,20201621,POINT (-93.500061 42.074659)
TEXAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,TEXAS,,20201647,POINT (-99.317341 31.447238)
ALASKA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,20201658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20201630,POINT (-77.016275 38.904785)
WASHINGTON,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20201662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,16,,-,1,,,-,1,,,-,1,,,-,,-,,-,3,,,-,1,,,NEW ENGLAND,20201602,
RHODE ISLAND,2020,16,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20201607,POINT (-71.534637 41.572574)
OREGON,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OREGON,,20201661,POINT (-120.605279 43.940449)
DELAWARE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20201629,POINT (-75.452394 38.994926)
ALABAMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20201639,POINT (-86.844516 32.756889)
KANSAS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20201622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,16,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20201634,POINT (-79.130883 35.52603)
GUAM,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201666,POINT (144.653198 13.3532)
NEW JERSEY,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,NEW JERSEY,,20201610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20201654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,16,,-,3,,,-,,-,,-,3,,,-,,-,,-,2,,,-,,-,,EAST NORTH CENTRAL,20201614,
TENNESSEE,2020,16,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20201642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,CONNECTICUT,,20201603,POINT (-72.738288 41.575155)
MARYLAND,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MARYLAND,,20201633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,20201635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20201646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201665,POINT (145.725693 15.1834)
OHIO,2020,16,,-,0,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,OHIO,,20201618,POINT (-82.70936 40.415534)
MINNESOTA,2020,16,,-,2,,,-,,-,,-,0,,,-,,-,,-,2,,,-,,-,MINNESOTA,,20201623,POINT (-94.198308 46.349153)
LOUISIANA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,LOUISIANA,,20201645,POINT (-91.840238 30.921314)
HAWAII,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,20201660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,16,,-,0,,,-,,-,,-,3,,1,,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,20201628,
PENNSYLVANIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PENNSYLVANIA,,20201613,POINT (-77.838886 40.896694)
UTAH,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,UTAH,,20201655,POINT (-111.678222 39.323779)
COLORADO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,COLORADO,,20201650,POINT (-105.547832 38.998552)
VERMONT,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,20201608,POINT (-72.662695 44.075252)
KENTUCKY,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20201640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201667,POINT (-66.414655 18.215692)
MAINE,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,20201604,POINT (-69.06137 45.117911)
VIRGINIA,2020,16,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,20201636,POINT (-78.666382 37.510861)
EAST SOUTH CENTRAL,2020,17,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20201738,
