Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
00031,HCPPA,37,00,023,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,42451.00,79294.00
00136,BEAUTICIAN,37.5,00,124,"L420,L2507,L3627 DC37 HOSPITAL",DC37,District Council 37,39298.00,46084.00
03647,SPECIAL ASSISTANT TO THE BOROU,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
03927,ASSISTANT SYSTEMS ANALYST (HHC,35,00,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,21771.00,40314.00
05022,ASSISTANT TO THE PRESIDENT (QN,35,00,662,NON COMPETITIVE OJ,N/U,Non-Union,16200.00,88500.00
05026,DIRECTOR OF INTERGOVERNMENTAL,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05058,FOOD SERVICE MANAGER,35,00,121,L237 INSTITUTIONAL TITLES,IBT,Intl Brotherhood of Teamsters,60955.00,65785.00
05071,ASSISTANT TO THE PRESIDENT (ST,35,00,665,TEMPORARY OJ,N/U,Non-Union,13750.00,88500.00
05072,STUDENT LEGAL SPECIALIST,35,00,019,ATTORNEYSCSBA 237 IBT,IBT,Intl Brotherhood of Teamsters,44915.00,44915.00
05085,EXECUTIVE DIRECTOR OF ADMINIST,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05103,DIRECTOR (PLANT OPERATIONS SER,35,00,772,NON COMPETITIVE MANAGER,N/U,Non-Union,33000.00,113500.00
05106,ASSISTANT TO THE PRESIDENT (BR,35,00,665,TEMPORARY OJ,N/U,Non-Union,45000.00,55000.00
05107,SECRETARY TO ASSISTANT TO PRES,35,00,665,TEMPORARY OJ,N/U,Non-Union,63859.00,63859.00
05108,SECRETARY TO THE EXCUTIVE ASSI,35,00,665,TEMPORARY OJ,N/U,Non-Union,63859.00,63859.00
05130,ASSOCIATE DIRECTOR-OPERATIONAL,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05144,RESEARCH AND LIAISON COORDINAT,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05145,RESEARCH LIAISON ADN GOVERNMEN,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05149,DIRECTOR BOROUGH PRESIDENT'S O,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05159,ASSISTANT TO THE PRESIDENT(BOR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,58926.00,234738.00
05159,ASSISTANT TO THE PRESIDENT(BOR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,82000.00,82000.00
05162,FISCAL AND POLICY ANALYST (BP,35,00,665,TEMPORARY OJ,N/U,Non-Union,52507.00,68842.00
05162,FISCAL AND POLICY ANALYST (BP,35,00,665,TEMPORARY OJ,N/U,Non-Union,54082.00,70907.00
05168,CHAUFFEUR-ATTENDANT (BKLYN BOR,40,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,68396.00,75967.00
05224,DEPUTY OPERATION SUPPORT MANAG,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05230,RESEARCH AND LIAISON SPECIALIS,35,00,665,TEMPORARY OJ,N/U,Non-Union,53620.00,73377.00
05230,RESEARCH AND LIAISON SPECIALIS,35,00,665,TEMPORARY OJ,N/U,Non-Union,55229.00,75578.00
05234,CHAUFFEUR-ATTENDANT (BORO PRES,35,00,665,TEMPORARY OJ,N/U,Non-Union,17069.00,25000.00
05234,CHAUFFEUR-ATTENDANT (BORO PRES,40,00,665,TEMPORARY OJ,N/U,Non-Union,17069.00,25000.00
05277,RESEARCH PROJECTS COORDINATOR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,33000.00,113500.00
05278,ASSISTANT TO THE DEPUTY MAYOR,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
0527A,RESEARCH PROJECTS COOR(MA)-MGR,35,00,883,MGRL TEMP - PROP EX,N/U,Non-Union,63301.00,252165.00
05301,SPECIAL ASST TO THE DIRECTOR O,35,00,665,TEMPORARY OJ,N/U,Non-Union,60031.00,80472.00
05322,SENIOR RACKETS INVESTIGATOR (B,40,00,081,DETECTIVE INVESTIGATORS PBA DA,PBDA,Patrolmen's Bnvlnt Assoc of DA,65815.00,87787.00
05323,SUPERVISING RACKETS INVESTIGAT,40,00,081,DETECTIVE INVESTIGATORS PBA DA,PBDA,Patrolmen's Bnvlnt Assoc of DA,69278.00,90541.00
05329,SPECIAL ASSISTANT TO DA (QUEEN,35,00,681,DA-NON-MAYOR SALARY/TEMPORARY,N/U,Non-Union,53373.00,212614.00
05338,PRINCIPAL ACCOUNTANT INVESTIGA,35,00,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,61457.00,244820.00
05346,EMPLOYEE HEALTH BENEFITS PROGR,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05348,CHIEF ADMINISTRATOR OF IMPARTI,35,00,782,BOE MANAGERIAL/TEMPORARY,N/U,Non-Union,33000.00,113500.00
05350,"DIRECTOR, DATA PROCESSING COOR",35,00,782,BOE MANAGERIAL/TEMPORARY,N/U,Non-Union,33000.00,113500.00
05357,DIRECTOR OF BUILDING MANAGEMEN,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05363,STATISTICAL SECRETARY (OMB),35,01,128,CLERICAL TITLES DC37,DC37,District Council 37,35112.00,63647.00
05363,STATISTICAL SECRETARY (OMB),35,02,128,CLERICAL TITLES DC37,DC37,District Council 37,47693.00,89074.00
05364,DEPUTY COMMISSIONER (TAXI AND,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05383,LEGISLATIVE AIDE (OFFICE OF TH,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,45000.00,51529.00
05384,SECRETARY (OFFICE OF THE MAYOR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,35000.00,71397.00
05388,DEPUTY DIRECTOR FOR MAINTENANC,35,00,782,BOE MANAGERIAL/TEMPORARY,N/U,Non-Union,33000.00,113500.00
05394,DIRECTOR OF ENFORCEMENT (TAXI,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05395,EXECUTIVE ADMINISTRATOR OF GRA,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05404,ASSOCIATE ARTS PROGRAM SPECIAL,35,00,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,33586.00,44992.00
05418,EXECUTIVE ASSISTANT TO THE CIT,35,00,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,50508.00,58163.00
05423,"DIRECTOR, OFFICE OF OPERATIONS",35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05448,ASST EXECUTIVE DIRECTOR FOR PR,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05454,ASST DIR OF INTERGVNMENTAL REL,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05466,DEPUTY ASSISTANT DIRECTOR (CIV,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05481,PROJECT PLANNER (MA),35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,60998.00,76857.00
05482,SR PROJECT PLANNER (MA),35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,54876.00,97918.00
05487,ASSISTANT COMMISSIONER(ADMINIS,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05492,"DIR OF ADMINISTRATION, WORKER'",35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
05494,PRINCIPAL ASSISTANT TO DEPUTY,35,00,665,TEMPORARY OJ,N/U,Non-Union,59366.00,76349.00
06004,EXECUTIVE ASSISTANT-MIDTOWN EN,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,0.00,0.00
06006,SPECIAL ADVISOR TO CITY CLERK,35,00,665,TEMPORARY OJ,N/U,Non-Union,40203.00,59698.00
06021,SECRETARY (OFFICE OF BORO PRES,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,15000.00,18000.00
06022,ASST PROJECT PLANNER (OFFICE O,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,43000.00,67000.00
06023,PROJECT PLANNER (OFFICE OF BOR,35,00,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,21000.00,31000.00
06024,CONFIDENTIAL ASSISTANT TO BORO,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06070,RECREATION SPECIALIST (DEPT OF,35,00,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,24.90,24.90
06088,BUDGET ANALYST (OMB),35,01,665,TEMPORARY OJ,N/U,Non-Union,39698.00,84395.00
06088,BUDGET ANALYST (OMB),35,02,665,TEMPORARY OJ,N/U,Non-Union,58873.00,108156.00
0608A,BUDGET ANALYST (OMB)-MANAGERIA,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
06142,DIRECTOR OF CRISIS ASSISTANCE,35,00,775,MGRL TEMP - PROP NC,N/U,Non-Union,63301.00,252165.00
