Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
NEBRASKA,2015,38,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,3,,5,,13,,227,,193,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,18,,39,,712,,834,,"ALABAMA
(32.839182, -86.631125)",
CONNECTICUT,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,19,,334,,364,,"CONNECTICUT
(41.544654, -72.651713)",
WEST VIRGINIA,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,10,,115,,141,,"WEST VIRGINIA
(38.668501, -80.709421)",
ILLINOIS,2015,38,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,31,,60,,1129,,1354,,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,6,,49,,DIST. OF COL.,
MID. ATLANTIC,2015,38,,-,0,,1,,1,,1,,,-,0,,1,,1,,,-,85,,89,,130,,3201,,3760,,,
WASHINGTON,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,76,,14,,51,,710,,486,,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,11,,174,,125,,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,40,,10,,61,,564,,531,,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK CITY,2015,38,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,28,,16,,37,,650,,742,,NEW YORK CITY,
VIRGIN ISL.,2015,38,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,AMER. SAMOA,
NORTH DAKOTA,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,42,,37,,"NORTH DAKOTA
(47.475319, -100.118428)",
WEST VIRGINIA,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,72,,87,,"WEST VIRGINIA
(38.665511, -80.712638)",
HAWAII,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,15,,104,,122,,"HAWAII
(21.304852, -157.857748)",
PENNSYLVANIA,2015,26,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,20,,25,,69,,512,,543,,"PENNSYLVANIA
(40.793734, -77.860697)",
C.N.M.I.,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
NEW MEXICO,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,16,,102,,123,,"NEW MEXICO
(34.520881, -106.240578)",
S. ATLANTIC,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,231,,230,,563,,4443,,4389,,,
MID. ATLANTIC,2015,26,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,62,,72,,182,,1492,,1894,,,
W.N. CENTRAL,2015,26,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,6,,41,,109,,777,,1183,,,
ILLINOIS,2015,26,,-,0,,1,,,-,,-,,-,0,,0,,,-,1,,,-,30,,65,,606,,733,,"ILLINOIS
(40.485012, -88.997709)",
NEVADA,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,66,,63,,"NEVADA
(39.493242, -117.071839)",
ALABAMA,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,17,,56,,310,,445,,"ALABAMA
(32.840572, -86.631857)",
MASSACHUSETTS,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,11,,23,,53,,466,,435,,"MASSACHUSETTS
(42.276874, -72.082687)",
NEW HAMPSHIRE,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,50,,82,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
IDAHO,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,37,,4,,97,,342,,72,,"IDAHO
(43.682632, -114.363727)",
MISSISSIPPI,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,16,,58,,260,,257,,"MISSISSIPPI
(32.745513, -89.538027)",
TEXAS,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,81,,94,,218,,1639,,1345,,"TEXAS
(31.82724, -99.426768)",
E.N. CENTRAL,2015,26,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,35,,91,,206,,2054,,2376,,,
SOUTH DAKOTA,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,12,,77,,67,,"SOUTH DAKOTA
(44.35313, -100.373529)",
UNITED STATES,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,302,,819,,1594,,302,,412,,,
NEW ENGLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,39,,86,,1,,16,,,
MID. ATLANTIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,28,,71,,185,,28,,50,,,
E.N. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,95,,203,,27,,49,,,
W.N. CENTRAL,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,14,,40,,79,,14,,24,,,
S. ATLANTIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,152,,229,,550,,152,,127,,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,57,,157,,6,,30,,,
W.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,32,,138,,251,,32,,16,,,
MOUNTAIN,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,7,,58,,91,,7,,33,,,
PACIFIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,35,,124,,243,,35,,67,,,
