the_geom,OBJECTID,Contact,Name,Email,Website,Address
POINT (-90.075587334746 29.973673831213),125,Jeanne Nathan,Creative Alliance of New Orleans (CANO),nathan@cano-la.org,http://cano-la.org/,2326 ESPLANADE AVE
POINT (-90.070092209078 29.951949376514),122,,Collins C Diboll Private Foundation,,,201 ST CHARLES AVE
POINT (-90.079072798122 29.934876670775),131,,Greater New Orleans Black Tourism Network,,,2020 ST CHARLES AVE
POINT (-90.075488831818 29.949935753594),138,,Rosamary Foundation,Admin@RosaMary.org,http://www.rosamary.org/,1100 POYDRAS ST
POINT (-90.081388008411 29.971644200679),118,Vincent Booth,ArtDocs,,www.artdocs.com,2646 DUMAINE ST
POINT (-90.076378963589 29.957810133669),134,,Louisiana Cultural Economy Foundation,info@culturaleconomy.org,http://culturaleconomy.org/,1540 CANAL ST
POINT (-89.998346568996 30.040455576448),126,,District 2 Community Enhancement Corporation,,http://www.district2cec.org/,7901 CROWDER BLVD
POINT (-90.067878335368 29.94874876483),136,,New Orleans Hispanic Heritage Foundation Inc.,rfonte@frfirm.com,http://nohhf.org/,400 POYDRAS ST
POINT (-90.079889221513 29.939955884649),140,Mr. Rene' Broussard,Zeitgeist Theatre Experiments,RENE@ZEITGEISTNOLA.ORG,http://www.zeitgeistnola.org/,1618 ORETHA CASTLE HALEY BLVD
POINT (-90.06983546749 29.951728232894),132,,Hispanic-American Musicians and Artists Cultural Association Inc.,,,228 ST CHARLES AVE
POINT (-90.070877345768 29.943753161839),124,Mr. Jay Weigel,Contemporary Arts Center,jweigel@cacno.org,www.cacno.org,900 CAMP ST
,117,,Apex Community Advancement Inc.,,http://www.apexyouthcenter.org/,2019 SIMON BOLIVAR AVE
POINT (-90.073697856918 29.948592841589),123,,Community Works of Louisiana,cnutik@communityworksla.org,http://communityworksla.org/index.html,615 BARONNE
POINT (-90.049373064466 29.962777497152),135,,New Orleans Center for Creative Arts Institute,ltraylor@nocca.com,http://www.nocca.com/,2800 CHARTRES ST
POINT (-90.08034913003 29.939352905693),127,Ms. Carol Bebelle,"Efforts of Grace, Inc. (Ashe Cultural Arts Center)",ashecac@gmail.com,www.ashecac.org,1712 ORETHA CASTLE HALEY BLVD
POINT (-90.031520141226 30.00669946971),129,,Fearless Tigers Cultural Arts Center Inc.,,,4948 CHEF MENTEUR HWY
POINT (-90.055929599147 29.963200695434),119,,Artist International Connection,info@artistinc.org,http://artistinc.org/,519 ELYSIAN FIELDS AVE
POINT (-90.071182333556 29.949936063666),121,,Azby Art Fund,,,701 POYDRAS ST
POINT (-90.128474757487 29.932074344039),130,,Fertel Foundation,randy@fertel.com,http://www.fertel.com/,419 WALNUT ST
POINT (-90.079795667879 29.933448200648),115,Brigitte Gomane,Alliance Francaise de la Nouvelle - Orleans,afno@af-neworleans.org,http://www.af-neworleans.org/,1519 JACKSON AVE
POINT (-90.037611016593 29.965911752496),137,Susan Gisleson,Press Street,info@press-street.org,http://press-street.org/,3718 ST CLAUDE AVE
POINT (-90.073590994969 29.953827718318),139,,Ruth Fertel Foundation,,,1010 COMMON ST
POINT (-90.097394805684 29.96507508064),116,,Alliance Institute Inc.,,http://www.theallianceinstitute.org/,3321 TULANE AVE
,133,,Lois and Lloyd Hawkins Jr Foundation,,,300 BOARD OF TRADE PL
POINT (-90.073167802361 29.952836026041),120,Kim Cook,Arts Council of New Orleans,kim@artsneworleans.org,www.artscouncilofneworleans.org,935 GRAVIER ST
POINT (-90.122426373193 29.922152516551),128,,Ella West Freeman Foundation,info@ellawest.org,http://www.ellawest.org/,6028 MAGAZINE ST
