Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
"HEB Store # 659 - Deli,Bakery & Produce",78613,02/22/2018,99,"14028 N US 183 HWY
AUSTIN, TX 78613
(30.476816, -97.801366)",11015114,Routine Inspection
LW - CVS Pharmacy #80,78734,03/02/2020,95,"2306 S FM 620 RD
LAKEWAY, TX 78734",10006331,Routine Inspection
Accent Food Services,78617,01/24/2018,99,"3614 BILL PRICE RD
AUSTIN, TX 78617
(30.198539, -97.646692)",11632688,Routine Inspection
Foodie's Corner 2,78705,05/08/2018,97,"2400 RIO GRANDE ST
AUSTIN, TX 78705
(30.288198, -97.744632)",11748576,Routine Inspection
Omni Barton Creek Resort & Spa-Halfway House,78735,11/07/2018,91,"8511 CARRANZO DR
AUSTIN, TX 78735
(30.271779, -97.877078)",11084444,Routine Inspection
Tucci's Southside Subs,78736,03/05/2020,99,"7101 W SH
AUSTIN, TX 78736",2803090,Routine Inspection
Tucci's Southside Subs,78745,06/15/2017,96,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.19096, -97.771937)",2800938,Routine Inspection
Luca Villa Pizza,78613,07/11/2018,94,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47181, -97.803451)",2800826,Routine Inspection
Santorini Cafe,78753,01/13/2020,92,"11800 N LAMAR BLVD
AUSTIN, TX 78753
(30.387577, -97.683646)",10880915,Routine Inspection
Staybridge Suites Austin South Interstate 35,78745,01/28/2020,95,"901 LITTLE TEXAS LN
AUSTIN, TX 78745
(30.197961, -97.767334)",12124135,Routine Inspection
EZ Way Food Store,78702,10/30/2018,99,"2700 E 7TH ST
AUSTIN, TX 78702
(30.260559, -97.711312)",2803692,Routine Inspection
Courtyard Marriott,78759,02/28/2019,61,"9409 STONELAKE BLVD
AUSTIN, TX 78759
(30.385685, -97.73997)",2800756,Routine Inspection
HEB Plus #12 - Deli/Bakery/Produce,78741,05/04/2018,93,"2508 E RIVERSIDE DR
AUSTIN, TX 78741
(30.234706, -97.723507)",10402647,Routine Inspection
Moms 8 Enterprises Inc.,78736,07/25/2018,91,"9341 W SH
AUSTIN, TX 78736",11759418,Routine Inspection
Friends,78701,09/12/2018,87,"208 E 6TH ST
AUSTIN, TX 78701
(30.267512, -97.740877)",2801887,Routine Inspection
Randalls 2480 Bakery,78749,11/05/2019,100,"6600 S MOPAC EXPY
AUSTIN, TX 78749
(30.220579, -97.837688)",2801134,Routine Inspection
RW - Panera Bread Bakery and Cafe,78746,12/27/2019,90,"2805 BEE CAVES RD
ROLLINGWOOD, TX 78746
(30.270937, -97.789909)",10003334,Routine Inspection
"Accent Food Services, LLC",78746,10/31/2018,98,"1501 S MOPAC EXPY
AUSTIN, TX 78746",11444576,Routine Inspection
Super 8 Motel,78723,07/21/2017,98,"5606 E 51ST ST
AUSTIN, TX 78723
(30.2927, -97.664656)",10114041,Routine Inspection
Good Food and Drink,78612,03/05/2020,83,"5496 E SH
AUSTIN, TX 78612
(30.295187, -97.740892)",11961644,Routine Inspection
Sam's Bar-B-Q,78702,01/09/2019,76,"2000 E 12TH ST
AUSTIN, TX 78702
(30.273958, -97.718761)",2800190,Routine Inspection
Taste of Ethiopia Inc.,78704,04/24/2018,92,"3801 S CONGRESS AVE
AUSTIN, TX 78704
(30.226126, -97.762168)",11590806,Routine Inspection
Comfort Inn Austin,78752,12/28/2017,86,"700 DELMAR AVE
AUSTIN, TX 78752
(30.336734, -97.703286)",11478693,Routine Inspection
Gong Cha,78729,07/17/2019,96,"13201 N FM 620 RD
AUSTIN, TX 78729",12022270,Routine Inspection
28 Alimentari,78701,03/06/2018,96,"454 W 2ND ST
AUSTIN, TX 78701
(30.265565, -97.748624)",11651886,Routine Inspection
Nurturing Child Care Center,78721,12/11/2018,100,"1054 SPRINGDALE RD
AUSTIN, TX 78721
(30.272605, -97.691021)",11833620,Routine Inspection
MT Supermarket,78753,11/29/2017,85,"10901 N LAMAR BLVD
AUSTIN, TX 78753
(30.37848, -97.688327)",2804055,Routine Inspection
McDonalds's #27171,78754,12/16/2019,98,"8500 E US 290 HWY
AUSTIN, TX 78754",11392280,Routine Inspection
TCBY,78701,09/05/2017,93,"303 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281383, -97.740746)",2801749,Routine Inspection
Jamba Juice,78759,07/10/2017,95,"10710 RESEARCH BLVD
AUSTIN, TX 78759
(30.398661, -97.746468)",2801707,Routine Inspection
Red Lobster # 0095,78752,12/20/2017,85,"109 W ANDERSON LN
AUSTIN, TX 78752
(30.343976, -97.705805)",11183326,Routine Inspection
"Snooze, an A.M. Eatery",78704,03/25/2020,94,"1700 S LAMAR BLVD
AUSTIN, TX 78704
(30.250877, -97.765509)",11520571,Routine Inspection
Sonic Drive In,78753,08/15/2018,81,"9325 N LAMAR BLVD
AUSTIN, TX 78753
(30.362817, -97.69719)",2800472,Routine Inspection
Pizza Hut,78753,04/15/2020,97,"1015 E BRAKER LN
AUSTIN, TX 78753
(30.374936, -97.67163)",10034421,Routine Inspection
Open Door Preschool,78722,02/20/2019,100,"2918 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78722
(30.281975, -97.707689)",10670645,Routine Inspection
Taco Bell #030153,78723,06/06/2018,87,"5604 CAMERON RD
AUSTIN, TX 78723
(30.313767, -97.704064)",11066732,Routine Inspection
Indian Roller,78748,09/12/2017,97,"10006 MANCHACA RD
AUSTIN, TX 78748
(30.171854, -97.824423)",11194978,Routine Inspection
"Juiceland Shady Hollow, LLC",78748,10/27/2017,97,"9901 BRODIE LN
AUSTIN, TX 78748
(30.185567, -97.848441)",11202972,Routine Inspection
Chipotle Mexican Grill #874,78729,04/10/2020,96,"6301 W PARMER LN
AUSTIN, TX 78729
(30.445314, -97.743259)",10179774,Routine Inspection
BC - Whole Foods Market - Seafood,78738,06/27/2017,99,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.307885, -97.937525)",10744436,Routine Inspection
El Regio,78723,04/27/2018,92,"6615 BERKMAN DR
AUSTIN, TX 78723
(30.319718, -97.689048)",2802226,Routine Inspection
7-Eleven Convenience Store # 36564A,78732,07/17/2018,91,"7002 N FM 620 RD
AUSTIN, TX 78732",11066939,Routine Inspection
Highland Park Elementary,78731,01/24/2018,95,"4900 FAIRVIEW DR
AUSTIN, TX 78731
(30.330602, -97.759277)",2800351,Routine Inspection
Sonic Drive In #54,78702,04/02/2020,96,"2706 GONZALES ST
AUSTIN, TX 78702
(30.26067, -97.710552)",2800770,Routine Inspection
Wendy's W-105/2022,78758,11/21/2017,92,"12421 N MOPAC EXPY
AUSTIN, TX 78758
(30.4189, -97.704033)",11119761,Routine Inspection
Prime Food Mart,78702,03/23/2018,89,"601 N IH
AUSTIN, TX 78702",11662524,Routine Inspection
Pizzaria Paparazzi,78701,02/02/2018,92,"313 1 2 E 6TH ST
AUSTIN, TX 78701
(30.267228, -97.739843)",10903812,Routine Inspection
Pei Wei Asian Diner,78704,06/09/2017,87,"4200 S LAMAR BLVD
AUSTIN, TX 78704
(30.235244, -97.794812)",2802412,Routine Inspection
Austin Woman's Club,78701,07/11/2017,97,"708 SAN ANTONIO ST
AUSTIN, TX 78701
(30.270988, -97.746735)",2800377,Routine Inspection
Russell's Bakery and Coffee Bar,78731,02/08/2018,93,"3339 HANCOCK DR
AUSTIN, TX 78731
(30.332917, -97.760131)",11643596,Routine Inspection
Starbucks #6373,78750,04/13/2020,99,"9617 ANDERSON MILL RD
AUSTIN, TX 78750
(30.448244, -97.792278)",11678679,Routine Inspection
Outback Steakhouse,78759,04/10/2020,91,"11600 RESEARCH BLVD
AUSTIN, TX 78759
(30.415589, -97.746643)",2800918,Routine Inspection
Casa Garcia # 1,78745,04/14/2020,83,"1901 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.202651, -97.805566)",2801537,Routine Inspection
Long John Silver's,78723,11/08/2017,96,"5600 CAMERON RD
AUSTIN, TX 78723
(30.313641, -97.704222)",10007072,Routine Inspection
Applebee's,78744,01/09/2020,88,"6315 S IH
AUSTIN, TX 78744",10870122,Routine Inspection
Wendy's W123,78702,07/30/2018,90,"619 N IH
AUSTIN, TX 78702",11119164,Routine Inspection
In-N-Out Burger,78751,08/22/2018,97,"4515 AIRPORT BLVD
AUSTIN, TX 78751
(30.303824, -97.716008)",11050957,Routine Inspection
Andrews Elementary,78723,09/11/2019,100,"6801 NORTHEAST DR
AUSTIN, TX 78723
(30.317979, -97.680574)",2800596,Routine Inspection
