Sponsor,Project Name,Total Units,Total Affordable,Affordable Preserved
Conifer Realty LLC,Woodfield Commons Apartments,84,0,0
Hercules Real Estate Services,Galaxy Apartments,195,82,0
Washington-McLaughlin Apartments for Seni,Washington-McLaughlin Apartments,9,0,0
CPDC,Essex House,137,0,0
CPDC,Essex House,135,11,0
"Housing Unlimited, Inc.",HUI 413 Robena Way,1,1,0
CPDC,Essex House Balcony Repairs,134,0,11
HOC,17710 Kilmarnock Terrace,,0,0
"Montgomery Housing Partnership, Inc.",MHP - 10353 Procera Drive,,,0
"Montgomery Housing Partnership, Inc.",MHP Bealls Grant (Modification) 2017,,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 9,,0,0
HAI Management (Hampshire Village),Hampshire Village Apartments - #118,110,110,0
"Montgomery Housing Partnership, Inc.",MHP Silver Spring/ Nolte Avenues,19,0,12
n/a,Leafy House,181,0,0
n/a,Leafy House,181,0,0
"Montgomery Housing Partnership, Inc.",MHP - 8807 Glenville Road,4,4,0
HAI Management (Hampshire Village),Hampshire Village Apartments - #80,110,110,0
"Montgomery Housing Partnership, Inc.",MHP - 13626 Stargazer,1,1,0
"Montgomery Housing Partnership, Inc.",MHP - 13632 Stargazer,1,1,0
"Community Support Services, Inc. (Bazzelt","Community Support Services, Inc. (Bazzelton)",,0,0
"Montgomery Housing Partnership, Inc.",MHP - 13628 Stargazer,1,1,0
Montgomery Co. Coalition for the Homeless,CH - Seneca Heights Start Up - #145,,0,0
"Montgomery Housing Partnership, Inc.",Edinburgh,46,0,12
Community Support Services (Chickadee),Community Support Services (Chickadee),,0,0
"MHP Scattered Site, Inc.",MHP MPDU Acquisition 1990 - 22,,0,0
"Montgomery Housing Partnership, Inc.",Great Hope Homes Community Center,104,0,104
n/a,St. Lukes Supportive Housing FY12,1,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 6,,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 4,,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 7,,0,0
First Centrum,Oakes at Olde Towne,71,71,0
n/a,"MCARC/Miceli, Frank",,0,0
HAI Management (Hampshire Village),Hampshire Village Rental Subsidy Loan,110,110,0
HOC,13525 Hayworth Drive,,0,0
Cornerstone Montgomery Inc.,St. Lukes House - 3,,0,0
"Montgomery Housing Partnership, Inc.",MHP - 23020 Winged Elm Drive (CDBG),1,1,0
