Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
900 Seventh St,900 Seventh St,Accessory STR,1,2,02/10/2021 11:59:59 PM,"(29.9233302740015, -90.0835311588887)",3676731.84,519769.75
1127 Thalia St,1127 Thalia St,Accessory STR,3,6,02/09/2021 11:59:59 PM,"(29.9384893737678, -90.0719727068933)",3680332.37,525322.26
1719 St Andrew,1719 St Andrew,Accessory STR,3,6,02/06/2021 11:59:59 PM,"(29.936813971503, -90.0799814204894)",3677802.61,524685.19
2930 Serantine St,2930 Serantine St,Accessory STR,3,6,02/03/2021 11:59:59 PM,"(29.986229584304, -90.0745362835987)",3679329.75,542673.46
1740 Sere St,1740 Sere St,Temporary STR,2,4,02/09/2021 11:59:59 PM,"(29.9941132141426, -90.0698416025062)",3680784.27,545556.61
1811 Baronne St,1811 Baronne St,Accessory STR,2,4,02/10/2021 11:59:59 PM,"(29.9380241055239, -90.0800618936525)",3677772.31,525124.96
334 Carondelet St Unit 303,334 Carondelet St Unit 303,Commercial STR,2,4,05/05/2021 11:59:59 PM,"(29.9509942350526, -90.0712252475647)",3680519.01,529872.09
1127 Thalia St,1127 Thalia St,Accessory STR,3,6,02/09/2021 11:59:59 PM,"(29.9384893737678, -90.0719727068933)",3680332.37,525322.26
1811 Baronne St,1811 Baronne St,Accessory STR,2,4,02/10/2021 11:59:59 PM,"(29.9380241055239, -90.0800618936525)",3677772.31,525124.96
5712 Wilton Dr,5712 Wilton Dr,Accessory STR,1,2,12/08/2020 11:59:59 PM,"(30.0169937895073, -90.0665482946056)",3681734.72,553888.4
1053 Constance St Apt 306 Unit 306,1053 Constance St Apt 306 Unit 306,Commercial STR,2,4,11/13/2020 11:59:59 PM,"(29.9413214590424, -90.0696596999407)",3681053.56,526360.18
27 Fontainebleau Dr,27 Fontainebleau Dr,Accessory STR,2,4,11/21/2020 11:59:59 PM,"(29.9564109910359, -90.1171260063338)",3665962.76,531684.64
711 S Peters St Apt 311,711 S Peters St Apt 311,Commercial STR,2,4,08/21/2020 11:59:59 PM,"(29.9458086907846, -90.0661743226733)",3682139.33,528004.09
3025 Bienville Ave,3025 Bienville Ave,Accessory STR,2,4,08/01/2020 11:59:59 PM,"(29.969904365035, -90.0894762376134)",3674664.85,536685.33
3812 Laurel St,3812 Laurel St,Accessory STR,2,4,05/07/2021 11:59:59 PM,"(29.9192801439838, -90.0939207801848)",3673456.79,518261.23
2924 St Bernard Ave,2924 St Bernard Ave,Commercial STR,4,8,01/31/2021 11:59:59 PM,"(29.9866862216343, -90.0740679473453)",3679476.18,542841.14
5423 Seminary Pl,5423 Seminary Pl,Accessory STR,2,4,02/10/2021 11:59:59 PM,"(30.0150158379379, -90.0443901164915)",3688754.95,553247.34
715 S Salcedo St Apt. A,715 S Salcedo St Apt. A,Commercial STR,2,4,02/11/2021 11:59:59 PM,"(29.9625381511291, -90.0965643272093)",3672449.61,533982.4
807 Elysian Fields Ave 809 Elysian Fields Ave,807 Elysian Fields Ave 809 Elysian Fields Ave,Accessory STR,2,4,02/12/2021 11:59:59 PM,"(29.9657801685354, -90.0563407266483)",3685172.54,535301.02
