sitePlanKey,sitePlanNbr,sitePlanName,sitePlanStatusTypeDsc,amendmentInd,commercialGrossFloorAreaSquareFeetQty,hotelRoomCnt,officeSquareFeetQty,parkingSpaceCnt,residentialGrossFloorAreaSquareFeetQty,residentialUnitCnt,retailSquareFeetQty,sitePlanActionDatetime,storyCnt,townhouseCnt,sitePlanCommentText,sitePlanNoteText,rezoningNbr,rezoningCaseNbr,rezoningStatusTypeDsc
150,383,The Hawthorn,Approved,false,0,0,0,178,154444,143,5724,2004-04-24T00:00:00.000Z,9,0,,"11 affordable units. Parking 10 retail, 163 residential, visitor 5. 25 of the spaces are compact.  14043157 is consolidation of 14043016,017,021,022,023.",,,
154,346a,One Potomac Yard,Approved,false,0,0,650000,0,0,0,17784,2002-03-23T00:00:00.000Z,11,0,"Two Office Buildings  Land Bay A, part of Potomac yard site plan 346","2, 11 sty office buildings. site area 2.54 ac.initial retail space is 6,000 sf. Located at glebe rd and rt 1.",,,
158,346f,Eclipse on Center Park,Approved,false,80000,0,0,940,0,479,80000,2000-10-21T00:00:00.000Z,11,0,,"Two 11 sty Condos. Building one = 246 units, building two 229 units. 80,000 sf of retail includes 50,000 sf grocery store. Parking = 595 spaces for residential, 345 spaces for retail. The site is at the southern most end of Potomac Yards.",,,
162,360,Bromptons at Cherrydale,Approved,false,0,0,0,0,0,22,5600,2003-05-17T00:00:00.000Z,4,24,,Retail is in eight live work units.,,,
166,333,USPS Clarendon,Approved,true,320600,0,52405,241,192575,194,13650,2003-07-19T00:00:00.000Z,4,0,"ITEM 58,   07/19/2003  Renovation/Addition to existing Post Office building","Site Area: 79,145 s.f.  ""C-R""/""C-3"" Permitted FAR: 4.0 FAR. Work-work Units:9, Work-work GFA:22,070 s.f. Post Office GFA:39,900 s.f.",2454,Z-2454-98-1,Withdrawn
170,338,Virginia Square,Approved,false,237883,0,0,258,0,229,7150,2000-03-11T00:00:00.000Z,19,0,Hi-rise residential,vacate pt N Nelson St,,,
174,106,Arlington Trades Center,Approved,true,0,0,0,918,0,400,44245,2000-10-07T00:00:00.000Z,12,0,"Mixed use office, retail & residential  (Village Shirlington Residential)","Site Area: 263,915 s.f.",2470,Z-2470-00-2,Approved
178,345,Courthouse Metro,Approved,false,53207,0,41814,0,0,0,11393,2000-10-07T00:00:00.000Z,3,0,Office building,vacate pt N Veitch St,2471,Z-2471-00-1,Approved
182,243,Pentagon Hospital,Approved,false,0,0,0,0,0,190,0,2001-03-17T00:00:00.000Z,0,0,"02/23/2012, 38-002-007 is still a live record with the medical building.  The only density it has left is the buiding itself.  All other density went to the condo south of it(The Grove of Arlington).  Land value is just the GFA  of the building, MEF.",7 units = Affordable housing,,,
186,244,Verizon Central Office,Approved,true,39380,0,21439,148,260403,306,11428,2019-10-19T00:00:00.000Z,19,0,"Existing Verizon telecommunications facility building, with 21,439 sf of GFA, to remain  ? New 19-story multifamily building, with:  o 306 units  o 11,428 sf of ground floor retail  o 148 parking spaces in below-grade parking garage      Add'l story onto exisiting building","Rezoned from RA-H-3.2 to C-O Crystal City (Z-2612-19-1)  New 19- story apartment building, with 11,428sf of retail.  Verizon building 21,439 sf will remain on site.      Total GFA 34,238 s.f.  Addition GFA 8,496 s.f.",,,
190,011,Crystal City Retail,Approved,false,2435391,0,84034,3134,152529,252,139898,2001-05-19T00:00:00.000Z,0,0,"Office and Retail use--------------------------    1/18/17 - SP #11 amendment -  change the use of an existing office building to residential building ~152,529 sq. ft. of residential GFA, 5848 sq. ft. of retail GFA.------","This siteplan is related to siteplan 56 amendment.. reduced 2592961 comm. GFA to 243539, changed retail from 134050 to 139898, added 152529 res. GFA    http://arlington.granicus.com/MetaViewer.php?view_id=&clip_id=2800&meta_id=124310",,,
194,263,2311 Wilson Blvd,Approved,true,163578,0,149553,265,0,0,14025,2012-12-08T00:00:00.000Z,8,0,"Approved 12/08/2012, item #25. 157,395 sq ft commercial building (149,553 sq ft office w/ 7,842 sq ft of ground level retail). Amendment permits construction of a separate 6,183 sq ft retail pavilion on 15-059-001, 15-059-005, 15-059-006.","Excluded from density: 6,800 sq ft childcare center; 2,000 sq ft conference center; 2,300 sq ft fitness center. RPC 15-058-015 unable to add to parcel list.",,,
198,193a,Ballston Common,Approved,true,0,0,251170,0,0,0,17377,2000-06-24T00:00:00.000Z,13,0,"Commercial, OfficeBuilding, Hotel and Apartment District",,,,
202,368,Columbia Heights Apt/Sierra Condo,Approved,false,0,0,0,117,218811,205,0,2003-02-08T00:00:00.000Z,0,0,,"Total Area Size: 246,855 sqft. Condominium Units: 96 units. Rental Units: 109 units. Residential Density: 36.16 units per acre.  Parking Ratio: 1.22 spaces per unit. 96 condo units are the Sierra Condominium 22-003-014 became nbhd 281001.",2494,Z-2494-02-1,Approved
206,386,Club on Quincy,Approved,true,,0,184036,250,0,0,10280,2018-04-21T00:00:00.000Z,9,0,"UPDATED AMENDMENT:  Formerly Virginia Square Park Condominiums. Residential units removed from site plan.    Rezoning ""Z-2516-04-1"" from ""C-2"" service Commercial-Community Business Districts to ""C-O-2.5"" Commercial Office Building,hotel and Apartment Districts.","Updated 04/21/2018: Office GFA = 184,036 sf, 10,280 sf ground level retail.  Black Box Theater removed from site plan.  Updated 01/21/2012: 178,131 sf office, 3,200 sf ground level retail, 12,985 sf Black Box Theater. No residential. No funeral home.    RPC 14-030-058 is 137 residental units, 2,648 retail GFA, 8,193 Black Box Theater. RPC 14-030-057 is a Funeral Home 10,000 GFA. Parking  is 226 total spaces, one tandem =225. 152 assigned residential, level b1 includes 73 and the tandem space for the funeral home, retail and theater.",,,
210,353,Taylor Lee Court TH,Approved,false,0,0,0,50,0,20,0,2001-11-17T00:00:00.000Z,0,0,Residential townhouses,,,,
