Type,Company,Address,Company URL,City,State,ZIP,Phone number,"Vessel Types, Names",Cruise Type,Home Port,Waterways,Latitude,Longitude,Location 1
cruises,WNY Classic Cruises,1 Dann Street,http://www.wnyclassiccruises.com/,Buffalo,NY,14207,(716) 946-7246,Summer Love,"Sunset & moonlight cruises, charters",Buffalo,"Erie Canal (western), Niagara River, Black Rock Canal",42.934112,-78.904646,"(42.934112, -78.904646)"
rentals,Angler's Bay,103 Drive 17,http://boatoneida.com/,Cleveland,NY,13042,(315) 820-2628,"Sport, fishing, and pontoon boats",,Cleveland,"Oneida Lake, Erie Canal (eastern)",43.224025,-75.832958,"(43.224025, -75.832958)"
rentals,Canalside Experiences,706 Waterloo-Geneva Road,https://www.canalsideexperiences.com,Waterloo,NY,13165,(315) 651-4443,"Canoes & kayaks, fishing boats & rowboats, 24' Pontoon boat",,Waterloo,Cayuga-Seneca Canal,42.89162,-76.916673,"(42.89162, -76.916673)"
rentals,Erie Canal Adventures,1865 Canandaigua Road,https://eriecanaladventures.com/565-2,Macedon,NY,14502,(315) 986-3011,"English-style narrowboats, canoes, rowboats, kayaks, paddleboats",,Macedon,"Erie (central & western), Oswego, and Cayuga-Seneca Canals",43.076979,-77.323596,"(43.076979, -77.323596)"
cruises,Grand Lady Cruises,P.O. Box 746,http://www.grandlady.com,Buffalo,NY,14207,(716) 824-5239,Grand Lady,"Tours, lunch/dinner cruises, charters",Buffalo,Upper Niagara River,42.936656,-78.90759,"(42.936656, -78.90759)"
cruises,Camillus Erie Canal Park,5750 Devoe Rd,http://www.eriecanalcamillus.com,Camillus,NY,13031,(315) 487-7895,"Ontario, Otisco, Camillus Erie, Iroquois","Interpretive tours, dinner cruises",Camillus,Erie Canal (old alignment),43.052313,-76.302794,"(43.052313, -76.302794)"
rentals,Oswego Expeditions,PO Box 3011,http://www.oswegoexpeditions.com,Oswego,NY,13126,(315) 561-0223,Kayaks,,Oswego,Oswego Canal,43.462565,-76.509262,"(43.462565, -76.509262)"
rentals,Willow Bay Rentals,24 Genesee St,https://willowbayrentals.com,Camillus,NY,13031,(315) 672-8439,"Kayaks, stand up paddleboards (SUP), pedal boats",,Long Branch Park,"Onondaga Lake/Outlet, Erie Canal (central)",43.115216,-76.240923,"(43.115216, -76.240923)"
rentals,Paddle-N-More,Myers Park,http://paddlenmore.com,Landsing,NY,14882,(607) 441-6773 ,"Canoes, kayaks, paddleboats",,Lansing,Cayuga Lake,42.537807,-76.54982,"(42.537807, -76.54982)"
cruises,Dutch Apple Cruises,PO Box 395,http://www.dutchapplecruises.com,Albany,NY,12201,(518) 463-0220,Dutch Apple II,"Brunch, sightseeing and specialty cruises; charters",Albany,Hudson River,42.641799,-73.750206,"(42.641799, -73.750206)"
rentals,Finger Lakes Water Adventures,401 Boody's Hill Road,http://www.fingerlakeswateradventures.com/,Waterloo,NY,13165,(315) 789-5220,"67' Houseboat, pontoon boats, kayaks & paddleboats",,Waterloo,"All (houseboat), Cayuga-Seneca Canal, Seneca Lake",42.869602,-76.938367,"(42.869602, -76.938367)"
