Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
US TERRITORIES,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200263,
AMERICAN SAMOA,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200264,
NORTHERN MARIANA ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200265,POINT (145.725693 15.1834)
GUAM,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200266,POINT (144.653198 13.3532)
PUERTO RICO,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200267,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200268,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,2,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200269,
TOTAL,2020,2,10,,110,,23,,52,,,-,0,,,-,,-,,TOTAL,20200270,
WEST NORTH CENTRAL,2020,6,4,,23,,13,,14,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200620,
TOTAL,2020,3,7,,110,,49,,97,,,-,0,,,-,,-,,TOTAL,20200370,
US RESIDENTS,2020,3,7,,110,,49,,97,,,-,0,,,-,,-,,US RESIDENTS,20200301,
NEW HAMPSHIRE,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200306,POINT (-71.57139 43.680429)
NEW YORK,2020,3,2,,4,,3,,2,,,-,0,,,-,,-,NEW YORK,,20200311,POINT (-75.59655 42.921241)
PACIFIC,2020,3,,-,28,,6,,8,,,-,0,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,,-,57,,,-,24,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,,-,21,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,3,,,-,3,,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
ILLINOIS,2020,3,,-,7,,,-,12,,,-,0,,,-,,-,ILLINOIS,,20200315,POINT (-89.148632 40.124144)
IOWA,2020,3,,-,2,,,-,2,,,-,0,,,-,,-,IOWA,,20200321,POINT (-93.500061 42.074659)
TEXAS,2020,3,,-,42,,,-,15,,,-,0,,,-,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,-,4,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,,-,8,,7,,10,,,-,0,,,-,,-,,NEW ENGLAND,20200302,
RHODE ISLAND,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200307,POINT (-71.534637 41.572574)
OREGON,2020,3,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
KANSAS,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200322,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,3,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW JERSEY,2020,3,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200310,POINT (-74.655514 40.110253)
NEW MEXICO,2020,3,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,3,,-,17,,1,,24,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200314,
TENNESSEE,2020,3,,-,21,,,-,,-,,-,0,,,-,,-,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,5,,6,,,-,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,2,,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
OHIO,2020,3,,-,9,,1,,10,,,-,0,,,-,,-,OHIO,,20200318,POINT (-82.70936 40.415534)
MINNESOTA,2020,3,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,19,,,-,9,,,-,0,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,3,,28,,12,,3,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200328,
PENNSYLVANIA,2020,3,1,,50,,8,,2,,,-,0,,,-,,-,PENNSYLVANIA,,20200313,POINT (-77.838886 40.896694)
UTAH,2020,3,,-,4,,,-,3,,,-,0,,,-,,-,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,1,,6,,1,,4,,,-,0,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
VERMONT,2020,3,,-,1,,1,,2,,,-,0,,,-,,-,VERMONT,,20200308,POINT (-72.662695 44.075252)
KENTUCKY,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,1,,5,,2,,,-,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,,-,10,,2,,1,,,-,0,,,-,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200364,
WISCONSIN,2020,3,,-,6,,,-,,-,,-,0,,,-,,-,WISCONSIN,,20200319,POINT (-89.732969 44.639954)
IDAHO,2020,3,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
MICHIGAN,2020,3,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200317,POINT (-85.730977 44.874798)
GEORGIA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,3,,-,7,,2,,4,,,-,0,,,-,,-,,NEW YORK CITY,20200312,
ARKANSAS,2020,3,,-,13,,,-,,-,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,,-,5,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,15,,7,,1,,,-,0,,,-,,-,MISSOURI,,20200324,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,3,3,,55,,13,,9,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200309,
CALIFORNIA,2020,3,,-,23,,5,,8,,,-,0,,,-,,-,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,,-,21,,2,,1,,,-,0,,,-,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,3,,-,23,,7,,10,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200320,
MASSACHUSETTS,2020,3,,-,5,,,-,8,,,-,0,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,1,,13,,3,,9,,,-,0,,,-,,-,,MOUNTAIN,20200348,
INDIANA,2020,3,,-,13,,,-,1,,,-,0,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
NEW HAMPSHIRE,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,2,,4,,5,,2,,,-,0,,,-,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,,-,28,,8,,10,,,-,0,,,-,,-,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,2,,57,,2,,30,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,,-,21,,,-,4,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,-,7,,1,,14,,,-,0,,,-,,-,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
IOWA,2020,4,,-,2,,,-,2,,,-,0,,,-,,-,IOWA,,20200421,POINT (-93.500061 42.074659)
TEXAS,2020,4,,-,42,,,-,20,,,-,0,,,-,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,-,4,,,-,,-,,-,0,,,-,,-,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,,-,8,,11,,13,,,-,0,,,-,,-,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,-,18,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,,-,5,,,-,1,,,-,0,,,-,,-,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,2,,17,,5,,31,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,,-,21,,,-,2,,,-,0,,,-,,-,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,5,,9,,,-,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,2,,9,,3,,13,,,-,0,,,-,,-,OHIO,,20200418,POINT (-82.70936 40.415534)
MINNESOTA,2020,4,,-,6,,,-,1,,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,19,,,-,9,,,-,0,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,2,,28,,14,,5,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,50,,8,,2,,,-,0,,,-,,-,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,,-,4,,,-,4,,,-,0,,,-,,-,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,,-,6,,1,,4,,,-,0,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
MAINE,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,1,,5,,3,,,-,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,,-,10,,3,,1,,,-,0,,,-,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
WISCONSIN,2020,4,,-,6,,1,,1,,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,,-,7,,6,,5,,,-,0,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,2,,13,,2,,1,,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,,-,5,,,-,2,,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,15,,7,,2,,,-,0,,,-,,-,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,2,,55,,19,,10,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,-,23,,7,,10,,,-,0,,,-,,-,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,1,,21,,3,,2,,,-,0,,,-,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,,-,23,,7,,13,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,4,,,-,11,,,-,0,,,-,,-,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,,-,13,,4,,10,,,-,0,,,-,,-,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,13,,,-,2,,,-,0,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
TOTAL,2020,5,7,,110,,95,,160,,,-,0,,,-,,-,,TOTAL,20200570,
US RESIDENTS,2020,5,7,,110,,95,,160,,,-,0,,,-,,-,,US RESIDENTS,20200501,
NEW HAMPSHIRE,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20200506,POINT (-71.57139 43.680429)
NEW YORK,2020,5,3,,4,,8,,2,,,-,0,,,-,,-,NEW YORK,,20200511,POINT (-75.59655 42.921241)
PACIFIC,2020,5,,-,28,,10,,14,,,-,0,,,-,,-,,PACIFIC,20200557,
WEST SOUTH CENTRAL,2020,5,,-,57,,1,,40,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20200543,
NEBRASKA,2020,5,,-,19,,,-,3,,,-,0,,,-,,-,NEBRASKA,,20200525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,5,,-,21,,,-,5,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20200538,
NORTH DAKOTA,2020,5,,-,3,,,-,5,,,-,0,,,-,,-,NORTH DAKOTA,,20200526,POINT (-100.46931 47.446305)
NEVADA,2020,5,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20200553,POINT (-114.916992 39.283294)
ILLINOIS,2020,5,,-,7,,3,,15,,,-,0,,,-,,-,ILLINOIS,,20200515,POINT (-89.148632 40.124144)
IOWA,2020,5,,-,2,,,-,3,,,-,0,,,-,,-,IOWA,,20200521,POINT (-93.500061 42.074659)
TEXAS,2020,5,,-,42,,1,,24,,,-,0,,,-,,-,TEXAS,,20200547,POINT (-99.317341 31.447238)
ALASKA,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,ALASKA,,20200558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200530,POINT (-77.016275 38.904785)
WASHINGTON,2020,5,,-,4,,,-,1,,,-,0,,,-,,-,WASHINGTON,,20200562,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20200507,POINT (-71.534637 41.572574)
OREGON,2020,5,,-,5,,1,,,-,,-,0,,,-,,-,OREGON,,20200561,POINT (-120.605279 43.940449)
DELAWARE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,DELAWARE,,20200529,POINT (-75.452394 38.994926)
ALABAMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,ALABAMA,,20200539,POINT (-86.844516 32.756889)
KANSAS,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,KANSAS,,20200522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,5,1,,18,,4,,,-,,-,0,,,-,,-,NORTH CAROLINA,,20200534,POINT (-79.130883 35.52603)
GUAM,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200566,POINT (144.653198 13.3532)
NEW JERSEY,2020,5,,-,5,,,-,5,,,-,0,,,-,,-,NEW JERSEY,,20200510,POINT (-74.655514 40.110253)
NEW MEXICO,2020,5,,-,8,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,20200554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,5,2,,17,,11,,33,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20200514,
TENNESSEE,2020,5,,-,21,,,-,2,,,-,0,,,-,,-,TENNESSEE,,20200542,POINT (-86.343226 35.842998)
CONNECTICUT,2020,5,,-,5,,10,,,-,,-,0,,,-,,-,CONNECTICUT,,20200503,POINT (-72.738288 41.575155)
MARYLAND,2020,5,,-,3,,,-,,-,,-,0,,,-,,-,MARYLAND,,20200533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,5,,-,19,,8,,1,,,-,0,,,-,,-,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,2,,4,,5,,14,,,-,0,,,-,,-,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,6,,1,,1,,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
LOUISIANA,2020,5,,-,19,,,-,15,,,-,0,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,1,,28,,18,,8,,,-,0,,,-,,-,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,1,,50,,10,,4,,,-,0,,,-,,-,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,4,,,-,5,,,-,0,,,-,,-,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,,-,6,,1,,7,,,-,0,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,5,,3,,1,,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,,-,10,,3,,1,,,-,0,,,-,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200564,
WISCONSIN,2020,5,,-,6,,1,,1,,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20200551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200568,POINT (-64.840836 18.060868)
MICHIGAN,2020,5,,-,4,,,-,1,,,-,0,,,-,,-,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,2,,,-,2,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,,-,7,,7,,7,,,-,0,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,,-,13,,,-,1,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,5,,-,5,,,-,3,,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,15,,7,,2,,,-,0,,,-,,-,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,4,,55,,25,,18,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,-,23,,9,,13,,,-,0,,,-,,-,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,,-,1,,,-,1,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,,-,21,,3,,2,,,-,0,,,-,,-,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,5,,,-,,-,,-,0,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,,-,23,,8,,14,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20200520,
