Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,Street Address2,City,State,Zip,Location1
04/01/2019 12:00:00 AM,193.78,58.13,06/16/2019,Downtown Vapor Company,8644 Colesville Road,,Silver Spring,Maryland,20910,"8644 Colesville Road
Silver Spring, Maryland 20910
(38.997078, -77.027426)"
05/01/2019 12:00:00 AM,167.98,50.39,06/16/2019,Downtown Vapor Company,8644 Colesville Road,,Silver Spring,Maryland,20910,"8644 Colesville Road
Silver Spring, Maryland 20910
(38.997078, -77.027426)"
03/01/2019 12:00:00 AM,328.64,98.59,06/16/2019,Downtown Vapor Company,8644 Colesville Road,,Silver Spring,Maryland,20910,"8644 Colesville Road
Silver Spring, Maryland 20910
(38.997078, -77.027426)"
03/01/2019 12:00:00 AM,475.23,142.56,06/16/2019,Bethesda Vapor Company,4823 Fairmont Ave.,Suite B,Bethesda,Maryland,20814,"4823 Fairmont Ave.
Bethesda, Maryland 20814
(38.988859, -77.096195)"
09/01/2019 12:00:00 AM,6322.57,1896.77,10/17/2019,MJ Vape LLC,19328 Montgomery Village Ave,,Gaithersburg,Maryland,20886,"19328 Montgomery Village Ave
Gaithersburg, Maryland 20886
(39.173257, -77.203734)"
09/01/2019 12:00:00 AM,127.50,38.25,10/02/2019,"Delhaize America Distribution, LLC",1703 East D Street,,Butner,NC,27509,"1703 East D Street
Butner, NC 27509
(36.157195, -78.731016)"
09/01/2019 12:00:00 AM,0.00,0.00,10/25/2019,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,,Keene,New Hampshire,03431,"10 Optical Avenue
Keene, New Hampshire 03431
(42.922316, -72.263149)"
09/01/2019 12:00:00 AM,30007.81,9002.34,10/18/2019,"AVAIL Vapor, LLC",820 Southlake Blvd,,Richmond,Virginia,23236,"820 Southlake Blvd
Richmond, Virginia 23236
(37.503787, -77.59775)"
09/01/2019 12:00:00 AM,2836.08,850.82,10/09/2019,SAMS EAST INC,705 SW 8th Street,ATTN: TOBACCO TAX,Bentonville,AR,72716-0555,"705 SW 8th Street
Bentonville, AR 72716-0555
(36.364273, -94.216894)"
09/01/2019 12:00:00 AM,0.00,0.00,10/25/2019,"C&S Wholesale Grocers, Inc.",Tax Department,7 Corporate Drive,Keene,NH,03431,"Tax Department
Keene, NH 03431"
09/01/2019 12:00:00 AM,1060.70,318.21,10/22/2019,"RJR Vapor Co., LLC",P.O. Box 2959,,Winston Salem,NC,27101-2959,"P.O. Box 2959
Winston Salem, NC 27101-2959"
09/01/2019 12:00:00 AM,0.00,0.00,10/28/2019,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,,Baltimore,MD,21230,"2801 W Patapsco Ave #B
Baltimore, MD 21230
(39.255189, -76.658445)"
09/01/2019 12:00:00 AM,0.00,0.00,10/31/2019,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,,Halethorpe,Maryland,21227,"1772 Sulphur Spring Road STE 103
Halethorpe, Maryland 21227
(39.245154, -76.677997)"
09/01/2019 12:00:00 AM,10132.04,3039.61,10/30/2019,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,,Mountville,PA,17554,"200 Lincoln West Drive
Mountville, PA 17554
(40.038852, -76.412807)"
09/01/2019 12:00:00 AM,4702.03,1410.60,10/09/2019,Core-Mark Midcontinent Inc.,"395 Oyster Point Blvd, Suite 415",,South San Francisco,California,94080,"395 Oyster Point Blvd, Suite 415
South San Francisco, California 94080
(37.6664, -122.383189)"
09/01/2019 12:00:00 AM,3459.00,1037.70,10/31/2019,Vapor worldwide,15906 Shady Grove,Suite A,Gaithersburg,Maryland,20877,"15906 Shady Grove
Gaithersburg, Maryland 20877
(39.117754, -77.183498)"
09/01/2019 12:00:00 AM,72459.27,21737.78,10/02/2019,Century Distributors,15710 Crabbs Branch Way,,Rockville,Maryland,20855,"15710 Crabbs Branch Way
Rockville, Maryland 20855
(39.112354, -77.156356)"
09/01/2019 12:00:00 AM,4558.58,1367.57,10/19/2019,"Airpark Vapor, LLC",9871 Main Street,,Damascus,MD,20872,"9871 Main Street
Damascus, MD 20872
(39.288249, -77.203528)"
08/01/2019 12:00:00 AM,3158.00,947.40,10/31/2019,Vapor worldwide,15906 Shady Grove,Suite A,Gaithersburg,Maryland,20877,"15906 Shady Grove
Gaithersburg, Maryland 20877
(39.117754, -77.183498)"
09/01/2019 12:00:00 AM,250499.10,75149.73,10/18/2019,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,,Fredericksburg,Virginia,22406,"56 McLane Drive
Fredericksburg, Virginia 22406
(38.34753, -77.494939)"
10/01/2019 12:00:00 AM,71.75,21.52,11/01/2019,"Delhaize America Distribution, LLC",1703 East D Street,,Butner,NC,27509,"1703 East D Street
Butner, NC 27509
(36.157195, -78.731016)"
09/01/2019 12:00:00 AM,5325.00,1597.50,10/31/2019,Vape Social,16521 S Frederick Ave,,Gaithersburg,md,20877,"16521 S Frederick Ave
Gaithersburg, md 20877
(39.127036, -77.18416)"
10/01/2019 12:00:00 AM,1905.00,571.50,11/04/2019,smoke Island inc,11230 Georgia ave,,silver spring,MD,20902,"11230 Georgia ave
silver spring, MD 20902
(39.03947, -77.051214)"
09/01/2019 12:00:00 AM,1750.00,525.00,11/06/2019,Cosmic Fog Vapors,3115 Airway Avenue,,Costa Mesa,CA,92626,"3115 Airway Avenue
Costa Mesa, CA 92626
(33.67505, -117.874382)"
10/01/2019 12:00:00 AM,12393.92,3718.17,11/06/2019,Status Smoke LLC,16125 Shady Grove Road,,Gaithersburg,MD,20877,"16125 Shady Grove Road
Gaithersburg, MD 20877
(39.120694, -77.179664)"
10/01/2019 12:00:00 AM,0.00,0.00,11/14/2019,The H.T. Hackney Co,118 Enterprise Drive,,Madison Heights,VA,24572,"118 Enterprise Drive
Madison Heights, VA 24572
(37.459055, -79.13528)"
10/01/2019 12:00:00 AM,124.80,37.44,11/12/2019,AFG Distribution,128 Bingham Road,Suite 700,Asheville,NC,28806,"128 Bingham Road
Asheville, NC 28806
(35.607032, -82.586704)"
10/01/2019 12:00:00 AM,0.00,0.00,11/18/2019,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Unit # 9115,Wheaton,Maryland,20902,"11160 Veirs Mill Road
Wheaton, Maryland 20902
(39.038321, -77.052915)"
05/01/2019 12:00:00 AM,755.76,226.72,06/18/2019,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,,Halethorpe,Maryland,21227,"1772 Sulphur Spring Road STE 103
Halethorpe, Maryland 21227
(39.245154, -76.677997)"
05/01/2019 12:00:00 AM,958.67,287.60,06/18/2019,Vape Ink LLC,765 Rockville Pike,Unit J,Rockville,Maryland,20852,"765 Rockville Pike
Rockville, Maryland 20852
(39.077779, -77.140579)"
10/01/2016 12:00:00 AM,0.00,0.00,11/29/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
10/01/2015 12:00:00 AM,0.00,0.00,11/10/2015,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
04/01/2016 12:00:00 AM,0.00,0.00,05/27/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
05/01/2016 12:00:00 AM,0.00,0.00,06/30/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
01/01/2018 12:00:00 AM,0.00,0.00,02/19/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
01/01/2017 12:00:00 AM,0.00,0.00,02/28/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
05/01/2019 12:00:00 AM,1908.75,572.62,06/20/2019,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Unit # 9115,Wheaton,Maryland,20902,"11160 Veirs Mill Road
Wheaton, Maryland 20902
(39.038321, -77.052915)"
05/01/2019 12:00:00 AM,8488.28,2546.48,06/04/2019,SAMS EAST INC,705 SW 8th Street,ATTN: TOBACCO TAX,Bentonville,AR,72716-0555,"705 SW 8th Street
Bentonville, AR 72716-0555
(36.364273, -94.216894)"
05/01/2019 12:00:00 AM,39572.62,11871.78,06/20/2019,"AVAIL Vapor, LLC",820 Southlake Blvd,,Richmond,Virginia,23236,"820 Southlake Blvd
Richmond, Virginia 23236
(37.503787, -77.59775)"
05/01/2019 12:00:00 AM,8555.32,2566.59,06/19/2019,MJ Vape LLC,19328 Montgomery Village Ave,,Gaithersburg,Maryland,20886,"19328 Montgomery Village Ave
Gaithersburg, Maryland 20886
(39.173257, -77.203734)"
05/01/2019 12:00:00 AM,7018.23,2105.46,06/13/2019,George J. Falter Co. Inc.,3501 Benson Avenue,PO Box 24176,Baltimore,MD,21227,"3501 Benson Avenue
Baltimore, MD 21227
(39.265934, -76.673132)"
05/01/2019 12:00:00 AM,0.00,0.00,06/26/2019,"C&S Wholesale Grocers, Inc.",Tax Department,7 Corporate Drive,Keene,NH,03431,"Tax Department
Keene, NH 03431"
05/01/2019 12:00:00 AM,0.00,0.00,06/26/2019,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,,Baltimore,MD,21230,"2801 W Patapsco Ave #B
Baltimore, MD 21230
(39.255189, -76.658445)"
05/01/2019 12:00:00 AM,12554.84,3766.45,06/24/2019,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,,Mountville,PA,17554,"200 Lincoln West Drive
Mountville, PA 17554"
05/01/2019 12:00:00 AM,121045.84,36313.75,06/05/2019,Century Distributors,15710 Crabbs Branch Way,,Rockville,Maryland,20855,"15710 Crabbs Branch Way
Rockville, Maryland 20855
(39.112354, -77.156356)"
05/01/2019 12:00:00 AM,95.00,28.50,06/26/2019,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,,Keene,New Hampshire,03431,"10 Optical Avenue
Keene, New Hampshire 03431
(42.922316, -72.263149)"
05/01/2019 12:00:00 AM,3488.37,1046.51,06/07/2019,Core-Mark Midcontinent Inc.,"395 Oyster Point Blvd, Suite 415",,South San Francisco,California,94080,"395 Oyster Point Blvd, Suite 415
South San Francisco, California 94080"
05/01/2019 12:00:00 AM,2157.48,647.24,06/15/2019,"Airpark Vapor, LLC",9871 Main Street,,Damascus,MD,20872,"9871 Main Street
Damascus, MD 20872
(39.288249, -77.203528)"
05/01/2019 12:00:00 AM,239116.83,71735.04,06/06/2019,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,,Fredericksburg,Virginia,22406,"56 McLane Drive
Fredericksburg, Virginia 22406
(38.34753, -77.494939)"
06/01/2019 12:00:00 AM,2877.00,863.10,07/01/2019,smoke Island inc,11230 Georgia ave,,silver spring,MD,20902,"11230 Georgia ave
silver spring, MD 20902
(39.03947, -77.051214)"
05/01/2019 12:00:00 AM,6306.00,1891.80,06/30/2019,Vape Social,16521 S Frederick Ave,,Gaithersburg,md,20877,"16521 S Frederick Ave
Gaithersburg, md 20877
(39.127036, -77.18416)"
05/01/2019 12:00:00 AM,140.00,42.00,07/01/2019,Cosmic Fog Vapors,3115 Airway Avenue,,Costa Mesa,CA,92626,"3115 Airway Avenue
Costa Mesa, CA 92626
(33.67505, -117.874382)"
06/01/2019 12:00:00 AM,17637.57,5291.27,07/01/2019,Status Smoke LLC,16125 Shady Grove Road,,Gaithersburg,MD,20877,"16125 Shady Grove Road
Gaithersburg, MD 20877
(39.120694, -77.179664)"
06/01/2019 12:00:00 AM,0.00,0.00,07/09/2019,Noon LLC,7902 georgia ave,,silver spring,md,20910,"7902 georgia ave
silver spring, md 20910
(38.985395, -77.026631)"
06/01/2019 12:00:00 AM,1314.15,394.24,07/09/2019,"Main St. Cigars & Vapes, LLC",400 Main St.,,Gaithersburg,MD,20878,"400 Main St.
Gaithersburg, MD 20878
(39.121029, -77.237155)"
06/01/2019 12:00:00 AM,0.00,0.00,07/17/2019,The H.T. Hackney Co,118 Enterprise Drive,,Madison Heights,VA,24572,"118 Enterprise Drive
Madison Heights, VA 24572
(37.459055, -79.13528)"
06/01/2019 12:00:00 AM,270892.93,81267.87,07/15/2019,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,,Fredericksburg,Virginia,22406,"56 McLane Drive
Fredericksburg, Virginia 22406
(38.34753, -77.494939)"
06/01/2019 12:00:00 AM,0.00,0.00,07/21/2019,DC Vapor Inc.,687 Lofstrand Lane,Suite H,Rockville,MD,20850,"687 Lofstrand Lane
Rockville, MD 20850
(39.095177, -77.137268)"
07/01/2017 12:00:00 AM,0.00,0.00,09/01/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
11/01/2015 12:00:00 AM,0.00,0.00,12/16/2015,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
06/01/2016 12:00:00 AM,0.00,0.00,07/29/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
02/01/2018 12:00:00 AM,0.00,0.00,04/26/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
05/01/2017 12:00:00 AM,0.00,0.00,07/13/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
12/01/2017 12:00:00 AM,0.00,0.00,01/29/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
03/01/2018 12:00:00 AM,0.00,0.00,04/26/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
01/01/2019 12:00:00 AM,0.00,0.00,03/28/2019,SUPERVALU PENN LLC,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
12/01/2018 12:00:00 AM,0.00,0.00,01/09/2019,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
09/01/2016 12:00:00 AM,0.00,0.00,10/25/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
08/01/2016 12:00:00 AM,0.00,0.00,09/27/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
11/01/2018 12:00:00 AM,0.00,0.00,03/28/2019,SUPERVALU PENN LLC,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
02/01/2016 12:00:00 AM,0.00,0.00,03/22/2016,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
09/01/2017 12:00:00 AM,0.00,0.00,10/30/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
12/01/2016 12:00:00 AM,0.00,0.00,01/30/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
08/01/2015 12:00:00 AM,0.00,0.00,09/09/2015,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
08/01/2018 12:00:00 AM,0.00,0.00,10/01/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
06/01/2018 12:00:00 AM,0.00,0.00,07/27/2018,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
11/01/2017 12:00:00 AM,0.00,0.00,12/22/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
04/01/2017 12:00:00 AM,0.00,0.00,07/13/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
03/01/2017 12:00:00 AM,0.00,0.00,05/01/2017,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
11/01/2018 12:00:00 AM,0.00,0.00,01/09/2019,Supervalu TTSJ Inc,11840 Valley View Rd,,Eden Prairie,Mn,55344,"11840 Valley View Rd
Eden Prairie, Mn 55344
(44.869111, -93.425809)"
